"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q1",254.991803278689,"Up",10244699,-9056845,1187854,-17650998,-14304816,-3346182,-16463144,-1160043,-1166432,6389,-17623187,-23613613,-23613613,-23613613,-23613613,-23613613,129480000,124385000,5095000,5299000,5299000,10330000,1830000,1830000,146939000,9886000,5390000,5390000,15276000,162215000,10102000,2352000,7750000,4497000,411000,4086000,14599000,2682000,2682000,32079000,46678000,284728000,-169191000,115537000,115537000,162215000,-23613613,703978,10032385,51045,-12826205,-1479959,-5095000,-6574959,2560313,2560313,128235871,108834707,108834707,108834707,-15759166,29397000,0.11595,-1.60699,-2.30496,-0.20438,-0.14557,10.065,0.40401,0.18122,-21.75976,-21.75976,9.44041,106.46643,-0.15997,6.35078,6.07922
"2","2014_Q2",170.150793650794,"Down",8065000,-7199000,866000,-21704000,-18041000,-3663000,-20838000,-1124000,-1142000,18000,-21962000,-21962000,-21962000,-21962000,-21962000,-21962000,110773743,76825800,33947943,3423030,3423030,10164723,1947727,1947727,126309223,10813661,5266033,5266033,16079694,142388917,10116977,2053359,8063618,3018564,751672,2266892,13135541,2547957,2547957,31992803,45128344,288399680,-191152940,97260573,97260573,142388917,-21962000,921000,4172000,-91000,-16960000,-1793000,-28833000,-30626000,4131683.14284659,4131683.14284659,27000.0000000149,-47559000,-47559000,-47559000,-19917000,29444846,0.10738,-2.58376,-2.72312,-0.22581,-0.15424,9.61584,0.46399,0.20679,-9.57534,-9.57534,3.51631,42.4052,-0.16991,4.08339,3.90291
"3","2014_Q3",140.046875,"Down",10255000,-6806000,3449000,-21767000,-18068000,-3699000,-18318000,-879000,-910000,31000,-19197000,-19197000,-19197000,-19197000,-19197000,-19197000,94305207,64207844,30097363,4362238,4362238,11121021,2634098,2634098,112422564,12476109,5118383,5118383,17594492,130017056,9705152,2520912,7184240,3505528,514309,2991219,13210680,3866557,3866557,33258909,46469589,293884714,-210349529,83547467,83547467,130017056,-19197000,997000,3507000,-2607000,-17300000,-1070000,3864000,2794000,1940000,1940000,1888000,-12618000,-12618000,-12618000,-17321000,29392352,0.33632,-1.78625,-1.87196,-0.22977,-0.14765,8.50998,0.55621,0.22607,-8.31111,-8.31111,4.43978,36.17087,-0.16435,3.74764,3.54366
"4","2014_Q4",138.65546875,"Down",13514000,-9116000,4398000,-23403000,-18895000,-4508000,-19005000,-894000,-924000,30000,-19899000,-19899000,-19899000,-19899000,-19899000,-19899000,79876879,35558073,44318806,5842849,5842849,11891586,1438282,1438282,99049596,12344942,5170161,5170161,17515103,116564699,12604999,3046800,9558199,3050955,638143,2412812,15655954,4009906,4009906,33425469,49081423,297713388,-230248923,67483276,67483276,116564699,-19899000,1167000,3780000,1371000,-13581000,-970000,-14177000,-15147000,78000,78000,78000,-28650000,-28650000,-28650000,-17838000,29415563,0.32544,-1.40632,-1.47247,-0.29487,-0.17071,6.32664,0.72731,0.25235,-8.47776,-8.47776,5.7575,28.75054,-0.1972,2.82887,2.65516
"5","2015_Q1",130.045901639344,"Down",17888000,-11353000,6535000,-24038000,-20117000,-3921000,-17503000,-892000,-925000,33000,-18395000,-18395000,-18466000,-18466000,-18466000,-18466000,67282000,31176000,36106000,7652000,7652000,11913000,1904000,1904000,88751000,12581000,5132000,5132000,17713000,106464000,14591000,1949000,12642000,3503000,840000,2663000,18094000,4358000,4358000,33798000,51892000,303279000,-248715000,54572000,54572000,106464000,-18466000,1304000,4094000,-469000,-13537000,-746000,8255000,7509000,1646000,1646000,1646000,-4382000,-4382000,-4382000,-16199000,29440000,0.36533,-0.97848,-1.03231,-0.33838,-0.17345,4.905,0.95089,0.27653,-7.83055,-7.83055,7.58545,23.14138,-0.20896,2.33607,2.16203
"6","2015_Q2",124.361904761905,"Down",12308000,-9500000,2808000,-23218000,-19355000,-3863000,-20410000,-798000,-897000,99000,-21208000,-21208000,-21208000,-21208000,-21208000,-21208000,116383000,62549000,53834000,5226000,5226000,13581000,1960000,1960000,137150000,12928000,5047000,5047000,17975000,155125000,15462000,4087000,11375000,3308000,803000,2505000,18770000,4648000,4648000,34107000,52877000,372132000,-269923000,102248000,102248000,155125000,-21208000,1182000,3699000,905000,-15422000,-674000,-17599000,-18273000,217000,217000,65068000,31373000,31373000,31373000,-19228000,29459000,0.22814,-1.65827,-1.72311,-0.20742,-0.13672,7.30687,0.51714,0.1899,-8.30969,-8.30969,4.82251,40.06269,-0.15554,4.5207,4.25889
"7","2015_Q3",116.40625,"Down",15706000,-10906000,4800000,-23471000,-19599000,-3872000,-18671000,-863000,-924000,61000,-19534000,-19534000,-19534000,-19534000,-19534000,-19534000,97746000,45921000,51825000,7473000,7473000,14670000,2170000,2170000,122059000,14325000,4950000,4950000,19275000,141334000,14590000,3999000,10591000,3895000,1038000,2857000,18485000,5618000,5618000,35097000,53582000,377172000,-289457000,87752000,87752000,141334000,-19534000,1232000,3306000,-3762000,-18758000,-1751000,2056000,305000,1814000,1814000,1825000,-16628000,-16628000,-16628000,-17439000,29479000,0.30562,-1.18878,-1.24373,-0.2226,-0.13821,6.60314,0.61061,0.20858,-6.53267,-6.53267,5.25249,29.34653,-0.15901,3.91462,3.65631
"8","2015_Q4",99.1984375,"Down",15716000,-10203000,5513000,-24216000,-19123000,-5093000,-18703000,-883000,-970000,87000,-19586000,-19586000,-19586000,-19586000,-19586000,-19586000,81751000,43205000,38546000,7006000,7006000,17552000,2614000,2614000,108923000,14888000,4707000,4707000,19595000,128518000,16475000,4018000,12457000,5845000,1952000,3893000,22320000,5465000,5465000,34964000,57284000,380245000,-309043000,71234000,71234000,128518000,-19586000,1196000,3408000,643999.999999999,-14338000,-1743000,13272000,11529000,93000,93000,93000,-2715999.99999999,-2715999.99999999,-2716000,-17507000,29499000,0.35079,-1.19006,-1.24625,-0.27495,-0.1524,4.88006,0.80417,0.22953,-6.51997,-6.51997,5.23169,23.71305,-0.18443,2.98463,2.79378
"9","2016_Q1",87.4950819672131,"Down",29120000,-15661000,13459000,-24679000,-20544000,-4135000,-11220000,-860000,-950000,90000,-12080000,-12080000,-12090000,-12090000,-12090000,-12090000,71106000,43088000,28018000,14055000,14055000,17543000,2280000,2280000,104984000,15526000,4215000,4215000,19741000,124725000,19116000,5234000,13882000,7404000,1822000,5582000,26520000,5462000,5462000,34737000,61257000,384581000,-321133000,63468000,63468000,124725000,-12090000,1219000,3376000,-2751000,-10246000,-1670000,10530000,8860000,1269000,1269000,1269000,-117000,-117000,-117000,-10001000,29275000,0.46219,-0.3853,-0.41518,-0.19049,-0.09693,3.95867,0.96516,0.23472,-4.00119,-4.00119,9.63728,21.00477,-0.12311,4.18268,3.72825
"10","2016_Q2",80.49375,"Down",20058000,-13130000,6928000,-26166000,-21997000,-4169000,-19238000,-1246000,-1364000,118000,-20484000,-20484000,-20484000,-20484000,-20484000,-20484000,68426000,40610000,27816000,9093000,9093000,20196000,2852000,2852000,100567000,15939000,4136000,4136000,20075000,120642000,17685000,5974000,11711000,7139000,1681000,5458000,24824000,5768000,5768000,49874000,74698000,387521000,-341617000,45944000,45944000,120642000,-20484000,1334000,3444000,-239000,-15945000,-1945000,309000,-1636000,109000,109000,15103000,-2478000,-2478000,-2478000,-17904000,44106000,0.3454,-0.95912,-1.02124,-0.44585,-0.16979,4.0512,1.62585,0.36559,-6.76173,-6.76173,6.62111,15.16604,-0.21378,1.35836,1.26416
