"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital"
"25","2019_Q3",4.105625,"Up",-16321000,1.3e+07,-3321000,-264000,-264000,-3585000,-3724000,36000,-3760000,-7309000,-7309000,1844000,-5465000,-4022000,-4022000,-4022000,2935000,2935000,5020000,55982000,2204000,68309000,761000,9939000,2826000,10700000,79009000,13061000,12959000,61058000,4195000,4195000,65253000,23983000,-4502000,-5725000,13756000,13756000,79009000,-4022000,260000,5754000,-1456000,536000,-66000,125000,9000,479000,479000,326000,-3325000,24178000,0.20348,0.21966,0.24643,-0.29238,-0.05091,1.11876,4.7436,0.30602,-0.46092,-0.46071,-1.87039,1.57644,-0.09547
"26","2019_Q4",2.94171875,"Down",5569000,-5313000,256000,-3842000,-3842000,-3586000,-2233000,-85000.0000000001,-2148000,-5819000,-5819000,2567000,-3252000,6992000,6992000,6992000,1817000,1817000,5248000,2689000,889000,25291000,692000,13993000,8343000,14685000,39976000,20555000,7334000,22588000,2854000,2854000,25442000,23985000,2490000,-11941000,14534000,14534000,39976000,6992000,169000,-15846000,5235000,-3450000,41899000,-25901000,-25689000,12760000,12760000,13019000,-3417000,-3.72529029846191e-09,0.04597,-0.64392,1.25552,0.48108,0.1749,1.11967,1.75052,0,0.801279999999996,0.800920000000004,0.638210000000001,1.66560000000002,0.40212
"27","2020_Q1",2.05951612903226,"Down",6635000,-6504000,131000,-5305000,-5305000,-5174000,-52000,152000,-204000,-5226000,-5226000,-3741000,-8967000,-9649000,-9649000,-9649000,3716000,3716000,4554000,2955000,795000,20374000,640000,7465000,7465000,8105000,28479000,8403000,7907000,9844000,1793000,1793000,11637000,23987000,-7159000,14000,16842000,16842000,28479000,-9649000,69000,6213000,-163000,-3530000,-2007000,-386000,231000,-5306000,-5306000,-5307000,-5105000,0,0.01974,-0.7798,-1.45426,-0.57291,-0.33881,2.06969,0.69095,0,-1.10578,-1.1073,0.76037,1.93009,-0.51779
"28","2020_Q2",1.12365079365079,"Down",5001000,-4824000,177000,-1934000,-1934000,-1757000,-1161000,110000,-1281000,-2918000,-2918000,-3000,-2921000,-2921000,-2921000,-2921000,3410000,3410000,4653000,1145000,794000,16173000,582000,6935000,6935000,7517000,23690000,7e+06,6939000,8745000,1429000,1429000,10174000,23989000,-10487000,13999.9999999981,13516000,13516000,23690000,-2921000,58000,1032000,795000,-1036000,-15178864.0883668,-419000,-419000,-1455000,-1455000,-1455000,-1699000,0,0.03539,-0.35133,-0.58408,-0.21611,-0.1233,1.8494,0.75274,6.93889390390723e-18,-334.74673,-334.74673,573.11483,1548.93422,-0.19545
"29","2020_Q3",1.47328125,"Up",5087000,-5384000,-297000,-878000,-878000,-1175000,517000,78000,449000,-658000,-658000,-2000,-660000,-660000,-660000,-660000,2002000,2002000,3318000,1214000,774000,14524000,525000,6912000,6912000,7437000,21961000,4853000,4837000,6197000,1094000,2501000,8698000,23989000,-10740000,14000,13263000,13263000,21961000,-660000,57000,-51000,483000,-171000,193999.999999985,756000,756000,779000,779000,779000,-1118000,1407000,-0.05838,-0.23098,-0.12974,-0.04976,-0.03005,2.34371,0.65581,0.06407,-0.03784,-0.03784,0.29163,0.76035,-0.04187
"30","2020_Q4",3.47046875,"Up",4050000,-3312000,738000,-1189000,-1189000,-451000,1790000,54000,1736000,1339000,1339000,-1.16415321826935e-10,1339000,1339000,1339000,1339000,2365000,2365000,3983000,1197000,757000,17176000,472000,6542000,6542000,7014000,24190000,4869000,4852000,7484000,996000,2103000,9587000,23990000,-9401000,14000.0000000001,14603000,14603000,24190000,1339000,49000,-1568000,59000,-121000,2436000,-1625000,-221000,2094000,2094000,2094000,-402000,1410000,0.18222,-0.11136,0.33062,0.09169,0.05535,2.29503,0.65651,0.05829,0.153449999999981,0.153449999999981,0.464130000000014,1.67350000000031,0.07872
"31","2021_Q1",6.22360655737705,"Up",5352000,-5089000,263000,-1164000,-1164000,-901000,157000,92000,65000,-744000,-744000,0,-744000,-744000,-744000,-744000,2587000,2587000,2403000,1399000,897000,13956000,433000,6898000,5394000,7331000,21287000,4044000,4027000,5538000,1257000,1890000,7428000,23990000,-10145000,14000,13859000,13859000,21287000,-744000,39000,20000,-1600000,-2285000,0,221000,221000,-2064000,-2064000,-2064000,-862000,1413000,0.04914,-0.16835,-0.13901,-0.05368,-0.03495,2.52004,0.53597,0.06638,-0.08526,-0.08526,0.61334,1.58824,-0.04501
"32","2021_Q2",4.0568253968254,"Down",3502000,-3343000,159000,-1265000,-1265000,-1106000,1436000,93000,1343000,330000,330000,21000,351000,351000,351000,351000,4060000,4060000,3183000,3177000,995000,15153000,394000,6739000,6739000,7133000,22286000,4303000,4303000,6867000,1176000,1176000,8043000,24023000,-9794000,14000,14243000,14243000,22286000,351000,37000,-1250000,35000,-827000,-114000,-118000,-118000,-1059000,-1059000,-1059000,-1069000,0,0.0454,-0.31582,0.10023,0.02464,0.01575,2.20664,0.5647,0,0.0402199999999996,0.0399399999999995,0.401330000000008,1.63225,0.02276
"33","2021_Q3",3.9,"Down",5625000,-5130000,495000,-1241000,-1241000,-746000,60000,96000,-36000,-686000,-686000,0,-686000,-686000,-686000,-686000,3994000,3994000,3313000,2554000,779000,14995000,418000,6665000,6665000,7083000,22078000,5904000,4857000,8457000,1073000,1073000,9530000,23014000,-10480000,14000,12548000,12548000,22078000,-686000,37000,112000,1183000,646000,-2e+05,-45000,-45000,401000,401000,401000,-709000,0,0.088,-0.13262,-0.12196,-0.05467,-0.03107,1.77309,0.75948,0,-0.07862,-0.07919,0.64463,1.438,-0.05036
"34","2021_Q4",6.03765625,"Up",5685000,-4972000,713000,-1231000,-1231000,-518000,86000.0000000002,99000,-13000,-432000,-432000,-2000,-434000,-434000,-434000,-434000,3304000,3304000,3500000,2421000,646000,12597000,478000,7976000,5693000,8454000,21051000,4673000,4673000,6936000,1943000,1943000,8879000,23072000,-10914000,14000,12172000,12172000,21051000,-434000,36000,173000,-172000,-397000,-255000,-63000.0000000001,-1110000,-1762000,-1762000,-1762000,-482000,-2.91038304567337e-11,0.12542,-0.09112,-0.07634,-0.03566,-0.02062,1.81618,0.72946,0,-0.04974,-0.04974,0.6515,1.39491,0.04343
"35","2022_Q1",6.38693548387097,"Up",3499000,-3473000,26000,-1518000,-1518000,-1492000,97000,99000,-2000,-1395000,-1395000,-3000,-1398000,-1398000,-1398000,-1398000,2429000,2429000,4160000,8622000,1069000,25135000,516000,2276000,2276000,2792000,27927000,4159000,5991342.83481305,6582000,1793000,1793000,8375000,31850000,-12312000,14000,19552000,19552000,27927000,-1398000,43000,373000,-781000,-1763000,332000,-638000,7983000,6552000,6552000,6552000,-1449000,0,0.00743,-0.42641,-0.39954,-0.0715,-0.05006,3.81875,0.42834,0,-0.16021,-0.16021,0.40099,2.24066,-0.11455
"36","2022_Q2",4.07806451612903,"Down",6036000,-5161000,875000,-1746000,-1746000,-871000,90000,101000,-11000,-781000,-781000,-7000,-788000,-788000,-788000,-788000,4145000,4145000,6965000,7914000,1523000,32162000,592000,2229000,49000,2821000,34983000,7401000,7401000,14719000,1426000,1426000,16145000,31924000,-13100000,14000,18838000,18838000,34983000,-788000,36000,164000,2836000,2248000,-273000,-48000.0000000001,-31000,1944000,1944000,1944000,-835000,3.63797880709171e-12,0.14496,-0.1443,-0.13055,-0.04183,-0.02253,2.18507,0.85704,1.0842021724855e-19,-0.08896,-0.08896,0.68142,2.12667,-0.03889
"37","2022_Q3",3.3225,"Down",4289000,-4208000,81000,-2585000,-2585000,-2504000,-13000,105000,-118000,-2517000,-2517000,0,-2517000,-2517000,-2517000,-2517000,5211000,5211000,9017000,7067000,1074000,31080000,619000,2417000,80000,3036000,34116000,6407000,6407000,15696000,1440000,1440000,17136000,32583000,-15617000,14000,16980000,16980000,34116000,-2517000,37000,790000,-1854000,-3544000,-226000,-88000,-88000,-3858000,-3858000,-3858000,-2467000,0,0.01889,-0.58382,-0.58685,-0.14823,-0.07378,1.98012,1.00919,0,-0.25874,-0.25874,0.44089,1.74548,-0.13664
