"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q2",26.7646031746032,"Up",2.376e+10,-1.9014e+10,4.746e+09,-3.336e+09,-3.336e+09,1.41e+09,-1.28e+08,-1.28e+08,1.282e+09,1.282e+09,-5.1e+08,7.72e+08,7.7e+08,7.71e+08,7.71e+08,1.051e+09,1.047e+09,4e+06,5.149e+09,5.149e+09,1.0275e+10,6.8e+08,1.79e+08,1.7155e+10,8.044e+09,3.6085e+10,1.0037e+10,2.5674e+10,3.74e+08,4.4129e+10,6.1284e+10,9.418e+09,4.043e+09,5.375e+09,2.919e+09,1.2337e+10,8.454e+09,4.799e+09,3.655e+09,1.144e+09,1.3253e+10,2.559e+10,2.7274e+10,-8.454e+09,1.7004e+10,-1.3e+08,3.5694e+10,3.5694e+10,6.1284e+10,1.06e+09,1.06e+09,-4.01e+08,-4.01e+08,-4.01e+08,1e+06,3e+06,-3.97e+08,-1.22e+08,1.99e+08,-7.9e+08,9.7e+07,1.1e+07,-7.02e+08,-3.9e+07,-3.9e+07,-3.9e+07,1.1373e+10,0.19975,0.05934,0.03245,0.0216,0.01258,1.39053,0.71693,0.18558,0.55628,0.55229,17.14286,25.75325,0.08802,76.6532610508325,0.01722,0.15824,7.32057
"2","2010_Q3",22.93328125,"Down",2.4007e+10,-1.8987e+10,5.02e+09,-3.519e+09,-3.519e+09,1.501e+09,-1.35e+08,-1.35e+08,1.366e+09,1.366e+09,-5.44e+08,8.22e+08,8.21e+08,8.21e+08,8.21e+08,1.111e+09,1.107e+09,4e+06,5.101e+09,5.101e+09,1.0389e+10,6.69e+08,1.71e+08,1.727e+10,8.248e+09,3.6006e+10,9.949e+09,2.5672e+10,3.85e+08,4.4254e+10,6.1524e+10,8.952e+09,3.867e+09,5.085e+09,2.507e+09,1.1459e+10,9.454e+09,4.739e+09,3.633e+09,1.106e+09,1.4193e+10,2.5652e+10,2.7373e+10,-9.073e+09,1.7705e+10,-1.33e+08,3.5872e+10,3.5872e+10,6.1524e+10,6.52e+08,6.52e+08,-4.65e+08,-4.65e+08,-4.65e+08,1.16415321826935e-10,-1.8e+07,-4.83e+08,-1.19e+08,5.78e+08,-5.65e+08,4.8e+07,-3e+06,-1.09e+08,6e+07,6e+07,59999999.9999999,1.1961e+10,0.20911,0.06252,0.0342,0.02289,0.01334,1.50711,0.7151,0.19441,0.60412,0.59971,17.66519,26.39588,0.08756,39.3484058937773,0.01788,0.14495,7.22851
"3","2010_Q4",24.900625,"Up",2.3422e+10,-1.8423e+10,4.999e+09,-3.534e+09,-3.534e+09,1.465e+09,-1.36e+08,-1.36e+08,1.329e+09,1.329e+09,-5.21e+08,8.08e+08,8.08e+08,8.09e+08,8.09e+08,9.83e+08,9.79e+08,4e+06,5.111e+09,5.111e+09,1.0585e+10,6.6e+08,1.81e+08,1.7339e+10,8.356e+09,3.6018e+10,9.876e+09,2.5673e+10,4.69e+08,4.4374e+10,6.1713e+10,9.186e+09,4.162e+09,5.024e+09,2.488e+09,1.1674e+10,8.653e+09,4.749e+09,3.653e+09,1.096e+09,1.3402e+10,2.5076e+10,2.7403e+10,-9.029e+09,1.8396e+10,-1.33e+08,3.6637e+10,3.6637e+10,6.1713e+10,1.292e+09,1.292e+09,-5.13e+08,-5.13e+08,-5.13e+08,0,-1.19e+08,-5.08e+08,-1.19e+08,-8.19e+08,2.6e+07,2.6e+07,0,-9.12e+08,-1.28e+08,-1.28e+08,-1.28e+08,1.1141e+10,0.21343,0.06255,0.03454,0.02208,0.01311,1.48527,0.68444,0.18053,0.59485,0.59137,17.22206,26.93897,0.0875,17.3806522101665,0.01767,0.1471,6.93379
"4","2011_Q1",26.4541935483871,"Up",2.4589e+10,-1.9135e+10,5.454e+09,-3.693e+09,-3.693e+09,1.761e+09,-1.37e+08,-1.37e+08,1.624e+09,1.624e+09,-6.04e+08,1.02e+09,1.025e+09,1.026e+09,1.026e+09,1.431e+09,1.427e+09,4e+06,4.925e+09,4.925e+09,1.0695e+10,6.55e+08,1.44e+08,1.7706e+10,8.322e+09,3.6141e+10,9.784e+09,2.5669e+10,6.88e+08,4.4463e+10,6.2169e+10,9.665e+09,4.026e+09,5.639e+09,1.405e+09,1.107e+10,8.652e+09,4.747e+09,3.655e+09,1.092e+09,1.3399e+10,2.4469e+10,2.757e+10,-9.03e+09,1.9303e+10,-1.43e+08,3.77e+10,3.77e+10,6.2169e+10,1.775e+09,1.775e+09,-5.92e+08,-6.26e+08,-6.26e+08,-1.16415321826935e-10,-4.3e+07,-2.52e+08,-1.19e+08,-1.085e+09,1.14e+08,1.14e+08,1.5e+07,-1.075e+09,4.48e+08,4.48e+08,4.48e+08,1.0057e+10,0.22181,0.07162,0.04173,0.02721,0.0165,1.59946,0.64905,0.16177,0.75275,0.74618,18.04035,27.65957,0.08731,7,0.02181,0.11598,4.89835
"5","2011_Q2",29.007619047619,"Up",2.5695e+10,-2.0953e+10,4.742e+09,-3.437e+09,-3.437e+09,1.305e+09,-1.34e+08,-1.34e+08,1.171e+09,1.171e+09,-4.62e+08,7.09e+08,7.12e+08,7.13e+08,7.13e+08,2.168e+09,2.162e+09,6e+06,5.348e+09,5.348e+09,1.0181e+10,6.83e+08,1.74e+08,1.838e+10,8.35e+09,3.6098e+10,9.692e+09,2.5666e+10,7.4e+08,4.4448e+10,6.2828e+10,1.0359e+10,4.354e+09,6.005e+09,1.106e+09,1.1465e+10,8.669e+09,4.775e+09,3.71e+09,1.065e+09,1.3444e+10,2.4909e+10,2.7666e+10,-9.449e+09,1.9845e+10,-1.43e+08,3.7919e+10,3.7919e+10,6.2828e+10,1.866e+09,1.866e+09,-2.97e+08,-3.09e+08,-3.09e+08,-2e+06,-1.1e+07,-2.99e+08,-1.71e+08,-3.01e+08,-3.6e+08,1.07e+08,-3635534.00567563,-8.32e+08,7.35e+08,7.35e+08,7.35e+08,9.775e+09,0.18455,0.05079,0.02775,0.0188,0.01135,1.60314,0.6569,0.15558,0.52349,0.52006,18.86564,27.84068,0.12555,4.45644926327783,0.01685,0.23983,5.82912
"6","2011_Q3",27.9578125,"Down",2.6414e+10,-2.1328e+10,5.086e+09,-3.602e+09,-3.602e+09,1.484e+09,-1.48e+08,-1.48e+08,1.336e+09,1.336e+09,-5.23e+08,8.13e+08,8.15e+08,8.16e+08,8.16e+08,2.233e+09,2.228e+09,5e+06,5.892e+09,5.892e+09,1.0111e+10,8.29e+08,3.27e+08,1.9065e+10,8.483e+09,3.7939e+10,1.0022e+10,2.6697e+10,1.22e+09,4.6422e+10,6.5487e+10,1.0836e+10,4.446e+09,6.39e+09,9.16e+08,1.1752e+10,1.0168e+10,5.323e+09,3.948e+09,1.375e+09,1.5491e+10,2.7243e+10,2.7862e+10,-9.956e+09,2.0491e+10,-1.53e+08,3.8244e+10,3.8244e+10,6.5487e+10,1.207e+09,1.207e+09,-4.13e+08,-4.01e+08,-4.01e+08,1e+06,-1.355e+09,-1.767e+09,-1.7e+08,1.162e+09,-3.47e+08,1.57e+08,-1.9e+07,6.26e+08,6.6e+07,6.6e+07,6.6e+07,1.1084e+10,0.19255,0.05618,0.03089,0.02134,0.01246,1.62228,0.71235,0.16925,0.60221,0.59824,19.49373,28.22435,0.12546,6,0.01804,0.20833,5.96429
"7","2011_Q4",29.3909523809524,"Up",2.6674e+10,-2.1496e+10,5.178e+09,-3.594e+09,-3.594e+09,1.584e+09,-1.55e+08,-1.55e+08,1.429e+09,1.429e+09,-5.62e+08,8.67e+08,8.67e+08,8.68e+08,8.68e+08,1.712e+09,1.707e+09,5e+06,5.901e+09,5.901e+09,1.0379e+10,9.46e+08,5.02e+08,1.8938e+10,8.642e+09,3.7671e+10,9.947e+09,2.6506e+10,1.218e+09,4.6313e+10,6.5251e+10,1.1749e+10,4.387e+09,7.362e+09,6.01e+08,1.235e+10,1.0167e+10,5.247e+09,3.868e+09,1.379e+09,1.5414e+10,2.7764e+10,2.7947e+10,-1.15e+10,2.1192e+10,-1.52e+08,3.7487e+10,3.7487e+10,6.5251e+10,1.962e+09,1.962e+09,-4.57e+08,-4.58e+08,-4.58e+08,0,-4e+07,-4.97e+08,-1.67e+08,-3.17e+08,-1.505e+09,7.7e+07,3e+06,-1.986e+09,-5.21e+08,-5.21e+08,-5.21e+08,1.0768e+10,0.19412,0.05938,0.03254,0.02315,0.0133,1.53344,0.74063,0.16502,0.65116,0.65116,20.0105,28.12228,0.12528,7,0.01935,0.1924,5.71717
"8","2012_Q1",34.5933870967742,"Up",2.8297e+10,-2.2741e+10,5.556e+09,-3.598e+09,-3.598e+09,1.958e+09,-1.47e+08,-1.47e+08,1.811e+09,1.811e+09,-7.11e+08,1.1e+09,1.064e+09,1.065e+09,1.065e+09,1.418e+09,1.413e+09,5e+06,6.047e+09,6.047e+09,1.0046e+10,1.083e+09,5.8e+08,1.8594e+10,8.467e+09,3.7482e+10,9.869e+09,2.6458e+10,1.155e+09,4.5949e+10,6.4543e+10,1.115e+10,4.37e+09,6.78e+09,8.06e+08,1.1956e+10,9.208e+09,5.328e+09,3.853e+09,1.475e+09,1.4536e+10,2.6492e+10,2.8086e+10,-1.1953e+10,2.209e+10,-1.72e+08,3.8051e+10,3.8051e+10,6.4543e+10,8.21e+08,8.21e+08,-7.01e+08,-7.04e+08,-7.04e+08,5.8e+07,2.15e+08,1.53e+08,-1.66e+08,-7.53e+08,-3.58e+08,9e+07,9e+06,-1.268e+09,-2.94e+08,-2.94e+08,-2.94e+08,1.0014e+10,0.19635,0.06919,0.03764,0.02799,0.0165,1.5552,0.69622,0.15515,0.81797,0.80682,21.73349,29.22504,0.1275,4,0.02306,0.15587,4.39019
"9","2012_Q2",35.6598412698413,"Up",3.0798e+10,-2.5685e+10,5.113e+09,-3.709e+09,-3.709e+09,1.404e+09,-1.32e+08,-1.32e+08,1.272e+09,1.272e+09,-4.96e+08,7.76e+08,7.75e+08,7.76e+08,7.76e+08,2.216e+09,2.211e+09,5e+06,6.109e+09,6.109e+09,1.0677e+10,8.89e+08,3.51e+08,1.9891e+10,8.517e+09,3.7598e+10,9.799e+09,2.6431e+10,1.368e+09,4.6115e+10,6.6006e+10,1.3407e+10,5.24e+09,8.167e+09,5e+06,1.3412e+10,9.206e+09,5.335e+09,3.875e+09,1.46e+09,1.4541e+10,2.7953e+10,2.841e+10,-1.2752e+10,2.2566e+10,-1.71e+08,3.8053e+10,3.8053e+10,6.6006e+10,2.786e+09,2.786e+09,-3.76e+08,-3.76e+08,-3.76e+08,66652369.5459459,-6.7e+07,-4.43e+08,-2.11e+08,-8.02e+08,-5.32e+08,2.78e+08,0,-1.545e+09,7.98e+08,7.98e+08,7.98e+08,9.211e+09,0.16602,0.04559,0.0252,0.02039,0.01176,1.48307,0.73458,0.13955,0.59738,0.59282,23.70901,29.29407,0.16243,6,0.01876,0.27191,4.98219
"10","2012_Q3",36.8498412698413,"Up",3.0714e+10,-2.5265e+10,5.449e+09,-3.742e+09,-3.742e+09,1.707e+09,-1.31e+08,-1.31e+08,1.576e+09,1.576e+09,-6.1e+08,9.66e+08,9.65e+08,9.66e+08,9.66e+08,1.828e+09,1.823e+09,5e+06,6.124e+09,6.124e+09,1.0428e+10,9.19e+08,3.84e+08,1.9299e+10,8.614e+09,3.7676e+10,9.891e+09,2.6425e+10,1.36e+09,4.629e+10,6.5589e+10,1.2931e+10,4.903e+09,8.028e+09,2.05e+08,1.3136e+10,9.208e+09,5.332e+09,3.894e+09,1.438e+09,1.454e+10,2.7676e+10,2.8705e+10,-1.3945e+10,2.3324e+10,-1.71e+08,3.7913e+10,3.7913e+10,6.5589e+10,1.231e+09,1.231e+09,-4.42e+08,-4.42e+08,-4.42e+08,30941132.493574,-2e+08,-6.42e+08,-2.09e+08,1.98e+08,-9.48e+08,2.4e+08,-1.8e+07,-9.77e+08,-3.88e+08,-3.88e+08,-3.88e+08,9.413e+09,0.17741,0.05558,0.03145,0.02548,0.01473,1.46917,0.72999,0.14351,0.75528,0.75058,24.01407,29.64269,0.16341,7,0.02231,0.21636,4.44347
"11","2012_Q4",37.6533870967742,"Up",3.0227e+10,-2.458e+10,5.647e+09,-3.833e+09,-3.833e+09,1.814e+09,-1.34e+08,-1.34e+08,1.68e+09,1.68e+09,-6.69e+08,1.011e+09,1.006e+09,1.006e+09,1.006e+09,1.238e+09,1.233e+09,5e+06,6.407e+09,6.407e+09,1.0487e+10,7.47e+08,2.12e+08,1.8879e+10,8.369e+09,3.7548e+10,9.801e+09,2.6422e+10,1.325e+09,4.5917e+10,6.4796e+10,1.2433e+10,5.091e+09,7.342e+09,8.3e+08,1.3263e+10,9.21e+09,5.407e+09,3.894e+09,1.513e+09,1.4617e+10,2.788e+10,2.89e+10,-1.5937e+10,2.4123e+10,-1.7e+08,3.6916e+10,3.6916e+10,6.4796e+10,9.23e+08,9.23e+08,-4.96e+08,-4.96e+08,-4.96e+08,-2.98023223876953e-08,-2.9e+07,-9.8e+07,-2.07e+08,6.23e+08,-1.844e+09,1.59e+08,1.3e+07,-1.415e+09,-5.9e+08,-5.9e+08,-5.9e+08,1.004e+10,0.18682,0.06001,0.03328,0.02725,0.01553,1.42343,0.75523,0.15495,0.79526,0.78964,23.89486,29.18261,0.16364,6,0.02317,0.20577,4.85226
"12","2013_Q1",41.8228333333333,"Up",3.1381e+10,-2.5102e+10,6.279e+09,-3.994e+09,-3.994e+09,2.285e+09,-1.6e+08,-1.6e+08,2.125e+09,1.777e+09,-6.61e+08,1.116e+09,1.116e+09,1.116e+09,1.116e+09,1.38e+09,1.375e+09,5e+06,6.479e+09,6.479e+09,1.1032e+10,1.27e+09,5.77e+08,2.0161e+10,8.632e+09,3.7428e+10,9.753e+09,2.6395e+10,1.28e+09,4.606e+10,6.6221e+10,1.3455e+10,5.07e+09,8.385e+09,6.95e+08,1.415e+10,9.133e+09,5.285e+09,3.784e+09,1.501e+09,1.4418e+10,2.8568e+10,2.9106e+10,-1.627e+10,2.4998e+10,-1.81e+08,3.7653e+10,3.7653e+10,6.6221e+10,1.731e+09,1.731e+09,-6.93e+08,-7.16e+08,-7.16e+08,0,-7.5e+07,-6.66e+08,-2.02e+08,-5.58e+08,-1.7e+08,1.59e+08,7e+06,-9.23e+08,1.42e+08,1.42e+08,1.42e+08,9.828e+09,0.20009,0.07281,0.03556,0.02964,0.01685,1.42481,0.75872,0.14841,0.89927,0.8928,25.28687,30.34085,0.16277,8,0.02498,0.181,3.69716
"13","2013_Q2",46.750625,"Up",3.0751e+10,-2.5174e+10,5.577e+09,-3.883e+09,-3.883e+09,1.694e+09,-1.26e+08,-1.26e+08,1.568e+09,1.568e+09,-6.14e+08,9.54e+08,9.54e+08,9.54e+08,9.54e+08,1.556e+09,1.551e+09,5e+06,6.635e+09,6.635e+09,1.0592e+10,9.44e+08,3.4e+08,1.9727e+10,8.556e+09,3.7785e+10,9.738e+09,2.6575e+10,1.472e+09,4.6341e+10,6.6068e+10,1.2883e+10,5.506e+09,7.377e+09,3.12e+08,1.3195e+10,9.352e+09,5.312e+09,3.774e+09,1.538e+09,1.4664e+10,2.7859e+10,2.9288e+10,-1.6625e+10,2.5728e+10,-1.82e+08,3.8209e+10,3.8209e+10,6.6068e+10,1.64e+09,1.64e+09,-3.13e+08,-3.18e+08,-3.18e+08,1.86264514923096e-09,-2.54e+08,-5.67e+08,-2.77e+08,-3.9e+08,-2.43e+08,1.5e+08,1.3e+07,-8.97e+08,1.76e+08,1.76e+08,1.76e+08,9.664e+09,0.18136,0.05509,0.03102,0.02497,0.01444,1.49504,0.72912,0.14627,0.77435,0.76873,24.96023,31.0138,0.22484,7,0.02315,0.29036,4.7863
"14","2013_Q3",48.26671875,"Up",3.1248e+10,-2.5407e+10,5.841e+09,-3.869e+09,-3.869e+09,1.972e+09,-1.26e+08,-1.26e+08,1.846e+09,1.846e+09,-7.21e+08,1.125e+09,1.124e+09,1.124e+09,1.124e+09,1.179e+09,1.174e+09,5e+06,7.093e+09,7.093e+09,1.0578e+10,1.019e+09,4.13e+08,1.9869e+10,8.708e+09,3.7707e+10,9.657e+09,2.6554e+10,1.496e+09,4.6415e+10,6.6284e+10,1.2672e+10,5.178e+09,7.494e+09,18000000.0000001,1.269e+10,9.358e+09,5.33e+09,3.796e+09,1.534e+09,1.4688e+10,2.7378e+10,2.9518e+10,-1.6987e+10,2.6573e+10,-1.98e+08,3.8906e+10,3.8906e+10,6.6284e+10,9.02e+08,9.02e+08,-4.8e+08,-4.86e+08,-4.86e+08,0,-4.6e+07,-5.26e+08,-2.76e+08,-3e+08,-1.96e+08,1.59e+08,2.1e+07,-7.51e+08,-3.75e+08,-3.75e+08,-3.77e+08,9.376e+09,0.18692,0.06311,0.03597,0.02889,0.01696,1.56572,0.7037,0.14145,0.91531,0.90939,25.44625,31.68241,0.22476,7,0.02611,0.24555,4.15669
"15","2013_Q4",52.24234375,"Up",3.1932e+10,-2.5906e+10,6.026e+09,-3.872e+09,-3.872e+09,2.154e+09,-1.22e+08,-1.22e+08,2.032e+09,2.032e+09,-7.77e+08,1.255e+09,1.249e+09,1.249e+09,1.249e+09,1.613e+09,1.505e+09,1.08e+08,8.035e+09,8.035e+09,1.0825e+10,9.59e+08,4.01e+08,2.1432e+10,8.749e+09,3.7624e+10,9.587e+09,2.655e+10,1.487e+09,4.6373e+10,6.7805e+10,1.3712e+10,5.412e+09,8.3e+09,1.386e+09,1.5098e+10,8.819e+09,5.354e+09,3.791e+09,1.563e+09,1.4173e+10,2.9271e+10,2.9639e+10,-1.8462e+10,2.7551e+10,-1.94e+08,3.8534e+10,3.8534e+10,6.7805e+10,1.703e+09,1.703e+09,-5.24e+08,-5.26e+08,-5.26e+08,-1.07e+08,-5.4e+07,-5.29e+08,-2.76e+08,8.14e+08,-1.402e+09,1.22e+08,1.4e+07,-8.5e+08,3.24e+08,3.24e+08,3.31e+08,1.0205e+10,0.18871,0.06746,0.03911,0.03241,0.01842,1.41953,0.75961,0.15051,1.02545,1.01876,26.21675,31.63711,0.2266,8,0.02819,0.22098,3.98886
