"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2018_Q3",86.9006349206349,"Up",7506075,-1352845,6153230,-1349411,-377448,-971963,4803819,443325,443325,5247144,5247144,-964534,4282610,4282610,4282610,4282610,29989667,6047918,23941749,3045230,3045230,3575963,650748,650748,37261608,1116579,11183256,-10066677,46860152,48601755,85863363,715964,253702,462262,715964,715964,19865528,66313661,-1031790,85147399,85147399,85863363,4282610,177420,57060,-896871,3620219,0,-1306602,-1306602,-4717560,-2403943,-2403943,-2403943,4981239,4.54747350886464e-13,5048902,0.81977,0.63999,0.57055,0.0503,0.04988,1.17893,52.04397,0.00841,-6.7762635780344e-21,0.88428,0.88253,1.54987,17.58142,1.04251,6,0.10716,0.0593,-6.02052,-6.24288
"35","2018_Q4",69.0484126984127,"Down",6269405,-1169406,5099999,-1395880,-268905,-1126975,3704119,457204,457204,4161323,4161323,-739918,3421405,3421405,3421405,3421405,23652135,6206549,17445586,2717728,2717728,4141481,755806,755806,31267150,1021032,11213536,-10192504,51907552,53518975,84786125,865950,313116,552834,865950,865950,19959018,64891056,-929899,83920175,83920175,84786125,3421405,174519,6095,-193088,3408931,-30280,1530500,1500220,-4750520,158631,158631,158631,3878638,0,4395188,0.81347,0.59082,0.54573,0.04077,0.04035,1.28461,36.10734,0.01032,0,0.70617,0.70537,1.29399,17.32095,0.90716,4,0.09849,0.05237,-6.09805,-6.38536
"36","2019_Q1",74.4045901639344,"Up",5588951,-1297856,4291095,-1268585,-248857,-1019728,3022510,459978,459978,3482488,3482488,-623616,2858872,2858872,2858872,2858872,19365125,6877304,12487821,2995638,2995638,4264876,816045,816045,27441684,894835,11153075,-10258240,54925633,56174203,83615887,835676,375188,460488,835676,835676,19959018,62903918,-82725,82780211,82780211,83615887,2858872,173512,-621,-491818,2539945,-7.27595761418343e-12,2976820,2976820,-4846010,670755,670755,670755,3196022,0,3327820,0.76778,0.5408,0.51152,0.03454,0.03419,1.16403,32.83771,0.0101,5.42101086242752e-20,0.58995,0.58962,1.15332,17.08222,0.68672,2,0.09308,0.0402,-6.05913,-6.40697
"37","2019_Q2",64.8428571428571,"Down",6294696,-1092037,5202659,-1303076,-330009,-973067,3899583,459039,459039,4358622,4358622,-751203,3607419,3607419,3607419,3607419,16038981,13039292,2999689,2746683,2746683,4219783,646917,646917,23652364,821035,11169175,-10348140,58612189,59853332,83505696,1136025,237718,455814,1221217,1394013,19959018,61665327,487338,82111683,82111683,83505696,3607419,134733,-664,796140,4537628,-16100,6486470,6470370,-4846010,6161988,6161988,6161988,4034316,172796,5565559,0.82651,0.6195,0.57309,0.04393,0.0432,1.54281,19.36786,0.01698,0.00207,0.74441,0.74374,1.29894,16.94418,1.14848,5,0.10273,0.06764,-3.93281,-4.06869
"38","2019_Q3",53.88953125,"Down",6501945,-1346098,5155847,-1295046,-368450,-926596,3860801,456309,456309,4317110,4317110,-495048,3822062,3822062,3822062,3822062,14076290,14076290,0,3215785,3215785,4355332,847259,847259,22494666,731001,11169175,-10438174,58798500,59786739,82281405,749960,324413,425547,792742,966594,20007378,60641379,666054,81314811,81314811,82281405,3822062,132183,124545,-1195782,2883008,0,3e+06,3e+06,-4846010,1036998,1036998,1036998,3992984,173852,3292250,0.79297,0.59379,0.58783,0.047,0.04645,0.86138,28.37577,0.01189,0.00211,0.7887,0.78833,1.34171,16.77974,0.67937,3,0.10637,0.0404,-3.48172,-3.60092
"39","2019_Q4",52.3253125,"Down",6464596,-1263806,5200790,-1099457,-327989,-771468,4101333,443478,443478,4544811,4544811,-814147,3730664,3730664,3730664,3730664,22208536,10153173,12055363,2119037,2119037,4159742,845194,845194,29332509,649834,11179151,-10529317,50920291,51785341,81117850,712232,153470,558762,887148,887148,20007378,59526033,697291,80230702,80230702,81117850,3730664,136775,-3721,1251951,5115669,-9976,-4182800,-4192776,-4846010,-3923117,-3923117,-3923117,4238108,0,6294230,0.8045,0.63443,0.57709,0.0465,0.04599,1.68716,33.06383,0.01106,0,0.76984,0.76972,1.334,16.55603,1.29885,6,0.1069,0.07845,-5.2402,-5.41496
"40","2020_Q1",53.2354838709677,"Up",6150926,-1187354,4963572,-1310503,-291095,-1019408,3653069,428291,428291,4081360,4081360,-714863,3366497,3366497,3366497,3366497,27150408,8065594,19084814,2694018,2694018,3884450,655835,655835,34384711,582467,11077307,-10494840,43606495,45113439,79498150,669067,186993,482074,796201,1502801,19432306,58046520,516523,77995349,77995349,79498150,3366497,146278,5979,-159286.000000001,3359468,-25965,-9.31322574615479e-10,-25965.0000000009,-5421082,-2087579,-2087579,-2087579,3799347,706600,4328959,0.80696,0.59391,0.54732,0.04316,0.04235,1.28589,43.18597,0.01927,0.00889,0.69491,0.69503,1.26968,16.09985,0.89359,7,0.10435,0.055,-6.96009,-7.23879
"41","2020_Q2",47.2230158730159,"Down",4589262,-836422,3752840,-1235994,-355011,-880983,2516846,399212,399212,2916058,2916058,-504193,2411865,2411865,2411865,2411865,25582478,6402983,19179495,2297850,2297850,3943738,718122,718122,32542188,505792,11077307,-10571515,45049578,46340144,78882332,1078907,180338,492243,1199336,2064787,19435013,55623347,1759185,76817545,76817545,78882332,2411865,129620,-47698,678640,3172427,-15045.9466750198,10087831.0459743,10253122.1720966,-4835038,-1662611,-1662611,-1662611,2646466,675928,2522644.77143354,0.81774,0.54842,0.52555,0.0314,0.03058,0.689441729971266,27.1335,0.02688,0.00857,0.49883,0.49882,0.94917,15.88768,0.521291555226872,5,0.09329,0.0326080222536116,-9.41125,-9.89594
"42","2020_Q3",46.71359375,"Down",4380785,-941287,3439498,-1174147,-358182,-815965,2265351,401392,401392,2666743,2666743,-444403,2222340,2222340,2222340,2222340,27077051,3845070,23231981,1922076,1922076,3928524,610635,610635,33538286,429116,11077307,-10648191,40777322,41959299,75497585,579523,154566,424957,693189,1480166,19377909,53010649,1628861,74017419,74017419,75497585,2222340,129621,23283,-6700,2368544,757.805331432079,16930526.6845427,17233128.4645969,-4926457,-2557913,-2557913,-2557913,2394972,644987,2743009.49761033,0.78513,0.51711,0.50729,0.03002,0.02944,0.572751758551474,48.3826,0.02,0.00854,0.45966,0.45965,0.90611,15.3096,0.567423966376462,5,0.09434,0.0358721043699083,-11.03648,-11.66798
"43","2020_Q4",44.23453125,"Down",6533362,-1075048,5458314,-1013572,-311356,-702216,4444742,365498,365498,4810240,4810240,-884531,3925709,3925709,3925709,3925709,25103402,13988308,11115094,3161308,3161308,3842477,570018,570018,32677205,366068,11090934,-10724866,40656967,41743653,74420858,642101,136673,505428,748944,1452139,19382184,52103126,1483409,72968719,72968719,74420858,3925709,127727,-7557,-1055782,2990097,-13627,1.2e+07,11986373,-4833232,10143238,10143238,10143238,4572469,613775,4387591,0.83545,0.68031,0.60087,0.0538,0.05275,1.11766,43.63104,0.0199,0.00825,0.81223,0.81223,1.35176,15.09731,0.9078,7,0.11889,0.05956,-5.35589,-5.5098
"44","2021_Q1",59.4273770491803,"Up",5862837,-1268704,4594133,-1077468,-291878,-785590,3516665,332046,332046,3848711,3848711,-714241,3134470,3134470,3134470,3134470,18106297,10427340,7678957,1964281,1964281,3900777,391278,391278,24362633,336683,11065536,-10728853,47038669,48138106,72500739,877065,336591,540474,1608797,1608797,19386459,50404364,1101119,70891942,70891942,72500739,3134470,155958,-51611,1594947,4833764,-49100,-3512400,-3561500,-4833232,-3560968,-3560968,-3560968,3672623,0,5932711,0.7836,0.59982,0.53463,0.04421,0.04323,1.89273,15.14339,0.02269,0,0.64852,0.64834,1.21302,14.66757,1.22748,7,0.11239,0.08369,-4.93007,-5.14871
"45","2021_Q2",63.1503174603175,"Up",7153163,-1769581,5383582,-1274760,-466618,-808142,4108822,289720,289720,4398542,4398542,-818976,3579566,3579566,3579566,3579566,25930534,8868823,17061711,3319838,3319838,3670026,658238,658238,33578636,299394,11091215,-10791821,37463037,38521753,72100389,1845071,359394,651194,1996181,2545040,19393697,49150698,1010954,69555349,69555349,72100389,3579566,140427,4370,-423969,3300394,-25679,-2001703.96203503,-25679,-4833232,-1558517,-1558517,-1558517,4249249,548859,4618577,0.75262,0.57441,0.50042,0.05146,0.04965,1.29026,16.82144,0.03659,0.00761,0.74049,0.74043,1.47974,14.38862,0.95543,6,0.12,0.06588,-5.97321,-6.17736
"46","2021_Q3",64.01046875,"Up",6823462,-1544134,5279328,-1191113,-483116,-707997,4088215,294858,294858,4383073,4383073,-736566,3646507,3646507,3646507,3646507,33806115,11145156,22660959,2876102,2876102,3982771,752764,752764,41417752,283952,11139453,-10855501,27544468,28591688,70009440,1112923,411218,701705,1264878,1780851,19450696,47963973,813920,68228589,68228589,70009440,3646507,130780,-87582,-531903,3157802,-48237,4e+06,3951763,-4833232,2276333,2276333,2276333,4218995,515973,4375421,0.7737,0.59914,0.53441,0.05345,0.05209,1.19989,32.74446,0.0261,0.00737,0.75447,0.75394,1.41178,14.11656,0.90528,5,0.12335,0.06365,-7.89054,-8.14295
"47","2021_Q4",62.59078125,"Down",6290809,-1385006,4905803,-868651,-272159,-596492,4037152,283940,283940,4321092,4321092,-855685,3465407,3465407,3465407,3465407,31450151,8967657,22482494,3038203,3038203,4367675,921846,921846,39777875,237476,11123854,-10886378,27179552,28270877,68048752,923745,111243,812502,1559350,1559350,19459495,46596148,433759,66489402,66489402,68048752,3465408,87621,156567,-1069462,2640134,15599,0,15599,-4833232,-2177499,-2177499,-2177499,4124773,0,3926595,0.77984,0.64175,0.55087,0.05212,0.05093,1.13308,25.50927,0.02345,0,0.717,0.71649,1.30157,13.75672,0.81242,4,0.12481,0.05906,-7.6247,-7.79018
"48","2022_Q1",54.8377419354839,"Down",6719536,-1564369,5155167,-1060671,-247428,-813243,4094496,302610,302610,4397106,4397106,-581085,3816021,3816021,3816021,3816021,31289193,10449510,20839683,4704829,4704829,5088635,420520,420520,41503177,606385,11550116,-10943731,24314211,25964315,67467492,2300224,943535,1356689,2456345,2902363,19304793,45578456,-318120,64565129,64565129,67467492,3816020,66153,32957,-509781,3405349,-426262,3500000,3073738,-4997234,1481853,1481853,1481853,4160649,-5.82076609134674e-11,3805691,0.76719,0.60934,0.5679,0.0591,0.05656,0.99729,16.89631,0.04495,0,0.78993,0.78992,1.39097,13.36524,0.78779,6,0.13305,0.05854,-7.52027,-7.64177
"49","2022_Q2",45.8224193548387,"Down",7336407,-1651847,5684560,-973238,-371320,-601918,4711322,283059,283059,4994381,4994381,-854265,4140116,4140116,4140116,4140116,28187636,13299264,14888372,3513216,3513216,5544037,721989,721989,37966878,483536,11429383,-10945847,25517937,27107317,65074195,962815,295443,667372,1531195,1531195,19311927,44887746,-656673,63543000,63543000,65074195,4140116,87621,7135,-903729,3331143,-24500,4273937,4349437,-4830826,2849754,2849754,2849754,4798943,0,4724979,0.77484,0.64218,0.56432,0.06515,0.06362,1.14127,24.79559,0.0241,0,0.85702,0.85701,1.51867,13.15365,0.97809,8,0.14118,0.07436,-5.87372,-5.98296
"50","2022_Q3",48.06296875,"Up",10717824,-2402781,8315043,-1105603,-435625,-669978,7209440,351375,351375,7560815,7560815,-1470442,6090373,6090373,6090373,6090373,13910186,3583539,10326647,5860414,5860414,5794849,600913,600913,26166362,439159,11429383,-10990224,39514685,41341959,67508321,3260414,399263,2861151,3418244,3793185,19351878,46147293,-1784035,63715136,63715136,67508321,6090374,71230,39950,-181461,6020093,0,-10904994,-10904994,-4830826,-9715727,-9715727,-9715727,7280670,0,8569651,0.77581,0.67266,0.56825,0.09559,0.09022,1.40708,7.65491,0.05953,5.42101086242752e-20,1.26073,1.26073,2.21863,13.18928,1.77395,7,0.1704,0.13371,-1.91056,-1.92944
