"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"14","2013_Q3",29.75234375,"Down",7301180,-1503546,5797634,-1536539,-660076,-876463,4261095,520802,520802,4781897,4781897,-1552246,3229651,3229651,3229651,3229651,9891605,1561571,8330034,3031027,3031027,3100445,1151278,894806,17174355,3308121,9916515,-6608394,79140911,82449032,99623387,1285922,391640,894282,1285922,1663154,20039161,76973992,947080,97960233,97960233,99623387,3229651,190136,50899,-1095338,2375348,1.45519152283669e-11,-1821315,-1821315,-1263405,-709372,-709372,-709372,4451231,0,4908139,0.79407,0.58362,0.44235,0.03297,0.03242,1.51971,13.35567,0.01698,0,0.66562,0.66286,1.50474,20.18915,1.01154,7,0.03284,0.04991,-2.22222,-2.32138
"15","2013_Q4",32.48859375,"Up",6473697,-1449396,5024301,-1448944,-543698,-905246,3575357,530383,530383,4105740,4105740,-1328566,2777174,2777174,2777174,2777174,12254432,1961285,10293147,1789490,1789490,3029903,1462432,1220833,18536257,3121045,9950408,-6829363,80584799,83705844,102242101,1119107,285777,833330,1119107,1401449,20294235,79751166,795251,100840652,100840652,102242101,2777174,220969,6617,819237,3823997,-33893,-3645464,-3679357,255074,399714,399714,399714,3796326,0,5910236,0.77611,0.55229,0.42899,0.02754,0.02716,2.12815,16.56344,0.0139,0,0.5735,0.57298,1.33685,20.82405,1.22049,5,0.02746,0.05845,-3.22797,-3.42747
"16","2014_Q1",34.32,"Up",5983097,-1388980,4594117,-1319616,-478897,-840719,3274501,544609,544609,3819110,3819110,-1256885,2562225,2562225,2562225,2562225,13622391,1262300,12360091,2331574,2331574,3207333,1053663,816276,20214961,3004772,10035464,-7030692,82022310,85027082,105242043,1182802,374127,808675,1182802,1537402,20513393,82313391,877857,103704641,103704641,105242043,2562225,243098,29335,-251262,2583396,-126825,-3374714,-3501539,219158,-698985,-698985,-698985,3517599,1.32348898008484e-23,4396397,0.76785,0.54729,0.42824,0.02471,0.02435,1.71585,17.09074,0.01482,0,0.52843,0.52649,1.23394,21.38782,0.9067,6,0.02462,0.04225,-3.87264,-4.16014
"17","2014_Q2",32.0734920634921,"Down",8453035,-1558346,6894689,-1433078,-629650,-803428,5461611,548554,548554,6010165,6010165,-1973055,4037110,4037110,4037110,4037110,14056461,3313049,10743412,3791253,3791253,3292756,1176081,965549,22316551,2801567,10063174,-7261607,86192766,88994333,111310884,3035847,513239,778181,3035847,3474285,20513393,86350501,972705,107836599,107836599,111310884,4037110,230915,56573,158670,4483268,-27710,-2404809,-2432519,0,2050749,2050749,2050749,5692526,0,7796541,0.81565,0.64611,0.47759,0.03744,0.03627,1.93122,7.35101,0.03222,0,0.83221,0.82941,1.74252,22.22957,1.60719,7,0.03729,0.07201,-2.46928,-2.57368
"18","2014_Q3",38.396875,"Up",8267373,-1609632,6657741,-1412878,-625599,-787279,5244863,562923,562923,5807786,5807786,-1932164,3875622,3875622,3875622,3875622,17906115,3281500,14624615,3678396,3678396,3389393,1018199,848528,25992103,2567965,10063174,-7495209,84551529,87119494,113111597,1193389,337462,855927,1193389,1418158,20899342,90226123,567974,111693439,111693439,113111597,3875622,233602,117091,-1709217,2517098,0,-2875636,-2875636,326989,-31549,-31549,-31549,5478465,0,5701412,0.8053,0.63441,0.46879,0.0347,0.03426,1.4711,21.78008,0.0127,-3.15544362088405e-30,0.79826,0.79548,1.70283,23.00552,1.17432,7,0.03463,0.05094,-3.26845,-3.41403
"19","2014_Q4",41.54671875,"Up",6291748,-1473655,4818093,-1228453,-533695,-694758,3589640,557843,557843,4147483,4147483,-1354577,2792906,2792906,2792906,2792906,23351486,11796943,11554543,1855079,1855079,3686124,1709381,1525778,30602070,2420091,10149604,-7729513,82801741,85221832,115823902,1162660,360991,801669,1162660,1379498,20899342,93019029,526033,114444404,114444404,115823902,2792906,234303,2068,818607,3847884,-86429,4753988,4667559,0,8515443,8515443,8515443,3823943,0,5910698,0.76578,0.57053,0.4439,0.0244,0.02411,2.11633,26.32074,0.01205,0,0.57491,0.57278,1.29514,23.55815,1.21671,4,0.02436,0.05155,-6.10665,-6.50524
"20","2015_Q1",40.6883606557377,"Down",7571932,-1378235,6193697,-1237860,-523132,-714728,4955837,518403,518403,5474240,5474240,-1811524,3662716,3662716,3662716,3662716,29536550,9437262,20099288,2963974,2963974,3742492,676965,574913,36919981,2255408,10129224,-7873816,70913807,73169215,110089196,1485954,358818,1127136,1485954,1761662,20899342,86681745,746447,108327534,108327534,110089196,3662716,235551,14653,108896,4021816,-70868,3689371,3618503,-1e+07,-2359681,-2359681,-2359681,5191388,0,7040940,0.81798,0.6545,0.48372,0.03381,0.03327,1.92233,24.84598,0.01626,0,0.75396,0.75176,1.55867,22.29903,1.44936,7,0.1258,0.06483,-5.68953,-5.95995
"21","2015_Q2",44.047619047619,"Up",8320919,-1993928,6326991,-1165765,-484764,-681001,5161226,485798,485798,5647024,5647024,-1843798,3803226,3803226,3803226,3803226,29849652,12290435,17559217,3039738,3039738,3170601,993765,846546,37053756,2071714,10152281,-8080567,70432372,72504086,109557842,2430850,386555,568821,2430850,2569051,20923825,85627018,437948,106988791,106988791,109557842,3803226,206751,-6645,1169390,5172722,-23057,2536978,2513921,-4833470,2853173,2853173,2853173,5367977,0,8358108,0.76037,0.62027,0.45707,0.03555,0.03471,2.19764,15.24313,0.02401,0,0.78339,0.78242,1.71394,22.03755,1.7216,5,0.08085,0.07802,-5.56069,-5.78344
"22","2015_Q3",37.49328125,"Down",7279757,-1644514,5635243,-1153593,-524631,-628962,4481650,468531,468531,4950181,4950181,-1639386,3310795,3310795,3310795,3310795,35891984,12716318,23175666,2782968,2782968,3147868,743832,635323,42566652,1987279,10275729,-8288450,60781110,62768389,105335041,1073187,445083,628104,1073187,1147455,19714415,84070592,402579,104187586,104187586,105335041,3310795,207883,16119,-866937,2667860,-123448,3979262,3855814,-6097791,425883,425883,425883,4689533,0,5338534,0.7741,0.61563,0.45479,0.03178,0.03143,1.61246,39.66378,0.01101,4.03896783473158e-28,0.68188,0.6815,1.49931,21.45809,1.0995,4,0.07844,0.0512,-7.65364,-8.00865
"23","2015_Q4",36.20359375,"Down",6016015,-1508361,4507654,-1145333,-406676,-738657,3362321,468367,468367,3830688,3830688,-1253237,2577451,2577451,2577451,2577451,27223648,3594164,23629484,1753689,1753689,3108911,1056357,903568,33142605,1804671,10306673,-8502002,68127073,70031702,103174307,860532,209686,650846,1575337,1575337,19714415,81803198,81357,101598970,101598970,103174307,2577451,213552,-35217,1302141,4057927,-30944,-8304292,-8335236,-4844845,-9122154,-9122154,-9122154,3575873,0,6100307,0.74928,0.5589,0.42843,0.02537,0.02498,2.3668,21.03842,0.01551,0,0.532,0.53177,1.24174,20.97053,1.25913,5,0.07305,0.06004,-7.61315,-8.09668
