"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q2",14.8469841269841,"Up",8e+08,-7.11e+08,8.9e+07,-6.6e+07,-6.6e+07,37159526.1098605,2.3e+07,-1.4e+07,-2.3e+07,9e+06,-2610957.03751809,9e+06,9e+06,-1e+07,-1e+06,4e+06,4e+06,3e+06,-3e+06,0,0,-619293816.227574,-619293816.227574,5897676021.4278,5897676021.4278,-71383118.5900736,-9252834920.5389,187374429.61102,-4045835833.92875,812114024.634697,1656745458.4548,691658906.789194,965086551.665606,2468859483.0895,-1576976350.83925,4937101551.28669,4937101551.28669,-648050222.021238,-6717487289.45905,1268063088.70413,493932245.066081,-1283775012.48104,1787405280.2565,1051591891.24686,735813389.009645,503630267.775464,997562512.841545,1041008792.80566,-886896529.05634,-2741204658.85513,-2587092395.19547,12553531.5146806,-2574538863.68079,-1576976350.83925,2.7e+07,-1.3e+07,-1.6e+07,8e+06,-2e+06,9e+06,9e+06,1e+06,1e+07,0,0.11125,0.02875,0,-0.605239617220669,0.231912529155677,-2.48176411606178,5.04500832990204,0.964795173845687,0,0,9.96264,-52.7762446146969,0.414716299470047,-183.561388973795
"2","2010_Q3",14.5846875,"Down",8.68e+08,-7.71e+08,9.7e+07,-6.8e+07,-6.8e+07,0,2.9e+07,-1.8e+07,-3.1e+07,1.2e+07,1e+06,1.1e+07,1.1e+07,0,1.1e+07,6e+06,6e+06,1.7e+07,-4e+06,1.3e+07,1.3e+07,-3646908.11378694,-3646908.11378694,2905838010.7139,2905838010.7139,150308440.704963,-3716917460.26945,123187214.80551,-664417916.964373,577057012.317348,1146872729.2274,545329453.394597,601543275.832803,1723929741.54475,1059511824.58038,2522550775.64334,2522550775.64334,-334426785.077994,-2389743644.72952,777531544.352065,1101966122.53304,41612493.7594793,1623202640.12825,1109795945.62343,513406694.504822,1664815133.88773,2766781256.42077,1001504396.40283,-1071448264.52817,-1657102329.42757,-1727046197.59774,19776765.7573403,-1707269431.8404,1059511824.58038,6.5e+07,-1.1e+07,-7e+06,-5.1e+07,1.11e+08,1.69e+08,1.69e+08,0,1.69e+08,5.96046447753906e-08,0.11175,0.03341,0.01498,-0.264519808610334,0.101091264577838,-0.380057058030887,-0.0534358350489805,0.605317586922843,0.16189,0.15644,10.80946,-31.0193073073484,0.181018149735023,-79.2168494868973
"3","2010_Q4",18.1325,"Up",9.66e+08,-8.49e+08,1.17e+08,-8.3e+07,-7.7e+07,-6e+06,3.4e+07,-1.4e+07,-2.7e+07,1.2e+07,1e+06,2e+07,1.9e+07,-2.1e+07,-2e+06,3e+06,3e+06,1e+06,-4e+06,-3e+06,-3e+06,283451030.628738,283451030.628738,1252279336.90463,1252279336.90463,295436146.901654,-729305820.089816,89062404.93517,1101860694.34521,444685670.77245,872957576.409133,464776484.464866,408181091.944268,1317643247.18158,2419503941.52679,1197850258.54778,1197850258.54778,-125410044.404248,-103247881.576508,491177181.450688,1361655374.17768,755870831.25316,1528067546.70942,1145265315.20781,382802231.501607,2283938377.96258,3645593752.14026,982501465.46761,-1176149421.50939,-1058367443.14252,-1252015399.19925,25925588.5857801,-1226089810.61347,2419503941.52679,4.7e+07,-9e+06,-1.2e+07,-1.8e+07,-1.9e+07,1.6e+07,1.6e+07,-1e+06,1.5e+07,0,0.12112,0.0352,-0.00311,-0.0771166028701115,0.0293204215259461,0.773380980656371,-2.77890194501633,0.419962528974281,-0.03219,-0.03219,10.36481,-18.3678491024495,0.0526727165783411,-17.0180331622991
"4","2011_Q1",19.476935483871,"Up",8.96e+08,-7.74e+08,1.22e+08,-7e+07,-7e+07,0,5.2e+07,-1e+07,-2.5e+07,1.5e+07,0,4.2e+07,3.7e+07,-1.7e+07,2e+07,-1.5e+07,-1.5e+07,5e+06,-3e+06,2e+06,2e+06,3.43e+08,3.43e+08,5.79e+08,5.79e+08,3.82e+08,4.17e+08,7.6e+07,1.721e+09,3.89e+08,7.69e+08,4.32e+08,3.37e+08,1.158e+09,2.879e+09,6.7e+08,6.7e+08,0,7.2e+08,3.58e+08,1.39e+09,1.029e+09,1.483e+09,1.162e+09,3.21e+08,2.512e+09,3.902e+09,9.78e+08,-1.22e+09,-8.12e+08,-1.054e+09,3.1e+07,-1.023e+09,2.879e+09,7.2e+07,-2.2e+07,-2.9e+07,7e+06,7e+06,5e+07,5e+07,4e+06,5.4e+07,1.029e+09,0.13616,0.05804,0.00223,-0.00196,0.00069,1.23813,-3.81427,0.35742,0.02361,0.02283,10.57851,-12.44392,0.00134,13.19231
"5","2011_Q2",15.9431746031746,"Down",9.57e+08,-8.52e+08,1.05e+08,-7e+07,-7e+07,0,3.5e+07,-1.4e+07,-2.7e+07,1.3e+07,2.3283064365387e-10,2.1e+07,1.8e+07,-2e+07,-2e+06,4e+06,4e+06,2e+06,-4e+06,-2e+06,-2e+06,2.76e+08,2.76e+08,5.28e+08,5.28e+08,4.28e+08,4.29e+08,7.5e+07,1.661e+09,3.84e+08,7.69e+08,4.29e+08,3.4e+08,1.153e+09,2.814e+09,6.46e+08,6.46e+08,62803348.1347492,6.58e+08,3.27e+08,1.304e+09,1.031e+09,1.469e+09,1.164e+09,3.05e+08,2.5e+09,3.804e+09,9.82e+08,-1.222e+09,-7.85e+08,-1.025e+09,3.5e+07,-9.9e+08,2.814e+09,-4.9e+07,-1.9e+07,-2.2e+07,6648794.50530572,2e+06,-6.9e+07,-6.9e+07,2e+06,-6.7e+07,1.031e+09,0.10972,0.03657,-0.00209,0.00202,-0.00071,1.27377,-3.84242,0.36638,-0.02121,-0.02064,10.14846,-10.86957,-0.00132,21.57143
"6","2011_Q3",10.4978125,"Down",1.176e+09,-1.058e+09,1.18e+08,-7.2e+07,-7e+07,-2e+06,4.6e+07,-9e+06,-2.4e+07,1.7e+07,-2e+06,3.7e+07,3.2e+07,-2.1e+07,1.1e+07,1.1e+07,1.1e+07,2.2e+07,-5e+06,1.7e+07,1.7e+07,1.95e+08,1.95e+08,7.34e+08,7.34e+08,4.62e+08,7.8e+07,7.5e+07,1.469e+09,4.02e+08,8.04e+08,4.37e+08,3.67e+08,1.206e+09,2.675e+09,8.22e+08,8.22e+08,8.4e+07,3.58e+08,3.57e+08,1.264e+09,9.48e+08,1.469e+09,1.162e+09,3.07e+08,2.417e+09,3.681e+09,9.88e+08,-1.205e+09,-8.29e+08,-1.046e+09,4e+07,-1.006e+09,2.675e+09,5000000.00000001,-2.3e+07,-9e+07,0,4e+06,-8.1e+07,-8.1e+07,0,-8.1e+07,1.032e+09,0.10034,0.03912,0.01446,-0.0169,0.00636,1.16218,-3.65905,0.38579,0.18028,0.17544,12.47084,-11.09226,0.01137,18.19565
"7","2011_Q4",7.02730158730159,"Down",1.272e+09,-1.137e+09,1.35e+08,-7.2e+07,-7.2e+07,-2.3283064365387e-10,6.3e+07,4e+06,-2.2e+07,2.1e+07,5e+06,6.7e+07,6e+07,-2.8e+07,3.2e+07,-1e+07,-1e+07,2.2e+07,-5e+06,1.7e+07,1.7e+07,2.01e+08,2.01e+08,8.39e+08,8.39e+08,5.02e+08,7.1e+07,6.7e+07,1.613e+09,4.17e+08,8.08e+08,4.38e+08,3.7e+08,1.225e+09,2.838e+09,9.05e+08,9.05e+08,8.4e+07,3.98e+08,3.97e+08,1.387e+09,9.5e+08,1.464e+09,1.16e+09,3.04e+08,2.414e+09,3.801e+09,9.9e+08,-1.188e+09,-8.11e+08,-1.009e+09,4.6e+07,-9.63e+08,2.838e+09,2.5e+07,-2.6e+07,-2.1e+07,0,0,4e+06,4e+06,2e+06,6e+06,1.034e+09,0.10613,0.04953,0.01336,-0.01765,0.00599,1.16294,-3.94704,0.36434,0.18085,0.17544,13.53191,-10.73404,0.01107,13.22222
"8","2012_Q1",7.22290322580645,"Up",1.217e+09,-1.099e+09,1.18e+08,-6.6e+07,-6.6e+07,0,5.2e+07,4e+06,-2.2e+07,1.9e+07,7e+06,5.6e+07,4.9e+07,-8e+06,4.1e+07,-7e+06,-7e+06,3.4e+07,-3e+06,3.1e+07,3.1e+07,2.17e+08,2.17e+08,7.12e+08,7.12e+08,4.6e+08,7e+07,7e+07,1.459e+09,4.21e+08,7.83e+08,4.31e+08,3.52e+08,1.204e+09,2.663e+09,8.41e+08,8.41e+08,8.4e+07,3.28e+08,3.28e+08,1.253e+09,9.5e+08,1.421e+09,1.096e+09,3.25e+08,2.371e+09,3.624e+09,9.91e+08,-1.157e+09,-8.29e+08,-9.95e+08,3.4e+07,-9.61e+08,2.663e+09,6e+07,-3.7e+07,-3.9e+07,9.31322574615479e-10,-1.86264514923096e-09,2.1e+07,2.1e+07,-5e+06,1.6e+07,1.034e+09,0.09696,0.04273,0.02547,-0.03226,0.01164,1.16441,-3.77107,0.38828,0.32839,0.31992,12.89195,-10.54025,0.02075,15.71154
"9","2012_Q2",5.95349206349206,"Down",1.159e+09,-1.053e+09,1.06e+08,-6.6e+07,-6.5e+07,-1e+06,4e+07,-5e+06,-2.4e+07,1.5e+07,4e+06,3.5e+07,1.1e+07,-2e+07,-9e+06,-9e+06,-9e+06,-1.8e+07,-4e+06,-2.2e+07,-2.2e+07,2.11e+08,2.11e+08,6.11e+08,6.11e+08,4.83e+08,7.2e+07,7.2e+07,1.377e+09,3.95e+08,7.81e+08,4.28e+08,3.53e+08,1.176e+09,2.553e+09,7.71e+08,7.71e+08,8.4e+07,3.42e+08,3.42e+08,1.197e+09,9.51e+08,1.388e+09,1.075e+09,3.13e+08,2.339e+09,3.536e+09,9.93e+08,-1.179e+09,-8.34e+08,-1.02e+09,3.7e+07,-9.83e+08,2.553e+09,5e+06,-2.5e+07,-1.2e+07,0,0,-7e+06,-7e+06,1e+06,-6e+06,1.035e+09,0.09146,0.03451,-0.01898,0.02238,-0.00862,1.15038,-3.59715,0.40541,-0.2328,-0.2328,12.26455,-10.79365,-0.01528,20.6
"10","2012_Q3",4.62507936507937,"Down",1.16e+09,-1.026e+09,1.34e+08,-7.3e+07,-7.2e+07,-1e+06,6.1e+07,-8e+06,-2.3e+07,1.4e+07,1e+06,5.3e+07,5e+07,-1.7e+07,3.3e+07,-9e+06,-9e+06,2.4e+07,-4e+06,2e+07,2e+07,1.09e+08,1.09e+08,7.03e+08,7.03e+08,4.89e+08,6.5e+07,6.5e+07,1.366e+09,4.04e+08,7.95e+08,4.33e+08,3.62e+08,1.199e+09,2.565e+09,8.09e+08,8.09e+08,2.1e+07,3.43e+08,3.43e+08,1.173e+09,9.54e+08,1.383e+09,1.064e+09,3.19e+08,2.337e+09,3.51e+09,9.94e+08,-1.159e+09,-8.2e+08,-9.85e+08,4e+07,-9.45e+08,2.565e+09,-5.1e+07,0,1.3e+07,-6.5e+07,-6.5e+07,-1.03e+08,-1.03e+08,1e+06,-1.02e+08,9.75e+08,0.11552,0.05259,0.01724,-0.02116,0.0078,1.16454,-3.71429,0.38012,0.20768,0.2002,12.04569,-10.22845,0.01415,14.19672
