"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q2",16.378253968254,"Up",1.553e+09,-1.294e+09,2.59e+08,-2.33e+08,-1.69e+08,-4e+06,-6.1e+07,2.6e+07,-3.6e+07,-3.6e+07,-1e+07,-1.2e+07,-2.2e+07,1.2e+07,-1e+07,-6e+06,-6e+06,-6e+06,2.55e+08,2.55e+08,1.408e+09,1.408e+09,3.11e+08,3.11e+08,1.974e+09,2.82e+08,5.444e+09,1.083e+09,3.899e+09,4.62e+08,5.726e+09,7.7e+09,3.87e+08,1.3e+08,2.57e+08,4.6e+07,8.15e+08,2.12e+08,6.03e+08,1.248e+09,2.075e+09,9.36e+08,6.16e+08,3.2e+08,3.011e+09,4.259e+09,1.42e+08,3.818e+09,-8e+06,-5.11e+08,3.441e+09,3.441e+09,7.7e+09,-6e+06,1.25e+08,-7e+06,-2.19e+08,-1.07e+08,-1.7e+07,-447098133.669503,-8e+06,-2.5e+07,1.62e+08,-1.64e+08,-6e+06,-1.38e+08,-1.38e+08,2e+06,-1.36e+08,1.51e+08,2.121e+09,-9.7e+07,0.16677,0.01674,-0.00386,-0.00174,-0.00078,16.16667,1.58173,1.23772,0.27545,-0.0295,-0.0295,7.6352,16.21927,-0.47689,-0.00092,-0.01493,12.35762,71.76923
"2","2017_Q3",16.3338095238095,"Down",1.496e+09,-1.253e+09,2.43e+08,-2.17e+08,-1.53e+08,-3e+06,-6.1e+07,2.6e+07,-3.4e+07,-3.4e+07,-8e+06,-3e+06,-1.1e+07,7e+06,-4e+06,-4e+06,-4e+06,-4e+06,3.09e+08,3.09e+08,1.374e+09,1.374e+09,3.03e+08,3.03e+08,1.986e+09,2.62e+08,5.4e+09,1.023e+09,3.921e+09,4.56e+08,5.662e+09,7.648e+09,3.53e+08,1.06e+08,2.47e+08,5.9e+07,8e+08,1.96e+08,6.04e+08,1.212e+09,2.071e+09,9.06e+08,5.92e+08,3.14e+08,2.977e+09,4.189e+09,1.42e+08,3.83e+09,-1.5e+07,-4.98e+08,3.459e+09,3.459e+09,7.648e+09,-4e+06,1.3e+08,-2e+07,-3.9e+07,6.7e+07,1.3e+07,0,-6999999.99999997,6000000.00000003,-9e+06,-7000000.00000003,-1.9e+07,5.4e+07,5.4e+07,0,5.4e+07,1.56e+08,2.13e+09,1.23e+08,0.16243,0.01738,-0.00267,-0.00116,-0.000519999999999997,-30.75,1.63861,1.21104,0.2785,-0.01964,-0.01964,7.34511,16.28591,0.60391,-0.000619999999999998,0.01894,11.67308,70.03846
"3","2017_Q4",15.6504761904762,"Down",1.48e+09,-1.219e+09,2.61e+08,-1.99e+08,-1.44e+08,-4e+06,-6e+07,6.2e+07,-3.5e+07,-3.5e+07,2.7e+07,-1.4e+07,1.3e+07,-3e+07,-1.7e+07,-1.7e+07,-1.7e+07,-1.7e+07,4.68e+08,4.68e+08,1.38e+09,1.38e+09,2.64e+08,2.64e+08,2.112e+09,2.49e+08,5.186e+09,9.59e+08,3.899e+09,3.28e+08,5.435e+09,7.547e+09,3.68e+08,1.47e+08,2.21e+08,7.1e+07,7.75e+08,1.84e+08,5.91e+08,1.214e+09,1.991e+09,8.88e+08,6.05e+08,2.83e+08,2.879e+09,4.093e+09,1.42e+08,3.836e+09,-3.4e+07,-4.9e+08,3.454e+09,3.454e+09,7.547e+09,-1.7e+07,1.23e+08,1.4e+07,-1.6e+07,1.04e+08,-2e+07,5.6e+07,1.05e+08,1.41e+08,-7.9e+07,-2e+06,-8.6e+07,1.59e+08,1.59e+08,0,1.59e+08,1.85e+08,2.062e+09,1.79e+08,0.17635,0.04189,-0.01149,-0.00492,-0.00225,-10.52941,1.7397,1.185,0.27322,-0.08319,-0.08319,7.24226,16.20701,0.87592,-0.00265,0.02795,8.61622,25.70968
"4","2018_Q1",17.5986885245902,"Up",1.493e+09,-1.211e+09,2.82e+08,-2.04e+08,-1.49e+08,-2e+06,-6.1e+07,7.8e+07,-3.2e+07,-3.2e+07,4.6e+07,-4.2e+07,4e+06,2.04e+08,2.08e+08,2.08e+08,2.08e+08,2.08e+08,6.58e+08,6.58e+08,1.114e+09,1.114e+09,9.38e+08,1.81e+08,2.71e+09,2.57e+08,4.581e+09,8.91e+08,3.366e+09,3.24e+08,4.838e+09,7.548e+09,4.73e+08,1.38e+08,3.35e+08,8.2e+07,8.13e+08,1.51e+08,6.62e+08,1.368e+09,1.979e+09,5.3e+08,3.84e+08,1.46e+08,2.509e+09,3.877e+09,1.42e+08,3.852e+09,1.71e+08,-4.94e+08,3.671e+09,3.671e+09,7.548e+09,2.08e+08,1.19e+08,-2.01e+08,1.12e+08,2.38e+08,-3.9e+07,0,-9e+06,-4.8e+07,-9e+06,1.4e+07,2000000.00000001,1.92e+08,1.92e+08,-1e+06,1.91e+08,1.97e+08,2.061e+09,6.6e+07,0.18888,0.05224,0.13932,0.05666,0.02756,0.317310000000001,1.98099,1.05612,0.27305,1.01662,0.9659,7.2972,17.24837,0.32258,0.03322,0.01054,7.12183,17.98718
"5","2018_Q2",19.31171875,"Up",1.42e+09,-1.168e+09,2.52e+08,-2.07e+08,-1.45e+08,-2e+06,-6.1e+07,4.5e+07,-3.3e+07,-3.3e+07,1.2e+07,-6.6e+07,-5.4e+07,4e+06,-5e+07,-5e+07,-5e+07,-5e+07,5.53e+08,5.53e+08,1.026e+09,1.026e+09,1.041e+09,3.82e+08,2.62e+09,2.6e+08,4.631e+09,8.31e+08,3.457e+09,3.43e+08,4.891e+09,7.511e+09,4.41e+08,1.52e+08,2.89e+08,8.1e+07,8.52e+08,1.42e+08,7.1e+08,1.374e+09,1.972e+09,5.13e+08,3.82e+08,1.31e+08,2.485e+09,3.859e+09,1.42e+08,3.855e+09,1.36e+08,-4.81e+08,3.652e+09,3.652e+09,7.511e+09,-5e+07,1.17e+08,2.1e+07,-1.26e+08,-3.8e+07,-3.3e+07,203358067.46507,-6e+06,-3.9e+07,-2.1e+07,0,-2.7e+07,-1.04e+08,-1.04e+08,0,-1.04e+08,1.62e+08,2.053e+09,-1e+06,0.17746,0.03169,-0.03521,-0.01369,-0.00666,0.02,1.90684,1.05668,0.27333,-0.24379,-0.24379,6.92369,17.11419,-0.00488,-0.00804,-0.00016,9.25926,33.33333
"6","2018_Q3",20.5214285714286,"Up",1.387e+09,-1.125e+09,2.62e+08,-2.1e+08,-1.49e+08,-3e+06,-6e+07,5.2e+07,-3.7e+07,-3.7e+07,1.5e+07,3.9e+07,5.4e+07,-4.3e+07,1.1e+07,1.1e+07,1.1e+07,1.1e+07,9.93e+08,9.93e+08,9.3e+08,9.3e+08,7.38e+08,4.22e+08,2.661e+09,2.76e+08,4.499e+09,7.71e+08,3.424e+09,3.04e+08,4.775e+09,7.436e+09,4.55e+08,1.58e+08,2.97e+08,4.3e+07,8.15e+08,1.29e+08,6.86e+08,1.313e+09,2.001e+09,4.81e+08,3.46e+08,1.35e+08,2.482e+09,3.795e+09,1.42e+08,3.867e+09,1.44e+08,-5.12e+08,3.641e+09,3.641e+09,7.436e+09,1.1e+07,1.17e+08,-8.7e+07,5.7e+07,9.8e+07,-3.1e+07,4e+08,-8e+06,3.61e+08,-8000000.00000003,-2999999.99999999,-1.3e+07,4.46e+08,4.46e+08,-6e+06,4.4e+08,1.69e+08,2.044e+09,2.38e+08,0.1889,0.03749,0.00792999999999999,0.00302,0.00148,21.63636,2.02666,1.0423,0.27488,0.05358,0.0526600000000001,6.7561,17.04368,1.1593,0.00178000000000001,0.0386,6.21893,20.21154
"7","2018_Q4",15.5773015873016,"Down",1.304e+09,-1.054e+09,2.5e+08,-2.09e+08,-1.42e+08,-3e+06,-6e+07,4.1e+07,-2.2e+07,-2.2e+07,1.9e+07,-2.71e+08,-2.52e+08,1.5e+07,-2.37e+08,-2.37e+08,-2.37e+08,-2.37e+08,5.86e+08,5.86e+08,9.51e+08,9.51e+08,4.56e+08,4.21e+08,1.993e+09,2.97e+08,4.44e+09,7.11e+08,3.417e+09,3.12e+08,4.737e+09,6.73e+09,4.49e+08,2.16e+08,2.33e+08,4.9e+07,7.53e+08,1.19e+08,6.34e+08,1.251e+09,1.528e+09,4.5e+08,3.2e+08,1.3e+08,1.978e+09,3.229e+09,1.42e+08,3.873e+09,-9e+07,-4.24e+08,3.501e+09,3.501e+09,6.73e+09,-2.37e+08,1.13e+08,1.43e+08,-4.9e+07,-3e+07,-4.3e+07,2.72e+08,-1.7e+07,2.12e+08,-4.84e+08,-9.5e+07,-5.87e+08,-4.05e+08,-4.05e+08,-3e+06,-4.08e+08,1.54e+08,1.577e+09,4.7e+07,0.19172,0.03144,-0.18175,-0.06769,-0.03522,-0.19831,1.59313,0.92231,0.23432,-1.14712,-1.14712,6.31156,16.25808,0.22749,-0.04287,0.0085,6.43506,24.17073
"8","2019_Q1",13.312131147541,"Down",1.282e+09,-8.35e+08,4.47e+08,-4.05e+08,-1.24e+08,-3e+06,-2.79e+08,4.2e+07,-2.5e+07,-2e+07,1.7e+07,-1.6e+08,-1.43e+08,2999999.99999999,-1.4e+08,-1.4e+08,-1.4e+08,-1.4e+08,7.56e+08,7.56e+08,7.82e+08,7.82e+08,4.26e+08,4.11e+08,1.964e+09,3.28e+08,4.388e+09,6.51e+08,3.408e+09,3.29e+08,4.716e+09,6.68e+09,4.23e+08,2.3e+08,1.93e+08,5.5e+07,7.19e+08,1.12e+08,6.07e+08,1.197e+09,1.512e+09,6.07e+08,3.27e+08,2.8e+08,2.119e+09,3.316e+09,1.42e+08,3.88e+09,-2.33e+08,-4.25e+08,3.364e+09,3.364e+09,6.68e+09,-1.4e+08,1.13e+08,6e+06,2.74e+08,2.53e+08,-5.9e+07,3e+06,-1.8e+07,-7.4e+07,-6e+06,-1e+07,-1e+07,1.69e+08,1.69e+08,1e+06,1.7e+08,1.55e+08,1.567e+09,3.67e+08,0.34867,0.03276,-0.1092,-0.04162,-0.02096,-2.62143,1.64077,0.98573,0.23458,-0.67558,-0.6875,6.18636,15.54794,1.77098,-0.02347,0.06627,5.23226,19.30952
"9","2019_Q2",10.8130158730159,"Down",1.158e+09,-9.06e+08,2.52e+08,-2.44e+08,-1.27e+08,-3e+06,-1.15e+08,8e+06,-2e+07,-2e+07,-1.2e+07,-3.26e+08,-3.38e+08,3e+07,-3.08e+08,-3.08e+08,-3.08e+08,-3.08e+08,5.2e+08,5.2e+08,8.2e+08,8.2e+08,4.91e+08,4.91e+08,1.831e+09,3.36e+08,4.496e+09,6.27e+08,3.171e+09,6.98e+08,4.832e+09,6.663e+09,4.61e+08,3.13e+08,1.48e+08,5.3e+07,9.2e+08,1.03e+08,8.17e+08,1.434e+09,1.496e+09,6.64e+08,2.83e+08,3.81e+08,2.16e+09,3.594e+09,1.42e+08,3.881e+09,-5.51e+08,-4.03e+08,3.069e+09,3.069e+09,6.663e+09,-3.08e+08,1.15e+08,2.65e+08,-1.21e+08,-4.9e+07,-5.2e+07,-144811584.213999,-1.16e+08,-1.68e+08,-1.4e+07,-6e+06,-2.2e+07,-2.39e+08,-2.39e+08,2e+06,-2.37e+08,1.23e+08,1.549e+09,-8e+07,0.21762,0.00691,-0.26598,-0.10036,-0.04623,0.25974,1.27685,1.17107,0.23248,-1.48117,-1.48117,5.56881,14.07591,-0.38472,-0.05831,-0.01515,8.36585,128.625
"10","2019_Q3",7.7296875,"Down",1.112e+09,-8.79e+08,2.33e+08,-2.36e+08,-1.21e+08,-2e+06,-1.12e+08,-3e+06,-2e+07,-2e+07,-2.3e+07,-1.096e+09,-1.119e+09,9e+07,-1.029e+09,-1.029e+09,-1.029e+09,-1.029e+09,2.76e+08,2.76e+08,8.24e+08,8.24e+08,5.07e+08,5.07e+08,1.607e+09,3.33e+08,3.363e+09,5.66e+08,2.105e+09,6.92e+08,3.696e+09,5.303e+09,3.26e+08,1.61e+08,1.65e+08,5.2e+07,8.39e+08,9.2e+07,7.47e+08,1.217e+09,1.488e+09,5.55e+08,1.86e+08,3.69e+08,2.043e+09,3.26e+09,1.42e+08,3.888e+09,-1.583e+09,-4.04e+08,2.043e+09,2.043e+09,5.303e+09,-1.029e+09,1.12e+08,9.87e+08,-2.55e+08,-1.85e+08,-2.2e+07,-158840038.267277,-1.9e+07,-4.1e+07,-1.4e+07,0,-1.7e+07,-2.43e+08,-2.43e+08,0,-2.43e+08,1.09e+08,1.54e+09,-2.58e+08,0.20953,-0.0027,-0.92536,-0.50367,-0.19404,0.25073,1.32046,1.59569,0.2904,-4.93596,-4.93596,5.3341,9.11882,-1.23759,-0.24867,-0.06235,11.59633,-421.33333
