"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",16.5273015873016,"Down",-4742250,-1912951,-2829299,-4574463,31179,31179,-4543284,-4543284,-4543284,-4543284,-4543284,-4543284,143618247,143618247,2585104,585104,146371138,65075,200447,200447,265522,146636660,3083373,2142779,940594,828262,828262,3911635,3911635,204832806,-62107781,142725025,142725025,146636660,-4543284,6317,199754,-2645624,-6982837,-3120,201495.57317169,-3120,-198852.663467552,-198852.663467552,115453280,108467323,108467323,108467323,-4568146,0,-0.03183,-0.03098,37.41943,0.02741,0,-0.1716,-0.1716,5.39075,-0.03183,31.43907,31.39565
"2","2014_Q3",15.01859375,"Down",-4830822,-2121120,-2709702,-4611584,78045,78045,-4533539,-4533539,-4533539,-4533539,-4533539,-4533539,140495422,91140138,493356,493356,141208016,63850,70944,70944,134794,141342810,1850666,415791,1434875,888588,888588,2739254,2739254,205292625,-66641320,138603556,138603556,141342810,-4533539,6430,332214,-1002581,-5197476,-5205,-47444786,-47449991,-52224.8878225172,-52224.8878225172,169358,-52478109,-52478109,-52478109,-4605154,0,-0.03271,-0.03207,51.54981,0.01976,0,-0.15479,-0.15479,4.7323,-0.03271,30.5083,30.46576
"3","2014_Q4",15.62453125,"Up",-6628020,-2581685,-4046335,-6503606,88099,88099,-6415507,-6415507,-6415507,-6415507,-6415507,-6415507,135982062,68915333,1374378,1374378,137480854,57440,70944,70944,128384,137609238,2647638,503882,2143756,929963,929963,3577601,3577601,207155853,-73056827,134031637,134031637,137609238,-6415507,6409,1936447,52149,-4420502,1,-17833349,-17833348,29045,29045,29045,-22224805,-22224805,-22224805,-6497197,0,-0.04787,-0.04662,38.42822,0.02669,0,-0.21825,-0.21825,4.55957,-0.04787,20.92934,20.90872
"4","2015_Q1",22.3993442622951,"Up",-15362932,-3721923,-11641009,-15297070,99540,99540,-15197530,-15197530,-15199130,-15199130,-15199130,-15199130,129645716,61325044,1288953,1288953,130986272,54553,70944,70944,125497,131111769,9582006,2052765,7529241,975058,975058,10557064,10557064,208915295,-88255957,120554705,120554705,131111769,-15199130,6325,1848771,7137699,-6206335,-3438,-1444393,-1447830.99999999,63877,63877,63877.0000000075,-7590289,-7590289,-7590289,-15290745,1.81898940354586e-12,-0.12608,-0.11592,12.40745,0.08757,3.3881317890172e-21,-0.51628,-0.51628,4.09494,-0.12608,8.4787,8.4752
"5","2015_Q2",25.3555555555556,"Up",-22404055,-3771628,-18632427,-22400740,113916,113916,-22286824,-22286824,-22286824,-22286824,-22286824,-22286824,235226468,100802133,1267369,1267369,236497152,559709,70944,70944,630653,237127805,13603844,4574351,9029493,988897,988897,14592741,14752853,332951637,-110542781,222374952,222374952,237127805,-22286824,15240,2296833,4265661,-15709090,-520396,-66184259,-66704655,101036,101036,121890834,39477089,39477089,39477089,-22385500,0,-0.10022,-0.09399,16.20649,0.06634,0,-0.72418,-0.72418,7.22576,-0.10015,10.50798,10.50083
"6","2015_Q3",32.6140625,"Up",-21748315,-3985797,-17762518,-21690925,179607,179607,-21511318,-21511318,-21511318,-21511318,-21511318,-21511318,203989186,71418286,8612651,8612651,212610955,722131,70944,70944,793075,213404030,8251464,4911065,3340399,1066629,1066629,9318093,9838721,335672085,-132054099,203565309,203565309,213404030,-21511318,31880,2739973,-12265217,-31004682,-194302,1641124,1446822,159442,159442,174013.00000006,-29383847,-29383847,-29383847,-21659045,2.91038304567337e-11,-0.10567,-0.1008,22.817,0.04833,-5.42101086242752e-20,-0.61415,-0.61415,5.81181,-0.1054,9.4182,9.40436
"7","2015_Q4",50.44078125,"Up",-32349375,-3891744,-28457631,-32349375,188892,188892,-32160483,-32160483,-32160483,-32160483,-32160483,-32160483,510731982,332828289,1532908,1532908,512264890,785544,71875,71875,857419,513122309,9280376,705043,8575333,1106620,1106620,10386996,11268139,666088126,-164214582,501854170,501854170,513122309,-32160483,45474,3087101,8517348,-20510560,-108887,-45474955,-45583842,57030,57030,327504405,261410003,261410003,261410003,-32303901,0,-0.06408,-0.06268,49.31791,0.02245,0,-0.90986,-0.90986,14.19808,-0.06397,15.81023,15.788
"8","2016_Q1",33.326393442623,"Down",-29403615,-6538117,-22865498,-29372956,540040,540040,-28832916,-28832916,-28834516,-28834516,-28834516,-28834516,475200324,47159302.9999999,8025147,8025147,483256131,775522,71875,71875,847397,484103528,5056369,1632905,3423464,1207143,1207143,6263512,7860617,669882419,-193049098,476242911,476242911,484103528,-28834516,47032,3662272,-9930421,-35055633,-37010,-250900711,-250937721,335538,335538,324367.99999994,-285668986,-285668986,-285668986,-29325924,0,-0.06055,-0.05956,77.15418,0.01651,-8.67361737988404e-19,-0.66857,-0.66857,11.04233,-0.06034,16.2041,16.17816
"9","2016_Q2",35.9325,"Up",-28497853,-5064233,-23433620,-28497853,656404,656404,-27841449,-27841449,-27841449,-27841449,-27841449,-27841449,456068432,37240565,6790104,6790104,462858536,731429,71875,71875,803304,463661840,7201111,1959272,5241839,1745561,1745561,8946672,10917419,673684238,-220890547,452744421,452744421,463661840,-27841449,47967,3820554,4322505,-19650423,-3874,9571876,9568002,163683,163683,163683,-9918738,-9918738,-9918738,-28449886,0,-0.06149,-0.06005,51.73527,0.02411,0,-0.64457,-0.64457,10.48169,-0.06123,16.03059,16.00361
"10","2016_Q3",40.43546875,"Up",-31772472,-6471804,-25300668,-31544027,709574,709574,-30834453,-30834453,-30834453,-30834453,-30834453,-30834453,442690089,51972773,4020092,4020092,446808421,718659,75765,75765,794424,447602845,16871457,3889566,12981891,2509611,2509611,19381068,21640064,677627968,-251725000,425962781,425962781,447602845,-30834453,48747,3895763,13390527,-13499416,-35977,28083250,28047273,184351,184351,184351.000000015,14732208,14732208,14732208,-31495280,0,-0.07239,-0.06889,23.05386,0.0508,0,-0.71311,-0.71311,9.85119,-0.07201,14.05576,14.03404
