"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",0.22921875,"Up",1051611,-873185,178426,-150457,-132633,-17824,27969,-16555,-16555,11414,11414,0,11414,11414,11414,11414,-247204.222772358,-247204.222772358,2081567.5546629,2081567.5546629,8180570.08416853,8187575.05511375,10014933.4160591,44497.5677180467,-26035.6305879815,-29586.4372854488,18461.9432173521,10033395.3592764,3212581.5650788,3212581.5650788,8187641.62842004,8187641.62842004,13395516.449144,13395516.4496921,4958587.34058652,-150000,-8228383.81173872,-3419796.4711522,-3362121.0904654,10033395.3592267,11456,17824,18626,-172012,-124106,-140436.054230169,-140436.054230169,179504.350734205,256866.001686379,-140436.052277742,-136567,-136567,-136567,45793,0,10963473.6484516,0.16967,0.0266,0.01085,0.134614400115762,-0.0611731224691622,1409.22761707273,0.93127607739659,-3.85795212004168,-0.235746223755861,0.00032,0.00032,0.02985,-0.100611876097766,0.311905614782,0.305172248517514,-2.62848240026577,76.1830468391158,102.974662449508
"2","2011_Q1",0.161129032258065,"Down",1812404,-1560583,251821,-178120,-157418,-20702,73701,-15744,-15744,57957,27155,0,27155,27155,34187,34187,42214,42214,1644887,1644887,4409068,4409068,6096169,90196,18048,14497,108244,6204413,2973351,2973351,4409068,4409068,9331319,9331319,5010001,-150000,-8044395,-3184394,-3126906,6204413,27354,20702,-440565,379020,-13489,-2988,-2988,-2988,56543.667228793,-2988,-23278,-23278,-23278,94403,1948900,470435,0.13894,0.04066,0.01886,-0.01093,0.00551,13.76064,0.6533,-2.9842,0.31412,0.00099,0.00097,0.05224,-0.09178,0.01356,-0.02902,-0.39935,20.1973,25.87056
"3","2011_Q2",0.153015873015873,"Down",937569,-750987,186582,-164425,-152730,-11695,22157,-15799,-15799,6358,6358,0,6358,6358,6442,6442,127568.407590786,127568.407590786,808381.065112368,808381.065112368,3035445.55527716,3034103.06496208,3971395.02798031,106322.310760651,60107.5435293272,56556.4790951496,166429.852260883,4137824.88024119,2216784.97830707,2216784.97830707,3034080.87385999,3034080.87385999,7182801.43361866,7182801.43343597,5026235.30313783,-150000,-7978612.14608709,-3102376.84294927,-3044976.5531782,4137824.88025777,6442,11695,1465810,-1409292,74655,-32950,-32950,-56350.1169114017,-32950,-32950,41705,41705,41705,33852,0,-1408390,0.19901,0.02363,0.00687,-0.0522648000385874,0.0250693741563874,-218.6262,0.527229640867803,-2.42822679331944,0.536126241251954,0.00018,0.00018,0.0266,-0.0883727079674114,-0.03996,-0.118855749505838,0.10489330008859,9.14635438696141,9.42179168349725
"4","2011_Q3",0.0925,"Down",665032,-432173,232859,-157360,-145532,-11828,75499,-15741,-15741,59758,59758,-2.58493941422821e-26,59758,59758,59575,59575,96698.0000000001,96698.0000000001,45504,45504,3273774,3273774,3415976,104341,100185,96634,204526,3620502,1454458,1454458,3273774,3273774,6673632,6673632,5017760,-150000,-7978279,-3110519,-3053130,3620502,59575,11828,-322856,354587,103134,-86855,-86855,-36130,-50725,-86855,12779,12779,12779,87327,1945400,355059,0.35015,0.11353,0.08958,-0.01951,0.01645,5.95987,0.51186,-2.18583,0.53733,0.00169,0.00169,0.01887,-0.08825,0.01007,-0.05378,-0.32053,21.16988,24.48644
"5","2011_Q4",0.0847619047619048,"Down",278009,-90051,187958,-134131,-123528,-10603,53827,-16102,-16102,37725,37725,0,37725,37725,37926,37926,47262,47262,60660,60660,4366648,4366648,4474570,94519,138609,135058,233128,4707698,1419280,1419280,4366648,4366648,7729828,7729828,5010936,-150000,-7940452,-3079516,-3022130,4707698,37926,10603,-1142121,1084861,-8731,-39205,-39205,0,-39205,-39205,-49436,-49436,-49436,64430,1943900,1110086,0.67609,0.19362,0.13642,-0.01255,0.00806,29.26979,0.57887,-2.55774,0.41292,0.00108,0.00108,0.00789,-0.08736,0.03149,-0.03517,-1.02954,29.43719,35.23581
"6","2012_Q1",0.101935483870968,"Up",1419603,-1156914,262689,-135286,-125904,-9382,127403,-16058,-16058,111345,111345,4.13590306276514e-25,111345,111345,111348,111348,63826,63826,1250320,1250320,5518631,5514661,6832777,88720,175326,171775,264046,7096823,2549047,2549047,5514661,5514661,10007608,10007608,5010936,-150000,-7829104,-2968168,-2910785,7096823,111348,9382,-1105596,1041730,56864,-40300,-40300,-2800,-37500,-40300,16564,16564,16564,136785,1943900,1138215,0.18504,0.08975,0.07844,-0.03825,0.01569,10.22214,0.68276,-3.43811,0.27391,0.00316,0.00316,0.04027,-0.0842,0.03229,-0.11516,-1.1772,13.74474,14.75691
"7","2012_Q2",0.089047619047619,"Down",1484592,-1221805,262787,-170559,-153733,-16826,92228,-15843,-15843,76385,76385,0,76385,76385,76390,76390,98831,98831,1304697,1304697,5781683,5781683,7185211,98014,210051,206500,308065,7493276,2610593,2610593,5781683,5781683,10327676,10327676,5010936,-150000,-7752714,-2891778,-2834400,7493276,76390,16826,267017,-255883,104350,-60845,-60845,-25350,-35495,-60845,35005,35005,35005,109054,1935400,-207674,0.17701,0.06212,0.05146,-0.02695,0.01019,-2.7186,0.69572,-3.64369,0.25828,0.00217,0.00217,0.04212,-0.08204,-0.00589000000000001,-0.08497,0.23101,16.84091,19.91336
"8","2012_Q3",0.185079365079365,"Up",2549003,-2033264,515739,-155411,-143363,-12048,360328,-15616,-15616,344712,1480767,0,1480767,1480767,1480770,1480770,117621,117621,2107178,2107178,5454209,5454209,7679008,86737,253543,249992,340280,8019288,3126742,3126742,5450084,5450084,8841226,8841226,5542631,-150000,-6271944,-879313,-821938,8019288,1480770,12048,-1467641,41126.0000000001,66303,-44263,-44263,0,-44263,-44263,18790,18790,18790,372376,264400,369239,0.20233,0.14136,0.58092,-1.80156,0.18465,0.24936,0.86855,-10.75656,0.03297,0.04021,0.03856,0.06922,-0.02388,0.01003,-2.65591,-0.66227,0.394170000000003,0.407350000000005
"9","2012_Q4",0.305645161290323,"Up",622369,-307307,315062,-207235,-191580,-15655,107827,-16415,-16415,91412,114789,0,114789,114789,111992,111992,202856,202856,388027,388027,4761731,4747981,5352614,118657,291422,287871,410079,5762693,1452952,1452952,4739491,4739491,6436843,6436843,5575630,-150000,-6159952,-734322,-674150,5762693,111992,15654,838401,-795359,170688,-85453,-85453,-46794,-38659,-85453,85235,85235,85235,123481,244400,-757331,0.50623,0.17325,0.17994,-0.16612,0.01943,-6.76237,0.83156,-9.54809,0.04241,0.00288,0.00301,0.01603,-0.01891,-0.0195,-0.2606,1.76226,0.33644,0.38528
"10","2013_Q1",0.267,"Down",2044424,-1742983,301441,-286973,-272252,-14721,14468,-14282,-14282,185.999999999971,136633,0,136633,136633,147709,147709,1872911,1872911,81333,81333,5066917,5050867,7021161,108938,330176,326625,439114,7460275,2750312,2750312,5050867,5050867,7970579,7970579,5602843,-150000,-6012243,-559400,-510304,7460275,147709,14721,-392773,1944154,1713811,-43756,-43756,-4222.99999999999,-39533,-43756,1670055,1670055,1670055,29189,169400,1929587,0.14745,0.00707999999999998,0.07225,-0.28945,0.0198,13.06344,0.88088,-15.61928,0.02271,0.0042,0.00312,0.05809,-0.01589,0.05482,-0.43329,-5.66021,-58.3614,-117.74336
