"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",3.02483870967742,"Down",42983000,-18912000,24071000,-24242000,-24242000,-21771000,-2471000,-171000,-16132000,-16303000,-16303000,-10926000,-10926000,-11157000,-11157000,19057000,19057000,34200000,34200000,30552000,121251000,37868000,35210000,9405000,73078000,194329000,56525000,56525000,77450000,77450000,2000,159378000,-45208000,114290000,116879000,194329000,-10926000,2251000,10633000,80000,2038000,-722000,-867000,6342000,7513000,7513000,7597000,2080000,20925000,0.56001,-0.00398,-0.25957,-0.09546,-0.05741,1.56554,0.66265,0.10768,-0.49143,-0.49143,1.89327,5.03405,4,-0.08096,0.89808,-10.92398
"12","2013_Q1",3.494,"Up",-8520000,-14149000,-22669000,14261000,14261000,16536000,-2275000,-8408000,-657000,-9065000,-7398000,-4892000,1756000,1547000,1547000,9858000,9858000,21978000,21978000,76689000,129777000,33985000,33469000,2673000,67454000,197231000,28464000,28464000,78359000,78359000,2000,159615000,-43661000,116074000,118872000,197231000,-4892000,-2131000,1914000,-15397000,-2924000,-677000,-1599000,-4694000,-9217000,-9217000,-9199000,-10539000,0,2.66068,0.98685,-0.18157,0.01301,0.00783999999999999,1.65618,0.65919,0,0.06814,0.06814,-0.37528,5.11263,3,0.01792,0.935379999999995,1.17245
"13","2013_Q2",4.2965625,"Up",36679000,-20929000,15750000,-18906000,-18303000,-15382000,-2921000,-3156000,-31000,-3187000,-3187000,-2203000,-222000,-276000,-276000,7117000,7117000,43691000,43691000,29508000,108904000,36812000,32036000,10011000,68848000,177752000,50141000,50141000,58469000,58469000,2000,159820000,-43937000,116004000,119283000,177752000,-2203000,939000,327000,4632000,6196000,-652000,-999000,-7903000,-2706000,-2706000,-2746000,-2217000,8328000,0.4294,-0.08604,-0.00752,-0.00231,-0.00155,1.86259,0.49017,0.04685,-0.01214,-0.01214,1.61354,5.10303,4,-0.00216,-0.54623,-0.38371
"14","2013_Q3",5.06515625,"Up",31897000,-18583000,13314000,-17361000,-17053000,-14437000,-2616000,-4047000,93000,-3954000,12475000,8112000,7983000,7848000,7848000,17482000,17482000,38889000,38889000,31492000,119744000,37067000,27022000,10011000,64089000,183833000,44594000,44594000,56566000,56566000,2000,159992000,-36089000,123935000,127267000,183833000,8112000,897000,-11945000,947000,-8206000,-1304000,15151000,3644000,10589000,10589000,10370000,-3150000,11972000,0.41741,-0.12688,0.24604,0.06167,0.04269,2.11689,0.44447,0.06512,0.34512,0.34512,1.40268,5.45,3,0.05636,1.74921,1.3615
"15","2013_Q4",6.02125,"Up",36128000,-21435000,14693000,-17268000,-17206000,-14537000,-2669000,-2575000,38000,-2537000,-562000,-7e+05,304000,120000,120000,10869000,10869000,48942000,48942000,30529000,1.24e+08,36777000,28862000,10031000,65639000,189639000,46463000,46463000,61885000,61885000,2000,160158000,-35969000,124229000,127754000,189639000,-7e+05,1012000,-1951000,-918000,-11167000,-883000,1080000,3476000,-6611000,-6611000,-6613000,-1563000,15422000,0.40669,-0.07127,0.00332,0.00094,0.00063,2.00372,0.48441,0.08132,0.00527,0.00527,1.587,5.45693,3,0.00084,-2.91299,-1.76816
"16","2014_Q1",6.61245901639344,"Up",50759000,-29208000,21551000,-33414000,-23420000,-20301000,-3119000,-11863000,2321000,-9542000,-2850000,-25307000,-30158000,-30444000,-30444000,32229000,32229000,26207000,26207000,11359000,90070000,27751000,23865000,13999000,51616000,141686000,34800000,34800000,36396000,36396000,2000,167876000,-66413000,101432000,105290000,141686000,-25307000,1112000,20079000,-10588000,-9947000,-547000,49745000,-18407000,21391000,21391000,21360000,-10751000,0,0.42457,-0.23371,-0.59978,-0.28914,-0.21487,2.47472,0.34567,0,-1.28722,-1.28722,2.14617,4.28861,3,-0.28914,2.99777,2.71677
"17","2014_Q2",7.27206349206349,"Up",37611000,-20591000,17020000,-19498000,-19473000,-16363000,-3110000,-2478000,38000,-2440000,-2002000,-2098000,-2072000,-2134000,-2134000,29545000,29545000,23832000,23832000,10594000,83857000,28226000,17107000,13999000,45333000,129190000,24164000,24164000,24995000,24995000,2000,168610000,-68547000,100259000,104195000,129190000,-2098000,1030000,74000,-1451000,-2206000,-1208000,-770000,193000,-2783000,-2783000,-2684000,-1448000,0,0.45253,-0.06588,-0.05674,-0.02048,-0.01652,3.35495,0.23989,0,-0.08889,-0.08889,1.56673,4.17633,3,-0.02048,20.40401,11.92292
"18","2014_Q3",7.05875,"Down",32451000,-16983000,15468000,-18623000,-18012000,-15160000,-2852000,-3155000,27000.0000000002,-3128000,-2086000,-2216000,-2214000,-2388000,-2388000,30850000,30850000,23308000,23308000,15983000,88439000,28750000,15387000,13939000,44137000,132576000,29067000,29067000,29806000,29806000,2000,169872000,-70935000,98801000,102770000,132576000,-2216000,1191000,-875000,2272000,-685000,-1203000,1005000.00000001,982999.999999998,1303000,1303000,1305000,-1964000,4.65661287307739e-10,0.47666,-0.09722,-0.07359,-0.02324,-0.01801,2.96715,0.29003,0,-0.09913,-0.0991300000000002,1.34707,4.10125,4,-0.02324,15.70774,9.77813
"19","2014_Q4",7.2609375,"Up",41256000,-23238000,18018000,-19942000,-19871000,-17070000,-2801000,-1924000,-173000,-2097000,-2097000,-2559000,-2641000,-3026000,-3026000,23421000,23421000,24151000,24151000,15286000,83680000,30114000,17937000,16089000,48051000,131731000,29650000,29650000,30347000,30347000,2000,171180000,-73961000,97068000,101384000,131731000,-2559000,932000,343000,-3764000,-4298000,-1760000,-3191000,330000,-7159000,-7159000,-7429000,-992000,0,0.43674,-0.04664,-0.07335,-0.02985,-0.02297,2.75744,0.29933,0,-0.12432,-0.12432,1.69499,3.98792,3,-0.02985,23.60988,12.17308
"20","2015_Q1",7.07393442622951,"Down",-100564000,58777000,-41787000,38618000,37911000,33714000,4197000,-3169000,988000,-2181000,-3661000,-2973000,-2989000,-2368000,-2368000,15772000,15772000,30266000,30266000,12580000,78772000,30922000,28938000,15448000,59860000,138632000,39073000,39073000,39073000,39073000,2000,171316000,-76329000,94789000,99559000,138632000,-2973000,12000.0000000001,1302000,2916000,16977000,-242000,-5481000,150000,11646000,11646000,11108000,-3157000,-2.91038304567337e-11,0.41553,0.03151,0.02355,-0.02378,-0.01708,2.01602,0.39246,-2.16840434497101e-19,-0.09675,-0.09675,-4.10868,3.87265,3,-0.02378,4.99588,4.97696
"21","2015_Q2",6.65666666666667,"Down",37638000,-20391000,17247000,-20132000,-20132000,-16720000,-3412000,-2885000,-484000,-3369000,-3369000,-3418000,-3884000,-3892000,-3892000,16894000,16894000,15677000,15677000,14705000,67392000,32111000,30086000,15448000,62197000,129589000,34051000,34051000,34051000,34051000,2000,171732000,-80221000,91268000,95538000,129589000,-3418000,1133000,803000,6322000,4656000,-2317000,-2540000,-353000,1763000,1763000,1122000,-1752000,0,0.45823,-0.07665,-0.10341,-0.04074,-0.03003,1.97915,0.35641,0,-0.15892,-0.15892,1.53687,3.72666,4,-0.04074,9.64269,5.85581
"22","2015_Q3",6.409375,"Down",-31247000,19038000,-12209000,10361000,10361000,9234000,1127000,-1848000,219000,-1629000,-1629000,-1580000,-1125000,-1117000,-1117000,18426000,18426000,16075000,16075000,20135000,71481000,32835000,28752000,15448000,61587000,133068000,38456000,38456000,38456000,38456000,2000,171940000,-81338000,90377000,94612000,133068000,-1580000,417000,-464000,-4765000,-3038000,-416000,-1672000,17999.9999999999,-4692000,-4692000,-4267000,-1431000,0,0.39073,0.05914,0.03575,-0.01181,-0.00839,1.85877,0.40646,0,-0.04561,-0.0456099999999999,-1.27591,3.69028,1,-0.01181,12.87631,9.97078
"23","2015_Q4",6.61078125,"Up",3501000,-608000,2893000,-3535000,-3535000,-2249000,-1286000,-642000,-17000,-659000,-659000,-659000,-8813000,-8813000,-8813000,20077000,20077000,22440000,22440000,16305000,74912000,34473000,21098000,15448000,55571000,130483000,44097000,44097000,44097000,44097000,2000,172132000,-90152000,81680000,86386000,130483000,-659000,834000,340000,693000,3425000,-2465000,-2695000,9000,739000,739000,323000,192000,0,0.82634,-0.18338,-2.51728,-0.10202,-0.06754,1.6988,0.51046,0,-0.35986,-0.35986,0.14296,3.33516,3,-0.10202,-104.56771,31.27259
"24","2016_Q1",5.44688524590164,"Down",3567000,-636000.000000004,2931000,-6267000,-6267000,-3344000,-2923000,-3336000,-29000,-3365000,-3365000,-3362000,2116000,2116000,2116000,1266000,1266000,465000,465000,69589000,71320000,29524000,25942000,10609000,57222000,128542000,6081000.00000001,6081000,39749000,39749000,2000,172372000,-88035000,83940000,88793000,128542000,-3362000,884000,68000,-1033000,2558000,-1182000,-2428000,-2.3283064365387e-10,130000,130000,267000,-2452000,0,0.8217,-0.93524,0.59322,0.02383,0.01646,1.79426,0.44766,0,0.0864000000000001,0.0864,0.14565,3.42744,6,0.02383,0.516310000000004,0.379499999999993
"25","2016_Q2",7.14203125,"Up",3830000,-713000,3117000,-7204000,-7204000,-5726000,-1478000,-4087000,-36000,-4123000,-4123000,-4126000,-7624000,-7624000,-7624000,11228000,11228000,13002000,13002000,14351000,55428000,34938000,20390000,15448000,55328000,110756000,31216000,31216000,31216000,31216000,2000,172673000,-95659000,76743000,79540000,110756000,-4126000,923000,-805000,-1036000,3004000,-1845000,-2041000,-1944000,-981000,-981000,-933000,-3164000,0,0.81384,-1.0671,-1.9906,-0.09585,-0.06884,1.77563,0.39246,0,-0.31131,-0.31131,0.15639,3.13356,3,-0.09585,3.54867,2.74725
"26","2016_Q3",7.846875,"Up",4198000,-747000,3451000,-6419000,-6419000,-5121000,-1298000,-2968000,-117000,-3085000,-3085000,-3084000,-2440000,-2440000,-2440000,6212000,6212000,562000,562000,30883000,37657000,31560000,19005000,16785696.6861592,52048000,89705000,6557000.00000001,6557000,11998000,11998000,2000,174219000,-98099000,75754000,77707000,89705000,-3084000,988000,895000,1442000,-4556000,-2106000,9104000,1379000,5927000,5927000,5879000,-1980000,0,0.82206,-0.707,-0.58123,-0.0314,-0.0272,3.13861,0.1544,6.7762635780344e-21,-0.0996300000000001,-0.0996300000000001,0.17142,3.09318,3,-0.0314,3.13737,2.09299
"27","2016_Q4",8.04793650793651,"Up",4462000,-701000,3761000,-7975000,-7975000,-6536000,-1439000,-4214000,20000,-4194000,-4194000,-151000,100444000,100444000,100444000,62454000,62454000,604000,604000,1485000,64543000,28550000,10680000,13621898.8255627,50112000,114655000,10100000,6410000,12094000,13379000,1000,98930000,2345000,101276000,101276000,114655000,-151000,846000,291000,-332000,-7446000,-533000,140241000,-76553000,56242000,56242000,56242000,-3368000,0,0.8429,-0.94442,22.51098,0.99178,0.87605,5.33678,0.1321,0,4.10143,4.10143,0.1822,4.13536,5,0.97936,18.54335,14.8206
"28","2017_Q1",8.77016129032258,"Up",4757000,-681000,4076000,-9382000,-9382000,-7577000,-1805000,-5306000,-218000,-5524000,-5524000,-3421000,-3314000.00000001,-3314000,-3314000,54027000,54027000,554000,554000,1303000,55884000,29757000,10609000,10609000,51312000,107196000,6672000,6672000,9106000,9659000,1000,98505000,-969000,97537000,97537000,107196000,-3421000,927000,293000,294000,-6384000,-2110000,-2090000,47000.0000000149,-8427000,-8427000,-8427000.00000001,-4379000,0,0.85684,-1.11541,-0.696660000000001,-0.0339799999999998,-0.03092,6.13705,0.09903,-1.0842021724855e-19,-0.13532,-0.13532,0.19424,3.98269,3,-0.0337899999999998,12.33775,10.18225
"29","2017_Q2",11.0333333333333,"Up",5784000,-820000,4964000,-11817000,-11817000,-10465000,-1352000,-6853000,44000,-6809000,-6809000,-6180000,-6180000,-6180000,-6180000,45380000,45380000,765000,765000,1157000,47302000,31172000,10609000,10609000,52750000,100052000,5215000,5215000,8274000,8274000,1155.78847789908,101066647.847605,-21652425.4262007,79352447.981334,91778000,100052000,-6180000,1041000,413000,-1465000,-6191000,-2456000,-2456000,24567166.6350098,-8647000,-8647000,-8647000,-5812000,0,0.85823,-1.18482,-1.06846,-0.06734,-0.06177,5.71694,0.09015,0,-0.25235,-0.25235,0.23618,3.3259704756298,4,-0.06734,7.80798,6.62192
"30","2017_Q3",11.4333333333333,"Up",6558000,-910000,5648000,-12003000,-12003000,-10563000,-1440000,-6355000,44000,-6311000,-6311000,-6311000,-6311000,-6311000,-6311000,36861000,36861000,788000,788000,1360000,39009000,33168000,10609000,10609000,54778000,93787000,4674000,4674000,7852000,7852000,1148.44678158002,89754158.3268422,-26728421.5358583,62966920.6626088,85935000,93787000,-6311000,1130000,435000,-677000,-5423000,-3126000,-3126000,30000,-8519000,-8519000,-8519000,-5225000,0,0.86124,-0.96905,-0.96234,-0.07344,-0.06729,4.96803,0.09137,1.73472347597681e-18,-0.34925,-0.34925,0.36292,2.86133427072244,5,-0.07344,7.05474,5.80031
"31","2017_Q4",12.3928571428571,"Up",7522000,-1036000,6486000,-12313000,-12313000,-10784000,-1529000,-5827000,62000,-5765000,-5765000,-5634000,-5205000,-5205000,-5205000,30107000,30107000,836000,836000,2505000,33448000,35777000,10609000,10609000,57386000,90834000,6318000,6318000,9571000,9571000,1066.88169447095,83331089.6426584,-24784956.8775866,58520183.0125791,81263000,90834000,-5634000,1281000,406000,605000,-2913000,-3890000,-3890000,49000,-6754000,-6754000,-6754000,-4546000,0,0.86227,-0.77466,-0.69197,-0.06405,-0.0573,3.49472,0.11778,0,-0.28805,-0.28805,0.41627,3.01525843045386,4,-0.06405,6.62275,5.16681
