"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",13.1462295081967,"Up",8426000,-1161000,7265000,-13371000,-13371000,-12167000,-1204000,-6106000,365000,-5741000,-5741000,-5576000,-5576000,-5576000,-5576000,32778000,32778000,1055000,1055000,3082000,36915000,37415000,10609000,10609000,60064000,96979000,4348000,4348000,7664000,20827000,1000,100561000,-24410000,76152000,76152000,96979000,-5576000,1451000,579000,-2290000,-6265000,-3539000,-3539000,12475000,2671000,2671000,2671000,-4655000,12500000,0.86221,-0.72466,-0.66176,-0.07322,-0.0575,4.81668,0.27349,0.12889,-0.30858,-0.30858,0.4663,4.21422,3,-0.06243,4.35618,3.321
"33","2018_Q2",17.63125,"Up",9138000,-1181000,7957000,-15928000,-15928000,-14517000,-1411000,-7971000,17000,-7954000,-7954000,-6128000,-6035000,-6035000,-6035000,50671000,50671000,1305000,1305000,3385000,55361000,39949000,10609000,10609000,63276000,118637000,6328000,6328000,10735000,10899000,1000,138182000,-30445000,107738000,107738000,118637000,-6128000,1550000,254000,1341000,-2890000,-4058000,-4058000,24841000,17893000,17893000,17893000,-6421000,0,0.87076,-0.87229,-0.66043,-0.05602,-0.05087,5.15706,0.10116,0,-0.33398,-0.33398,0.5057,5.9622,5,-0.05593,7.89145,6.35692
"34","2018_Q3",17.9396825396825,"Up",1e+07,-1290000,8710000,-15301000,-15301000,-13961000,-1340000,-6591000,160000,-6431000,-6431000,-6431000,-6349000,-6349000,-6349000,41160000,41160000,1322000,1322000,2977000,45459000,43661000,10609000,10609000,67013000,112472000,5956000,5956000,10380000,10544000,1000,138721000,-36794000,101928000,101928000,112472000,-6431000,1667000,737000,6000,-3939000,-5374000,-5374000,-198000.000000007,-9511000,-9511000,-9511000,-4924000,0,0.871,-0.6591,-0.6349,-0.06229,-0.05645,4.37948,0.10345,0,-0.35136,-0.35136,0.5534,5.64068,4,-0.06219,8.35906,6.24488
"35","2018_Q4",13.1826984126984,"Down",10942000,-1386000,9556000,-20072000,-20072000,-18618000,-1454000,-10516000,120000,-10396000,-10396000,-10396000,-10329000,-10329000,-10329000,30813000,30813000,1483000,1483000,3166000,35462000,46149000,10609000,10609000,69501000,104963000,8239000,8239000,12766000,12930000,1000,139155000,-47123000,92033000,92033000,104963000,-10396000,1828000,147000,2041000,-6313000,-4321000,-4321000,287000,-10347000,-10347000,-10347000,-8688000,0,0.87333,-0.96107,-0.94398,-0.11223,-0.09841,2.77785,0.14049,0,-0.57161,-0.57161,0.60553,5.09308,3,-0.11203,3.54662,2.93011
"36","2019_Q1",10.6749180327869,"Down",11917000,-1495000,10422000,-21756000,-21756000,-20052000,-1704000,-11334000,58000,-11276000,-11276000,-11158000,-11080000,-11080000,-11080000,29964000,29964000,1334000,1334000,3192000,34490000,49311000,10609000,10609000,72661000,107151000,7993000,7993000,13022000,25686000,1000,139667000,-58203000,81465000,81465000,107151000,-11158000,1944000,512000,381000,-8243000,-5106000,-5106000,12500000,-849000,-849000,-849000,-9390000,12500000,0.87455,-0.95108,-0.92976,-0.13601,-0.10341,2.64859,0.3153,0.11666,-0.61317,-0.61317,0.65949,4.50825,4,-0.11771,1.85985,1.54085
"37","2019_Q2",8.40253968253968,"Down",12467000,-1600000,10867000,-17315000,-17315000,-15722000,-1593000,-6448000,37000,-6411000,-6411000,-6411000,-6726000,-6726000,-6726000,22299000,22299000,1905000,1905000,2534000,26738000,51681000,10609000,10609000,75031000,101769000,7797000,7797000,13772000,26436000,999.940190811091,141841532.504207,-65051217.315345,76791339.2866306,75333000,101769000,-6411000,2220000,594000,837000,-2741000,-4924000,-4924000,0,-7665000,-7665000,-7665000,-4228000,12500000,0.87166,-0.51721,-0.5395,-0.08928,-0.06609,1.94148,0.35092,0.12283,-0.37222,-0.37222,0.68993,4.25240771935647,3,-0.07643,2.31764,1.5197
"38","2019_Q3",7.05078125,"Down",13164000,-1785000,11379000,-15666000,-15666000,-14173000,-1493000,-4287000,-196000,-4483000,-4483000,-4525000,-4468000,-4468000,-4468000,17477000,17477000,2078000,2078000,3232000,22787000,55624000,17289000,17289000,86638000,109425000,9274000,9274000,15973000,34545000,1000,144276000,-69397000,74880000,74880000,109425000,-4525000,2141000,515000,-688000,-2500000,-4839000,-6414000,4092000,-4822000,-4822000,-4822000,-2146000,18365000,0.8644,-0.32566,-0.33941,-0.05967,-0.04083,1.42659,0.46134,0.16783,-0.24726,-0.24726,0.7285,4.14383,3,-0.04781,-0.41379,-0.20714
"39","2019_Q4",7.72921875,"Up",13660000,-1801000,11859000,-15759000,-15759000,-14319000,-1440000,-3900000,-241000,-4141000,-4141000,-4144000,-4144000,-4144000,-4144000,11647000,11647000,2075000,2075000,3362000,17084000,58424000,17289000,17289000,89393000,106477000,10127000,10127000,16648000,35253000,1000,144764000,-73541000,71224000,71224000,106477000,-4144000,2488000,488000,489000,-679000,-5151000,-5151000,0,-5830000,-5830000,-5830000,-1412000,18399000,0.86816,-0.28551,-0.30337,-0.05818,-0.03892,1.02619,0.49496,0.1728,-0.22933,-0.22933,0.75595,3.94151,3,-0.04613,-4.78187,-1.73128
"40","2020_Q1",8.13903225806452,"Up",14688000,-1925000,12763000,-15332000,-15332000,-14078000,-1254000,-2569000,-243000,-2812000,-2812000,-2812000,-2812000,-2812000,-2812000,11494000,11494000,2310000,2310000,2443000,16247000,36921000,53004000,17289000,89925000,106172000,10594000,10594000,18619000,37258000,1000,145266000,-76353000,68914000,68914000,106172000,-2812000,2746000,215000,3197000,3346000,-3786000,-3786000,287000,-153000,-153000,-153000,177000,18433000,0.86894,-0.1749,-0.19145,-0.0408,-0.02649,0.8726,0.54064,0.17361,-0.15562,-0.15562,0.81284,3.81367,4,-0.03212,39.20339,-2.70105
"41","2020_Q2",8.68492063492064,"Up",14511000,-1901000,12610000,-15875000,-15875000,-14458000,-1417000,-3265000,-246000,-3511000,-3511000,-3580000,-3580000,-3580000,-3580000,10019000,10019000,1944000,1944000,2046000,14009000,60417000,17289000,17289000,90854000,104863000,11274000,11274000,21951000,38944000,1000,145851000,-79933000,65919000,65919000,104863000,-3580000,2969000,465000,2152000,2006000,-3601000,-3601000,120000,-1475000,-1475000,-1475000,-296000,16717000,0.869,-0.225,-0.24671,-0.05431,-0.03414,0.63819,0.59079,0.15942,-0.19008,-0.18414,0.77047,3.49995,4,-0.04318,-22.62838,-2.05145
"42","2020_Q3",10.3515625,"Up",16153000,-2083000,14070000,-16290000,-16290000,-14417000,-1873000,-2220000,-305000,-2525000,-2525000,-2525000,-2525000,-2525000,-2525000,8458000,8458000,2617000,2617000,1767000,12842000,60931000,17289000,17289000,91337000,104179000,8099000,8099000,20419000,37446000,1000,149190000,-82458000,66733000,66733000,104179000,-2525000,3053000,1063000,267000,1858000,-3480000,-3480000,61000.0000000005,-1561000,-1561000,-1561000,833000,16751000,0.87105,-0.13744,-0.15632,-0.03784,-0.02424,0.62892,0.56113,0.16079,-0.13407,-0.12987,0.85765,3.54317,6,-0.03015,9.95558,-3.73559
"43","2020_Q4",10.4653125,"Up",17537000,-2264000,15273000,-14905000,-14905000,-13479000,-1426000,368000,5946000,6314000,6314000,6314000,6314000,6314000,6314000,8721000,8721000,2358000,2358000,2043000,13122000,63737000,17289000,17289000,93673000,106795000,8385000,8385000,20941000,33344000,1000,149594000,-76144000,73451000,73451000,106795000,6314000,3004000,-5789000,-196000,3333000,9862000,9862000,-12932000,263000,263000,263000,3372000,0,0.8709,0.02098,0.36004,0.08596,0.05912,0.62662,0.45396,0,0.33524,0.32476,0.93114,3.89986,6,0.07354,-2.5863,-23.69837
"44","2021_Q1",10.8895081967213,"Up",18626000,-2403000,16223000,-15734000,-15734000,-14583000,-1151000,489000,-68000.0000000009,421000,421000.000000002,310000,309999.999999998,310000,310000,12605000,12605000,2024000,2024000,1746000,16375000,39231000,54411000,17289000,93642000,110017000,8947000,8947000,21323000,35782000,1000,150068000,-75834000,74235000,74235000,110017000,310000,3016000,654000,473000,4453000,-2957000,-2957000,2388000,3884000,3884000,3884000,3505000,6250000,0.87099,0.02625,0.01664,0.00417999999999998,0.00282,0.76795,0.48201,0.05681,0.01646,0.01594,0.98896,3.94149,7,0.0035,-1.81312,-12.99591
"45","2021_Q2",11.3460317460317,"Up",18896000,-2438000,16458000,-16034000,-16034000,-14538000,-1496000,424000,-66000,358000,358000,358000,358000,358000,358000,13045000,13045000,2529000,2529000,1464000,17038000,40293000,54839000,17289000,95132000,112170000,8228000,8228000,22643000,36893000,1000,150752000,-75476000,75277000,75277000,112170000,358000,3099000,613000,1118000,5188000,-4774000,-4774000,26000,440000,440000,440000,3523000,6218000,0.87098,0.02244,0.01895,0.00476,0.00319,0.75246,0.4901,0.05543,0.01901,0.01841,1.00329,3.99681,8,0.004,-1.93784,-16.10142
"46","2021_Q3",10.54015625,"Down",19443000,-2509000,16934000,-16239000,-16239000,-14738000,-1501000,695000,-51999.9999999998,643000,643000,643000,643000,643000,643000,13739000,13739000,2828000,2828000,1659000,18226000,41062000,54856000,17289000,95918000,114144000,8695000,8695000,23419000,37453000,1000,151523000,-74833000,76691000,76691000,114144000,643000,3232000,90000,287000,4252000,-4205000,-4205000,646999.999999999,694000,694000,694000,3927000,6181000,0.87096,0.03575,0.03307,0.00838,0.00563,0.77826,0.48836,0.05415,0.03329,0.03246,1.00647,3.96987,7,0.00709,-1.92462,-10.87482
"47","2021_Q4",9.32453125,"Down",20405000,-2626000,17779000,-17053000,-17053000,-15576507.8591717,-1530329.36758842,726000,-79000,647000,647000,647000,647000,647000,647000,14428000,14428000,2589000,2589000,1863000,18880000,42246000,54549000,17289000,96795000,115675000,9855000,9855000,23985000,37804000,1000,152056000,-74186000,77871000,77871000,115675000,647000,3310000,533000,656000,5146000,8979000,-4376000,-81000,689000,689000,689000,4036000,6146000,0.87131,0.03558,0.03171,0.00831,0.00559,0.78716,0.48547,0.05313,0.03349,0.03266,1.05627,4.03096,6,0.00706,-2.05203,-11.40771
"48","2022_Q1",6.81677419354839,"Down",20829000,-2953000,17876000,-17376000,-17376000,-16473741.3649275,-1662736.87028354,5e+05,-68000,432000,72000,2083000,2083000,2083000,2083000,10269000,10269000,2728000,2728000,1986000,14983000,47014384.9919344,118693000,28870000,118693000,133676000,14822000,11568205.2903214,29809000,43461000,999.999999890583,162318000,-72103000,90215000,90215000,133676000,2083000,3504000,-1537000,2231000,6281000,-17340000,-10503000,63000,-4159000,-4159000,-4159000,4004000,6249000,0.85823,0.024,0.1,0.02309,0.01558,0.50263,0.48175,0.04675,0.10783,0.10514,1.07822,4.67,5,0.02003,-1.004,-8.04
"49","2022_Q2",4.85709677419355,"Down",21831000,-2905000,18926000,-18570000,-18570000,-16785000,-1785000,356000,-60000,296000,247000,247000,86000,86000,86000,8398000,8398000,2900000,2900000,1912000,13210000,51898000,67677000,28870000,119575000,132785000,12657000,12657000,28511000,41944000,1000,162857000,-72017000,90841000,90841000,132785000,247000,3907000,540000,-530000,4003000,-4981000,-5828000,-46000,-1871000,-1871000,-1871000,4263000,6074000,0.86693,0.01631,0.00394,0.00095,0.00065,0.46333,0.46173,0.04574,0.00442,0.00432,1.12294,4.6726,5,0.00082,-0.54516,-6.52809
"50","2022_Q3",3.50046875,"Down",20720000,-2759000,17961000,-17663000,-17663000,-15869000,-1794000,298000,-50000,248000,248000,248000,116000,116000,116000,6195000,6195000,2972000,2972000,2278000,11445000,52618000,67358000,28870000,119976000,131421000,11604000,11604000,26822000,40031000,1000,163290000,-71901000,91390000,91390000,131421000,248000,3997000,390000,-2111000,2392000,-4591000,-4591000,-3999.99999999997,-2203000,-2203000,-2203000,4295000,6035000,0.86684,0.01438,0.00559999999999998,0.00127,0.000880000000000001,0.4267,0.43802,0.04592,0.00597,0.00583000000000001,1.06579,4.70084,4,0.00111,-0.03725,-0.53691
