"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","assets_held_for_sale","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",17.0973015873016,"Up",654830000,-479794000,175036000,-152017000,-65497000,-86520000,23019000,-62005000,-62376000,-62596000,220000,371000,-38986000,-62526000,9525000,-53001000,-53001000,-53001000,-53001000,1261138101.63688,1261138101.63688,-9917746.50625718,-9917746.50625861,622453911.637475,-62319976.5458364,-94313706.3930015,83732984.5680001,621510524.547256,2018349403.32832,2175742202.69008,2756975705.02778,-581233502.337703,193920617.099463,383604354.871087,253255999.999207,-442939737.770831,2369662819.78954,4388012223.11786,-570192949.454054,274842523.961809,-845035473.415863,931056341.997321,71766863.6622925,71766863.6622925,432630256.20533,3396838589.58232,1721034956.30206,453613883.368257,1267421072.9338,5117873545.88438,5550503802.08971,-378899865.57715,-723464855.246641,-1160659158.58422,-1832420.38763537,-1162491578.97185,4388012223.11786,-53001000,65497000,-10033000,12644000,15107000,-12471000,4684000,4684000,-17155000,-17155000,-22660000,-35131000,-8625000,12619164366.6167,12619164366.8639,114000,-8511000,-28535000,-28535000,-28535000,88516000,0,79164000,0.2673,0.03515,-0.08094,71.994961720001,-0.279947609365503,-1.49363,5.5262600439996,17840.1035513324,1.22541919235095,-0.88163,-0.88163,10.89259,-19.3457030636085,1.31683,-0.311743876386395,-2.01545058701903,-138.341876738332,-596.323022845534
"2","2010_Q3",16.509375,"Down",736185000,-529680000,206505000,-147073000,-53602000,-93471000,59432000,-61016000,-62485000,-62768000,283000,1469000,-1584000,-18119000,-4960000,-23079000,-23079000,-23079000,-23079000,590650550.81844,590650550.81844,119274126.746871,119274126.746871,359747955.818738,-6148988.27291818,-38091853.1965008,37204492.2840001,311978762.273628,1135141701.66416,1714850601.34504,2309958352.51389,-595107751.168852,502550808.549732,378535677.435544,253255999.999603,-129240868.885415,2217401409.89477,3352543111.55893,-177340974.727027,164993761.980905,-342334736.707932,456632170.998661,86144931.8311463,86144931.8311463,365436128.102665,2464171794.79116,1125511978.15103,373102441.684129,752409536.466902,3589683772.94219,3955119901.04486,250527067.211425,-811681427.62332,-601761579.292109,-815210.193817684,-602576789.485927,3352543111.55893,-23079000,53795000,8059000,-20630000,18145000,-30743000,10807000,10807000,-41550000,-41550000,-9474000,-40217000,-38064000,6467067183.30834,6467067183.43195,114000,-37950000,-60022000,-60022000,-60022000,113227000,0,66814000,0.28051,0.08073,-0.03135,31.7418758600005,-0.147358804682752,-2.89501000000002,3.2301550219998,7777.08357566618,0.939139596175475,-0.3839,-0.3839,12.24587,-9.82829153180426,1.1114,-0.164106938193197,-0.945215293509514,-54.820993369166,-254.939126422767
"3","2010_Q4",15.814375,"Down",758281000,-526006000,232275000,-151983000,-52982000,-99001000,80292000,-63186000,-63798000,-64095000,297000,612000,17106000,1951000,-2970000,-1019000,-1019000,-1019000,-1019000,211648516.93948,211648516.93948,213310708.915624,213310708.915624,223704985.272913,26072003.9090273,-5806617.73216692,13222164.0946667,150280587.424543,672830567.221386,1454468867.11501,2078109450.83796,-623640583.722951,662377269.516577,373582892.478515,253255999.999868,35538377.0381949,2116846136.63159,2789676703.85298,56568675.090991,108961253.993635,-52392578.9026439,186339723.66622,91075977.2770488,91075977.2770488,333984376.034222,1939978931.59705,777501992.71701,324839480.561376,452662512.155634,2717480924.31406,3051465300.34829,631002022.403808,-864413142.541107,-261584859.764036,-203736.731272561,-261788596.495309,2789676703.85298,-1019000,52789000,10321000,18742000,80833000,-34425000,15045000,15045000,-49470000,-49470000,-10659000,-45084000,-3910000,2707207727.76945,2707207727.81065,-1208000,-5118000,30631000,30631000,30631000,133081000,0,120368000,0.30632,0.10589,-0.00134,9.6040419533335,-0.0643296015609172,-118.12365,2.00948500733327,2233.89487188873,0.771983198725158,-0.01695,-0.01695,12.61342,-4.07631384393475,2.00223,-0.0716423127310658,-0.328675097836505,-7.29487445638866,-61.1352821409223
"4","2011_Q1",16.4059677419355,"Up",780427000,-555730000,224697000,-151398000,-54670000,-96728000,73299000,-59833000,-61091000,-61670000,579000,1258000,13466000,-90151000,41837000,-48314000,-48314000,-48314000,-48314000,47494000,47494000,276879000,276879000,178061000,40709000,8862000,5059000,92690000,512316000,1339638000,2000135000,-660497000,715941000,368744000,253256000,93941000,2055579000,2567895000,170675000,90220000,80455000,66070000,89439000,89439000,326184000,1708030000,616852000,303549000,313303000,2324882000,2651066000,823474000,-886671000,-83273000,102000,-83171000,2567895000,-48314000,54670000,79409000,-141411000,-55646000,-48468000,7991000,7991000,-56459000,-56459000,-9621000,-58089000,66706000,764284000,764284000,-727697000,103293000,-10442000,-10442000,-10442000,127969000,1774100000,-103747000,0.28792,0.09392,-0.06191,0.5809,-0.01881,2.14735,1.57063,-31.87488,0.69088,-0.66179,-0.66179,10.69005,-1.14065,-1.42109,-0.02094,-0.04496,13.49238,23.55566
"5","2011_Q2",15.1073015873016,"Down",758889000,-562519000,196370000,-151896000,-55085000,-96811000,44474000,-36523000,-37034000,-37501000,467000,511000,7951000,5526000,-2321000,3205000,3205000,3205000,3205000,21549000,21549000,314666000,314666000,186552000,44128000,12234000,5988000,95481000,534498000,1315399000,2014741000,-699342000,705783000,364017000,253256000,88510000,2021182000,2555680000,204117000,92245000,111872000,41714000,84113000,84113000,329944000,1652095000,583409000,303955000,279454000,2235504000,2565448000,888892000,-883466000,-9970000,202000,-9768000,2555680000,3205000,55085000,9054000,-7469000,59875000,-33654000,5880000,5880000,-39534000,-39534000,2105000,-31549000,-117265000,62993999.9999998,62994000,-541515363.009934,-54271000,-25945000,-25945000,-25945000,99559000,1693809000,60757000,0.25876,0.0586,0.00422,-0.328110000000001,0.00125,18.95694,1.61997,-262.638,0.66276,0.0232,0.02307,5.49414,-0.0721799999999999,0.43986,0.00141,0.0268,16.79667,37.60085
"6","2011_Q3",13.14984375,"Down",850470000,-622649000,227821000,-155954000,-56170000,-99784000,71867000,-35496000,-36160000,-36631000,471000,664000,36371000,33068000,-13485000,19583000,19583000,19583000,19583000,44656000,44656000,332312000,332312000,199738000,43184000,11526000,8633000,108597000,594622000,1317835000,2048398000,-730563000,679153000,359400000,253256000,66497000,1996988000,2591610000,201899000,97855000,104044000,55728000,77907000,77907000,335534000,1632732000,609044000,315066000,293978000,2241776000,2577310000,891461000,-863883000,14098000,202000,14300000,2591610000,19583000,56170000,21608000,-35023000,62338000,-61147000,10477000,10477000,-71624000,-71624000,-8802000,-69949000,30467999.9999999,0,0,250000,30718000,23107000,23107000,23107000,128037000,1688460000,45352000,0.26788,0.0845,0.02303,1.36944,0.00756,2.31589,1.77217,180.23147,0.65151,0.14039,0.13916,6.09713,0.10107,0.32513,0.00847,0.01962,12.83851,22.87286
"7","2011_Q4",12.7285714285714,"Down",863826000,-612760000,251066000,-164315000,-55567000,-108748000,86751000,-35687000,-36067000,-36629000,562000,380000,51064000,50626000,-19676000,30950000,30950000,30950000,30950000,40177000,40177000,334504000,334504000,181355000,44243000,13058000,6267000,88312000,573588000,1291987000,2039812000,-747825000,678592000,354891000,253256000,70445000,1970579000,2544167000,203160000,90525000,112635000,54003000,73700000,73700000,330863000,1533711000,633604000,331606000,301998000,2167315000,2498178000,892130000,-832933000,45787000,202000,45989000,2544167000,30950000,55567000,20827000,-12336000,95008000,-26376000,30512000,30512000,-56888000,-56888000,24805000,-1571000,-97804000,3.72529029846191e-09,3.72529029846191e-09,-112000,-97916000,-4479000,-4479000,-4479000,142318000,1587714000,123282000,0.29064,0.10043,0.03583,0.67299,0.01217,3.98326,1.73361,54.32121,0.62406,0.22186,0.22186,6.19217,0.32822,0.88372,0.01365,0.05437,10.8738,17.83884
"8","2012_Q1",14.8885483870968,"Up",1305778000,-928080000,377698000,-267656000,-69534000,-198122000,110042000,-38034000,-38723000,-39220000,497000,689000,72008000,72019000,-23010000,49009000,49009000,49009000,49009000,82084000,82084000,324035000,324035000,244090000,46559000,13571000,3396000,83679000,667650000,1299997000,2078766000,-778769000,672533000,350486000,253256000,68791000,1972530000,2640180000,183015000,81688000,101327000,59339000,74461000,74461000,316815000,1530104000,685708000,395239000,290469000,2215812000,2532627000,893294000,-774757000,107351000,202000,107553000,2640180000,49009000,69534000,19868000,-15448000,122963000,-51247000,30602000,30602000,-81849000,-81849000,4398000,-46849000,-18782000,247000,247000,-17308000,-35843000,40271000,40271000,40271000,179576000,1589443000,135891000,0.28925,0.08427,0.03753,0.45567,0.01856,2.77278,2.10738,23.54771,0.60202,0.35131,0.35126,9.36021,0.76952,0.97411,0.02057,0.05703,8.39399,13.69803
"9","2012_Q2",14.5860317460317,"Down",826885000,-616920000,209965000,-155388000,-54697000,-100691000,54577000,-31777000,-32379000,-32776000,397000,602000,22800000,2640000,3548000,6188000,6188000,6188000,6188000,47684000,47684000,339191000,339191000,236644000,50036000,21329000,1726000,78592000,645960000,1287695000,2074859000,-787164000,665837000,346183000,253256000,66398000,1953532000,2599492000,209369000,106306000,103063000,96650000,76925000,76925000,382944000,1446387000,674395000,397088000,277307000,2120782000,2503726000,894713000,-789933000,95564000,202000,95766000,2599492000,6188000,54697000,17756000,-8469000,70172000,-10388000,33858000,33858000,-44246000,-44246000,-881000,-11269000,-93455000,1711773.80574325,1711772.0798293,152000,-93303000,-34400000,-34400000,-34400000,109274000,1543037000,86869000,0.25392,0.066,0.00748,0.06462,0.00238,14.0383,1.68683,26.14421,0.59359,0.04436,0.04408,5.92711,0.685,0.62268,0.00268,0.03755,13.68444,27.39896
"10","2012_Q3",13.167619047619,"Down",872584000,-623407000,249177000,-165978000,-54604000,-111374000,83199000,-27815000,-29114000,-29553000,439000,1299000,55384000,55475000,-21776000,33699000,33699000,33699000,33699000,35515000,35515000,348889000,348889000,203007000,44350000,13307000,2317000,78586000,605223000,1301660000,2104007000,-802347000,665989000,341968000,253256000,70765000,1967649000,2572872000,198879000,98796000,100083000,46854000,73396000,73396000,319129000,1408123000,713327000,393934000,319393000,2121450000,2440579000,896149000,-756234000,132091000,202000,132293000,2572872000,33699000,54604000,21251000,-13876000,95678000,-63474000,23382000,23382000,-86856000,-86856000,9640000,-53834000,-53987000,1379049.34948892,1379046.46075762,-26000.0000000019,-54013000,-12169000,-12169000,-12169000,137803000,1454977000,82229000,0.28556,0.09535,0.03862,0.25473,0.0131,2.4401,1.89648,18.44829,0.56551,0.24157,0.24259,6.25504,0.94688,0.58945,0.01465,0.03574,10.30066,17.06105
