"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",27.4695238095238,"Down",100400000,-74100000,26300000,-44400000,-28400000,-9700000,-18100000,-5e+05,-5e+05,-18600000,-22500000,5500000,-1.7e+07,-21300000,-21300000,-21300000,149910498.770107,149910498.769999,59757357.4577037,59757357.4577037,-205670840.363571,-199457370.480559,-203037324.742316,-195460354.61632,8041134.72508711,-153428359.002847,-2145909.18759559,-4276112.67420589,-145387224.277759,-340847578.894079,-295494157.583723,-433801829.26161,138307671.677886,103172559.114687,-589631.327848554,102585921.570607,-358990900.615926,11868184.7778217,1056687.82456649,10811496.9532552,94609561.4529066,-264381339.16302,801586334.702797,-791829836.280922,-86222738.1600804,-76466239.7382057,-76466239.7310595,-340847578.894079,-21300000,3600000,10700000,-30500000,-37500000,2200000,2200000,1e+06,1e+06,-34300000,-34300000,4e+05,-33900000,-14500000,0,-48300000,0.26195,-0.18028,-0.21215,-3.28568789487994,-1.56520862372994,2.26761,4.57713836148542,-0.125070761884847,-0.208618032204115,-2.15238,-2.15238,10.14547,-7.38604003242778,-4.88074,-3.02253179459077,2.97565966834352,-181.398088286928,-1320.8178352564
"2","2011_Q3",18.965625,"Down",115300000,-77900000,37400000,-40400000,-25100000,-11200000,-3e+06,-7e+05,-7e+05,-3700000,-4700000,-5300000,-1e+07,-12500000,-12500000,-12500000,131555249.385053,131555249.385,107228678.728852,107228678.728852,-43485420.1817855,-59028685.2402796,-61018662.3711581,136269822.69184,15220567.3625436,-57764179.5014233,-522954.593797794,-938056.337102947,-42543612.1388797,93726210.5529605,-43147078.7918617,-134550914.630805,91403835.838943,83286279.5573435,31605184.3360757,50642960.7853033,-36095450.3079631,10984092.3889109,1228343.91228325,9755748.47662762,56154780.7264533,20059330.4184902,795643167.351398,-682814918.140461,-39161369.0800402,73666880.1308972,73666880.1344703,93726210.5529605,-12500000,2300000,-399999.999999985,7599999.99999999,-2999999.99999999,-2500000,-2500000,1.16415321826935e-10,-2.3283064365387e-10,-5500000,-5500000,1e+05,-5400000,-7e+05,0,9699999.99999999,0.32437,-0.02602,-0.10841,-1.52066894743997,-0.722139311864968,-0.775999999999999,3.03331918074271,0.667979619057576,-0.0770140161020576,-1.28038,-1.28038,11.81018,7.78624498378611,0.993569999999999,-1.39906089729538,1.41739983417176,-181.810154143464,-561.358917628198
"3","2011_Q4",12.2704761904762,"Down",115500000,-83900000,31600000,-41700000,-26700000,-9900000,-10100000,-2e+05,-2e+05,-10300000,-10300000,-15200000,-25500000,-36900000,-36900000,-36900000,113585083.128351,113585083.128333,129409559.576284,129409559.576284,41438193.2727382,17223771.5865735,16093779.209614,301656607.563947,19506855.7875145,-6788059.83380777,359015.135400735,887314.554299018,12718795.9537068,314375403.517653,87484307.0693794,19183028.4563984,68301278.612981,69162093.1857812,45001728.1120252,23214320.2617678,132601516.564012,9928030.79630362,1342781.30409442,8585249.4922092,30251593.5754844,162853110.139497,792781055.7838,-628004972.713487,-13253789.6933467,151522293.376966,151522293.378157,314375403.517653,-36900000,3500000,30700000,-2200000,-4900000,-1900000,-1900000,0,2e+05,-6600000,-6600000,-1e+05,-6700000,-6600000,0,4500000,0.27359,-0.08745,-0.31948,-0.533886315813324,-0.251839770621656,-0.12195,2.1798763935809,1.05427653968586,-0.00889133870068588,-3.77967,-3.77967,11.83067,15.616431661262,0.46094,-0.491380299098461,0.500886611390587,-94.004054714488,-150.762019209399
"4","2012_Q1",14.79,"Up",120900000,-88100000,32800000,-39800000,-27400000,-9700000,-7e+06,-5e+05,-5e+05,-7500000,-7200000,9e+05,-6300000,-19800000,-19800000,-19800000,98200000,98200000,1.33e+08,1.33e+08,71800000,47300000,46500000,350300000,21600000,1.2e+07,7e+05,1600000,33600000,383900000,131700000,70300000,61400000,59400000,45800000,12700000,191100000,9100000,1400000,7700000,15100000,206200000,792200000,-611800000,-2700000,177700000,177700000,383900000,-19800000,2600000,1e+06,20100000,3900000,-2e+06,-2e+06,0,0,1900000,1900000,6e+05,2500000,-4400000,6e+06,12800000,0.2713,-0.0579,-0.16377,-0.11142,-0.05158,-0.64646,1.83307,1.16038,0.01563,-2.02812,-2.02812,12.38379,18.20182,1.3111,-0.1027,0.06639,20.95455,13.17143
"5","2012_Q2",15.86,"Up",111400000,-78700000,32700000,-35200000,-24600000,-9e+06,-2500000,-2e+05,-2e+05,-2700000,-2700000,-1e+06,-3700000,-6800000,-6800000,-6800000,87600000,87600000,124700000,124700000,70300000,49200000,48400000,331800000,22200000,11100000,7e+05,1600000,33300000,365100000,124800000,61700000,63100000,52600000,40200000,11500000,183400000,8900000,1400000,7500000,8900000,192300000,793100000,-618600000,-1700000,172800000,172800000,365100000,-6800000,1700000,4900000,-6e+06,-6200000,-2800000,-3400000,0,0,-9600000,-9600000,-1e+06,-10600000,-8e+05,6e+06,-8600000,0.29354,-0.02244,-0.06104,-0.03935,-0.01863,1.26471,1.80916,1.11285,0.01643,-0.69416,-0.69416,11.3719,17.63971,-0.8779,-0.03623,-0.04582,102,32.64
"6","2012_Q3",14.5961904761905,"Down",1.05e+08,-73100000,31900000,-34900000,-25300000,-8800000,-3e+06,-3e+05,-3e+05,-3300000,-9200000,-800000.000000001,-1e+07,-12800000,-12800000,-12800000,84300000,84300000,113700000,113700000,61800000,43800000,42900000,303600000,2.2e+07,4200000,6e+05,1300000,26200000,329800000,107600000,42300000,65300000,4.8e+07,3.7e+07,10100000,161600000,8700000,1400000,7300000,8700000,170300000,794600000,-631400000,-3700000,159500000,159500000,329800000,-12800000,2100000,9500000,-1e+05,-1300000,-6e+05,-1200000,-2.3283064365387e-10,-1.45519152283669e-11,-2500000,-2500000,-8e+05,-3300000,-9e+05,6e+06,-8e+05,0.30381,-0.02857,-0.1219,-0.08025,-0.03881,0.0625,1.87871,1.06771,0.01819,-1.30222,-1.30222,10.68224,16.22683,-0.08139,-0.07348,-0.00459,87,26.1
"7","2012_Q4",15.7393548387097,"Up",111600000,-77300000,34300000,-35100000,-25700000,-8900000,-8e+05,-2e+05,-2e+05,-1e+06,-7e+05,-1e+05,-8e+05,-3200000,-3200000,-3200000,90500000,90500000,106700000,106700000,6.9e+07,49100000,48200000,315300000,21700000,3800000,6e+05,1100000,25500000,340800000,115400000,5.5e+07,60400000,44200000,42400000,9e+05,169700000,8900000,1400000,7500000,12700000,182400000,795900000,-634600000,-2900000,158400000,158400000,340800000,-3200000,1700000,2700000,5500000,6700000,-1e+06,-9e+05,7900000,-4e+05,5400000,5400000,8e+05,6200000,9e+05,13900000,5500000,0.30735,-0.00717,-0.02867,-0.0202,-0.00939,-1.71875,1.85798,1.15152,0.04079,-0.32445,-0.32445,11.31534,16.06048,0.55766,-0.01766,0.03035,-85.11111,95.75
"8","2013_Q1",21.383,"Up",1.16e+08,-83200000,32800000,-34200000,-23900000,-9300000,-1400000,0,0,-1400000,-1400000,4e+05,-1e+06,-1300000,-1300000,-1300000,9.6e+07,9.6e+07,90700000,90700000,75300000,42600000,41600000,304600000,21700000,3300000,4e+05,1100000,2.5e+07,329600000,107200000,55800000,51400000,36100000,33300000,1500000,147400000,15900000,9e+05,1.5e+07,24700000,172100000,797400000,-635900000,-4e+06,157500000,157500000,329600000,-1300000,1700000,4300000,4500000,9200000,-1500000,-1900000,-1e+06,-9e+05,6400000,6400000,-9e+05,5500000,3e+05,12900000,2900000,0.28276,-0.01207,-0.01121,-0.00825,-0.00394,-2.23077,2.06649,1.0927,0.03914,-0.13226,-0.13226,11.80133,16.02336,0.29503,-0.00698,0.01557,-277,59.35714
"9","2013_Q2",16.9846875,"Down",1.15e+08,-81300000,33700000,-3.3e+07,-23300000,-9300000,7e+05,0,0,7e+05,7e+05,-1500000,-8e+05,-2200000,-2200000,-2200000,85100000,85100000,109300000,109300000,71300000,36400000,35400000,302100000,21500000,3e+06,4e+05,1100000,24500000,326600000,105300000,58800000,46500000,42700000,40400000,1e+06,152100000,9200000,9e+05,8300000,16900000,1.69e+08,798900000,-638100000,-3200000,157600000,157600000,326600000,-2200000,1900000,5100000,-1.4e+07,-9200000,-1300000,-1400000,-1e+06,-1e+06,-11600000,-11600000,7e+05,-10900000,2600000,11800000,-11200000,0.29304,0.00609,-0.01913,-0.01396,-0.00674,5.09091,1.98619,1.07234,0.03613,-0.22269,-0.22269,11.64041,15.95242,-1.13367,-0.01232,-0.06271,-28.19231,-104.71429
"10","2013_Q3",15.67015625,"Down",1.29e+08,-90300000,38700000,-33800000,-23700000,-9800000,4900000,0,-3.63797880709171e-12,4900000,4900000,-9900000,-5e+06,-5300000,-5300000,-5300000,94800000,94800000,99100000,99100000,73900000,3.4e+07,3.3e+07,301800000,22700000,2600000,4e+05,9e+05,25300000,327100000,88300000,42400000,45900000,54800000,52600000,9e+05,147200000,1.9e+07,9e+05,18100000,25700000,172900000,800800000,-643400000,-3200000,154200000,154200000,327100000,-5300000,1500000,3500000,1.3e+07,12700000,-2300000,-2200000,-1100000,-1e+06,9500000.00000001,9500000.00000001,2e+05,9700000,6400000,10800000,2.7e+07,0.3,0.03798,-0.04109,-0.03437,-0.0162,-5.09434,2.05027,1.12127,0.03302,-0.53021,-0.53021,12.90516,15.42617,2.70108,-0.0288,0.14674,-13.125,-17.14286
