"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",15.65390625,"Up",133691000,-67795000,65896000,-43374000,-19396000,-19113000,-4865000,22522000,-2854000,-1405000,-1449000,19668000,-1683000,17985000,-6295000,11690000,11690000,11690000,11690000,322555016.713055,325059462.921233,-2504446.20817863,65723630.4002096,65723630.4002096,101166248.902983,71896598.4269249,27689324.1403201,489444896.016247,44049869.3458495,375821680.276412,235152491.641484,-18853949.5240714,159523138.159,419871549.622262,909316445.638509,75550047.6245438,17249219.9495839,1809909.55158128,56490918.1233786,139333971.363147,112392279.023626,58132637.3217001,54259641.7019263,327276298.011317,321435679.297173,90152805.8524168,26666745.4360372,53145097.2011195,10340963.2152601,411588485.14959,738864783.160908,442085518.738539,-729372721.718758,490622384.227134,-32883518.7693136,170451662.477601,170451662.477601,909316445.638509,11690000,9543000,6072000,-8805000,18500000,-3326000,-103639000,-107465000,-24120000,-25000,274000,-299000,-26378000,-115343000,-115343000,12267110.8763944,-115343000,32065000,0,26229000,0.4929,0.16846,0.08744,-0.0520024037469112,-0.0156872300720151,2.24371,1.6025006803559,3.68858610765843,0.513837496274358,0.36119,0.3583,4.13073,5.29131354237975,0.81041,-0.0211950799559137,0.198308946901493,6.01515914917821,8.32704451898239
"2","2011_Q1",15.9667741935484,"Up",154079000,-74200000,79879000,-57263000,-29978000,-21435000,-5850000,22616000,-4287000,-2007000,-2280000,18329000,-16057000,2272000,-4063000,-1791000.00000001,-1791000.00000001,-1791000.00000001,-1791000.00000001,215550000,197858000,17692000,155005000,155005000,70939000,9043000,48044000,441494000,52257000,385947000,209164000,9677000,167106000,438204000,879698000,80781000,25381000,2028000,53372000,69528000,120100000,56184000,63916000,270409000,305159000,67052000,16103000,33247000,17702000,372211000,642620000,440353000,-704963000,501713000,-25000,237078000,237078000,879698000,-1791000.00000001,12325000,21995000,14545000,47074000,-5606000,118955000,-142889000,232568000,271000.000000001,359000,-87999.9999999991,224390000,128575000,128575000,1934000,130509000,34941000,374687000,47943000,0.51843,0.14678,-0.01162,-0.00755,-0.00204,-26.76884,1.63269,2.71058,0.42593,-0.0552300000000001,-0.0546300000000001,4.75127,7.31068,1.4784,-0.00264,0.07063,4.55445,7.03648
"3","2011_Q2",15.8190476190476,"Down",183092000,-90764000,92328000,-68224000,-33339000,-28638000,-6247000,24104000,-5859000,-4107000,-1752000,18245000,-10381355.8251115,18245000,-6751000,11494000,11494000,11494000,11494000,156294327.762315,133023929.026256,23270398.7360595,178174539.866597,178174539.866597,68600167.0323389,-7333866.14230828,57652641.9532266,403069034.661251,53864293.5513835,380902273.241196,199124419.452839,15827733.1746905,165950120.613667,434766566.79258,837835601.45383,75004484.1251521,28339176.683472,2066030.14947291,44599277.2922071,31127342.8789509,113489906.992124,51005287.5594333,62484619.4326912,219621733.996228,298899856.900942,55491231.3825277,10349251.5213209,24788717.5996268,20353262.26158,354391088.28347,574012822.279698,441458827.087154,-699451926.093747,512079871.924289,9736006.25643787,263822779.174133,263822779.174133,837835601.45383,11494000,16393000,11800000,-41576000,-1889000,-6633000,2320000,-4313000,-37927000,-3692000,335000,-4027000,-41010000,-47212000,-47212000,1339000,-45873000,40497000,0,-961000,0.50427,0.13165,0.06278,0.0195641345823037,0.00654907669067169,-0.08361,1.83244560654803,2.19352379744719,0.393168334575214,0.35247,0.34987,5.6146,8.07453715254008,-0.02947,0.0085116933186379,0.0228570176995022,4.2215861169406,7.11306182700587
"4","2011_Q3",12.37671875,"Down",181312000,-90876000,90436000,-66719000,-32526000,-27920000,-6273000,23717000,-6555000,-4150000,-2405000,17162000,-1345999.99999999,15816000,-6801000,9015000,9015000,9015000,9015000,134350000,114355000,19995000,166436000,166436000,78993000,1637000,59132000,379779000,51046000,369196000,200443000,9446000,159307000,420242000,800021000,65736000,28206000,2433000,35097000,1.6e+07,101254000,45451000,55803000,182990000,297407000,52292000,8062000,23709000,20521000,349699000,532689000,444195000,-704963000,522222000,5878000,267332000,267332000,800021000,9015000,17342000,-4604000,-21040000,713000,-8907000,-4588000,-13495000,-27056000,396000.000000001,418000,-21999.9999999991,-26650000,-39432000,-39432000,1802000,-37630000,41059000,313407000,17913000,0.49879,0.13081,0.04972,0.03372,0.01127,1.98702,2.07541,1.99261,0.39175,0.2743,0.27259,5.5167,8.134,0.54503,0.01424,0.0283,4.36097,7.54973
"5","2011_Q4",11.7271428571429,"Down",182753000,-92988000,89765000,-65336000,-31011000,-27921000,-6404000,24429000,-2996000,-3989000,993000,21433000,-1662000,19771000,-9292000,10479000,10479000,10479000,10479000,138599000,124160000,14439000,157276000,157276000,84703000,12214000,54737000,380578000,46098000,360818000,208987000,1329000,150502000,406916000,787494000,62273000,27140000,2192000,32941000,17500000,93650000,42447000,51203000,173423000,293565000,54947000,7942000,26227000,20778000,348512000,521935000,447464000,-712625000,532701000,-1981000,265559000,265559000,787494000,10479000,16788000,7282000,-4239000,30310000,-10788000,5565000,-5223000,-4023000,-7427000,405000,-7832000,-11450000,13637000,13637000,-3832000,9805000,41217000,311065000,35482000,0.49118,0.13367,0.05734,0.03946,0.01331,3.38601,2.19451,1.96542,0.39501,0.31982,0.31864,5.57769,8.10496,1.08292,0.01659,0.05618,4.18434,7.05989
"6","2012_Q1",13.0198387096774,"Up",187574000,-91022000,96552000,-64644000,-31470000,-26663000,-6511000,31908000,-4903000,-4016000,-887000,27005000,-4865000,22140000,-10846000,11294000,11294000,11294000,11294000,158830000,146733000,12097000,179804000,179804000,71326000,4139000,47205000,409960000,41154000,363783000,220013000,1008000,142762000,404937000,814897000,71537000,27198000,2334000,42005000,2.7e+07,98848000,44824000,54024000,197385000,282744000,60054000,8631000,28188000,23235000,342798000,540183000,450021000,-714893000,543995000,-4409000,274714000,274714000,814897000,11294000,17085000,5969000,-2523000,31825000,-5002000,2355000,-2647000,-2730000,-2156000,328000,-2484000,-4882000,24296000,24296000,-1723000,22573000,48993000,309744000,52314000,0.51474,0.17011,0.06021,0.04111,0.01386,4.63202,2.07696,1.96635,0.3801,0.35015,0.34728,5.81535,8.51694,1.62189,0.01752,0.08117,3.08032,4.72966
"7","2012_Q2",12.9926984126984,"Down",185007000,-89969000,95038000,-65384000,-31625000,-27922000,-5837000,29654000,-5340000,-3932000,-1408000,24314000,-702000,23612000,-11806000,11806000,11806000,11806000,11806000,188555000,178408000,10147000,170909000,170909000,65169000,1324000,45191000,424633000,37292000,360298000,222124000,1681000,136493000,397590000,822223000,73837000,28512000,14137000,31188000,20500000,102383000,52329000,50054000,196720000,283447000,56864000,8486000,24534000,23844000,340311000,537031000,450752000,-720083000,555801000,-1278000,285192000,285192000,822223000,11806000,16139000,945000,19299000,48189000,-4011000,1958000,-2053000,-7417000,-7522000,556000,-8078000,-14653000,31483000,31483000,192000,31675000,45793000,303947000,72887000,0.5137,0.16029,0.06381,0.0414,0.01436,6.17373,2.15857,1.88305,0.36966,0.36447,0.36258,5.7115,8.8044,2.25015,0.01828,0.11283,2.51986,3.89128
"8","2012_Q3",16.1788888888889,"Up",183851000,-92520000,91331000,-67467000,-33799000,-27794000,-5874000,23864000,-4903000,-3954000,-949000,18961000,-119000,18842000,-6972000,11870000,11870000,11870000,11870000,196062000,175963000,20099000,163392000,163392000,73297000,4800000,48822000,432751000,37741000,352336000,219933000,2320000,130083000,390077000,822828000,75108000,30450000,4777000,39881000,1.8e+07,108691000,57958000,50733000,201799000,277173000,53173000,8012000,23194000,21967000,330346000,532145000,454531000,-725521000,567671000,-5998000,290683000,290683000,822828000,11870000,16668000,1360000,6681000,36579000,-12487000,-9937000,-22424000,-10246000,-5012000,451000,-5463000,-15256000,-1101000,-1101000,-1344000,-2445000,40532000,295173000,41698000,0.49677,0.1298,0.06456,0.04083,0.01443,3.51289,2.14447,1.83067,0.35873,0.3687,0.36739,5.71072,9.0291,1.29521,0.01858,0.06525,2.44525,4.15316
"9","2012_Q4",16.1575806451613,"Down",190001000,-100411000,89590000,-67862000,-33963000,-28526000,-5373000,21728000,-4614000,-3815000,-799000,17114000,0,17114000,-7701000,9413000,9413000,9413000,9413000,184769000,160308000,24461000,174137000,174137000,71961000,5261000,46942000,430867000,38243000,366738000,233803000,1998000,130937000,404981000,835848000,82015000,33145000,3473000,45397000,20500000,104045000,54627000,49418000,206560000,270924000,50834000,7452000,21374000,22008000,321758000,528318000,458614000,-728243000,577084000,75000,307530000,307530000,835848000,9413000,17571000,5624000,-8954000,23654000,-8243000,-4368000,-31696000,-5102000,-2217000,565000,-2782000,-7201000,-15243000,-15243000,-412000,-15655000,39299000,291424000,29803000,0.47152,0.11436,0.04954,0.03061,0.01126,3.16615,2.08592,1.71794,0.34866,0.29434,0.29054,5.94124,9.61632,0.93193,0.01449,0.04587,2.71394,4.90864
"10","2013_Q1",15.8886666666667,"Down",198007000,-100916000,97091000,-73294000,-39396000,-28696000,-5202000,23797000,-4493000,-3427000,-1066000,19304000,-1648000,17656000,-1866000,15790000,15790000,15790000,15790000,169321000,133747000,35574000,191943000,191943000,79091000,6469000,50378000,440355000,39429000,367157000,233365000,2596000,131196000,406586000,846941000,93672000,30473000,2116000,61083000,1.5e+07,103060000,47691000,55369000,211732000,259698000,48872000,6504000,21674000,20694000,308570000,520302000,462150000,-728243000,592874000,-142000,326639000,326639000,846941000,15790000,16086000,3010000,-15866000,19020000,-13109000,-10945000,-24054000,-18933000,89000.0000000009,324000,-235000.000000001,-21285000,-26319000,-26319000,-242000,-26561000,39883000,274698000,12774000,0.49034,0.12018,0.07974,0.04834,0.01864,0.80899,2.07978,1.5929,0.32434,0.49236,0.48382,6.17421,10.18519,0.39832,0.02428,0.01965,2.64215,4.42816
