"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",30.00171875,"Down",427888000,-333886000,94002000,-63811000,-63811000,30191000,-1566000,-1576000,10000,28625000,28625000,-12001000,16624000,16624000,16624000,16624000,108340000,108340000,247250000,247250000,103400000,13470000,7120000,472460000,92390000,1048460000,1044040000,2250000,2170000,1140850000,1613310000,327700000,238870000,88830000,12500000,340200000,1.85e+08,236130000,194480000,41650000,421130000,761330000,835350000,16630000,851980000,851980000,1613310000,16624000,2930000,6356000,26193000,52103000,-3147000,331000,331000,-3478000,-3478000,-3107000,-2500000,-1422000,-3922000,45074000,45074000,45074000,33121000,197500000,68168000,0.21969,0.07056,0.03885,0.01951,0.0103,4.10058,1.38877,0.8936,0.12242,0.44117,0.43851,11.35529,22.60984,1.80904,0.01293,0.05302,2.69195,2.9532
"2","2016_Q1",27.0401639344262,"Down",426471000,-321950000,104521000,-61524000,-61524000,42997000,-1537000,-1572000,35000,41460000,41460000,18209000,59669000,59751000,59751000,59751000,112848000,112848000,235549000,235549000,118701000,13263000,13263000,480361000,93066000,1068822000,1044041000,1987000,2245000,1161888000,1642249000,311680000,253311000,58369000,1.5e+07,326680000,218112000,181728000,181254000,473999.999999993,399840000,726520000,839353000,76376000,915729000,915729000,1642249000,59751000,3038000,-27852000,-22072000,12865000,-3021000,34000,34000,-3055000,-3055000,-2889000,-2500000,-2970000,-5470000,4506000,4506000,4506000,46035000,233112000,2733000,0.24508,0.10082,0.14011,0.06525,0.03638,0.0457399999999994,1.47043,0.79338,0.14195,1.58567,1.57749,11.31765,24.30153,0.07253,0.04491,0.00205000000000001,2.61245,2.79703
"3","2016_Q2",33.7928125,"Up",414024000,-324569000,89455000,-69688000,-69688000,19767000,-1598000,-1673000,75000,18169000,18169000,-7053000,11116000,11116000,11116000,11116000,108150000,108150000,2.43e+08,2.43e+08,108016000,6096000,6096000,465262000,92098000,1068495000,1044041000,1778000,2127000,1160593000,1625855000,288835000,223308000,65527000,17500000,306335000,212184000,181686000,181251000,435000,393870000,700205000,839697000,87492000,925650000,925650000,1625855000,11116000,2895000,3995000,-14653000,3353000,-2824000,76000,76000,-2900000,-2900000,-2756000,-2500000,-1256000,-5295000,-4698000,-4698000,-4698000,22662000,229684000,12238000,0.21606,0.04774,0.02685,0.01201,0.00684,1.10094,1.5188,0.75645,0.14127,0.29437,0.29331,10.96421,24.51311,0.32409,0.00831,0.00915,5.3629,6.14833
"4","2016_Q3",35.2053125,"Up",431589000,-333901000,97688000,-70898000,-70898000,26790000,-1310000,-1371000,61000,25480000,25480000,-9865000,15615000,15615000,15615000,15615000,102090000,102090000,254998000,254998000,102216000,16529000,16529000,475833000,91829000,1067755000,1044041000,1584000,1581000,1159584000,1635417000,287383000,214012000,73371000,2e+07,307383000,206429000,181687000,181251000,436000,388116000,695499000,841773000,103107000,939918000,939918000,1635417000,15615000,3013000,3990000,-19825000,2793000,-2980000,143000,143000,-3123000,-3123000,-2901000,-2500000,-29000,-5952000,-6060000,-6060000,-6060000,29803000,226429000,16863000,0.22634,0.06207,0.03618,0.01661,0.00955,1.07992,1.54801,0.73996,0.13845,0.41428,0.41117,11.45052,24.93703,0.44739,0.01158,0.01251,4.17203,4.64125
"5","2016_Q4",34.4257142857143,"Down",453102000,-344963000,108139000,-69037000,-69037000,39102000,-1206000,-1271000,65000,37896000,37896000,-13328000,24568000,24568000,24568000,24568000,104497000,104497000,265655000,265655000,105829000,16425000,16425000,492406000,91992000,1072065000,1045058000,2838000,3620000,1164057000,1656463000,291455000,217931000,73524000,2e+07,311455000,203269000,182166000,181730000,436000,385435000,696890000,843275000,127675000,959573000,959573000,1656463000,24568000,3015000,4543000,-10338000,21788000,-3900000,160000,160000,-4060000,-4060000,-7430000,-5e+06,-536000,-11951000,2407000,2407000,2407000,42117000,223269000,41207000,0.23866,0.0863,0.05422,0.0256,0.01483,1.67726,1.58099,0.72625,0.13479,0.65344,0.64735,12.05116,25.52177,1.09598,0.018,0.03019,2.82005,3.03749
"6","2017_Q1",40.6016129032258,"Up",444135000,-339073000,105062000,-69117000,-69117000,35945000,-1217000,-1293000,76000,34728000,34728000,-13421000,21307000,21307000,21307000,21307000,134375000,134375000,252624000,252624000,116190000,23364000,23364000,526553000,92760000,1070806000,1045058000,2656000,3623000,1163566000,1690119000,305933000,241534000,64399000,2e+07,325933000,197491000,194148000,193715000,433000,391639000,717572000,845861000,148982000,972547000,972547000,1690119000,21307000,3088000,16390000,8066000,48851000,-3734000,339000,339000,-4073000,-4073000,-3714000,-5e+06,660000,-15259000,29878000,29878000,29878000,39033000,217491000,56786000,0.23655,0.08093,0.04797,0.02191,0.01261,2.66513,1.61553,0.73783,0.12868,0.57136,0.56605,11.90972,26.07937,1.52275,0.01539,0.04102,2.12938,2.31231
"7","2017_Q2",51.2401587301587,"Up",441363000,-339735000,101628000,-75091000,-75091000,26537000,-1263000,-1370000,107000,25274000,-4726000,3016000,-1710000,-1710000,-1710000,-1710000,80370000,80370000,269359000,269359000,112633000,27592000,27592000,489954000,95788000,1102197000,1063518000,15952000,3258000,1197985000,1687939000,326621000,226974000,99647000,2e+07,346621000,191752000,195607000,193715000,1892000,387359000,733980000,846362000,147272000,953959000,953959000,1687939000,-1710000,3231000,3731000,9582000,14834000,-3667000,133000,133000,-3800000,-3800000,-44877000,-5e+06,-1583000,-23962000,-54005000,-54005000,-54005000,29768000,211752000,32667000,0.23026,0.06013,-0.00387,-0.00179,-0.00101,-19.10351,1.41352,0.7694,0.12545,-0.04606,-0.04606,11.88913,25.69708,0.87996,-0.00126,0.024,4.41353,4.9509
"8","2017_Q3",56.5257142857143,"Up",474458000,-357849000,116609000,-75813000,-75813000,40796000,-1813000,-1918000,105000,38983000,37897000,-14438000,23459000,23459000,23459000,23459000,94233000,94233000,297325000,297325000,111640000,23391000,23391000,526589000,98185000,1136285000,1084833000,28786000,3197000,1234470000,1761059000,320175000,2.43e+08,77175000,12500000,332675000,273554000,196866000,193715000,3151000,470420000,803095000,848815000,170731000,957964000,957964000,1761059000,23459000,3604000,5901000,-22127000,10837000,-4778000,-7000.00000000003,-7000.00000000003,-4771000,-4771000,-47353000,7.5e+07,-2714000,50379000,13863000,13863000,13863000,44400000,286054000,31933000,0.24577,0.08598,0.04944,0.02449,0.01332,1.36123,1.58289,0.83834,0.16243,0.64298,0.6225,13.0043,26.25659,0.87524,0.01628,0.02216,4.32029,4.70196
"9","2017_Q4",66.3169841269841,"Up",489044000,-368205000,120839000,-71277000,-71277000,49562000,-2452000,-2479000,27000,47110000,47110000,-15717000,31393000,31393000,31393000,31393000,18460000,18460000,315382000,315382000,116781000,15043000,15043000,465666000,98144000,1133884000,1077102000,34280000,3033000,1232028000,1697694000,323816000,242617000,81199000,17500000,341316000,269801000,197176000,193980000,3196000,466977000,808293000,828860000,202123000,889401000,889401000,1697694000,31393000,4918000,4058000,-11422000,28947000,-4190000,327000,327000,-4517000,-4517000,-4267000,1875000,-2328000,-100453000,-75773000,-75773000,-75773000,54480000,287301000,54585000,0.24709,0.10134,0.06419,0.0353,0.01849,1.73876,1.36433,0.90881,0.16923,0.89688,0.87891,13.97167,25.40962,1.55946,0.02285,0.03973,4.93467,5.42434
"10","2018_Q1",75.597868852459,"Up",501401000,-379368000,122033000,-72064000,-72064000,49969000,-2210000,-2252000,42000,47759000,47759000,57232000,104991000,104991000,104991000,104991000,56521000,56521000,308508000,308508000,131342000,15221000,15221000,511592000,107121000,1130836000,1077186000,33243000,2278000,1237957000,1749549000,338901000,263814000,75087000,12500000,351401000,265547000,136082000,132840000,3242000,401629000,753030000,830986000,307115000,996519000,996519000,1749549000,104991000,4700000,-55520000,4403000,58574000,-12070000,150000,150000,-12220000,-12220000,-12099000,-8124999.99999999,-289000,-8413999.99999997,38061000,38061000,38061000,54669000,278047000,-10230000,0.24338,0.09966,0.2094,0.10536,0.06001,-0.0974399999999997,1.45586,0.75566,0.15892,3.00145,2.93581,14.3339,28.48819,-0.29245,0.07443,-0.00725,4.05213,4.43327
