"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2012_Q4",0.654838709677419,"Down",10102000,-2216000,7886000,-7174000,-7174000,712000,-125000,-119000,587000,587000,-229000,358000,358000,358000,358000,843000,843000,12252000,12252000,6731000,1705000,210000,21531000,3914000,748000,279000,4662000,26193000,6259000,2453000,2498000,6450000,6450000,12852000,1563000,1025000,1712000,14564000,5465000,6164000,11629000,11629000,26193000,292000,0.78064,0.07048,0.03544,0.03079,0.01367,1.6753,1.25239,0.01115,0.01045,0.01039,0.295,0.33959,0.02655,-0.77388
"2","2013_Q1",0.534666666666667,"Down",10594000,-2955000,7639000,-7032000,-7032000,607000,-95000,-142000,512000,512000,-115000,397000,397000,402000,402000,823000,823000,12224000,12224000,6160000,2155000,243000,21362000,3705000,869000,269000,4574000,25936000,5651000,2057000,2164000,6298000,6298000,12093000,1674000,888000,1788000,13881000,5484000,6566000,12050000,12055000,25936000,258000,0.72107,0.0573,0.03795,0.03335,0.0155,1.76648,1.15147,0.00995,0.01173,0.01168,0.30923,0.35173,0.02874,-0.93081
"3","2013_Q2",0.44328125,"Down",7668000,-2191000,5477000,-5839000,-5839000,-362000,-130000,-130000,-492000,-492000,182000,-310000,-310000,-304000,-304000,681000,681000,11234000,11234000,6324000,2339000,256000,20578000,3519000,694000,255000,4213000,24791000,4136000,1675000,1458000,7013000,7013000,11300000,1566000,780000,1710000,13010000,5520000,6262000,11782000,11781000,24791000,295000,0.71427,-0.04721,-0.03965,-0.0258,-0.01226,1.82106,1.10432,0.0119,-0.00887,-0.00887,0.2238,0.34387,-0.02228,1.0663
"4","2013_Q3",0.325625,"Down",5472000,-1883000,3589000,-6147000,-6147000,-2558000,-142000,-214000,-2700000,-2700000,973000,-1727000,-1727000,-1716000,-1716000,445000,445000,9775000,9775000,5845000,3304000,194000,19369000,3849000,931000,646000,4780000,24149000,4255000,2108000,1256000,7244000,7244000,11630000,2297000,1511000,2432000,14062000,5553000,4546000,10099000,10087000,24149000,266000,0.65588,-0.46747,-0.3136,-0.17012,-0.07106,1.66543,1.39407,0.01101,-0.05008,-0.05008,0.15971,0.29475,-0.13565,0.06998
"5","2013_Q4",0.245555555555556,"Down",5191000,-1546000,3645000,-4713000,-4713000,-1068000,-136000,-136000,-1204000,-1204000,455000,-749000,-749000,-738000,-738000,468000,468000,8824000,8824000,6131000,3745000,178000,19168000,3282000,909000,633000,4191000,23359000,4452000,2289000,1117000,7050000,7050000,11610000,2261000,1475000,2382000,13992000,5582000,3808000,9390000,9367000,23359000,229000,0.70218,-0.20574,-0.14217,-0.07879,-0.03159,1.65099,1.49375,0.0098,-0.02154,-0.02154,0.1515,0.27406,-0.06224,0.22378
"6","2014_Q1",0.340491803278689,"Up",3353000,-2520000,833000,-4445000,-4445000,-3612000,-122000,-127000,-3734000,-3734000,-820000,-4554000,-4554000,-4543000,-4543000,323000,323000,7033000,7033000,5002000,1346000,346000,13704000,2891000,626000,448000,3517000,17221000,3765000,2743000,926000,5827000,5827000,9684000,2539000,2467000,2689000,12373000,5617000,-735000,4882000,4848000,17221000,242000,0.24843,-1.07724,-1.35491,-0.93709,-0.26381,1.41512,2.55219,0.01405,-0.13253,-0.13253,0.09781,0.14242,-0.59549,0.0224300000000001
"7","2014_Q2",0.341269841269841,"Up",3167000,-997000,2170000,-3456000,-3456000,-1286000,-158000,-158000,-1444000,-1444000,-1277763.07906679,-1444000,-1444000,-1430000,-1430000,189000,189000,6284000,6284000,5011000,1273000,244000,12757000,3012000,233000,65000,3245000,16002000,3853000,2905000,854000,5615000,5615000,9536000,2895000,2823000,3031000,12567000,5648000,-2165000,3483000,3435000,16002000,204000,0.68519,-0.40606,-0.45153,-0.4163,-0.08936,1.33777,3.65852,0.01275,-0.04171,-0.04171,0.09236,0.10158,-0.21886,-0.01166
"8","2014_Q3",0.195254237288136,"Down",1349000,-1171000,178000,-2947000,-2947000,-2769000,-135000,-144000,-2904000,-5559000,-958598.435948791,-5559000,-5559000,-5553000,-5553000,311000,311000,4982000,4982000,2583000,651000,173000,8527000,2051000,165000,11000,2216000,10743000,3595000,3e+06,504000,6176000,4880000,9806000,2916000,2844000,3037000,12843000,5672000,-7718000,-2046000,-2100000,10743000,156000,0.13195,-2.05263,-4.11638,2.64429,-0.51689,0.86957,-6.11571,0.01452,-0.16195,-0.16195,0.03934,-0.05967,-5.71296,0.05598
"9","2014_Q4",0.13359375,"Down",4405000,-1383000,3022000,-2609000,-2609000,413000,-144000,-169000,269000,269000,-352884.574856397,269000,269000,259000,259000,319000,319000,4460000,4460000,2483000,328000,37000,7590000,1833000,145000,3000,1978000,9568000,3614000,2745000,791000,4654000,4545000,8350000,2929000,2857000,3007000,11357000,5714000,-7459000,-1745000,-1789000,9568000,160000,0.68604,0.09376,0.0588,-0.14477,0.02707,0.90898,-6.34824,0.01672,0.00754,0.00754,0.12829,-0.05082,0.19923,-0.38499
"10","2015_Q1",0.137868852459016,"Up",2196000,-1406000,790000,-2385000,-2385000,-1595000,-146000,-65000,-1741000,454000,48999.9999999991,503000,503000,524999.999999999,524999.999999999,63000,63000,3189000,3189000,1935000,518000,250000,5705000,1276000,133000,2000,1409000,7114000,3425000,2544000,802000,4554000,4442000,8057000,13000,13000,324000,8381000,5733000,-6934000,-1201000,-1267000,7114000,389000,0.35974,-0.72632,0.239070000000001,-0.41436,0.0738,0.70808,-6.61484,0.05468,0.01526,0.01526,0.06384,-0.03491,-0.60694,-0.20439
