"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2015_Q2",14.491746031746,"Down",161226000,-148080000,-12613000,-73583000,-61884000,13146000,-34838000,-41034000,975000,-21692000,10839000,-10853000,-574000,-11427000,-11427000,1696000,-9731000,-9731000,380889000,380889000,12863000,378146000,378146000,771898000,7424381000,7545546000,-121165000,735313000,629021000,6370000,99922000,8181080000,8952978000,2931036000,78282000,24971951.9632839,2852754000,255259000,255259000,3186295000,214147000,210964000,214147000,3400442000,3810315000,19058000,97274324.353697,3829373000,1723163000,5552536000,8952978000,-11427000,73583000,-25633000,-37187000,-5171000,-8928000,-23088000,-664000,-21636000,-21636000,1310000,-20326000,-35325000,-337000,-1058000,-36720000,-57710000,-57710000,-57710000,86729000,0,28480000,0.08154,-0.06036,-0.00175,-0.00109,-2.92673,0.24226,0.61241,0,-0.04588,-0.04588,0.76012,18.05399,0.13427,0.16654,0.00444,0.00494,-3.63015,-4.39171,-28.97376
"2","2015_Q3",13.66734375,"Down",162928000,-146335000,-9133000,-79421000,-57781000,16593000,-25641000,-41724000,2011000,-9048000,13539000,4491000,-1343000,3148000,3148000,-7857000,-4709000,-4709000,438088000,438088000,10781000,381282000,381282000,830151000,7414579000,7576956000,-162377000,688638000,583126000,6128000,99384000,8124741000,8954892000,2974898000,96595000,25066000,2853237000,233694000,233694000,3208592000,204498000,201839000,204498000,3413090000,3895878000,-5843000,-493000,3889542000,1652260000,5541802000,8954892000,3148000,79421000,-40838000,21259000,4910000,1293000,15056000,62990000,-20278000,-20278000,8240000.00000001,-12038000,0,-340999.999999993,6588000,6246999.99999999,57199000,57199000,57199000,96014000,9.31322574615479e-10,98338000,0.10184,-0.0289,-0.00085,-0.00053,-20.88299,0.25873,0.61588,-1.0842021724855e-19,-0.0222,-0.0222,0.76814,18.33767,0.46363,-2.77555756156289e-17,-0.00082,0.01711,4.44089209850063e-16,-4.56275,-26.40198
"3","2015_Q4",14.208125,"Up",167726000,-140674000,-6666000,-70654000,-63354000,27052000,-32193000,-44584000,1458000,-5141000,15287000,10146000,-789000,9357000,9357000,-8241000,1116000,1116000,418095000,418095000,12313000,429089000,429089000,859497000,7407755000,7609860000,-202105000,699189000,546432000,6537000,146220000,8127309000,8986806000,2975958000,97157000,25066000,2853735000,235558000,235558000,3211516000,195602000,193042000,195602000,3407118000,3896106000,-24874000,-15389000,3855843000,1723845000,5579688000,8986806000,9357000,70654000,-47597000,-36524000,-4360000,-708000,-31456000,-4110000,-26570000,-26570000,-36502000,-63072000,-25071000,-346000,72606000,47189000,-19993000,-19993000,-19993000,97706000,0,35401000,0.16129,0.00665,2e-04,0.00012,31.72133,0.26763,0.61063,0,0.00526,0.00526,0.79076,18.17879,0.1669,0.1182,0.00453,0.00613,22.46505,-4.27911,-15.45523
"4","2016_Q1",12.7711475409836,"Down",170528000,-146345000,-13644000,-70966000,-61735000,24183000,-29998000,-40153000,2406000,-5815000,25740000,19925000,140000,20065000,20065000,-11160000,8905000,8905000,143884000,143884000,10844000,458261000,458261000,612989000,7409028000,7652117000,-243089000,731691000,511207000,7102000,213382000,8162240000,8775229000,3050407000,102730000,25067000,2922610000,166336000,166336000,3216743000,182274000,179741000,202274000,3419017000,3804980000,-36120000,-7843000,3761017000,1595195000,5356212000,8775229000,20065000,70966000,-176123000,9925999.99999999,1469000,2191000,6265999.99999999,-75166000,-39375000,-39375000,26952000,-13904000,-25062000,106935000,-280919000,-199046000,-288116000,-288116000,-288116000,95149000,2e+07,65560000,0.14181,0.05222,0.00166,0.00101,7.36216000000001,0.19056,0.63833,0.00228,0.04198,0.04198,0.80397,17.73172,0.30909,0.11816,0.00611,0.01179,2.81437,-1.302,-5.12277
"5","2016_Q2",13.09671875,"Up",172918000,-151718000,-13961000,-74812000,-62945000,21200000,-34249000,-35419000,1496000,-13049000,5925000,-7124000,-363000,-7487000,-7487000,993000,-6494000,-6494000,178721000,178721000,12092000,42253000,42253000,233066000,7389456000,7672835000,-283379000,760137000,464227000,34001000,261909000,8170991000,8404057000,3103661000,154680000,25147000,2923834000,190197000,190197000,3293858000,168888000,167069000,208888000,3502746000,3820474000,-62835000,-31815000,3725824000,1175487000,4901311000,8404057000,-7487000,74812000,-16597000,31311000,-1362000,62019000,-29346000,82039000,-33193000,-33193000,-6e+05,-33793000,-25068000,19646000,-267258141.777771,-5422000,42824000,42824000,42824000,96012000,4e+07,94493000,0.1226,-0.03756,-0.00132,-0.00077,-14.55082,0.07076,0.71465,0.00476,-0.03057,-0.03057,0.8141,17.54125,0.44487,0.11802,0.00363,0.01849,-3.86018,-1.44483,-6.54344
"6","2016_Q3",13.90609375,"Up",172303000,-139420000,-12139000,-67287000,-59994000,32883000,-35936000,-36979000,2003000,-3053000,9565000,6511999.99999999,1398000,7910000,7910000,-4722000,3188000,3188000,224489000,224489000,10895000,29043000,29043000,264427000,7387115000,7710339000,-323224000,735190000,435450000,31598000,268142000,8143782000,8408209000,3184489000,147048000,25151000,3012290000,175873000,175873000,3360362000,154904000,154658000,174904000,3535266000,3930067000,-80496000,-41498000,3808073000,1064870000,4872943000,8408209000,7910000,67287000,-35393000,10133000,1197000,-7081999.99999999,16018000,49937000,-40647000,-40647000,13112000,-27535000,-25146000,72779000,-24267000,23366000,45768000,45768000,45768000,100170000,2e+07,68258000,0.19084,0.0185,0.00065,0.00038,21.41092,0.07869,0.72549,0.00238,0.01468,0.01468,0.79358,17.5389,0.31438,0.11582,0.00561,0.01352,7.8877,-2.04142,-6.21868
"7","2016_Q4",12.845873015873,"Down",171318000,-143636000,-13235000,-66376000,-64025000,27682000,-35441000,-35979000,1792000,-7759000,12446000,4687000,-218000,4469000,4469000,-4608000,-139000,-139000,83281000,83281000,12185000,30304000,30304000,125770000,7370321000,7733425000,-363104000,821946000,406186000,32071000,383689000,8214278000,8340048000,3127695000,85947000,25151000,3016597000,155620000,155620000,3283315000,144443000,144197000,194443000,3477758000,3932745000,-101327000,-35092000,3796326000,1065964000,4862290000,8340048000,4469000,66376000,-34199000,-98474000,-1290000,-58272000,-38912000,-61828000,-33605000,-33605000,-52216000,-85821000,-25151000,32589000,-997000,6441000,-141208000,-141208000,-141208000,94058000,5e+07,-37803000,0.16158,-0.00081,-3e-05,-2e-05,271.96403,0.03831,0.71525,0.006,-0.00063,-0.00063,0.78087,17.30367,-0.17231,0.11464,0.00495,-0.00748,-180.94245,-0.35383,-1.20226
"8","2017_Q1",13.6309677419355,"Up",166802000,-138226000,-14175000,-60975000,-63076000,28576000,-33663000,-37827000,2122000,-5087000,4866000,-220999.999999998,-2602000,-2823000,-2823000,-3666000,-6489000,-6489000,162965000,162965000,15251000,29374000,29374000,207590000,7530932000,7849093000,-318161000,1106253000,412225000,34584000,659444000,8659578000,8867168000,3493945000,103896000,25151000,3364898000,104258000,104258000,3598203000,153018000,153018000,383018000,3981221000,4119287000,-129654000,372000,3990005000,895942000,4885947000,8867168000,-2823000,60975000,-20969000,40952000.0000001,-3066000,14814000,29204000,78135000,-543064000,-543064000,37924000,-505509000,-25152000,758131000,-238370000,494609000,67235000,67235000,67235000,89551000,2.3e+08,-409959000,0.17132,-0.0389,-0.00133,-0.00073,63.17753,0.05769,0.81483,0.02594,-0.02906,-0.02906,0.74701,17.86894,-1.83597,0.11264,0.00354,-0.07781,-3.87609999999998,0.74857,2.34585
"9","2017_Q2",13.377619047619,"Down",181236000,-142544000,-13581000,-62992000,-65971000,38692000,-31593000,-33818000,1937000,7099000,-1188000,5911000,-4282000,1629000,1629000,-1257000,372000,372000,125734000,125734000,12564000,75198000,75198000,213496000,7497700000,7857283000,-359583000,1148701000,389588000,59872000,699241000,8672018000,8885514000,3591255000,88250000,25207000,3477798000,102487000,102487000,3693742000,146414000,145138000,346414000,4040156000,4141736000,-151417000,3696000,3994015000,851343000,4845358000,8885514000,1629000,62992000,-20044000,-3861000,2687000,-8355000,1807000,40716000,-15087000,-15087000,3845000,-40714000,-25151000,87914000,-54172000,8591000,8593000,8593000,8593000,101684000,2e+08,87018000,0.21349,0.00205,8e-05,4e-05,233.91935,0.0578,0.83382,0.02251,0.00161,0.00161,0.78483,17.29578,0.37682,0.10891,0.00492,0.01676,67.61022,0.73036,1.91941
"10","2017_Q3",13.1657142857143,"Down",177704000,-148670000,-16573000,-68636000,-63461000,29034000,-18207000,-32331000,16535000,10827000,128325000,139152000,-970000,138182000,138182000,-35166000,103016000,103016000,254763000,254763000,12032000,42384000,42384000,309179000,7396936000,7794908000,-397972000,789824000,363523000,67645000,358656000,8208324000,8517503000,3417390000,83334000,25211000,3308845000,79171000,79171000,3496561000,135031000,133748000,135031000,3631592000,4256768000,-71037000,143000,4185874000,700037000,4885911000,8517503000,138182000,68636000,-153665000,-14877000,415000.000000001,-6902000,-8390000,38276000,-17991999.9999999,-17992000,6502000,532837000,-25207000,-371179000,-78512000,-474898000,96215000,96215000,96215000,97670000,-2.98023223876953e-08,65771000,0.16338,0.57971,0.02108,0.01209,0.638450000000006,0.08842,0.74328,0,0.43838,0.43835,0.75622,17.81295,0.27989,0.10727,0.02554,0.0131,0.244690000000006,-2.60841,-8.77464
