"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",15.8826984126984,"Up",6362000,-7658000,-1296000,-3485000,-3485000,-4781000,-44000,-399000,355000,-4825000,-4825000,1709000,-3132000,-3132000,-3132000,-66000,-3198000,262000,262000,3426000,3393000,3705000,1244000,1220000,7393000,53283000,23621000,75141000,75141000,152045000,159438000,5712000,2031000,3681000,626000,6338000,85312000,15692000,8444000,7248000,101004000,107342000,3e+06,34847000,15044000,-795000,52096000,52096000,159438000,-3132000,-3132000,587000,872000,-3845000,-5518000,-1304000,-1304000,-1304000,-112000,-1423000,-418000,6755000,6755000,-1739000,8494000,6337000,-604000,-604000,-604000,-4194000,85938000,-11052000,-0.20371,-0.75149,-0.50267,-0.06139,-0.02006,3.45591,1.16646,2.06047,0.53901,-0.28447,-0.28447,0.56591,4.36719,-0.9831,0.03718,-0.01808,-0.07189,-0.13071,-20.42823,-17.9201
"2","2010_Q3",16.0378125,"Up",13209000,-9718000,3491000,-2466000,-2466000,1025000,-929000,-362000,-3000,96000,96000.0000000019,-47999.9999999995,112000,112000,112000,-65000,47000,11000,11000,6981000,6981000,3292000,1618000,1658618.37742063,10813000,53964000,20365000,78417000,77979000,152746000,163559000,6611000,1048000,5563000,613000,7224000,95609000,13641000,8469000,5172000,109250000,116474000,3e+06,33929000,12534000,-2378000,47085000,47085000,163559000,112000,112000,571000,541000,219000.000000001,1443000,-1553000,-1553000,-1553000,-10000,-1478000,-415000,461000,461000,-6755000,7216000,46000,11000,11000,11000,1596000,96222000,310000,0.26429,0.0776000000000001,0.00356000000000001,0.000999999999999987,0.000290000000000006,6.59574,1.49682,2.4737,0.5883,0.00419000000000014,0.00418999999999992,1.1778,3.9309,0.0276399999999998,0.037,0.00293999999999999,0.00198,8.82979,60.28258,93.86439
"3","2010_Q4",19.756875,"Up",22230000,-10431000,11799000,-2288000,-2288000,9511000,-1402000,-410000,-16000,8109000,7592000,-2704000,4915000,4915000,4915000,-66000,4849000,197000,197000,10174000,10174000,1411000,1242000,1583618.37742063,12480000,53743000,22905000,78754000,78477000,155402000,167882000,6959000,945000,6014000,619000,7578000,91277000,15507000,9642000,5865000,106784000,114362000,3e+06,34093000,17032000,-605000,53520000,53520000,167882000,4915000,4915000,566000,1614000,-910000,6185000,-1248000,-1248000,-1248000,-4000,-1235000,-416000,-4326000,-4326000,-12936000,8610000,-4763000,187000,187000,187000,10077000,91896000,10623000,0.53077,0.42785,0.21813,0.0906,0.02888,2.19076,1.64687,2.13681,0.54738,0.43237,0.43237,1.98217,4.50468,0.94721,0.03709,0.03272,0.06601,0.08579,9.09983,9.64136
"4","2011_Q1",20.5303225806452,"Up",12483000,-9918000,2565000,-2775000,-2775000,-209999.999999998,-842000,-348000,-47000,-1052000,-2957000,1115000,-1572000,-1572000,-1572000,-65000,-1637000,262000,262000,3426000,3393000,3705000,1244000,1220000,7393000,53283000,23621000,75141000,75141000,152045000,159438000,5712000,2031000,3681000,626000,6338000,85312000,15692000,8444000,7248000,101004000,107342000,3e+06,34847000,15044000,-795000,52096000,52096000,159438000,-1572000,-1572000,613000,2075000,3827000,4943000,-1397000,-1397000,-1397000,2801000,1492000,-416000,-5958000,-5958000,-14487000,8529000,-6374000,61000,61000,61000,403000,85938000,1718000,0.20548,-0.01682,-0.13114,-0.03142,-0.01027,-1.04948,1.16646,2.06047,0.53901,-0.14623,-0.14607,1.11505,4.38553,0.15346,0.03716,-0.00794,0.01118,-0.254119999999999,212.59553,-407.98095
"5","2011_Q2",17.6585714285714,"Down",5901000,-8488000,-2587000,-2950000,-2950000,-5537000,489000,-325000,337000,-5048000,-5048000,1712000,-3327000,-3327000,-3327000,-66000,-3393000,24000,24000,3456000,3447000,5560000,1805000,802000,9040000,53137000,24201000,76263000,76263000,153601000,162641000,5428000,1885000,3543000,632000,6060000,92374000,15522000,8908000,6614000,107896000,113956000,3e+06,34480000,11301000,-96000,48685000,48685000,162641000,-3327000,-3327000,568000,-84000,-2910000,-5753000,-1230000,-1230000,-1230000,-164000,-1137000,-416000,7068000,7068000,-2324000,9392000,6652000,-238000,-238000,-238000,-4969000,93006000,-10821000,-0.4384,-0.93832,-0.57499,-0.06969,-0.02086,3.18921,1.49175,2.34068,0.57185,-0.30297,-0.30297,0.52692,4.07938,-0.96625,0.03715,-0.01894,-0.06883,-0.12261,-18.71242,-16.79285
"6","2011_Q3",16.273125,"Down",12510000,-10639000,1871000,-2220000,-2220000,-348999.999999999,-237000,-241000,-34000,-586000,-431000,197000,-264000,-264000,-264000,-65000,-329000,11000,11000,5021000,5021000,5028000,2078000,550000,10060000,51445000,22832000,77013000,77013000,151290000,161350000,7372000,2469000,4903000,638000,8010000,91075000,14780000,8501000,6279000,105855000,113865000,3e+06,34576000,10622000,-713000,47485000,47485000,161350000,-264000,-264000,532000,-97999.9999999998,740000,909999.999999998,-1927000,-1927000,-1927000,2735000,827000,-415000,-1293000,-1293000,-9057000,7764000,-1750000,-13000.0000000001,-12999.9999999999,-12999.9999999999,183000,91713000,-1201000,0.14956,-0.0279,-0.0263,-0.00693000000000002,-0.00204,3.65046,1.25593,2.39792,0.56841,-0.02935,-0.02935,1.11587,3.96798,-0.10713,0.03702,0.000560000000000001,-0.0078,-1.2614,501.10383,-262.75645
"7","2011_Q4",14.3273015873016,"Down",23202000,-13727000,9475000,-2226000,-2226000,7249000,-244000,-312000,155000,7005000,7005000,-2356000,4635000,4635000,4635000,-66000,4569000,10000,10000,7166000,7166000,2398000,1739000,659000,9574000,49332000,22599000,78442000,78442000,150373000,159947000,7506000,3195000,4311000,645000,8151000,85086000,14682000,8558000,6124000,99768000,107919000,3e+06,34816000,14841000,-629000,52028000,52028000,159947000,4635000,4635000,561000,418000,443000,6057000,-1678000,-1678000,-1678000,0,340000,-416000,-5982000,-5982000,-12837000,6855000,-6398000,-1000,-1000,-1000,7810000,85731000,8931000,0.40837,0.31243,0.19692,0.08782,0.02857,1.95469,1.17458,2.07425,0.536,0.40787,0.40744,2.07124,4.37672,0.79727,0.03714,0.0327,0.05859,0.09105,10.9758,11.82522
"8","2012_Q1",15.5277419354839,"Up",10882000,-8107000,2775000,-1932000,-1932000,843000.000000001,-145000,-278000,24000,698000.000000001,697999.999999999,-260000,554000,554000,554000.000000001,-65000,489000,21000,21000,2446000,2410000,3985000,1385000,1276000,6452000,49187000,23905000,79484000,79484000,152576000,159028000,6053000,2650000,3403000,736000,6789000,82135000,18052000,10160000,7892000,100187000,106976000,3e+06,34975000,14980000,-903000,52052000,52052000,159028000,554000,554000,546000,1787000,1899000,4786000,-1524000,-1524000,-1524000,-7243000,-1500000,-415000,-2860000,-2860000,-10471000,7611000,-3275000,11000,11000,11000,1389000,82871000,2024000,0.25501,0.07747,0.04494,0.00939,0.00307,4.13906,0.95036,2.05518,0.52111,0.04363,0.0436300000000001,0.97091,4.37652,0.18059,0.03703,0.00591,0.01323,0.84867,59.64723,98.27995
"9","2012_Q2",13.664126984127,"Down",10237000,-12206000,-1969000,-2771000,-2771000,-4740000,354000,-150000,345000,-4386000,-4386000,1580000,-2809000,-2809000,-2809000,-66000,-2875000,28000,28000,5200000,5151000,5878000,1961000,1013000,11106000,49090000,27026000,81081000,81081000,157197000,168303000,8282000,2965000,5317000,742000,9024000,89270000,20061000,10816000,9245000,109331000,118355000,3e+06,35102000,11756000,90000,49948000,49948000,168303000,-2809000,-2809000,520000,348000,-3043000,-4984000,-1667000,-1667000,-1667000,-52000,-1734000,-416000,7141000,7141000,-2929000,10070000,6725000,7000,7000,7000,-4220000,90012000,-10510000,-0.19234,-0.46303,-0.28084,-0.05756,-0.01708,3.65565,1.23072,2.36956,0.53482,-0.25658,-0.25658,0.91361,4.18992,-0.93797,0.03713,-0.01537,-0.06568,-0.1447,-21.32322,-18.98397
"10","2012_Q3",15.4242857142857,"Up",16096000,-12451000,3645000,-2513000,-2513000,1132000,14999.9999999999,-44000,-137000,1147000,1147000,-385000,737000,737000,737000,-65000,672000,16000,16000,7103000,7062000,5491000,2251000,1121000,12610000,50024000,28038000,81979000,81979000,160041000,172651000,10652000,3408000,7244000,748000,11400000,89972000,20091000,11337000,8754000,110063000,121463000,3e+06,35233000,12078000,877000,51188000,51188000,172651000,737000,737000,546000,-36999.9999999998,714000.000000001,1960000,-2107000,-2107000,-2107000,-60999.9999999991,-2168000,-415000,708000,708000,-7917000,8625000,196000,-12000,-12000,-12000,1678000,90720000,670000,0.22645,0.0703300000000002,0.04175,0.01313,0.00389,0.99702,1.10614,2.37288,0.52545,0.05999,0.0599899999999999,1.43701,4.30212,0.05982,0.03705,0.00671,0.00414000000000002,0.61756,54.05483,80.12721
