"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",25.225873015873,"Up",82927000,-31859000,51068000,-32041000,-26238000,-5456000,-347000,19027000,54000,60000,-6000,19081000,19081000,-6989000,12092000,12092000,12092000,12092000,100908000,93208000,111532000,111532000,10203000,7950000,0,2253000,224036000,8348000,87440000,31802000,46189000,5479000,3970000,95788000,319824000,24635000,4523000,11439000,80506000,16941000,105141000,20592000,1954000,7436000,20592000,125733000,124944000,69147000,194091000,194091000,319824000,12092000,1727000,3322000,2225000,19366000,-878000,-2545000,-3423000,1144000,1144000,175000,-7346000,8597000,8597000,8597000,20754000,0,29090000,0.61582,0.22944,0.14581,0.0623,0.03781,2.40572,2.13081,0.6478,0,0.20923,0.20807,1.43492,3.35844,0.50336,0.09669,0.1355,-4.8621,-5.30341
"2","2010_Q3",24.218125,"Down",81457000,-30128000,51329000,-30506000,-24829000,-5232000,-445000,20823000,194000,129000,65000,21017000,21017000,-7587000,13430000,13430000,13430000,13430000,106852000,106852000,112506000,112506000,10377000,8086000,177000,2114000,231218000,8728000,88502000,32349000,46189000,5470000,4494000,97230000,328448000,21646000,5972000,6988000,84763000,19026000,106409000,20583000,2178000,7354000,20583000,126992000,127564000,73892000,201456000,201456000,328448000,13430000,1838000,3584000,-1508000,17344000,-1388000,-3161000,3151000,1677000,1677000,144000,-6851000,13644000,13644000,13644000,22661000,0,27352000,0.63014,0.25563,0.16487,0.06666,0.04089,2.03663,2.17292,0.63037,0,0.23207,0.23093,1.40759,3.48118,0.47265,0.09954,0.12319,-4.71524,-5.13144
"3","2010_Q4",27.5221875,"Up",91871000,-32329000,59542000,-33761000,-27958000,-5358000,-445000,25781000,55000,55000,0,25836000,25836000,-8305000,17531000,17531000,17531000,17531000,118221000,118221000,123196000,123196000,10312000,7356000,0,2956000,253671000,10940000,88886000,32651000,46189000,5470000,4576000,99826000,353497000,24697000,5525000,10479000,92852000,20955000,117549000,23965000,2240000,10747000,23965000,141514000,129254000,82729000,211983000,211983000,353497000,17531000,2058000,3396000,610000,23595000,-1773000,-2943000,-4380000,697000,697000,144000,-7846000,11369000,11369000,11369000,27839000,0,34981000,0.6481,0.28062,0.19082,0.0827,0.04959,1.99538,2.158,0.66757,0,0.30249,0.30081,1.58519,3.65765,0.60358,0.11112,0.14826,-4.2466,-4.58559
"4","2011_Q1",32.8991935483871,"Up",97108000,-33166000,63942000,-35481000,-29285000,-5751000,-445000,28461000,21000,19000,2000,28482000,28482000,-9929000,18553000,18553000,18553000,18553000,117737000,116617000,139772000,139772000,12555000,8768000,278069.010408932,3787000,271997000,12599000,94090000,32040000,46721000,10397000,4932000,106689000,378686000,30625000,6686000,13777000,106011000,29316000,136636000,17380000,2488000,2409000,17380000,154016000,133549000,91121000,224670000,224670000,378686000,18553000,1936000,-618000,-9859000,10012000,10843000,-2046000,-5931000,2199000,2199000,808000,-5685000,-1604000,-1604000,-1604000,30397000,-5.42101086242752e-20,41310000,0.65846,0.29309,0.19106,0.08258,0.04899,2.22659,1.99067,0.68552,1.0097419586829e-28,0.32011,0.31772,1.67549,3.87643,0.71276,0.11256,0.17067,-3.87331,-4.13678
"5","2011_Q2",36.0328571428571,"Up",100442000,-34928000,65514000,-36695000,-29386000,-6827000,-482000,28819000,44000,82000,-38000,28863000,28863000,-9880000,18983000,18983000,18983000,18983000,125164000,124054000,148907000,148907000,12719000,8232000,1305615.01734822,4487000,288935000,13778000,97570000,33657000,48624000,10397000,4892000,111348000,400283000,34164000,6145000,17790000,97395000,17368000,131559000,18192000,2784000,2918000,18192000,149751000,150655000,99877000,250532000,250532000,400283000,18983000,2145000,3861000,-3456000,21533000,-2423000,-2513000,-8215000,3427000,3427000,852000,-5881000,7437000,7437000,7437000,30964000,0,34965000,0.65226,0.28692,0.18899,0.07577,0.04742,1.84191,2.19624,0.59773,0,0.32022,0.31964,1.69434,4.22618,0.58982,0.10845,0.13011,-4.04224,-4.34311
"6","2011_Q3",37.59640625,"Up",107634000,-36020000,71614000,-40047000,-32169000,-7358000,-520000,31567000,-69000,75000,-144000,31498000,31498000,-11002000,20496000,20496000,20496000,20496000,126873000,125775000,150224000,150224000,15892000,9814000,3230000,2848000,295780000,14853000,106093000,39936000,51156000,10466000,4535000,120946000,416726000,26452000,6369000,9793000,101469000,18178000,127921000,19746000,2756000,4334000,19746000,147667000,158982000,110077000,269059000,269059000,416726000,20496000,2380000,4570000,-11869000,15577000,-2249000,-3620000,-8384000,3354000,3354000,1409000,-5472000,1721000,1721000,1721000,33947000,0,30831000,0.66535,0.29328,0.19042,0.07618,0.04918,1.50424,2.31221,0.54883,0,0.34536,0.34513,1.81364,4.53366,0.5195,0.10641,0.10675,-3.73738,-4.01917
"7","2011_Q4",33.3893650793651,"Down",112765000,-38334000,74431000,-41916000,-33096000,-8277000,-543000,32515000,-163000,55000,-218000,32352000,32352000,-11247000,21105000,21105000,21105000,21105000,130132000,129046000,159555000,159555000,15883000,8664000,5053000,2166000,308764000,16234000,116858000,43318000,58445000,10466000,4629000,133092000,441856000,29384000,8083000,10996000,108826000,18209000,138210000,21172000,3125000,5536000,21172000,159382000,161596000,120878000,282474000,282474000,441856000,21105000,2503000,1481000,-457000,24632000,-2700000,-3444000,-11833000,565000,565000,196000,-9528000,3271000,3271000,3271000,35018000,0,43108000,0.66005,0.28834,0.18716,0.07471,0.04776,2.04255,2.23402,0.56424,0,0.3553,0.35527,1.8984,4.75545,0.72572,0.10339,0.14197,-3.71615,-4.00221
"8","2012_Q1",35.6903225806452,"Up",108994000,-41941000,67053000,-43755000,-34195000,-8907000,-653000,23298000,296000,35000,261000,23594000,23594000,-8521000,15073000,15073000,15073000,15073000,139431000,134444000,145756000,145756000,16153000,11563000,2628000,1962000,302582000,17841000,119929000,43253000,60776000,10127000,5773000,137770000,440352000,26756000,4532000,11870000,102676000,19568000,129432000,15743000,3497000,5602000,15743000,145175000,169625000,125597000,295177000,295177000,440352000,15073000,2668000,-4676000,3298000,16363000,-2951000,-3521000,-6472000,5443000,5443000,369000,-4493000,5398000,5398000,5398000,25966000,1.38777878078145e-17,34834000,0.6152,0.21375,0.13829,0.05106,0.03423,2.31102,2.33777,0.49182,-1.29246970711411e-26,0.26496,0.2598,1.91594,5.18874,0.61233,0.08162,0.11204,-5.36975,-5.98468
"9","2012_Q2",28.2079365079365,"Down",118296000,-48395000,69901000,-46394000,-36681000,-8576000,-1137000,23507000,-178000,35000,-213000,23329000,23329000,-7832000,15497000,15497000,15497000,15497000,134896000,129906000,153218000,153218000,12331000,7563000,0,4768000,304673000,20578000,134812000,55157000,63161000,10143000,6351000,155390000,460063000,38502000,12527000,15593000,97978000,27325000,136480000,17026000,2926000,7654000,17026000,153506000,175947000,130712000,306557000,306557000,460063000,15497000,3434000,4903000,-3954000,19880000,-3349000,-4333000,-14788000,763000,763000,-39000,-9630000,-4538000,-4538000,-4538000,26941000,0,27470000,0.5909,0.19871,0.131,0.05055,0.03368,1.7726,2.23236,0.50074,0,0.2602,0.26014,1.9862,5.14711,0.46122,0.07989,0.08489,-5.00709,-5.73855
"10","2012_Q3",17.347619047619,"Down",116128000,-46364000,69764000,-45420000,-37832000,-6272000,-1316000,24344000,158000,-62000,220000,24502000,24502000,-8811000,15691000,15691000,15691000,15691000,122032000,117043000,151787000,151787000,17998000,6712000,6063000,5223000,295675000,20296000,140679000,60531000,63161000,10127000,6860000,160975000,456650000,29231000,8955000,9894000,99076000,31108000,128307000,16036000,3208000,7103000,16036000,144343000,176341000,136021000,312307000,312307000,456650000,15691000,3762000,4392000,-14235000,9610000,-1487000,-9784000,-11271000,1000.00000000047,1000.00000000047,-821000,-11202000,-12863000,-12863000,-12863000,28106000,2.22044604925031e-16,21195000,0.60075,0.20963,0.13512,0.05024,0.03436,1.35077,2.30443,0.46218,0,0.26268,0.26261,1.94409,5.2283,0.35482,0.07941,0.06455,-4.34185,-5.01282
