"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",9.6052380952381,"Down",1.6576e+10,-4.202e+09,1.2374e+10,-8.033e+09,-4.403e+09,-2.221e+09,-1.409e+09,4.341e+09,-4.12e+08,-4.12e+08,3.929e+09,-7.8e+08,3.149e+09,-1.135e+09,2.014e+09,2.1e+07,2.1e+07,2.035e+09,-9e+06,2.026e+09,2.026e+09,1.7262e+10,1.759e+09,1.5503e+10,1.3611e+10,1.3611e+10,1.0132e+10,8.911e+09,8.421e+09,4.9916e+10,2.1651e+10,1.2081e+10,1.11465e+11,6.448e+10,4.2648e+10,4.337e+09,1.45197e+11,1.95113e+11,5.854e+09,3.028e+09,1e+06,2.825e+09,7.769e+09,1.2301e+10,1.2301e+10,2.5924e+10,3.8281e+10,4.0826e+10,9.358e+09,6.119e+09,3.239e+09,1.746e+10,1.4008e+10,7.9107e+10,1.05031e+11,7.0899e+10,-2.1697e+10,4.2429e+10,-2.03e+09,8.9659e+10,4.23e+08,9.0082e+10,1.95113e+11,2.035e+09,2.035e+09,2.051e+09,1.534e+09,-1.198e+10,-6.36e+09,-3.05e+08,-3.05e+08,-3.05e+08,-8.58e+08,1.0557e+10,9.394e+09,-1.441e+09,-1.78e+09,1e+07,-3.211e+09,-1.77e+08,-1.77e+08,-4.2e+07,-2.19e+08,6.392e+09,4.605e+10,-4.758e+09,0.7465,0.26188,0.12222,0.02249,0.01038,-2.34847,1.92547,1.16595,0.23602,0.23846,0.23728,1.95097,10.54589,-0.56001,0.1696,56.2714147646207,0.01959,-0.02689,0.71125,4.50375,6.63165
"2","2010_Q3",9.7021875,"Up",1.7132e+10,-3.684e+09,1.3448e+10,-8.362e+09,-4.774e+09,-2.181e+09,-1.407e+09,5.086e+09,-2.75e+08,-2.75e+08,4.811e+09,-8.85e+08,3.926e+09,-1.472e+09,2.454e+09,3.1e+07,3.1e+07,2.485e+09,-1e+07,2.475e+09,2.475e+09,1.9268e+10,1.877e+09,1.7391e+10,1.4012e+10,1.4012e+10,9.511e+09,8.31e+09,7.628e+09,5.1101e+10,2.0041e+10,1.0524e+10,1.09405e+11,6.2231e+10,4.3142e+10,4.032e+09,1.3997e+11,1.91071e+11,7.044e+09,3.078e+09,1.45e+09,2.516e+09,5.509e+09,1.2128e+10,1.2128e+10,2.4681e+10,3.7765e+10,4.1747e+10,9.215e+09,5.969e+09,3.246e+09,1.7344e+10,1.5188e+10,7.9512e+10,1.04193e+11,7.1011e+10,-2.2206e+10,4.201e+10,-4.432e+09,8.6439e+10,4.39e+08,8.6878e+10,1.91071e+11,2.485e+09,2.485e+09,2.213e+09,1.368e+09,-1.193e+09,4.873e+09,-3.73e+08,-3.73e+08,-3.73e+08,-6.23e+08,6.35e+08,-3.61e+08,-1.554e+09,-2.374e+09,6.7e+07,-4.361e+09,1.51e+08,1.51e+08,-3.3e+07,1.18e+08,7.299e+09,4.3274e+10,7.205e+09,0.78496,0.29687,0.14447,0.02849,0.01295,2.91111,2.07046,1.1993,0.22648,0.29188,0.29101,2.02042,10.18736,0.8497,0.18327,29.6114212077977,0.02344,0.04191,0.62788,3.28894,4.72002
"3","2010_Q4",10.555,"Up",1.5995e+10,-3.79e+09,1.2205e+10,-7.943e+09,-4.599e+09,-2.188e+09,-1.156e+09,4.262e+09,-2.349e+09,-2.349e+09,1.913e+09,-4.99e+08,1.414e+09,-5.58e+08,8.56e+08,1.5e+07,1.5e+07,8.71e+08,-5e+06,8.66e+08,8.66e+08,2.2464e+10,2.176e+09,2.0288e+10,1.4302e+10,1.4302e+10,8.771e+09,8.552e+09,8.058e+09,5.4089e+10,1.945e+10,1.0344e+10,1.07532e+11,5.8627e+10,4.3787e+10,5.118e+09,1.37326e+11,1.91415e+11,6.68e+09,3.206e+09,1e+06,3.473e+09,5.158e+09,1.2334e+10,1.2334e+10,2.4172e+10,3.901e+10,4.0165e+10,8.454e+09,5.196e+09,3.258e+09,1.694e+10,1.4771e+10,7.9175e+10,1.03347e+11,7.1121e+10,-2.2707e+10,4.2873e+10,-3.706e+09,8.7635e+10,4.33e+08,8.8068e+10,1.91415e+11,8.71e+08,8.71e+08,2.229e+09,9.24e+08,2.659e+09,6.683e+09,-2.88e+08,-2.88e+08,-2.88e+08,-1.193e+09,-2.399e+09,-3.88e+09,-1.549e+09,-4.29e+08,-4.5e+07,-2.523e+09,2.8e+08,2.8e+08,1.9e+07,2.99e+08,6.491e+09,4.4168e+10,9.42e+09,0.76305,0.26646,0.05414,0.00983,0.00452,10.8776,2.23767,1.17349,0.23074,0.10233,0.10185,1.89009,10.34923,1.11314,0.18304,14.1042829529241,0.01401,0.05464,1.78868,3.34371,5.09244
"4","2011_Q1",11.8690322580645,"Up",1.5462e+10,-3.112e+09,1.235e+10,-9.482e+09,-5.197e+09,-2.893e+09,-1.392e+09,2.868e+09,-9.05e+08,-9.05e+08,1.963e+09,-9.81e+08,9.82e+08,2.012e+09,2.994e+09,-9.7e+07,-9.7e+07,2.897e+09,-7e+06,2.89e+09,2.89e+09,2.8012e+10,1.735e+09,2.6277e+10,1.338e+10,1.338e+10,8.275e+09,1.1346e+10,9.907e+09,6.1013e+10,1.8645e+10,9.747e+09,1.05609e+11,5.7555e+10,4.3928e+10,4.126e+09,1.34001e+11,1.95014e+11,8.626e+09,3.994e+09,1.601e+09,3.031e+09,5.603e+09,1.4407e+10,1.4256e+10,2.8636e+10,3.841e+10,3.9703e+10,9.229e+09,6.194e+09,3.035e+09,1.8628e+10,1.1846e+10,7.8113e+10,1.06749e+11,7.1204e+10,-2.2712e+10,4.2716e+10,-3.447e+09,8.7813e+10,4.52e+08,8.8265e+10,1.95014e+11,2.897e+09,2.897e+09,1.906e+09,1.303e+09,1.52e+08,6.258e+09,-5.47e+08,-5.47e+08,-5.47e+08,-1.454e+09,-3.371e+09,-5.645e+09,-1.544e+09,4.31e+08,3.4e+07,-1.079e+09,-4.66e+08,-4.66e+08,2.5e+07,-4.41e+08,4.774e+09,4.4013e+10,2.367e+09,0.79873,0.18549,0.18691,0.03274,0.01482,0.81903,2.13064,1.20941,0.22569,0.34236,0.34023,1.83167,10.39639,0.2804,0.18291,7,0.02578,0.01376,0.53426,3.3517,5.57915
"5","2011_Q2",12.9173015873016,"Up",1.6502e+10,-3.693e+09,1.2809e+10,-7.97e+09,-4.503e+09,-2.091e+09,-1.376e+09,4.839e+09,-8.27e+08,-8.27e+08,4.012e+09,-8.94e+08,3.118e+09,-8.94e+08,2.224e+09,1e+07,1e+07,2.234e+09,-1.2e+07,2.222e+09,2.222e+09,2.4009e+10,7.3e+08,2.3279e+10,1.5182e+10,1.5182e+10,8.467e+09,1.0586e+10,9.161e+09,5.8244e+10,1.8833e+10,9.811e+09,1.08068e+11,5.8497e+10,4.4853e+10,4.718e+09,1.36712e+11,1.94956e+11,7.558e+09,3.75e+09,1e+06,3.807e+09,6.093e+09,1.552e+10,1.5338e+10,2.9171e+10,3.5308e+10,3.9944e+10,8.97e+09,5.929e+09,3.041e+09,1.9414e+10,1.156e+10,7.5252e+10,1.04423e+11,7.1369e+10,-2.4215e+10,4.4926e+10,-2.062e+09,9.0067e+10,4.66e+08,9.0533e+10,1.94956e+11,2.234e+09,2.234e+09,2.104e+09,-2.18e+08,5.22e+08,4.642e+09,-2.5e+08,-2.5e+08,-2.5e+08,-1.932e+09,6.076e+09,7.25e+08,-1.591e+09,-3.416e+09,3.3e+07,-6.404e+09,-1.037e+09,-1.037e+09,3.2e+07,-1.005e+09,6.943e+09,4.1401e+10,8.109e+09,0.77621,0.29324,0.13465,0.02454,0.0114,3.64941,1.99664,1.15342,0.21236,0.26411,0.26237,1.96148,10.69983,0.96386,0.18911,5.54857234902529,0.02218,0.04718,0.71602,2.50497,3.59413
"6","2011_Q3",11.850625,"Down",1.6007e+10,-3.347e+09,1.266e+10,-8.268e+09,-4.675e+09,-2.22e+09,-1.373e+09,4.392e+09,-4.28e+08,-4.28e+08,3.964e+09,-4.74e+08,3.49e+09,-1.057e+09,2.433e+09,1.85e+08,1.85e+08,2.618e+09,-8e+06,2.61e+09,2.61e+09,2.5484e+10,3.096e+09,2.2388e+10,1.5192e+10,1.5192e+10,8.597e+09,1.1211e+10,9.733e+09,6.0484e+10,1.8281e+10,1.0207e+10,1.06927e+11,5.7059e+10,4.5107e+10,4.761e+09,1.35415e+11,1.95899e+11,8.999e+09,3.698e+09,1.637e+09,3.664e+09,5.988e+09,1.5484e+10,1.5303e+10,3.0471e+10,3.5723e+10,4.0742e+10,8.909e+09,5.852e+09,3.057e+09,2.0072e+10,1.1761e+10,7.6465e+10,1.06936e+11,7.154e+10,-2.6471e+10,4.432e+10,-9.55e+08,8.8481e+10,4.82e+08,8.8963e+10,1.95899e+11,2.618e+09,2.618e+09,2.249e+09,1.294e+09,-2.63e+08,5.898e+09,-3.58e+08,-3.58e+08,-3.58e+08,-1.261e+09,1.98e+09,3.61e+08,-1.568e+09,-1.32e+08,3.1e+07,-3.918e+09,2.341e+09,2.341e+09,2.5e+07,2.366e+09,6.641e+09,4.1711e+10,7.077e+09,0.7909,0.27438,0.16305,0.02934,0.01332,2.71149,1.98497,1.20203,0.21292,0.31441,0.31246,1.92825,10.65303,0.85252,0.18889,7,0.02437,0.04129,0.60077,2.44346,3.69467
"7","2011_Q4",12.6455555555556,"Up",1.6609e+10,-3.409e+09,1.32e+10,-8.022e+09,-4.457e+09,-2.176e+09,-1.389e+09,5.178e+09,-5.47e+08,-5.47e+08,4.631e+09,-1.09e+09,3.541e+09,-1.216e+09,2.325e+09,1.424e+09,1.424e+09,3.749e+09,-1.1e+07,3.738e+09,3.738e+09,2.8963e+10,3.706e+09,2.5257e+10,1.5749e+10,1.5749e+10,8.426e+09,9.594e+09,9.472e+09,6.2732e+10,1.7721e+10,9.468e+09,1.06211e+11,5.5597e+10,4.5409e+10,5.205e+09,1.334e+11,1.96132e+11,7.979e+09,3.765e+09,2864356650.73815,4.214e+09,5.637e+09,1.424e+10,1.424e+10,2.7856e+10,3.5399e+10,4.2347e+10,8.793e+09,5.734e+09,3.059e+09,2.0415e+10,1.3139e+10,7.7746e+10,1.05602e+11,7.168e+10,-2.8586e+10,4.8121e+10,-1.214e+09,9.0047e+10,4.83e+08,9.053e+10,1.96132e+11,3.749e+09,3.749e+09,2.215e+09,-1.164e+09,-3.61e+08,4.439e+09,-4.54e+08,-4.54e+08,-4.54e+08,-4.53e+08,-1.235e+09,2.15e+08,-1.551e+09,-3.94e+08,2e+07,-4.035e+09,6.19e+08,6.19e+08,-9e+06,6.1e+08,7.393e+09,4.1036e+10,7.794e+09,0.79475,0.31176,0.22506,0.04129,0.01906,2.08507,2.25201,1.16649,0.20923,0.45626,0.45381,2.02728,10.98546,0.95133,0.18931,8,0.03041,0.04482,0.41493,1.63303,2.3316
"8","2012_Q1",13.9891935483871,"Up",1.1917e+10,-2.051e+09,9.866e+09,-7.467e+09,-3.946e+09,-2.194e+09,-1.327e+09,2.399e+09,-6.84e+08,-6.84e+08,1.715e+09,-3.83e+08,1.332e+09,-4.54e+08,8.78e+08,5.7e+08,5.7e+08,1.448e+09,-9e+06,1.439e+09,1.439e+09,2.6452e+10,3.182e+09,2.327e+10,1.3058e+10,1.3058e+10,6.61e+09,1.4697e+10,9.38e+09,6.0817e+10,1.5921e+10,9.814e+09,1.0145e+11,5.1184e+10,4.4569e+10,5.697e+09,1.27185e+11,1.88002e+11,8.603e+09,3.678e+09,1.796e+09,3.129e+09,4.016e+09,1.629e+10,1.5066e+10,2.8909e+10,3.4926e+10,4.1546e+10,9.699e+09,6.355e+09,3.344e+09,1.8861e+10,1.2986e+10,7.6472e+10,1.05381e+11,7.1868e+10,-3.1801e+10,4.621e+10,-4.132e+09,8.219e+10,4.31e+08,8.2621e+10,1.88002e+11,1.448e+09,1.448e+09,2.458e+09,-1.28e+09,2.635e+09,5.261e+09,-8.2e+08,-8.2e+08,-5.98e+08,-9.74e+08,2.43e+09,5.42e+08,-1.524e+09,-1.6e+09,-6.8e+07,-6.25e+09,-4.47e+08,-4.47e+08,-7.7e+07,-5.24e+08,4.857e+09,3.8942e+10,7.126e+09,0.82789,0.20131,0.12075,0.01742,0.00765,4.95205,2.10374,1.27547,0.20714,0.17877,0.17719,1.48048,10.20511,0.88528,0.18933,6,0.01817,0.04369,1.05907,2.57155,5.20634
"9","2012_Q2",14.6296825396825,"Up",1.4885e+10,-2.745e+09,1.214e+10,-7.45e+09,-3.968e+09,-2.062e+09,-1.42e+09,4.69e+09,-1.658e+09,-1.658e+09,3.032e+09,-5.97e+08,2.435e+09,-7.11e+08,1.724e+09,7.9e+07,7.9e+07,1.803e+09,-9e+06,1.794e+09,1.794e+09,2.3972e+10,2.934e+09,2.1038e+10,1.4182e+10,1.4182e+10,7.189e+09,9.52e+09,9.361e+09,5.4863e+10,1.6192e+10,1.0632e+10,1.03996e+11,5.2801e+10,4.5252e+10,5.943e+09,1.3082e+11,1.85683e+11,6.774e+09,3.091e+09,1e+06,3.682e+09,5.526e+09,1.4794e+10,1.4794e+10,2.7094e+10,3.3543e+10,4.1369e+10,9.527e+09,6.181e+09,3.346e+09,1.9739e+10,1.2103e+10,7.4912e+10,1.02006e+11,7.2232e+10,-3.3519e+10,4.8124e+10,-3.624e+09,8.3256e+10,4.21e+08,8.3677e+10,1.85683e+11,1.803e+09,1.803e+09,2.221e+09,2.83e+08,-1.533e+09,2.774e+09,-2.54e+08,-2.54e+08,-2.54e+08,-1.184e+09,2.671e+09,4.51e+08,-1.65e+09,-2.33e+08,-151226383.457024,-3.507e+09,-2.82e+08,-2.82e+08,3.4e+07,-2.48e+08,6.911e+09,3.9069e+10,5.835e+09,0.81559,0.31508,0.12052,0.02144,0.00966,3.25251,2.02491,1.21904,0.21041,0.22583,0.22402,1.87374,10.47495,0.73452,0.2077,7,0.02099,0.03555,0.91973,2.18449,3.21898
"10","2012_Q3",15.7104761904762,"Up",1.2928e+10,-2.014e+09,1.0914e+10,-6.145e+09,-3.375e+09,-1.512e+09,-1.258e+09,4.769e+09,-6.69e+08,-6.69e+08,4.1e+09,-1.76e+08,3.924e+09,-1.094e+09,2.83e+09,4.3e+08,4.3e+08,3.26e+09,-7e+06,3.253e+09,3.253e+09,2.4306e+10,3.031e+09,2.1275e+10,1.2882e+10,1.2882e+10,7.001e+09,1.4576e+10,9.215e+09,5.8765e+10,1.4756e+10,1.0548e+10,9.8773e+10,4.8399e+10,4.4568e+10,5.806e+09,1.24077e+11,1.82842e+11,8.582e+09,3.165e+09,1.826e+09,3.591e+09,7.703e+09,1.4513e+10,1.3215e+10,3.0798e+10,3.0868e+10,4.1215e+10,9.793e+09,6.484e+09,3.309e+09,1.8487e+10,1.2935e+10,7.2083e+10,1.02881e+11,7.2474e+10,-3.4863e+10,4.7904e+10,-6.01e+09,7.9547e+10,4.14e+08,7.9961e+10,1.82842e+11,3.26e+09,3.26e+09,1.671e+09,4.82e+08,-1.392e+09,4.021e+09,-2.94e+08,-2.94e+08,-2.94e+08,-1.133e+09,5.4e+08,-8.87e+08,-1.633e+09,-1.58e+08,-191483204.930721,-2.968e+09,1.66e+08,1.66e+08,-6.9e+07,9.7e+07,6.44e+09,3.8571e+10,5.848e+09,0.84421,0.36889,0.25162,0.04068,0.01779,1.79773,1.90808,1.28664,0.21095,0.41289,0.40922,1.64089,10.0912,0.74226,0.20727,7,0.03059,0.03661,0.502,2.21506,2.99119
