"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q4",4.99111111111111,"Down",2598,-1807658,-1523033,-117078,-1405955,-272209,-12416,-1805060,-14801,-14801,-1819861,-2073646,-3893507,-3893507,-3893507,-3893507,-3893507,4625238,4625238,1241844,1240361,5912422,139749,139749,6052171,666226,80504,585722,677018,186144,186144,863162,16106477,-10917468,5189009,5189009,6052171,-3893507,12416,2589887,-260157,-1551361,-3352,7067840,-1008014,4508465,4508465,4508465,-1792644,0,-694.7883,-1498.6555,-0.75034,-0.64332,8.73304,0.16634,0,-0.33132,-0.33132,0.00022,0.44156,-0.72435,2.58012,2.56237
"2","2018_Q1",2.54393442622951,"Down",2598,-1496288,-1202368,-119790,-1082578,-281390,-12530,-1493690,3829,3829,-1489861,-15115,-1504976,-1504976,-1504976,-1504976,-1504976,3534454,3534454,908352,908352,4451874,165567,210452,4662326,617464,40819,576645,628256,183546,183546,811802,16272968,-12422444,3850524,3850524,4662326,-1504976,12530,1373107,-873097,-992436,-38348,-7169540,7071192,-1090784,-1090784,-1090784,-1481160,0,-574.93841,-579.28253,-0.39085,-0.3228,7.08608,0.21083,0,-0.13731,-0.13731,0.00024,0.35131,-0.37307,2.38627,2.36626
"3","2018_Q2",2.71875,"Up",9696,-1287127,-977309,-95263,-882046,-297415,-12403,-1277431,7561,7561,-1269870,-40363,-1310233,-1310233,-1310233,-1310233,-1310233,2541242,2541242,603472,579651,3144714,162852,182374,3327088,247155,35742,211413,286339,475458,475458,761797,16297968,-13732677,2565291,2565291,3327088,-1310233,12403,65363,263943,-968524,-9688,-24688,8845263.7034177,-993212,-993212,-993212,-1265028,0,-131.74825,-135.13129,-0.51075,-0.39381,10.98249,0.29696,0,-0.10636,-0.10636,0.00079,0.20824,-0.43089,2.00884,1.98934
"4","2018_Q3",3.29269841269841,"Up",9695.99999999999,-1363062,-992558,-143890,-848668,-357889,-12615,-1353366,6280,6280,-1347086,-25091,-1372177,-1372177,-1372177,-1372177,-1372177,1528267,1528267,251507,225089,1779774,150238,189669,1969443,251383,33305,218078,290567,435762,435762,726329,16347968,-15104854,1243114,1243114,1969443,-1372177,12615,75091,316497,-967974,-1.00000000000182,-45000.9999999991,6456423.77679925,-1012975,-1012975,-1012975,-1340751,5.82076609134674e-11,-139.57983,-141.51991,-1.10382,-0.69673,6.12518,0.584280000000001,-1.38777878078145e-17,-0.11122,-0.11122,0.000790000000000001,0.10076,-0.81732,1.13986,1.12923
"5","2018_Q4",2.17746031746032,"Down",9696,-1673465,-1330427,-180257,-1150170,-330422,-12616,-1663769,-45337,-45337,-1709106,67961,-1641145,-1641145,-1641145,-1641145,-1641145,2176565,2176565,214316,211719,2390881,140122,322514,2713395,281779,66669,215110,2189975,396066,396066,2586041,16873353,-16745999,127354,127354,2713395,-1641145,12616,427424,18202,-1182903,7189,-67811,1899012,648298,648298,648298,-1651153,1869012,-171.59334,-169.26,-12.88648,-0.60483,1.09174,20.30593,0.68881,-0.13282,-0.13282,0.00078,0.01031,-0.68597,0.18627,0.18485
"6","2019_Q1",1.19950819672131,"Down",10823,-1824682,-1436123,-746221,-689902,-375428,-13131,-1823250,-83647,-83647,-1906897,-41271,-1948168,-1948168,-1948168,-1948168,-1948168,950237,950237,70103,70103,1051913,156138,501259,1553172,443411,148967,294444,2351983,260000,260000,2611983,17635356,-18694167,-1058811,-1058811,1553172,-1948168,13131,803274,171128,-960635,-38836,-242836,-22857,-1226328,-1226328,-1226328,-1810119,1908572,-168.46069,-180.00259,1.83996,-1.25432,0.447250000000001,-2.4669,1.22882,-0.15072,-0.15072,0.000839999999999984,-0.08191,-1.75548,-0.52943,-0.52562
"7","2019_Q2",0.933015873015873,"Down",3400,-1257440,-896466,-256103,-640363,-347306,-13668,-1254492,-106019,-106019,-1360511,-7878,-1368389,-1368389,-1368389,-1368389,-1368389,5412593,5412593,103827,103827,5577130,135820,544213,6121343,337511,96305,241206,337511,220000,220000,557511,25626388,-20062556,5563832,5563832,6121343,-1368389,13668,187100,-201261,-1368882,-64428.8503828276,-72000,5903238,4462356,4462356,4462356,-1240824,0,-368.96824,-402.46735,-0.24594,-0.22354,16.52429,0.1002,0,-0.08517,-0.08517,0.00021,0.3463,-0.23659,4.3621,4.31457
"8","2019_Q3",1.1078125,"Up",61574,-1388529,-1059845,-252076,-807769,-312590,-16094,-1365764,19640,19640,-1346124,1728,-1344396,-1344396,-1344396,-1344396,-1344396,3856009,3856009,633036,633036,4560263,172501,757622,5317885,312079,35897,276182,312079,2e+05,2e+05,512079,26212758,-21406952,4805806,4805806,5317885,-1344396,16094,205155,-205662,-1328809,-52775,-227775,0,-1556584,-1556584,-1556584,-1349670,0,-22.18086,-21.83383,-0.279740000000001,-0.252809999999999,14.61253,0.10655,0,-0.079,-0.0789999999999999,0.00362000000000014,0.2824,-0.268570000000001,2.857,2.82333
"9","2019_Q4",0.9825,"Down",47342581,-6818730,-5354772,-948969,-4405803,-1412264,-51694,28284786,162119,162119,28446905,1022447,29469352,32384133,32384133,32384133,32384133,2544159,2544159,462583,462583,3084448,179746,727431,3811879,303498,21760,281738,307884,170000,170000,477884,26488713,-23154718,3333995,3333995,3811879,-1747766,17006,385831,129770,-1215159,-24251,-96691,-4.65661287307739e-10,-1311850,-1311850,-1311850,28301792,0,0.59745,0.68404,9.71331,8.49558,10.01821,0.14334,0,1.86881,1.86881,2.73202,0.1924,9.24206,-0.08989,-0.08995
"10","2020_Q1",5.78048387096774,"Up",-47192581,3468415,2752134,395472,2356662,700727,15554,-31558271,-145525,-145525,-31703796,-1248328,-32952124,-35866905,-35866905,-35866905,-35866905,893137.999999999,893138,362566,362566,1584254,196832,631072,2215326,326747,5959.00000000001,320788,328070,150000,150000,478070,26705070,-24967814,1737256,1737256,2215326,-1735006,19134,644759,-541128,-1612241,-36220,-38780,0,-1651021,-1651021,-1651021,-31539137,0,0.668710000000002,0.760010000000005,-20.64572,-16.19035,4.82901,0.27519,0,-2.1588,-2.1588,-2.84049,0.10456,-19.00479,0.0283199999999995,0.0283000000000006
"11","2020_Q2",15.2149206349206,"Up",1548528,-2148737,-1727967,-268483,-1459484,-400022,-20748,-1081949,7575,7575,-1074374,9181,-1065193,-1065193,-1065193,-1065193,-1065193,17369323,17369323,499327,499327,19610466,276454,869875,20480341,749040,132516,616524,1193372,120000,120000,1313372,45199976,-26033007,19166969,19166969,20480341,-1065193,20748,454642,-745725,-1335528,-100370,-250370,18062083,16476185,16476185,16476185,-1061201,0,-0.6987,-0.68787,-0.05557,-0.05201,16.43282,0.06852,0,-0.04668,-0.04668,0.06786,0.8399,-0.05523,16.36761,16.05374
"12","2020_Q3",17.124375,"Up",24040274,-3356692,-2581225,-390191,-2191034,-750249,-25218,14708277,38173,38173,14746450,258559,15005009,15005009,15005009,15005009,15005009,18550437,18550437,521180,521180,34532279,473376,1889856,36422135,1939094,1127709,811385,2984642,80000,80000,3064642,46754860,-13397367,33357493,33357493,36422135,15005009,25218,926249,-14969407,987069,-104920,-669420,863465,1181114,1181114,1181114,14733495,-9.09494701772928e-13,0.61182,0.624160000000001,0.449820000000002,0.411969999999999,11.56999,0.09187,-8.67361737988404e-19,0.54401,0.51471,0.87159,1.20938,0.448749999999999,-1.25907,-1.26122
"13","2020_Q4",12.349375,"Down",21818753,-3959270,-3001891,-798474,-2203417,-921889,-35490,12038202,29992,29992,12068194,748557,12816751,15731532,15731532,15731532,15731532,27280362,21230362,384642,384642,49032403,538279,5618097,54650500,1156528,250465,906063,1814453,60000,60000,1874453,48072513,4703534,52776047,52776047,54650500,15731532,35490,-3144593,-4066630,8555799,-100393,-6150393,274519,2679925,2679925,2679925,12073692,0,0.55174,0.72101,0.29808,0.28786,27.02324,0.03552,0,0.56015,0.53151,0.7769,1.8792,0.29774,-2.25949,-2.26615
"14","2021_Q1",13.3052459016393,"Up",27145203,-6803073,-5632764,-3207965,-2424799,-1113130,-57179,16029110,21475,21475,16050585,-238087,15812498,12807181,12807181,12807181,12807181,47312159,42976713,369028,369028,67813209,949639,3423988,71237197,3757550,598318,2969503,4062857,477831,477831,4540688,49185794,17510715,66696509,66696509,71237197,12807181,57179,4131113,2962422,19957895,-468714,1245840,542616,21746351,21746351,21746351,16086289,-5.6843418860808e-14,0.5905,0.4718,0.19202,0.17978,16.69102,0.06808,0,0.45106,0.42086,0.95603,2.349,0.19066,-2.94115,-2.95164
"15","2021_Q2",8.5684126984127,"Down",20024769,-6417303,-4133235,-1197546,-2935689,-2217063,-67005,10334901,14657,14657,10349558,-464943,9884615,7898975,7898975,7898975,7898975,60091537,57788893,483501,483501,78889773,1022192,2229198,81118971,4147902,667592,1714312,4306693,554802,554802,4861495,50847786,25409690,76257476,76257476,81118971,7898975,67005,2360054,1943921,12269955,-139558,2393244,148981,14812180,14812180,14812180,10401906,0,0.51611,0.39446,0.10358,0.09738,18.31795,0.06375,0,0.27558,0.26328,0.69863,2.6605,0.10283,-5.77697,-5.81443
"16","2021_Q3",9.72796875,"Up",27358140,-13062620,-8321746,-5853313,-2468433,-4669160,-71714,11791165,10529,10529,11801694,128595,11930289,9785213,9785213,9785213,9785213,72383753,70274078,1039506,1039506,90299915,1192901,2489546,92789461,4565769,427144,4091445,4728903,794615,794615,5523518,52071040,35194903,87265943,87265943,92789461,9785213,71714,1091197,1476022,12424146,-242423,-234879,295918,12485185,12485185,12485185,11862879,0,0.43099,0.35767,0.11213,0.10546,19.09532,0.0633,0,0.33983,0.32901,0.95013,3.03069,0.11112,-6.1017,-6.13881
"17","2021_Q4",8.744375,"Down",30101353,-13159977,-7172589,-7709815.29767829,-2387135.00426478,-5893350,-94038,13630121,11379,11379,13641500,-64940,13576560,11475966,11475966,11475966,11475966,83909533,82658248,485095,485095,102287152,1524806,3071456,105358608,3930341,800003,2085698,4119897,1080358,1080358,5200255,53487484,46670869,100158353,100158353,105358608,11475966,94038,992013,-1053173,11508844,-165727,869827,5499,12384170,12384170,12384170,13724159,0,0.45281,0.38124,0.11458,0.10892,24.8276,0.05192,0,0.39652,0.38314,1.04008,3.46073,0.11336,-6.114,-6.15618
"18","2022_Q1",6.90193548387097,"Down",20401341,-7605807,-5320858,-5651169.58943164,-2721835.38453213,-2182343,-102606,10308765,9066,9066,10317831,-73500.0000000001,10244331,7498410,7498410,7498410,7498410,89862500,88607234,2413444,2338444,115119295,1933216,44914987,160034282,6680246,607506,3859652,12597550,12961634,12961634,25559184,80305819,54169279,134475098,134475098,160034282,7498410,102606,2540681,-5263218,4878479,-121755,1070507,0,5948986,5948986,5948986,10411371,0,0.5053,0.36754,0.05576,0.04686,9.13823,0.19007,0,0.25768,0.25063,0.70108,4.62115,0.05086,-8.63119,-8.7171
"19","2022_Q2",5.07,"Down",22699044,-9592934,-5574343,-2652148,-2922195,-3771327,-247264,9824159,11393,11393,9835552,3265130,13100682,11714595,11714595,11714595,11714595,97421739,97421739,1353598,1278598,125338797,2252853,45813048,171151845,8671859,1215049,2613218,13020695,10416359,10416359,23437054,81830917,65883874,147714791,147714791,171151845,11714595,247264,-3193125,-962896,7805838,-396600,858666,150001,8814505,8814505,8814505,10071423,0,0.4328,0.51608,0.07931,0.06845,9.62612,0.15866,0,0.40477,0.3911,0.78431,5.10393,0.07408,-9.67309,-9.91655
"20","2022_Q3",4.661875,"Down",5023226,-8254832,-3940646,-1472225,-2468421,-3889844,-424342,-4147038,61671,61671,-4085367,657557,-3427810,-2686303,-2686303,-2686303,-2686303,95996955,86045405,1604574,1569374,114567459,2421349,46273684,160841143,2667152,848379,1818773,6716136,9654067,9654067,16370203,83872846,63197572,144470940,144470940,160841143,-2686303,423841,286113,3630733,1654384,-507560,-10459110,-2571608,-11376334,-11376334,-11376334,-3723197,0,-0.82557,-0.53478,-0.01859,-0.0167,17.05854,0.11331,0,-0.08273,-0.08273,0.15469,4.44906,-0.01743,25.78347,23.14832
