"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",7.91936507936508,"Up",218521000,-146971000,71550000,-63063000,-63063000,8487000,-404000,-404000,8083000,8083000,-3050000,5033000,5033000,5033000,5033000,5313000,5313000,7742000,7742000,240100000,16628000,9153000,269783000,80171000,17822000,12363000,1026000,97993000,367776000,151422000,98307000,53115000,198826000,30525000,30525000,32530000,231356000,96095000,-21366000,61691000,136420000,136420000,367776000,5033000,4547000,-448000,463000,-911000,7188000,16320000,-1973000,-1973000,-1087000,-13856000,-7000,-14799000,-452000,-452000,-452000,13034000,49409000,21299000,0.32743,0.03884,0.02303,0.03689,0.01368,4.23187,1.35688,1.69591,0.13435,0.23481,0.2324,10.19506,6.36465,0.9937,0.05071,7,0.02829,0.09845,0.21597,3.38315,5.19571
"2","2010_Q3",6.45859375,"Down",219828000,-146862000,72966000,-65002000,-65002000,7964000,-363000,-363000,7601000,7601000,-2849000,4752000,4752000,4752000,4752000,5581000,5581000,12005000,12005000,252040000,17976000,10360000,287602000,78377000,18719000,13195000,1091000,97096000,384698000,145633000,96143000,49490000,211611000,30256000,30256000,31908000,243519000,97191000,-21366000,65354000,141179000,141179000,384698000,4752000,4860000,-618999.999999998,477000,-1096000,-24891000,-15898000,-3010000,-3010000,-1080000,21962000,-2169000,19176000,268000,268000,268000,12824000,67630000,-12228000,0.33192,0.03623,0.02162,0.03366,0.01235,-2.57323,1.35911,1.7249,0.1758,0.22083,0.21725,10.21553,6.56067,-0.56824,0.05019,5,0.0244,-0.05115,0.22727,4.83851,7.79119
"3","2010_Q4",7.2478125,"Up",234680000,-157691000,76989000,-67484000,-67484000,9505000,-632000,-632000,8873000,8873000,-3056000,5817000,5817000,5817000,5817000,4140000,4140000,8628000,8628000,251310000,18666000,10336000,282744000,79976000,19621000,13697000,1491000,99597000,382341000,145205000,90817000,54388000,147265000,30630000,30630000,87744000,235009000,97612000,-21366000,71086000,147332000,147332000,382341000,1897000,4368000,3162000,4e+05,2762000,-21419000,-11992000,-2331000,-1831000,-2736000,11124000,5053000,13110000,-713000,-713000,-713000,13873000,59174000,-6821000,0.32806,0.0405,0.02479,0.03948,0.01521,-1.1726,1.91997,1.5951,0.15477,0.26991,0.26574,10.88901,6.83612,-0.31649,0.12695,4,0.03607,-0.02876,0.47035,3.96699,5.79001
"4","2011_Q1",6.83467741935484,"Down",223784000,-147577000,76207000,-67939000,-67939000,8268000,-709000,-709000,7559000,7559000,-2599000,4960000,4960000,4960000,4960000,5620000,5620000,1.5e+07,1.5e+07,254217000,17035000,7588000,291872000,81333000,19151000,12396000,2322000,100484000,392356000,159210000,94818000,64392000,161135000,30613000,30613000,80495000,241630000,98143000,-21366000,73949000,150726000,150726000,392356000,8880000,4852000,-3335000,387000,-3722000,31040000,41437000,-8310000,-8810000,577000,-28928000,-3998000,-31875000,752000,752000,752000,13120000,51807000,38449000,0.34054,0.03695,0.02216,0.03291,0.01264,7.75181,1.81135,1.60311,0.13204,0.23014,0.22659,10.38344,6.9936,1.78401,-0.02677,5,0.0188,0.16491,-0.11633,3.52035,5.58624
"5","2011_Q2",5.2031746031746,"Down",221143000,-148960000,72183000,-67262000,-67262000,4921000,-605000,-605000,4316000,4316000,-1556000,2760000,2760000,2760000,2760000,6500000,6500000,11903000,11903000,255525000,16358000,7400000,290286000,78026000,19639000,12959000,2247000,97665000,387951000,150490000,95148000,55342000,152187000,30372000,30372000,83554000,235741000,98505000,-21366000,75071000,152210000,152210000,387951000,2760000,4656000,374000,434000,-60000,-3613000,4177000,-2467000,-2467000,-1647000,831000,-215000,-830000,880000,880000,880000,9577000,54879000,5053000,0.32641,0.02225,0.01248,0.01813,0.00711,1.8308,1.90743,1.54879,0.14146,0.12767,0.12576,10.2291,7.04057,0.23373,0.07618,4,0.01856,0.02128,0.59674,5.05158,9.83113
"6","2011_Q3",3.920625,"Down",219588000,-147846000,71742000,-66844000,-66844000,4898000,-601000,-601000,4297000,4297000,-1192000,3105000,3105000,3105000,3105000,5458000,5458000,13970000,13970000,281542000,16965000,7683000,317935000,73820000,20315000,13455000,2427000,94135000,412070000,161850000,108004000,53846000,163268000,29327000,29327000,94597000,257865000,99044000,-21366000,76527000,154205000,154205000,412070000,3105000,4572000,46999.9999999995,463000,-416000,-22411000,-14687000,-922000,-671999.999999999,-1625000,15861000,15000,14317000,-1042000,-1042000,-1042000,9470000,66688000,-12671000,0.32671,0.02231,0.01414,0.02014,0.00754,-4.08084,1.94732,1.67222,0.16184,0.14328,0.14178,10.1328,7.11573,-0.5847,0.07499,2,0.0189,-0.05064,0.52335,6.46568,12.50102
"7","2011_Q4",4.65380952380952,"Up",234680000,-157691000,76989000,-67484000,-67484000,9505000,-632000,-632000,8873000,8873000,-3056000,5817000,5817000,5817000,5817000,4723000,4723000,9014000,9014000,280041000,15928000,7708000,309706000,76826000,19946000,13360000,2153000,96772000,406478000,145149000,91607000,53542000,146785000,29251000,29251000,100937000,247722000,99426000,-21366000,80696000,158756000,158756000,406478000,5817000,4547000,1674000,443000,1231000,-13098000,-1060000,-3925000,-3675000,-1631000,5613000,2000,4e+06,-735000,-735000,-735000,14052000,73322000,85000,0.32806,0.0405,0.02479,0.03664,0.01431,0.01461,2.10993,1.56039,0.18038,0.26819,0.26713,10.81973,7.31932,0.00392,0.0752,3,0.0285,0.00033,0.28039,4.8818,7.21715
"8","2012_Q1",4.48258064516129,"Down",226723000,-156034000,70689000,-70846000,-70846000,-157000,-723000,-723000,-880000,-880000,871000,-9000.00000000093,-9000.00000000093,-9000.00000000093,-9000.00000000093,4900000,4900000,13106000,13106000,264278000,16382000,7972000,298666000,75369000,20029000,13236000,2360000,95398000,394064000,140140000,77593000,62547000,141757000,29096000,29096000,95717000,237474000,99900000,-22347000,79037000,156590000,156590000,394064000,-8999.99999999907,4769000,1990000,458000,1532000,7038000,13788000,-5174000,-5174000,-1627000,-5563000,-299000,-8437000,177000,177000,177000,4612000,68238000,5605000,0.31179,-0.000690000000000003,-3.99999999999984e-05,-5.99999999999976e-05,-1.99999999999992e-05,-622.77778,2.10689,1.51653,0.17316,-0.000419999999999976,-0.000409999999999966,10.4751,7.2348,0.25896,0.07517,4,0.00637,0.02207,-180.77778,13.7333,-403.42675
"9","2012_Q2",3.92587301587302,"Down",218496000,-151068000,67428000,-66585000,-66585000,843000,-6e+05,-6e+05,243000,243000,-87000,156000,156000,156000,156000,5563000,5563000,12359000,12359000,267521000,15992000,7988000,301435000,72903000,20450000,13730000,2287000,93353000,394788000,147332000,93595000,53737000,148931000,28786000,28786000,92094000,241025000,99949000,-23764000,77578000,153763000,153763000,394788000,156000,4665000,456000,485000,-29000,6110000,11387000,-1602000,-1602000,-1668000,-5845000,-280000,-9122000,663000,663000,663000,5508000,64907000,10103000,0.3086,0.00386,0.00071,0.00101,4e-04,64.76282,2.02399,1.56751,0.16441,0.00726,0.0072,10.16781,7.15543,0.47015,0.07762,5,0.00737,0.04083,10.69231,10.77415,70.3962
"10","2012_Q3",4.52301587301587,"Up",226612000,-153536000,73076000,-68591000,-68591000,4485000,-576000,-576000,3909000,3909000,-1351000,2558000,2558000,2558000,2558000,6246000,6246000,12110000,12110000,289697000,16939000,8518000,324992000,71458000,21336000,14659000,2244000,92794000,417786000,158657000,105740000,52917000,160319000,28585000,28585000,103284000,263603000,100350000,-24673000,78506000,154183000,154183000,417786000,2558000,4768000,-663000,418000,-1081000,-11606000,-4943000,-2735000,-2735000,-1597000,10917000,1000,8361000,683000,683000,683000,9253000,76361000,-3737000,0.32247,0.01979,0.01129,0.01659,0.00612,-1.46090999999998,2.02716,1.70968,0.18278,0.11939,0.11861,10.57699,7.19641,-0.17442,0.07454,3,0.01603,-0.01442,0.624319999999992,7.57754,15.63322
"11","2012_Q4",6.54338709677419,"Up",251774000,-167901000,83873000,-70384000,-70384000,13489000,-469000,-469000,13020000,13020000,-4851000,8169000,8169000,8169000,8169000,4997000,4997000,9439000,9439000,275838000,17526000,8443000,307800000,70748000,20876000,14353000,2090000,91624000,399424000,153199000,92314000,60885000,154885000,28632000,28632000,84231000,239116000,100801000,-25542000,85049000,160308000,160308000,399424000,8169000,4702000,112000,414000,-302000,9102000,22085000,-2938000,-2688000,-1616000,-18230000,9000,-20646000,-1249000,-1249000,-1249000,18191000,57285000,29206000,0.33313,0.05358,0.03245,0.05096,0.02045,3.57522,1.98728,1.4916,0.14342,0.38307,0.37918,11.80652,7.51737,1.36957,0.07578,8,0.03974,0.11862,0.19782,2.87439,3.87634
"12","2013_Q1",8.04733333333333,"Up",243608000,-165216000,78392000,-71237000,-71237000,7155000,-557000,-557000,6598000,6598000,-2566000,4032000,4032000,4032000,4032000,7635000,7635000,15297000,15297000,270350000,18689000,8784000,311971000,72089000,22600000,14795000,3372000,94689000,406660000,160241000,92688000,67553000,161961000,29963000,29963000,80279000,242240000,102896000,-25940000,87464000,164420000,164420000,406660000,4032000,4760000,-991000,419000,-1410000,3274000,11075000,-5625000,-5625000,-1593000,-2500000,210000,-2811999.99999999,2638000,2638000,2638000,11915000,52036000,12130000,0.3218,0.02937,0.01655,0.02452,0.00991,3.00842999999999,1.92621,1.4733,0.12796,0.18897,0.18581,11.41716,7.70586,0.5685,0.07466,8,0.02283,0.04923,0.395089999999998,3.72648,6.20559
"13","2013_Q2",10.4709375,"Up",246266000,-165791000,80475000,-67928000,-67928000,12547000,-453000,-453000,12094000,12094000,-4580000,7514000,7514000,7514000,7514000,5357000,5357000,10554000,10554000,271871000,18850000,8736000,306632000,70048000,21702000,13948000,3321000,91750000,398382000,162299000,104634000,57665000,164130000,29345000,29345000,63848000,227978000,103545000,-25940000,92799000,170404000,170404000,398382000,7514000,4812000,863000,449000,414000,10594000,23783000,-3219000,-3219000,-2210000,-20747000,-354000,-22842000,-2278000,-2278000,-2278000,17359000,36334000,29314000,0.32678,0.05095,0.03051,0.0441,0.01886,3.90125,1.86823,1.33787,0.0912,0.35025,0.34433,11.47933,7.94313,1.36643,0.10302,7,0.04119,0.12417,0.29412,1.78449,2.46888
