"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2017_Q4",220.627142857143,"Up",4.463e+09,-2.314e+09,2.149e+09,-1.468e+09,-2e+08,-8.27e+08,-4.41e+08,6.81e+08,-1e+08,-1.12e+08,1.2e+07,5.81e+08,-3.3e+07,5.48e+08,-3.9e+07,5.09e+08,5.07e+08,4.81e+08,4.81e+08,876996275.18478,876996275.18478,2452413513.31859,2452413513.31859,1850863247.58338,1454106718.57681,1454106718.57681,6634379754.66357,2432300176.07914,30781712865.7006,8406180984.16146,22464611460.5638,-89079579.0245967,33214013041.7798,39848392796.4433,2781259958.40893,1276712002.7614,690829849.010658,277804205.077675,277804205.077675,3749894012.49726,19144462888.7384,22965488245.6421,22965488245.6421,42109951134.3805,45859845146.8778,-59655.9570148099,11072508379.4497,-53161925.2469514,-13301651951.0929,-6011452350.43447,39848392796.4433,5.07e+08,1.211e+09,2.9e+08,-3.52e+08,1.656e+09,-2.54e+08,-3e+06,-1e+06,-2.58e+08,-4.38e+08,-6e+06,-1.5e+08,-1.5e+08,1.91e+08,-4.03e+08,9.95e+08,9.95e+08,9.95e+08,1.892e+09,0,1.325e+09,0.48151,0.15259,0.10778,-0.380185889058507,-0.23659151054647,2.75468,-0.192516966392763,2.80031170705862,0.450653011303711,1.18182,1.0809,10.9656,-36.5619503981233,3.25553,1.07617,-0.24082920872706,0.311163026842092,0.9106,8.84165560812691,20.2502563983839
"2","2018_Q1",215.040655737705,"Down",4.844e+09,-2.461e+09,2.383e+09,-1.451e+09,-1.82e+08,-8.28e+08,-4.41e+08,9.32e+08,-1.03e+08,-1.19e+08,1.6e+07,8.29e+08,-1.84e+08,6.45e+08,-8.9e+07,5.56e+08,5.61e+08,5.32e+08,5.32e+08,1.1204e+10,1.1204e+10,2.448e+09,2.448e+09,1.447e+09,7.24e+08,7.24e+08,1.5823e+10,2.599e+09,3.5996e+10,1.0832e+10,2.4706e+10,4.58e+08,3.8595e+10,5.4418e+10,1.731e+09,1.105e+09,1.17e+08,6.81e+08,6.81e+08,2.529e+09,1.7431e+10,1.1272e+10,1.1272e+10,2.8703e+10,3.1232e+10,0,2.0505e+10,-9.1e+07,2.0285e+10,2.3186e+10,5.4418e+10,5.61e+08,1.219e+09,-1.29e+08,3.08e+08,1.959e+09,2.07e+08,9.5367431640625e-07,-4e+06,3.96e+08,-4.39e+08,3.974e+09,0,207647598.103495,6.5e+07,3.6e+09,5.955e+09,5.955e+09,5.955e+09,2.151e+09,1.7548e+10,2.755e+09,0.49195,0.1924,0.10983,0.02294,0.00978,5.17857,6.25662,1.34702,0.32247,1.31358,1.26366,11.96049,50.08642,6.80247,1.08395,0.01867,0.05297,0.82519,2.94933,6.80687
"3","2018_Q2",210.94875,"Down",5.327e+09,-2.699e+09,2.628e+09,-1.555e+09,-2.91e+08,-9.25e+08,-3.39e+08,1.073e+09,-1.48e+08,-1.83e+08,3.5e+07,9.25e+08,-1.3e+08,7.95e+08,5.786e+09,6.581e+09,6.566e+09,6.23e+09,6.23e+09,12165167908.2717,12165167908.2717,2551778828.8938,2551778828.8938,1274462250.80554,379631093.807729,379631093.807729,16371040081.7788,2689399941.30695,38503929044.7665,11916439671.9462,26010379513.1454,577109859.674865,41193328986.0734,57564369067.8522,1295830013.86369,952762665.746199,-45026616.336886,758481931.640775,758481931.640775,2009285329.16758,16873345703.7539,5267170584.78596,5267170584.78596,22140516288.5398,24149801617.7074,19885.3190049366,24178163873.5168,-105112691.58435,32701883983.6976,33414567450.1448,57564369067.8522,6.566e+09,1.184e+09,-5.648e+09,-4.17e+08,1.685e+09,1.7e+07,-4.004e+09,4e+06,-4.227e+09,-7.55e+08,-8.56e+08,3.4e+07,3.4e+07,-9e+06,-1.586e+09,-4.128e+09,-4.128e+09,-4.128e+09,2.257e+09,0,-3.929e+09,0.49334,0.20143,1.16951,0.150846129686169,0.0884455035154899,-0.63066,7.54007482213092,0.743498597647127,0.291473996232096,15.19512,14.62441,12.99268,80.0993501327078,-9.58293,1.84146,0.103680569575687,-0.0313926756140307,0.12119,2.16093313062436,4.02398120053869
"4","2018_Q3",194.259365079365,"Down",5.014e+09,-2.463e+09,2.551e+09,-1.297e+09,-2.94e+08,-9.36e+08,-6.7e+07,1.254e+09,-1.02e+08,-1.48e+08,4.6e+07,1.152e+09,-5.3e+07,1.099e+09,2.637e+09,3.736e+09,3.733e+09,3.718e+09,3.718e+09,8.187e+09,8.187e+09,2.749e+09,2.749e+09,1.235e+09,3.03e+08,3.03e+08,1.2474e+10,2.72e+09,3.9742e+10,1.2346e+10,2.6908e+10,4.88e+08,4.2462e+10,5.4936e+10,1.253e+09,8.36e+08,1.17e+08,7.54e+08,7.54e+08,2.124e+09,1.7481e+10,3.264e+09,3.264e+09,2.0745e+10,2.2869e+10,0,2.4305e+10,-1.06e+08,3.2067e+10,3.2067e+10,5.4936e+10,3.733e+09,9.64e+08,-2.381e+09,-3e+06,2.313e+09,-1.88e+08,-4.76837158203125e-07,-1.6e+07,-1.55e+08,-7.66e+08,-2.1e+07,-2.69e+08,7.8e+07,9e+06,-1.047e+09,1.111e+09,1.111e+09,1.111e+09,2.218e+09,1.7598e+10,-609999999.999998,0.50878,0.2501,0.74152,0.11594,0.06768,-0.16407,5.87288,0.71316,0.32034,8.83135,8.29911,11.90974,76.16865,-1.44893,1.81948,0.08472,-0.01152,0.20602,4.24301,7.50478
"5","2018_Q4",206.036666666667,"Up",5.063e+09,-2.444e+09,2.619e+09,-1.261e+09,-2.34e+08,-9.59e+08,-6.8e+07,1.358e+09,-1.1e+08,-1.49e+08,3.9e+07,1.248e+09,-1.9e+07,1.229e+09,-3.2e+07,1.197e+09,1.196e+09,1.196e+09,1.196e+09,4.136e+09,4.136e+09,3.01e+09,3.01e+09,1.216e+09,3.33e+08,3.33e+08,8.695e+09,2.695e+09,3.8982e+10,1.1598e+10,2.692e+10,4.64e+08,4.1677e+10,5.0372e+10,1.407e+09,7.85e+08,1.17e+08,6.63e+08,6.63e+08,2.187e+09,1.7487e+10,3.246e+09,3.246e+09,2.0733e+10,2.292e+10,0,2.3291e+10,-1.06e+08,2.7452e+10,2.7452e+10,5.0372e+10,1.196e+09,9.65e+08,3.5e+08,-2.64e+08,2.247e+09,-1.2e+08,-7e+06,-4.7e+07,-1.74e+08,-7.54e+08,0,-5.49e+09,-1.12e+08,1.2e+08,-6.124e+09,-4.051e+09,-4.051e+09,-4.051e+09,2.323e+09,1.7604e+10,1.971e+09,0.51728,0.26822,0.23622,0.04357,0.02374,1.64799,3.97577,0.83491,0.34948,2.7814,2.71202,11.77442,63.84186,4.58372,1.75349,0.04037,0.04081,0.63043,5.79768,9.91753
"6","2019_Q1",239.129180327869,"Up",5.444e+09,-2.509e+09,2.935e+09,-1.252e+09,-2.37e+08,-9.48e+08,-6.7e+07,1.683e+09,-1.24e+08,-1.48e+08,2.4e+07,1.559e+09,-1.37e+08,1.422e+09,-3.07e+08,1.115e+09,1.115e+09,1.115e+09,1.115e+09,4.292e+09,4.292e+09,3.325e+09,3.325e+09,1.124e+09,3.66e+08,3.66e+08,9.107e+09,2.635e+09,3.8382e+10,1.0762e+10,2.6913e+10,7.07e+08,4.1017e+10,5.0124e+10,1.526e+09,8.11e+08,-1.19209289550781e-07,8.12e+08,8.12e+08,2.338e+09,1.7493e+10,3.636e+09,3.636e+09,2.1129e+10,2.3467e+10,2.91038304567337e-11,2.3285e+10,-1.15e+08,2.6657e+10,2.6657e+10,5.0124e+10,1.115e+09,9.68e+08,6.94e+08,-1.42e+08,2.635e+09,-1.05e+08,-15999999.999999,5.7e+07,-1.18e+08,-7.23e+08,-9.6e+07,-1.321e+09,-7.046e+09,-2.21e+08,-2.361e+09,1.56e+08,1.56e+08,1.56e+08,2.651e+09,1.7493e+10,2.711e+09,0.53913,0.30915,0.20481,0.04183,0.02224,2.43139,3.89521,0.88033,0.34899,2.7129,2.72616,13.24574,64.85888,6.59611,1.75912,0.03846,0.05673,0.64843,4.97963,7.84373
"7","2019_Q2",259.284920634921,"Up",5.789e+09,-2.581e+09,3.208e+09,-2.08e+09,-4.71e+08,-1.133e+09,-4.76e+08,1.128e+09,-2.77e+08,-3.45e+08,6.8e+07,8.51e+08,-5.73e+08,2.78e+08,2.03e+08,4.81e+08,4.71e+08,4.71e+08,4.71e+08,5.093e+09,5.093e+09,3.677e+09,3.677e+09,1.074e+09,7.6e+08,7.6e+08,1.0604e+10,2.684e+09,5.8822e+10,2.1493e+10,3.6647e+10,6.82e+08,6.1506e+10,7.211e+10,1.201e+09,7.38e+08,3.537e+09,3.611e+09,3.611e+09,8.349e+09,3.4104e+10,6.433e+09,6.433e+09,4.0537e+10,4.8886e+10,0,2.3081e+10,-1.16e+08,2.3224e+10,2.3224e+10,7.211e+10,4.71e+08,1.459e+09,1.7e+08,3.2e+07,2.132e+09,-9.9e+07,-1.507e+10,-2.4e+07,-1.5193e+10,-1.067e+09,1.8427e+10,-3.374e+09,6.2e+07,-1.24e+08,1.3862e+10,8.01e+08,8.01e+08,8.01e+08,2.587e+09,3.7641e+10,2.317e+09,0.55415,0.19485,0.08136,0.02028,0.00653,4.91932,1.27009,2.10498,0.52199,1.17456,1.12411,14.43641,57.91521,5.77805,2.66085,0.02285,0.03443,2.26539,12.58137,28.85461
"8","2019_Q3",255.43796875,"Down",5.517e+09,-2.428e+09,3.089e+09,-2.043e+09,-4.19e+08,-1.151e+09,-4.73e+08,1.046e+09,-3.13e+08,-3.76e+08,6.3e+07,7.33e+08,-7.6e+07,6.57e+08,3.6e+07,6.93e+08,6.91e+08,6.91e+08,6.91e+08,5.328e+09,5.328e+09,3.484e+09,3.484e+09,1.034e+09,8.31e+08,8.31e+08,1.0677e+10,2.654e+09,5.7585e+10,2.0188e+10,3.6662e+10,7.35e+08,6.0239e+10,7.0916e+10,1.237e+09,7.59e+08,3.537e+09,3.729e+09,3.729e+09,8.503e+09,3.4011e+10,6.23e+09,6.23e+09,4.0241e+10,4.8744e+10,4.65661287307739e-10,2.2288e+10,-1.16e+08,2.2172e+10,2.2172e+10,7.0916e+10,6.91e+08,1.447e+09,4.31e+08,9.8e+07,2.667e+09,-1.25e+08,0,2.1e+07,-105999999.999998,-1.057e+09,-5.9e+07,-7.09e+08,1.21e+08,-5.01e+08,-2.326e+09,2.35e+08,2.35e+08,2.35e+08,2.493e+09,3.7548e+10,2.43e+09,0.55991,0.1896,0.12525,0.03117,0.00974,3.51664,1.25567,2.19845,0.52947,1.74055,1.64133,13.89673,55.84887,6.12091,2.66247,0.0265,0.03685,1.52967,12.92419,30.80306
"9","2019_Q4",275.3659375,"Up",5.515e+09,-2.481e+09,3.034e+09,-2.12e+09,-4.1e+08,-1.235e+09,-4.75e+08,9.14e+08,-3.21e+08,-3.62e+08,4.1e+07,5.93e+08,-4.9e+07,5.44e+08,1.71e+08,7.15e+08,7.15e+08,7.15e+08,7.15e+08,5.462e+09,5.462e+09,3.539e+09,3.539e+09,1.091e+09,8.06e+08,8.06e+08,1.0898e+10,2.611e+09,5.6258e+10,1.8879e+10,3.6686e+10,6.93e+08,5.8869e+10,6.9767e+10,1.571e+09,9.96e+08,3.537e+09,3.174e+09,3.174e+09,8.282e+09,3.4028e+10,5.954e+09,5.954e+09,3.9982e+10,4.8264e+10,0,2.1619e+10,-1.16e+08,2.1503e+10,2.1503e+10,6.9767e+10,7.15e+08,1.45e+09,4.14e+08,-1.6e+08,2.419e+09,-3e+07,-6e+06,-1e+06,-3.5e+07,-1.057e+09,-2.3e+08,-7.25e+08,1.1e+07,-2.38e+08,-2.25e+09,1.34e+08,1.34e+08,1.34e+08,2.364e+09,3.7565e+10,2.003e+09,0.55014,0.16573,0.12965,0.03325,0.01025,2.8014,1.31587,2.24452,0.53844,1.79198,1.70238,13.82206,53.89223,5.02005,2.64912,0.02725,0.0308,1.47832,13.57995,35.12363
"10","2020_Q1",258.246451612903,"Down",5.776e+09,-2.624e+09,3.152e+09,-2.06e+09,-4.09e+08,-1.177e+09,-4.74e+08,1.092e+09,-3.07e+08,-3.61e+08,5.4e+07,7.85e+08,-3.8e+07,7.47e+08,1e+08,8.47e+08,8.47e+08,8.47e+08,8.18e+08,5.055e+09,5.055e+09,3.259e+09,3.259e+09,8.74e+08,7.29e+08,7.29e+08,9.917e+09,2.565e+09,5.5011e+10,1.7554e+10,3.6714e+10,7.43e+08,5.7576e+10,6.7493e+10,8.55e+08,8.55e+08,2.787e+09,3.257e+09,3.257e+09,6.899e+09,3.0011e+10,5.613e+09,5.613e+09,3.5624e+10,4.2523e+10,2.9e+07,2.5081e+10,-1.4e+08,2.497e+10,2.497e+10,6.7493e+10,8.47e+08,1.452e+09,3.34e+08,-1.54e+08,2.479e+09,-9e+07,-1.9073486328125e-06,7e+06,-88000000.000001,-1.054e+09,-4.904e+09,-3.74e+08,-5.376e+09,3.534e+09,-2.798e+09,-4.07e+08,-4.07e+08,-4.07e+08,2.544e+09,3.2798e+10,2.2e+09,0.54571,0.18906,0.14162,0.03276,0.01212,2.68949,1.43745,1.70296,0.48595,2.07089,1.96635,14.62278,63.14177,5.56962,2.66835,0.02954,0.03471,1.28851,10.90527,25.40568
