"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"1","2010_Q2",12.2057142857143,"Up",6.125e+09,-5.623e+09,5.02e+08,-2.91e+08,-6.2e+07,-6.7e+07,-1.62e+08,2.11e+08,-6e+07,-5.8e+07,1e+06,-3e+06,1.51e+08,1.51e+08,0,1.51e+08,1.51e+08,1.51e+08,1.51e+08,1.51e+08,6.7e+07,1.6e+07,1.57e+08,3.91e+08,-1.04e+08,-4e+06,-1.08e+08,-1.27e+08,1e+06,-2.92e+08,-9e+06,-9e+06,-9e+06,2.78e+08,0,3.31e+08,0.08196,0.03445,0.02465,2.19205,0.29038,0.28817,11.77885,0.63654
"2","2010_Q4",13.6821875,"Up",6.414e+09,-5.971e+09,4.43e+08,-2.93e+08,-5.6e+07,-6.1e+07,-1.76e+08,1.5e+08,-7e+07,-6.4e+07,1e+06,-7e+06,8e+07,8e+07,4e+06,8.4e+07,8.4e+07,8.1e+07,8.1e+07,206006720.196636,66336001.3215451,71587620.2705492,242675731.90616,586606073.69489,-80750608.6589833,1427356605.95925,153595432.388457,-1227646419.90516,285050407.342588,-753381006.919626,-13179500.8362785,-13179500.8362785,-14812319.6894398,367740618.401564,5.488e+09,533755755.784397,0.06907,0.02339,0.01263,3.41286096660659,0.1489,0.14781,11.79044,0.961010694083015
"3","2011_Q2",14.0387301587302,"Down",7.694e+09,-7.079e+09,6.15e+08,-3.3e+08,-7e+07,-6.3e+07,-1.97e+08,2.85e+08,-8.7e+07,-6.5e+07,1952630.3800214,-2.2e+07,1.98e+08,1.98e+08,-1.3e+07,1.85e+08,1.85e+08,1.82e+08,1.82e+08,1.85e+08,6.3e+07,2.2e+07,3.84e+08,6.54e+08,-1.21e+08,15999999.999999,-8.42e+08,-5.09e+08,2.26e+08,1.71e+08,-1.7e+07,-1.7e+07,-1.7e+07,3.48e+08,5.45e+09,6.24e+08,0.07993,0.03704,0.02365,3.42857,0.31818,0.31597,13.45105,1.09091
"4","2011_Q4",15.1220634920635,"Up",8.837e+09,-8.142e+09,6.95e+08,-3.38e+08,-5.6e+07,-6.5e+07,-2.17e+08,3.57e+08,-6.3e+07,-6.2e+07,4e+06,-5e+06,2.94e+08,2.94e+08,-6e+06,2.88e+08,2.88e+08,2.81e+08,2.81e+08,151686559.606729,63877997.3569097,-47775240.5410984,435998536.187679,603787852.610219,-190698782.682033,-2084163211.9185,-2028690864.77691,832992839.810313,4049185.31482467,1407262013.83925,-17640998.327443,-17640998.327443,-15225360.6211204,303768763.196872,0,570388488.431206,0.07865,0.0404,0.0318,2.60643156678683,0.47148,0.46833,14.82718,0.98950711183397
"5","2012_Q2",18.838253968254,"Up",9.218e+09,-8.502e+09,7.16e+08,-4.03e+08,-9.4e+07,-6e+07,-2.49e+08,3.13e+08,-5.6e+07,-6.5e+07,7e+06,2e+06,2.57e+08,2.57e+08,-2e+07,2.37e+08,2.37e+08,2.3e+08,2.3e+08,2.37e+08,6e+07,0,20000000.0000001,3.17e+08,-2.5e+08,-1.619e+09,-1.89e+09,1.351e+09,-1.8e+08,1.56e+09,-1.3e+07,-1.3e+07,-1.2e+07,3.73e+08,6.551e+09,1.63e+08,0.07767,0.03396,0.02495,0.7087,0.36624,0.36392,14.67834,0.25955
"6","2012_Q3",20.8403174603175,"Up",9.786e+09,-8.83e+09,9.56e+08,-4.94e+08,-8.9e+07,-8.6e+07,-3.19e+08,4.62e+08,-6.6e+07,-7.5e+07,9e+06,4195928.5291154,3.96e+08,3.96e+08,-1e+07,3.86e+08,3.86e+08,3.78e+08,3.78e+08,3.87e+08,8.6e+07,1.58e+08,-6e+08,3.1e+07,-2.75e+08,1.64e+09,-1.48e+08,2.89e+08,-1.82e+08,1.18e+08,1e+06,1e+06,-2e+06,5.48e+08,-2.86102294921875e-06,-3.17e+08,0.09769,0.04721,0.03863,-0.83862,0.60191,0.5981,15.5828,-0.50478
"7","2012_Q4",22.1367741935484,"Up",9.354e+09,-8.524e+09,8.3e+08,-5.83e+08,-8.1e+07,-2.1e+08,-2.92e+08,2.47e+08,-6.1e+07,-7.4e+07,9e+06,4e+06,1.86e+08,1.86e+08,-1.3e+07,1.73e+08,1.73e+08,1.65e+08,1.65e+08,1.73e+08,2.1e+08,2.2e+07,1.27e+08,5.32e+08,-3.06e+08,-5000000.00000048,-3.38e+08,-1.94e+08,-1.87e+08,-1.77e+08,1.7e+07,1.7e+07,2e+07,4.57e+08,6.645e+09,2.91e+08,0.08873,0.02641,0.01764,1.76364,0.50152,0.49849,28.43161,0.8845
"8","2013_Q1",25.9846666666667,"Up",9.439e+09,-8.512e+09,9.27e+08,-5.24e+08,-7.8e+07,-1.26e+08,-3.2e+08,4.03e+08,-6.1e+07,-7.4e+07,1.3e+07,0,3.42e+08,3.42e+08,-1.1e+07,3.31e+08,3.31e+08,3.21e+08,3.21e+08,3.3e+08,1.26e+08,-7.7e+07,-1.9e+07,3.6e+08,-3.51e+08,-7e+07,-1.016e+09,7.02e+08,-4.07e+08,6.5e+08,-6e+06,-6e+06,-8e+06,5.29e+08,7.406e+09,1.7e+08,0.09821,0.0427,0.03401,0.5296,0.98769,0.97866,29.04308,0.52308
"9","2013_Q2",28.17171875,"Up",1.062e+10,-9.437e+09,1.183e+09,-5.28e+08,-1.06e+08,-8.2e+07,-3.4e+08,6.55e+08,-6.6e+07,-7.7e+07,1.1e+07,-2629222.35476565,5.89e+08,5.89e+08,-5.3e+07,5.36e+08,5.36e+08,5.28e+08,5.28e+08,5.36e+08,8.2e+07,5e+07,3.11e+08,9.79e+08,-3.61e+08,-4e+06,-4.44e+08,-3.8e+08,-2.01e+08,-5.35e+08,0,0,0,7.37e+08,7.02e+09,7.4e+08,0.11139,0.06168,0.04972,1.40152,1.57143,1.55752,31.60714,2.20238
"10","2013_Q3",26.85625,"Down",1.0295e+10,-9.387e+09,9.08e+08,-5.25e+08,-9.1e+07,-9.1e+07,-3.43e+08,3.83e+08,-6.5e+07,-7.5e+07,1.1e+07,-1e+06,3.18e+08,3.18e+08,-1.8e+07,3e+08,3e+08,2.92e+08,2.92e+08,3.01e+08,9.1e+07,3.6e+07,-7e+07,3.58e+08,-4.21e+08,-3e+06,-4.88e+08,1.94e+08,-2.09e+08,1.25e+08,-5e+06,-5e+06,-8e+06,4.74e+08,7.215e+09,1e+06,0.0882,0.0372,0.02836,0.00342,0.85882,0.8538,30.27941,0.00294
