"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q3",22.5734375,"Down",508865000,-403925000,104940000,-60712000,-25905000,-34807000,44228000,-181869000,-7e+05,-181169000,-137641000,-147782000,69496000,-78286000,-78286000,59354000,-18932000,-18932000,421147000,421147000,2102604000,232158000,110779000,92697000,2795094000,5839000,454318000,14594000,274172000,82230000,61044000,460157000,3255251000,336285000,113454000,184973000,111159000,111159000,447444000,1392162000,1392162000,1839606000,678528000,1415645000,3255251000,-78286000,1422000,90557000,-254883000,-241190000,-366000,-522000,-305000,-1193000,263829000,-15194000,434690000,192307000,192307000,183149000,45650000,1392162000,-279095000,0.20622,0.08691,-0.0372,-0.01337,-0.00582,14.74197,6.2468,1.29948,0.42767,-0.57709,-0.15477,15.51134,20.68305,-8.50744,-0.00674,-0.0994,21.27087,21.95476
"2","2013_Q4",21.5246875,"Down",634441000,-500219000,134222000,-60279000,-21944000,-38335000,73943000,10363000,1333000,9030000,84306000,84306000,-31674000,52632000,52632000,-38369000,14263000,14263000,355415000,355415000,2268630000,230873000,101905000,99864000,2896425000,6724000,498664000,21594000,270858000,89256000,102178000,505388000,3401813000,408533000,123301000,217920000,111120000,111120000,519653000,1408083000,1408083000,1927736000,694793000,1474077000,3401813000,52632000,-178000,-4744999.99999997,-91601000,-43892000.0000001,-1457000,-34000,-2204000,-3695000.00000001,-23092000,-158000.000000002,-23249999.9999999,-70837000,-70837000,-65732000,73765000,1408083000,12381000,0.21156,0.11655,0.02248,0.00968,0.00419,0.868049999999998,5.57377,1.30776,0.41392,0.43374,0.11663,19.2933,21.1286,0.37651,0.00495,0.0043,14.27056,14.23621
"3","2014_Q1",22.5813114754098,"Up",391263000,-296106000,95157000,-39440000,-9005000,-30435000,55717000,168205000,-1961000,170166000,223922000,28149000,1523000,29672000,96185000,-70355000,25830000,25830000,193518000,193518000,1993985000,236052000,79921000,156131000,2423555000,4502000,1010501000,23375000,242656000,21435000,50592000,1015003000,3438558000,299288000,101732000,162044000,62033000,62033000,361321000,1257730000,1532336000,1893657000,415817000,1544901000,3438558000,96185000,917000,36996000,52382000,186480000,-1579000,-66925000,-1116000,-69620000,-69481000,3254000,-69466000,47394000,47394000,33766000,56634000,1257730000,105914000,0.2432,0.1424,0.06602,0.01672,0.00751,4.10043,6.70748,1.22575,0.36577,0.78597,0.21116,11.90552,12.65266,3.2228,0.00839,0.03442,18.79104,19.10031
"4","2014_Q2",21.6347619047619,"Down",470475000,-367094000,103381000,-55723000,-19241000,-36482000,47658000,298000.00000003,-686000,983999.99999997,47956000,47956000,-10956000,3.7e+07,41296000,-30364000,10932000,10932000,4.33e+08,4.33e+08,2468938000,297720000,120477000,171976000,3240458000,7355000,486335000,23375000,249611000,133451000,67213000,493690000,3734148000,338519000,123248000,194490000,110083000,110083000,448602000,1712017000,1712017000,2160619000,423369000,1573529000,3734148000,41296000,-387000,6967000,-294322000,-246446000,693000,-10412000,7374000,-2345000,293598000,5719000,299317000,50526000,50526000,43819000,47271000,1712017000,-235402000,0.21974,0.1013,0.02324,0.00695,0.00293,-21.5333,7.22346,1.3731,0.45848,0.3327,0.08935,14.31843,12.88481,-7.16422,0.00333,-0.07165,27.05712,26.8374
"5","2014_Q3",19.4509375,"Down",597008000,-469656000,127352000,-63001000,-19224000,-43777000,64351000,1157000,-96000,1253000,65508000,65508000,-20105000,45403000,55499000,-40683000,14816000,14816000,300821000,300821000,2713802000,280287000,117569000,157184000,3342938000,7721000,562617000,23375000,252193000,187505000,87717000,570338000,3913276000,374065000,153389000,192184000,120337000,120337000,494402000,1760541000,1776164000,2270566000,441956000,1642710000,3913276000,55499000,3012000,-44885000,-118084000,-104458000,-2467000,-46250000,1120000,-47597000,24862000,-12418000,12444000,-139611000,-139611000,-132179000,67363000,1760541000,-33083000,0.21332,0.10779,0.02482,0.00902,0.00379,-2.23292,6.76158,1.38221,0.44989,0.45069,0.12109,18.16049,13.44394,-1.00636,0.00433,-0.00968,21.66946,22.68372
"6","2014_Q4",17.87265625,"Down",629196000,-497245000,131951000,-63787000,-19114000,-44673000,68164000,885999.999999993,-345000,1231000,69050000,69050000,-19541000,49509000,66175000,-48329000,17846000,17846000,281528000,281528000,2831874000,263735000,112338000,146014000,3419262000,7871000,606007000,23375000,247637000,216777000,107429000,613878000,4033140000,397186000,142910000,234419000,112208000,112208000,509394000,1821084000,1832492000,2341886000,455115000,1691254000,4033140000,66175000,1333000,-10939000,-76674000,-20105000,-972000,-24832000,4520000,-21284000,30375000.0000001,-296000,30078999.9999999,-11310000,-11310000,-19293000,69497000,1821084000,11392000,0.20971,0.10834,0.02836,0.01055,0.00442,0.638349999999999,6.71241,1.3847,0.45153,0.54151,0.14588,19.092,13.80978,0.345670000000001,0.00506,0.00323000000000001,22.15284,22.58606
"7","2015_Q1",18.6762295081967,"Up",1011753000,-808191000,203562000,-85986000,-23574000,-62412000,117576000,1904000,-33000,1937000,119480000,119480000,-25793000,93687000,104531000,-76656000,27875000,27875000,234217000,234217000,2511623000,322902000,89210000,233692000,3068742000,5337000,1059034000,23375000,258190000,110291000,85274000,1064371000,4133113000,373118000,122466000,200556000,70465000,70465000,443583000,1737106000,1912369000,2355952000,478397000,1777161000,4133113000,104531000,132000,61897000,70759000,237319000,-977000,-16705000,-543000,-18225000,-25647000,-6866000,-32513000,186581000,186581000,180677000,117708000,1737106000,213283000,0.2012,0.11621,0.02755,0.01569,0.00674,7.65141,6.91808,1.32568,0.42029,0.84316,0.22808,30.60354,14.47057,6.45139,0.00756,0.05781,12.76794,12.78228
"8","2015_Q2",19.7857142857143,"Up",509415000,-414832000,94583000,-62695000,-20704000,-41991000,31888000,30336000,50000,303000,62224000,62224000,-22042000,40182000,96844000,-70882000,25962000,25962000,399537000,399537000,2750090000,221920000,101854000,120066000,3371547000,4893000,493326000,23375000,251392000,112813000,99354000,498219000,3869766000,356075000,136815000,179488000,85772000,85772000,441847000,1572105000,1576745000,2018592000,498255000,1851174000,3869766000,40182000,861000,-19747000,-191474000,-170178000,29666000,-2726000,655000,296448000,-165672000,-3322000,-168994000,-42724000,-42724000,-62668000,32749000,1572105000,-107017000,0.18567,0.0626,0.05096,0.01402,0.00671,-4.12206,7.63058,1.09044,0.40625,0.78513,0.21219,15.40554,15.06804,-3.23637,0.00757,-0.03122,35.8047,36.77145
"9","2015_Q3",19.75578125,"Down",700974000,-564315000,136659000,-74687000,-24204000,-50483000,61972000,1306000,82000,1224000,63278000,29961000,-9939000,20022000,20022000,-14945000,5077000,5077000,145546000,145546000,2944300000,249939000,99909000,150030000,3339785000,5690000,533909000,32500000,251392000,128473000,115847000,539599000,3879384000,355120000,151272000,174027000,99875000,99875000,454995000,1549552000,1552146000,2007141000,503887000,1872243000,3879384000,20022000,991000,42617000,-186360000,-122730000,-1182000,-22224000,6857000,-78989000,-46650000,-5639000,-52289000,-254008000,-254008000,-253991000,62963000,1549552000,-114640000,0.19496,0.08841,0.00724,0.00271,0.00131,-22.58026,7.34027,1.07205,0.39943,0.1535,0.04148,21.19347,15.23468,-3.46606,0.00148,-0.03348,22.29891,22.65549
"10","2015_Q4",17.628125,"Down",796287000,-646816000,149471000,-81138000,-25263000,-55875000,68333000,-86000,33000,-119000,68247000,68247000,-22453000,45794000,45794000,-33451000,12343000,12343000,158279000,158279000,3127510000,260633000,118220000,142413000,3546422000,5821000,569425000,57698000,252341000,126359000,128131000,575246000,4121668000,398861000,164253000,203833000,101997000,101997000,500858000,1699717000,1701400000,2202258000,516693000,1919410000,4121668000,45794000,1075000,3909000,-29583000,21195000,-254000.000000004,1553000,-625000,-157785000,150165000,-277999.999999999,149887000,13297000,13297000,12733000,69408000,1699717000,62024000,0.18771,0.08581,0.0155,0.00643,0.00299,5.02503,7.08069,1.14736,0.41239,0.37332,0.10085,24.08393,15.62753,1.87593,0.00341,0.01713,22.20836,22.55774
