"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","reserve_for_outstanding_claims_losses","premium_reserve_unearned","other_short_term_liabilities","other_long_term_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",35.6096825396825,"Up",1042395000,945949000,82744000,13702000,10620000,3082000,-544207000,-172036000,-152729000,173423000,-20827000,-16594000,-4233000,152596000,152596000,-4125000,148471000,148471000,147249000,-10022000,137227000,16344914694.0089,-714982368.488352,-168858715.789276,-2542444126.55778,5076506126.93501,17995135610.1085,14019806748.1761,19184507649.187,-5164700901.01086,-69015527.7041982,1642385715.59242,16583210830.2132,630069435.572197,2838062948.29692,2031993.53660103,2836030954.76032,92805952.8306494,1752623341.88351,-1889604738.27153,3423956940.31175,1411924779.89529,17995135610.1085,148471000,15889000,38171000,-51263000,151268000,-120214000,-43557000,-163771000,-39584000,294490000,281987000,281987000,441000,282428000,189312000,0,0.16637,0.13165,-0.712585677253395,-0.208546745877964,4.57253073426361,0.0552951918740875,1.29848,1.28306,9.86341,112.601346589198,0.37455,-0.216938226150919,0.28846,10.5548389343676,11.0172362594877
"2","2014_Q3",36.211875,"Up",1150212000,1000400000,114866000,34946000,33262000,1684000,-565829000,-191863000,-151081000,241439000,-29681000,-19975000,-9706000,211758000,211758000,-9500000,202258000,202258000,200685000,-10022000,190663000,15032390347.0044,158066815.755824,507728142.105362,-969218063.278888,3858364063.46751,18587331305.0542,12609715374.0881,13823571824.5935,-1213856450.50543,199717736.147901,985370857.796211,14785089415.1066,628956217.786098,2510754974.14846,2114996.76830052,2508639977.38016,-1583629023.58468,3950365170.94176,-870869369.135763,4635577970.15588,3802241889.94764,18587331305.0542,202258000,-4970000,-62154000,105841000,240975000,-159949000,-53309000,-213258000,-41363000,-194477000,-166760000,-166760000,5032000,-161728000,236469000,-5.96046447753906e-08,0.20991,0.16576,-0.281317838626698,-0.082353372938982,3.33197036713181,0.0533375959370438,1.8041,1.78268,10.8836,74.6260532945992,0.39139,-0.0847391130754593,0.21694,5.1100044671838,5.33276812974386
"3","2014_Q4",38.53796875,"Up",1117843000,966133000,66561000,85149000,77447000,7702000,-552061000,-185949000,-152915000,226918000,51948000,-20344000,72292000,278866000,278866000,4098000,282964000,282964000,289124000,-10022000,279102000,14212160115.6681,672995605.251941,1198729380.70179,-13907687.7596294,3216408354.48917,19286385768.3514,12168428791.3627,10842290941.5312,1326137849.83152,359003245.382634,556655285.93207,14074624471.7022,628214072.595366,2344086658.04949,2165332.25610017,2341921325.79339,-2452940674.52822,5178102390.31392,-293183123.045254,5404279323.38529,5211761296.64921,19286385768.3514,282964000,6750000,-34916000,88700000,343498000,72539000,23676000,96215000,-39211000,-174306000,265407000,265407000,-19056000,246351000,233668000,0,0.203,0.24968,-0.0545226128755659,-0.0159477909796607,2.65785012237727,0.0513691986456812,2.64094,2.60958,10.57732,55.3078010981997,0.37102,-0.0150963710251531,0.14049,1.9317248223946,2.01630937658129
"4","2015_Q1",40.3365573770492,"Up",1036073000,958517000,78595000,-1039000,10779000,-11818000,-524625000,-187349000,-165151000,158948000,28304000,-17782000,46086000,187252000,187252000,-16381000,170871000,170871000,173687000,-10022000,163665000,13769979000,921830000,1808620000,466987000,2988320000,19955736000,12332173000,9596797000,2735376000,437362000,315471000,14075796000,627843000,2287207000,2191000,2285016000,-2763859000,5715504000,-45574000,5821121000,5879940000,19955736000,170871000,7301000,43870000,-95601000,126441000,297720000,-170982000,126738000,-37549000,-611722000,-358543000,-358543000,13583000,-344960000,166249000,990790000,0.15341,0.15797,0.02783,0.0082,2.39387,0.04965,1.54864,1.53025,9.80359,49.14015,0.3553,0.01031,0.22943,0.4148,0.43385
"5","2015_Q2",42.8934920634921,"Up",961283000,904053000,92107000,-34877000,-42553000,7676000,-512328000,-171542000,-163241000,114172000,50963000,-12257000,63220000,165135000,165135000,690000,165825000,165825000,165825000,-10022000,155803000,13591602000,996596000,2241875000,616966000,3011780000,20458819000,12737174000,9443222000,3293952000,463315000,221050000,14412584000,627843000,2289265000,2200000,2287065000,-2765114000,5842239000,-17070000,5977163000,6046235000,20458819000,165825000,6581000,40792000,-241286000,-28088000,153864000,14593000,168457000,-40125000,-59843000,80526000,80526000,-16122000,64404000,120753000,991045000,0.11877,0.16208,0.02577,0.00762,2.38373,0.04844,1.47425,1.45674,9.09591,50.61666,0.37967,0.0098,0.25754,-0.04597,-0.04862
"6","2015_Q3",44.46625,"Up",1022132000,941211000,88544000,-7623000.00000001,-11109000,3486000,-580153000,-183263000,-148482000,110234000,-35047000,-12939000,-22108000,75187000,75187000,-1815000,73372000,73372000,73372000,-10022000,63350000,13628242000,989395000,2394037000,594863000,3098338000,20704875000,13018018000,9693440000,3324578000,509936000,237061000,14756317000,627843000,2287973000,2201000,2285772000,-2764338000,5875147000,-78067000,5948558000,5948558000,20704875000,73372000,3684000,-99188000,165832000,143700000,-105132000,-1134000,-106266000,-39089000,-42147000.0000001,-4713000,-4713000,7874000,3160999.99999994,113918000,991302000,0.10785,0.06198,0.01065,0.00306,2.48065,0.04788,0.63691,0.63055,10.2764,53.49388,0.393,0.00507,0.61703,0.01674,0.0173
"7","2015_Q4",44.450625,"Down",1176227000,919341000,45685000,211201000,-69956000,281157000,-560387000,-182744000,-144728000,288368000,15170000,-12918000,28088000,303538000,257671000,-30000,257641000,257641000,257641000,-10022000,247619000,13765654000,992253000,2169581000,544178000,3085675000,20557341000,12810931000,9703583000,3107348000,605746000,322736000,14730975000,627843000,2232480000,2202000,2230278000,-3010261000,6093897000,-117593000,5826366000,5826366000,20557341000,257641000,15954000,114244000,199479000,587318000,-228219000,-3864000,-232083000,-40463000,-346742000,8493000,8493000,-5635000,2858000,304322000,991562000,0.24516,0.21052,0.0425,0.01205,2.52833,0.04823,2.48953,2.46466,11.82566,52.26537,0.40681,0.01444,0.16341,-0.00227000000000005,-0.0024
"8","2016_Q1",43.8159016393443,"Down",970667000,921812000,7.9e+07,-30145000.0000001,-14873000,-15271999.9999999,-523331000,-180563000,-140370000,126403000,20263000,-12849000,33112000,146666000,146666000,-1873000,144793000,144793000,144793000,-10003000,134790000,13386118000,988133000,1967535000,471782000,3168323000,19981891000,12407174000,9646285000,2760889000,365773000,350237000,14115009000,627843000,2243590000,2202000,2241388000,-3010439000,6194353000,-188465000,5866882000,5866882000,19981891000,144793000,122000,-3314000,-53331000,88270000,-42125000,-13680000,-55805000,-39063000,-38274000.0000001,-5809000,-5809000,13883000,8074000,126525000,991825000,0.13022,0.13886,0.02297,0.00675,2.40588,0.04964,1.35516,1.34162,9.75898,52.67272,0.39274,0.00886,0.28981,0.02918,0.02921
"9","2016_Q2",44.254375,"Up",884793000,902340000,49164000,-66711000,-66508000,-203000,-498962000,-180635000,-149901000,55295000,-13449000,-12833000,-616000,41846000,41846000,6540000,48386000,48386000,48386000,-9969000,38417000,13632161000,777320000,2690400000,646919000,3231390000,20978190000,13302794000,9716487000,3586307000,479828000,253218000,15027931000,6.25e+08,2298739000,2206000,2296533000,-3190058000,6198932000,17646000,5950259000,5950259000,20978190000,48386000,5294000,107376000,-175306000,-14250000,18255000,-33094000,-14839000,-46639000,-183710000,-212799000,-212799000,1986000,-210813000,60589000,992091000,0.06249,0.04342,0.00646,0.00183,2.52559,0.04729,0.38624,0.38238,8.89561,53.53956,0.4689,0.00415,1.21402,3.54472,3.88409
"10","2016_Q3",45.29671875,"Up",1058840000,946991000,91732000,20117000,21008000,-891000.000000015,-632294000,-189126000,-146747000,90673000,43688000,-12914000,56602000,134361000,134361000,-4901000,129460000,129460000,129460000,-9969000,119491000,13537123000,792945000,2885606000,624638000,3409128000,21249440000,13490907000,9782304000,3708603000,560057000,241932000,15285257000,6.25e+08,2304763000,2206000,2302557000,-3314472000,6285803000,63089000,5964183000,5964183000,21249440000,129460000,5961000,-96620000,37985000,76786000,113956000,5871999.99999999,119828000,-42679000,-171493000,25121000,25121000,-9496000,15625000,96634000,992361000,0.08563,0.11285,0.02003,0.00562,2.56284,0.0467,1.20135,1.18934,10.64546,53.67955,0.42909,0.00784,0.35717,2.06362,2.19929
