"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","pension_liabilities","other_post_retirement_benefits","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",15.5196875,"Up",73953000,-55298000,18655000,-9401000,-9401000,9254000,3000,3000,9257000,9257000,-3102000,6155000,6155000,6155000,6155000,56757837.4802749,54859552.3731116,12684976.7969521,12684976.7969521,54717164.9914032,5939197.74535253,130099177.013983,112400192.5269,35470520.2256604,26712008.076067,147870712.75256,277969889.766543,37774224.1231058,-641409.570222128,38415633.6933279,60617955.284164,17162287.5522239,10259967.0753968,21255254.9554187,6902320.47682716,17162287.5522239,77780242.8363879,8193519.02431937,199352542.707957,-7356414.80212159,200189646.930155,200189646.930155,277969889.766543,6155000,2546000,4862210.95212124,-2587000,6114000,-1641000,-1752000,-1678000,2795000,2795000,596000,3391000,11800000,0,0.25225,0.12513,0.08323,0.0561025418706615,0.0401275526452233,1.98215016424587,0.394672761364982,0.0856525239019042,0.23604,0.23604,2.83607,7.62267987320413,0.06719,0.0523423267669552,0.28465,-1.83755064482333,-2.02799250288755
"2","2011_Q1",17.3501612903226,"Up",84689000,-59742000,24947000,-10843000,-10843000,14104000,-238000,-238000,13866000,13866000,-4211000,9655000,9655000,9655000,9655000,34246000,32229000,51996000,51996000,51449000,5503000,143194000,113526000,29987000,26442000,143513000,286707000,34678000,12042000,22636000,59678000,27195000,22241000,22241000,4954000,27195000,86873000,7527000,201735000,-9428000,199834000,199834000,286707000,9655000,2850000,1359000,-7846000,6018000,-37063000,-1763000,22566000,-8479000,-8479000,101000,-8378000,16954000,2.5e+07,0.29457,0.16654,0.11401,0.04832,0.03368,2.39944,0.43473,0.0872,0.36803,0.36947,3.22814,7.6172,0.0672,0.0453,0.1826,-0.54536,-0.65556
"3","2011_Q2",19.8888888888889,"Up",84074000,-62688000,21386000,-10727000,-10727000,10659000,-31000,-31000,10628000,10628000,-3509000,7119000,7119000,7119000,7119000,26816554.1732417,24859065.8756295,64345424.401016,64345424.401016,56372611.6695323,4926184.08488249,152460774.328672,114095019.1577,30159659.9247799,26190413.9746443,144254679.08248,296715453.411152,37994508.6256314,17258553.190074,20735955.4355574,61629931.5719453,29192737.482592,24597760.9748677,22575415.0148604,4594976.50772428,29192737.482592,90822669.0545374,7369743.65856021,207236902.430681,-8713861.73262614,205892784.356615,205892784.356615,296715453.411152,7119000,2805000,-428000,-4121000,5375000,-2126000,-1763000,-4763000,-1514000,-1514000,370000,-1144000,13464000,0,0.25437,0.12678,0.08468,0.0441349860431128,0.0306166491182589,2.50345994525138,0.440194079545006,0.0792541586993653,0.2714,0.2714,3.20512,7.85039337559862,0.06721,0.042361724411015,0.24765,-0.220054785058889,-0.298442499037483
"4","2011_Q3",18.57265625,"Down",92159000,-67910000,24249000,-10768000,-10768000,13481000,-66000,-66000,13415000,13415000,-4490000,8925000,8925000,8925000,8925000,27477000,25718000,61267000,61267000,64971000,4443000,158158000,114313000,32638000,25953000,146951000,305109000,43542000,17770000,25772000,63542000,27508000,22554000,22554000,4954000,27508000,91050000,7500000,214127000,-7568000,214059000,214059000,305109000,8925000,2824000,-948000,-8848000,1953000,-3539000,-1888000,-3916000,-5502000,-5502000,135000,-5367000,16305000,2e+07,0.26312,0.14628,0.09684,0.04169,0.02925,2.48903,0.42535,0.06555,0.34024,0.34024,3.51335,8.1605,0.07198,0.04134,0.21154,-0.45857,-0.55463
"5","2011_Q4",17.09,"Down",90215000,-67748000,22467000,-10941000,-10941000,11526000,-324000,-324000,11202000,11202000,-3547000,7655000,7655000,7655000,7655000,27774000,26329000,54841000,54841000,72003000,4424000,159042000,114322000,33085000,25717000,147407000,306449000,45740000,16321000,29419000,60740000,27454000,22502000,22502000,4952000,27454000,88194000,7672000,219920000,-9337000,218255000,218255000,306449000,7655000,2887000,-390000,825000,10977000,-2310000,-1890000,-6889000,1778000,1778000,-1167000,611000,14413000,1.5e+07,0.24904,0.12776,0.08485,0.03507,0.02498,2.61841,0.40409,0.04895,0.29176,0.29176,3.43842,8.31848,0.07203,0.03661,0.2469,-0.88628,-1.10828
"6","2012_Q1",19.3432258064516,"Up",93042000,-73307000,19735000,-12407000,-12407000,7328000,112000,112000,7440000,7440000,-2335000,5105000,5105000,5105000,5105000,21202000,20142000,56419000,56419000,73193000,5058000,155872000,114349000,28479000,25481000,142828000,298700000,40873000,15679000,25194000,50873000,33063000,29276000,22705000,3787000,33063000,83936000,7672000,223136000,-16044000,214764000,214764000,298700000,5105000,2943000,2244000,-7465000,2827000,-2242000,-1889000,-6862000,-6277000,-6277000,89999.9999999998,-6187000,10271000,1e+07,0.21211,0.07876,0.05487,0.02377,0.01709,3.06394,0.39083,0.03348,0.19456,0.19456,3.54598,8.185,0.07199,0.02713,0.37003,-1.09064,-1.52866
"7","2012_Q2",17.8973015873016,"Down",102825000,-76151000,26674000,-11446000,-11446000,15228000,154000,154000,15382000,15382000,-5141000,10241000,10241000,10241000,10241000,21264000,20357000,63050000,63050000,77630000,5173000,167117000,116162000,29258000,25262000,145420000,312537000,45940000,18269000,27671000,55940000,33557000,29839000,22898000,3718000,33557000,89497000,7672000,231488000,-16120000,223040000,223040000,312537000,10241000,2948000,-240000,-6754000,6195000,-4370000,-1889000,-1889000,-64000,-64000,279000,215000,18176000,1e+07,0.25941,0.1481,0.0996,0.04592,0.03277,2.98743,0.40126,0.032,0.3903,0.3903,3.91884,8.50045,0.07199,0.0455,0.18445,-0.61972,-0.73969
"8","2012_Q3",18.127619047619,"Up",92583000,-69842000,22741000,-11247000,-11247000,11494000,93000,93000,11587000,11587000,-4019000,7568000,7568000,7568000,7568000,17087000,16240000,62317000,62317000,85439000,6354000,171197000,120140000,29045000,25059000,149185000,320382000,51090000,19801000,31289000,60090000,31045000,27327000,23056000,3718000,31045000,91135000,7672000,236956000,-15381000,229247000,229247000,320382000,7568000,2937000,-758000,-3990000,5757000,-6397000,-2099000,-3099000,-3739000,-3739000,-378000,-4117000,14431000,9e+06,0.24563,0.12415,0.08174,0.03301,0.02362,2.84901,0.39754,0.02809,0.28843,0.28843,3.5285,8.73701,0.08,0.0359,0.27735,-0.56039,-0.70358
"9","2012_Q4",17.6035483870968,"Down",91626000,-69796000,21830000,-11727000,-11727000,10103000,38000,38000,10141000,10141000,-3435000,6706000,6706000,6706000,6706000,15033000,14780000,60298000,60298000,81790000,5518000,162639000,120659000,31284000,27247000,151943000,314582000,40974000,11427000,29547000,48974000,30399000,26680000,23259000,3719000,30399000,79373000,7823000,241590000,-14204000,235209000,235209000,314582000,6706000,3042000,-191000,-844000,8713000,-7404000,-2100000,-3100000,-1791000,-1791000,331000,-1460000,13145000,8e+06,0.23825,0.11026,0.07319,0.02851,0.02132,3.32093,0.33746,0.02543,0.25551,0.25551,3.49104,8.9617,0.08001,0.03218,0.31315,-0.53503,-0.69613
"10","2013_Q1",19.01,"Up",88657000,-69751000,18906000,-13548000,-13548000,5358000,-21000,-21000,5337000,5337000,-1649000,3688000,3688000,3688000,3688000,20373000,20119000,58712000,58712000,90898000,5692000,175675000,123066000,36442000,32286000,159508000,335183000,42821000,14897000,27924000,64821000,35643000,29916000,22399000,5727000,35643000,100464000,7823000,243178000,-16282000,234719000,234719000,335183000,3688000,3139000,3128000,2013000,11968000,-18220000,-2100000,11900000,5648000,5648000,-309000,5339000,8497000,2.2e+07,0.21325,0.06044,0.0416,0.01571,0.011,2.71016,0.42802,0.06564,0.14052,0.14052,3.3779,8.94297,0.08001,0.0198,0.56941,0.19148,0.30366
