"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",15.1079365079365,"Up",79950000,-46731000,33219000,-20655000,-16343000,-410000,12564000,-10268000,-9650000,-420000,-198000,2296000,-7584000,-5288000,108000,-5180000,-6513000,507000,-6006000,-3589000,-9595000,-256381566.666763,-256381566.666763,-1349202.64550055,-1349202.64550055,-48840064.5070655,-48840064.5070655,-306570833.819329,3265631093.92718,68516615.8076268,-64607887.1743852,1022985.03065893,132101517.951353,3334147709.73481,3027576875.91548,1328069050.47491,144006704.413378,1171549873.52182,4498929416.81706,-2438357147.50472,-2434312596.84895,2064616819.9681,895526939.614904,52454354.369001,947981293.983905,14978761.9634678,962960055.947373,3027576875.91548,-6513000,16866000,1547000,7042000,18942000,-14195000,-27592000,662000,-13533000,-16158000,16371000,-2239000,-17310000,-11901000,-11901000,-11901000,29430000,0,22169000,0.4155,0.15715,-0.12001,1.15995726864448,0.502308756052905,-2.31047,-0.862928660258046,2.33969772855535,-1.36424814191308,-0.19119,-0.19119,1.59308,24.1758092199678,0.44174,0.32196,0.916358502711288,-1.684,-175.176199855208,-537.521952195138
"2","2014_Q3",16.75796875,"Up",111553000,-54391000,57162000,-22790000,-17457000,-595000,34372000,-10181000,-10468000,419000,-132000,24191000,34478000,58669000,-999.999999999942,58668000,58586000,-1655000,56931000,-3589000,53342000,-104799783.333382,-104799783.333382,4106898.67724973,4106898.67724973,-8084532.25353276,-8084532.25353276,-108777416.909665,2410487546.96359,57668307.9038134,-22210943.5871926,7319492.51532947,72559758.9756765,2468155854.8674,2359378437.95774,957543525.237454,94448352.2066888,847493936.760908,2255331208.40853,-823404573.752361,-821382298.424477,1433948909.98405,1069969969.80745,-165886822.8155,904083146.991953,21346380.9817339,925429527.973687,2359378437.95774,58586000,17720000,-41536000,-12290000,22480000,-149020000,-165923000,932000,-148088000,-16072000,147693000,-1085000,130487000,4879000,4879000,4879000,52092000,0,-109217000,0.51242,0.30812,0.47818,0.51181863432224,0.221874378026452,-2.04749,-0.328354330129023,1.61494386427767,-0.46632407095654,1.075,1.05794,2.24812,20.4311846099839,-2.20105,0.3239,0.410904251355644,0.3013,-72.0953849276041,-229.856821097569
"3","2014_Q4",17.850625,"Up",112977000,-60648000,52329000,-24945000,-18565000,-710000,27384000,-10924000,-11385000,607000,-146000,16460000,-9430000,7030000,699000,7729000,7587000,48000,7635000,-3589000,4046000,-17924261.1111272,-17924261.1111272,7516632.89241658,7516632.89241658,14376489.2488224,14376489.2488224,3968861.03011179,1937585848.98786,54744102.6346045,-363981.195730867,10352164.1717765,44755919.6585588,1992329951.62247,1996298812.65258,762623841.745818,66323117.4022296,679014312.253636,1096745069.46951,8230475.41587967,8904567.19184089,1105649636.66135,1163281656.60248,-298167274.271833,865114382.330651,25534793.660578,890649175.991229,1996298812.65258,7587000,18938000,3392000,7164000,37081000,-11263000,-11091000,290000,-10973000,-16033000,-1339000,-22000,-17431000,8677000,8677000,8677000,46322000,0,41524000,0.46318,0.24239,0.03581,0.153382878107413,0.0667081260088175,10.26298,-0.0379447767096743,1.25459462142589,-0.00227135698551323,0.0815,0.08056,2.27562,18.0535415366613,0.83639,0.32294,0.132998083785215,3.96268,-16.113924975868,-60.077337032523
"4","2015_Q1",17.0988524590164,"Down",112926000,-60950000,51976000,-23573000,-16802000,-718000,28403000,-10971000,-11049000,87000.0000000001,-9000.00000000003,17432000,-10592000,6840000,1879000,8719000,8611000,84000,8695000,-3589000,5106000,21675000,21675000,9363000,9363000,23521000,23521000,54559000,1745483000,55497000,7316000,11150000,37031000,1800980000,1855539000,689400000,54116000,617375000,696603000,301548000,301548000,998151000,1195120000,-365739000,829381000,28007000,857388000,1855539000,8611000,17208000,4097000,4475000,34391000,-9044000,-8971999.99999999,1134000,-7910000,-18103000,-23073000,-1112000,-42674000,-16193000,-16193000,-16193000,45611000,301548000,39163000,0.46027,0.25152,0.04522,0.00596,0.00275,7.67,0.07832,1.16418,0.16251,0.10283,0.10131,2.27416,16.70248,0.78868,0.36457,0.02003,3.54544,6.13609,9.85364
"5","2015_Q2",16.6577777777778,"Down",95712000,-57355000,38357000,-23328000,-18253000,-728000,15029000,-11030000,-10587000,-274000,-169000,3999000,-8388000,-4389000,1208021.62227044,-4389000,-4389000,443000,-3946000,-3589000,-7535000,31428000,31428000,10129000,10129000,24327000,24327000,65884000,1732736000,55680000,7212000,10742000,37726000,1788416000,1854300000,683962000,52312000,613840000,728337000,301548000,301548000,1029885000,1185143000,-389954000,795189000,29226000,824415000,1854300000,-4389000,18641000,-829000,999000,14422000,-5383000,-5383000,368000,-5015000,-18113000,31181000,-95000,346000,9753000,9753000,9753000,33670000,301548000,9647255.52258243,0.40075,0.15702,-0.07873,-0.00914,-0.00406,2.28087206356117,0.09046,1.24923,0.16262,-0.15197,-0.15197,1.93035,16.0376,0.188275579158274,0.36531,0.00939,-2.40385,8.02257,17.97325
"6","2015_Q3",16.593125,"Down",127030000,-64134000,62896000,-24478000,-18328000,-726999.999999998,38418000,-10267000,-10637000,526000,-156000,28151000,-8634000,19517000,108999.999999999,19626000,19626000,-405000,19221000,-3589000,15632000,28161000,28161000,10714000,10714000,23250000,23250000,62125000,1781415000,60526000,7150000,10327000,43049000,1841941000,1904066000,677300000,54418000,605480000,812358000,301548000,301548000,1113906000,1155395000,-394922000,760473000,29687000,790160000,1904066000,19626000,18649000,5358000,-5768000,37865000,-40296000,-40296000,-1316000,-41612000,-18007000,56956000,-729000,480000,-3267000,-3267000,-3267000,57067000,301548000,10894000,0.49513,0.30243,0.12306,0.01978,0.00821,0.696899999999999,0.07647,1.40972,0.15837,0.32214,0.31553,2.61783,15.67181,0.2245,0.37109,0.03081,1.15193,4.79063,7.11612
"7","2015_Q4",15.58109375,"Down",124515000,-66373000,58142000,-24378000,-18814000,-768000,33764000,-10423000,-11022000,608000,-9000,23341000,-9569000,13772000,631000,14403000,14403000,-244000,14159000,-3589000,10570000,29304000,29304000,11601000,11601000,25268000,25268000,66173000,1790077000,65788000,13513000,10934000,41341000,1855865000,1922038000,615504000,54919000,543559000,622098000,546548000,546548000,1168646000,1125534000,-401995000,723539000,29853000,753392000,1922038000,14403000,18972000,-1109000,2834000,35100000,-34577000,-34577000,204000,-34373000,-17613000,54929000,-1950000,416000,1143000,1143000,1143000,52736000,546548000,20362000,0.46695,0.27116,0.08489,0.01403,0.0055,1.9264,0.10637,1.55118,0.28436,0.223,0.22029,2.62693,15.26471,0.42958,0.37159,0.02168,1.66632,9.80818,15.31939
"8","2016_Q1",13.082131147541,"Down",123128000,76141000,199269000,-168450000,-18995000,-143506000,30819000,-11046000,-11118000,105000,-33000,19773000,-9607000,10166000,2401000,12567000,12567000,-205000,12362000,-3589000,8773000,27955000,27955000,9465000,9465000,19204000,19204000,56624000,1831119000,74906000,13389000,10316000,51201000,1906025000,1962649000,620400000,59226000,544659000,656189000,598305000,598305000,1254494000,1086779000,-408740000,678039000,30116000,708155000,1962649000,12567000,19237000,860000,1766000,34430000,-57286000,-57286000,-5623000,-62909000,-17238000,87328000,-38000,27130000,-1349000,-1349000,-1349000,50056000,598305000,-7865000,1.61839,0.2503,0.07125,0.01239,0.00447,-0.8965,0.08629,1.7715,0.30485,0.19222,0.18919,2.6978,14.85622,-0.17233,0.37769,0.01991,1.96489,11.39424,18.50644
"9","2016_Q2",12.7503125,"Down",106870000,-65718000,41152000,-26353000,-20060000,-893000,14799000,-12512000,-12175000,-214000,-123000,2287000,-10706000,-8419000,3500163.46637463,-8419000,-8419000,687000,-7732000,-3589000,-11321000,23677000,23677000,10263000,10263000,20798000,20798000,54738000,1702891000,331202000,14150000,9853000,307199000,2034093000,2088831000,569224000,56720000,495604000,806821000,598367000,598367000,1405188000,1083677000,-432720000,650957000,32686000,683643000,2088831000,-8419000,20296000,1653000,-4431000,9099000,-137374000,-137374000,62000,-137312000,-16714000,143080000,-117000,123935000,-4278000,-4278000,-4278000,35095000,598367000,47230771.3172979,0.38507,0.13848,-0.10593,-0.01656,-0.00542,3.76492451505148,0.06784,2.05544,0.28646,-0.2551,-0.2551,2.4081,14.66802,1.11665330078007,0.37662,0.00421,-1.47637,16.37527,38.83303
"10","2016_Q3",12.96453125,"Up",127706000,-65900000,61806000,-25842000,-18495000,-892000,35964000,-10298000,-11203000,1521000,-616000,25666000,86223000,111889000,3070000,114959000,114959000,-4748000,110211000,-4e+06,102190000,236102000,236102000,8467000,8467000,15875000,15875000,260444000,1682992000,83059000,14372000,17244000,51443000,1766051000,2026495000,568076000,58685000,494606000,568094000,559184000,640517000,1208611000,1118721000,-338430000,780291000,37593000,817884000,2026495000,114959000,20079000,-95104000,-6336000,33598000,5299000,-7147000,433499000,438798000,-18760000,-274270000,-1138000,-259971000,212425000,212425000,212425000,56043000,559184000,51936000,0.48397,0.28162,0.8002,0.12494,0.05043,0.50823,0.45845,1.47773,0.27594,2.35311,2.30206,2.94066,17.96758,1.19592,0.43198,0.08293,0.18358,5.76489,8.98348
