"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",25.79,"Up",6243567,-9608266,-3177888,-6172147,-3364699,-963505,-946023,-93260,-4328204,-4328204,-4328204,-4328204,-4328204,-4328204,2717779,2717779,8662221,921992,821992,12301992,6042375,3270290,89071,9312665,21614657,9974637,6731715,3242922,30032590,2989739,460854,2989739,33022329,162440656,-174975808,-11407672,-11407672,21614657,-4328204,258231,1595162,913311,-1561500,10835,10835,3472366,3472366,3472366,1921701,1921701,2035778,-3106468,20057953,-0.53891,-0.69323,0.37941,-0.20024,0.40962,-2.89475,0.92798,-4.02283,-4.02283,5.80305,-10.60281,-0.37184,-5.58196,-5.15356
"2","2011_Q1",25.8606451612903,"Up",6853894,-14099201,-5390629,-3810636,-7245307,-8938805,-3120842,15441,-16184112,-16184112,-16184112,-16184112,-16184112,-16184112,11785327,11785327,9343390,2455012,1354912,23583729,1178416,2436900,88447,3615316,27199045,6163487,3128203,3035284,6163487,8824853,461858,8824853,14988340,200852092,-189891884,12210705,12210705,27199045,-16184112,262447,14080817,-4876755,-6717603,-50002,-50002,15907368,15907368,15878184,9110579,9110579,9067548,-6982860,-3.72529029846191e-09,-1.05711,-2.3613,-1.3254,-0.59503,3.82636,1.22748,-1.11022302462516e-16,-15.04225,-15.04225,6.37032,11.34918,-0.76937,1.68775,1.62662
"3","2011_Q2",26.2804761904762,"Up",6337722,-10877657,-4939654,-5820374,-4539935,2464278,-15435,-11906,-2075657,-2075657,-2075657,-2075657,-2075657,-2075657,9708249,9708249,8862155,1842161,713561,20412565,1060671,2401838,53385,3462509,23875074,6702312,3924494,2777818,6702312,6337392,462862,6337392,13039704,201575477,-191967541,10835370,10835370,23875074,-2075657,117629,-1777840,1648594,-2087274,113503.430169528,113503.430169831,82478,82478,12760,-2074514,-2074514,-2077078,-4422306,0,-0.71634,-0.32751,-0.19156,-0.08694,3.0456,1.20344,0,-1.34694,-1.34694,4.11268,7.0313,-0.12087,2.19529,2.13841
"4","2011_Q3",18.83125,"Down",6428840,-9510160,-3409372,-5984098,-3081320,643706.999999998,-15173,-32722,-2437613,-2437613,-2437613,-2437613,-2437613,-2437613,14160598,14160598,7353754,1425390,301639,22939742,974345,2401837,53384,3376182,26315924,5929474,2482834,3446640,5929474,6313426,458477,6313426,12242900,207236973,-194405154,14073024,14073024,26315924,-2437613,116690,-544216,1567186,-1297953,-30364.0000000001,-30363.9999999999,5780080,5780080,5785436,4457119,4457119,4452349,-2964630,0,-0.4793,-0.37917,-0.17321,-0.0926300000000001,3.86877,0.86996,0,-1.56974,-1.56974,4.13994,9.06253,-0.11957,4.77651,4.59563
"5","2011_Q4",11.1855555555556,"Down",5260057,-8281971,-3283246,-4884231,-3021914,2988418,-9932,95520,-33496,-33496,-33496,-33496,-33496,-33496,10406076,10406076,6383688,1547266,470666,18337030,900926,2401837,53384,3302763,21639793,3691505,445515,3245990,3691505,3410173,454093,3410173,7101678,207815145,-194438650,14538115,14538115,21639793,-33496,114494,-1880251,-1818941,-3618194,-41075,-41075,-47919,-47919,-47919,-3707188,-3707188,-3754522,-2907420,0,-0.5745,-0.00637,-0.0023,-0.00155,4.96736,0.48849,0,-0.02086,-0.02086,3.27628,9.05521,-0.00187,3.57914,3.44354
"6","2012_Q1",11.3922580645161,"Up",6239655,-7322217,-2678807,-4531150,-1082562,1831755,-14033,-11564,749193,749193,749193,749193,749193,749193,11236771,11236771,7445650,930585,830585,19613006,788666,2401837,53384,3190503,22803509,4101030,1445700,2655330,4615342,2336361,449709,2336361,6951703,208530741,-193689457,15851806,15851806,22803509,749193,112260,-1198999,-467586,-805132,1758960,1758960,41049.9999999991,41049.9999999991,31051,984879,984879,830695,-970302,1.16415321826935e-10,-0.1735,0.12007,0.04726,0.03285,4.24952,0.43854,0,0.46673,0.46673,3.88717,9.87533,0.04119,11.58069,10.37979
"7","2012_Q2",11.3969841269841,"Up",6149052,-7739748,-2948481,-4705357,-1590696,-938787,-3028,52915,-2529483,-2529483,-2679888,-2679888,-2679888,-2679888,15304189,15304189,5422455,802080,802080,21528724,701982,2522978,174525,3224960,24753684,4260588,1410516,2850072,5313808,3434297,555983,5669009,10982817,209116321,-196369345,13770867,13770867,24753684,-2679888,85910,1624105,1761243,791370,67400,67400,2500000,2500000,3204614,4063384,4063384,4067418,-1504786,3287932,-0.25869,-0.43582,-0.19461,-0.10826,4.05147,0.79754,0.13283,-1.66723,-1.66723,3.82549,8.56724,-0.13077,7.98536,7.55409
"8","2012_Q3",10.3911111111111,"Down",6316998,-7775202,-2780099,-4918655,-1458204,717794,-111353,518.999999999985,-740410,-740410,-756543,-756543,-756543,-756543,11776921,11776921,8231134,675047,675047,20683102,625534,2498932,150479,3124466,23807568,5204665,2062718,3141947,5659213,2619365,564860,4602909,10262122,209667345,-197125888,13545446,13545446,23807568,-756543,76448,-255165,-1768489,-2703749,0,0,38983,38983,-815051,-3518800,-3518800,-3527268,-1381756,2438092,-0.23084,-0.11976,-0.05585,-0.03178,3.65477,0.75761,0.10241,-0.47012,-0.47012,3.92542,8.41722,-0.04067,6.75867,6.40434
"9","2012_Q4",8.54903225806452,"Down",6696126,-8486503,-3275428,-5138622,-1790377,1598513,-112529,-31312,-191864,-191864,-213936,-213936,-213936,-213936,14726328,14726328,5288552,363742,363742,20378622,553081,2479162,130709,3032243,23410865,5080418,1846614,3233804,6970610,2125241,579707,3889505,10860115,210106551,-197339824,12550750,12550750,23410865,-213936,72453,-1234568,3110566,1734515,0,0,-2499999,-2499999,1208371,2942886,2942886,2949407,-1717924,3654456,-0.26738,-0.03195,-0.01705,-0.00914,2.92351,0.8653,0.1561,-0.13289,-0.13289,4.15926,7.79582,-0.01167,6.44491,6.1841
"10","2013_Q1",10.9635,"Up",6013711,-7440824,-2624724,-4746995,-1427113,164284,-97843,25740,-1262829,-1262829,-1269748,-1269748,-1269748,-1269748,12701517,12701517,6547083,547245,547245,19795845,483976,2461583,113130,2945559,22741404,4026157,1697280,2328877,7488416,1875040,579427,3579148,11067564,210500740,-198609572,11673840,11673840,22741404,-1269748,69105,192277,-1136676,-2145042,-1.45519152283669e-11,0,-4.65661287307739e-10,-4.65661287307739e-10,122137,-2022905,-2022905,-2024811,-1358008,3784612,-0.23731,-0.21114,-0.10877,-0.05583,2.64353,0.94807,0.16642,-0.78863,-0.78863,3.73509,7.25057,-0.07325,6.56617,6.24821
