"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",14.77453125,"Up",90016000,-34990000,55026000,-52565000,-37641000,-14924000,2461000,2265000,180000,1513000,572000,4726000,4208000,-1069000,3139000,3139000,3139000,3139000,38625656.1702636,3417781.49943361,-39616639.0688504,-39616639.0688504,72457369.3150788,19141226.4113251,71466386.416492,115003049.537499,20450737.6478503,-382656.769771494,119264771.182475,190731157.598967,4287148.77305685,-1875718.30721717,6162867.08027402,-14005304.2868858,-14005304.2868858,-9718155.51382899,-2871430.36379464,4394800.12535523,-2871430.36379464,-12589585.8776236,122549667.939029,83535955.7956996,-2764880.25813714,203320743.476591,203320743.476591,190731157.598967,3139000,3282000,-340000,-9269000,-3188000,-5088000,-5903000,-1114000,-2420000,-2768000,-3888000,-12979000,-12979000,2723000,-10256000,5743000,0,0.61129,0.02734,0.03487,0.026395091307163,0.0186142237865231,2.40842846265152,-0.03776482695738,1.8187320126725e-20,0.04231,0.04231,1.21342,2.73471312585542,0.01502,0.0314565195711066,0.35489,-206.263885797525,586.44423351403
"2","2011_Q1",17.5241935483871,"Up",89253000,-36048000,53205000,-54663000,-40030000,-14633000,-1458000,-1244000,222000,-1466000,0,-2702000,-5189000,496000,-4693000,-4693000,-4693000,-4693000,87251000,71127000,79896000,79896000,21509000,7473000,188656000,137809000,20451000,2905000,148819000,337475000,58147000,6286000,51861000,56903000,56903000,115050000,26755000,3221000,26755000,141805000,122979000,71431000,1260000,195670000,195670000,337475000,-4693000,5020000,3681000,23912000,27920000,-211000.000000001,-1884000,-1111000,-993000,-2310000,-6332000,19704000,19704000,-1354000,18350000,3562000,0,0.59611,-0.01634,-0.05258,-0.02398,-0.01391,1.63977,0.72472,0,-0.06325,-0.06325,1.20287,2.63706,0.01497,-0.0161,-0.23674,-24.49495,59.84294
"3","2011_Q2",18.2838095238095,"Up",102360000,-40016000,62344000,-56301000,-41168000,-15133000,6043000,1130000,86000,1016000,28000,7173000,6694000,-1963000,4731000,4731000,4731000,4731000,102701864.609912,84064906.1668555,111850463.02295,111850463.02295,12090960.2283071,4568757.86289162,226643287.861169,139971400.154167,20451087.4507166,3580468.92325716,152623659.605842,379266947.467011,68023450.408981,7718822.76907239,60304627.6399087,80059351.428962,80059351.428962,148082801.837943,32439060.1212649,2587316.62488159,32439060.1212649,180521861.959208,124904027.353657,70927014.7347668,2914043.41937905,198745085.507803,198745085.507803,379266947.467011,4731000,4011000,1753000,-18610000,-8115000,-4288000,-5378000,-1118000,-676000,-1032000,-2234000,-15727000,-15727000,952000,-14775000,10054000,0,0.60907,0.05904,0.04622,-0.0187741971023877,-0.0116522412621744,1.49498884578283,0.89891327565246,-6.06244004224166e-21,0.06346,0.06096,1.373,2.67052812471486,0.015,-0.0122263398570355,0.23631,18.0162727658418,-88.5836736713433
"4","2011_Q3",19.09609375,"Up",103518000,-40397000,63121000,-59743000,-44047000,-15696000,3378000,97000.0000000002,91000,173000,-167000,3475000,3331000,-1058000,2273000,2273000,2273000,2273000,99617000,66983000,96499000,96499000,24082000,6302000,220198000,132154000,20451000,2850000,143999000,364197000,55445000,5953000,49492000,76028000,76028000,131473000,26055000,2625000,26055000,157528000,127431000,76188000,3050000,206669000,206669000,364197000,2273000,4217000,-656000,19501000,25335000,-12288000,-14761000,-1120000,299000,-1052000,61000,10635000,10635000,-3999.99999999977,10631000,7595000,4.03896783473158e-28,0.60976,0.03263,0.02196,0.011,0.00624,1.67485,0.76222,0,0.03038,0.02925,1.38371,2.76251,0.01497,0.01458,0.49274,-13.11613,-29.48993
"5","2011_Q4",15.442380952381,"Down",95503000,-41811000,53692000,-55903000,-39685000,-16218000,-2211000,-443000,102000,-1049000,504000,-2654000,-2451000,7410000,4959000,4959000,4959000,4959000,98274000,51603000,79121000,79121000,33772000,7680000,211167000,127292000,20451000,1991000,138893000,350060000,49203000,6001000,43202000,67316000,67316000,116519000,21776000,3674000,21776000,138295000,129427000,80016000,2322000,211765000,211765000,350060000,4959000,4420000,1241000,-8193000,2427000,-14327000,-15872000,-1127000,-919000,-1376000,-1348000,-14793000,-14793000,-587000,-15380000,2209000,0,0.5622,-0.02315,0.05193,0.02342,0.01417,1.8123,0.65306,0,0.06596,0.06368,1.27022,2.81655,0.01499,0.02606,0.22726,-44.488,44.44776
"6","2012_Q1",15.2774193548387,"Down",115294000,-42574000,72720000,-69016000,-50755000,-18261000,3704000,-465000,119000,-1075000,491000,3239000,3239000,-5094000,-1855000,-1855000,-1855000,-1855000,111432000,60353000,98293000,98293000,22236000,4865000,231961000,135292000,20451000,2186000,149750000,381711000,68405000,10899000,57506000,73840000,73840000,142245000,30710000,5796000,30710000,172955000,130078000,77029000,1649000,208756000,208756000,381711000,-1855000,4814000,-11704000,28913000,20168000,-4650000,-9377000,-1130000,-917000,-1375000,-2791000,8e+06,8e+06,750000,8750000,8518000,0,0.63074,0.03213,-0.01609,-0.00888999999999999,-0.00486,1.63071,0.8285,6.01853107621011e-36,-0.0246,-0.02261,1.52873,2.76799,0.01498,-0.00303,-0.60916,-13.08194,-30.08423
"7","2012_Q2",16.5301587301587,"Up",111167000,-41534000,69633000,-63714000,-44710000,-19004000,5919000,12000,111000,740000,-839000,5931000,5931000,-1874000,4057000,4057000,4057000,4057000,88060000,33473000,106852000,106852000,24088000,5989000,2.19e+08,132791000,20451000,2676000,151643000,370643000,44974000,6069000,38905000,80568000,80568000,125542000,30212000,7013000,30212000,155754000,131943000,79951000,2995000,214889000,214889000,370643000,4057000,4686000,3552000,-30069000,-17774000,-3699000,-7966000,-1132000,-521000,-814000,-2103000,-27843000,-27843000,963000,-26880000,10605000,0,0.62638,0.05324,0.03649,0.01888,0.01095,1.74444,0.72481,0,0.05373,0.05216,1.47218,2.84576,0.01499,0.02117,0.27902,-8.30363,-14.87751
"8","2012_Q3",13.8020634920635,"Down",105056000,-39987000,65069000,-67753000,-48852000,-18901000,-2684000,-484000,94000,-841000,263000,-3168000,-3168000,901000,-2267000,-2267000,-2267000,-2267000,102864000,54827000,92542000,92542000,25374000,5512000,220780000,129601000,20451000,1782000,157776000,378556000,55242000,7405000,47837000,79358000,79358000,134600000,32344000,10813000,32344000,166944000,133436000,76547000,1629000,211612000,211612000,378556000,-2267000,4290000,2795000,25483000,30301000,6146000,-4536000,-1140000,-1298000,-1712000,-2614000,23151000,23151000,-1797000,21354000,1606000,-1.03397576569128e-25,0.61937,-0.02555,-0.02158,-0.01071,-0.00599,1.64027,0.78892,-9.62964972193618e-35,-0.02993,-0.02908,1.38713,2.79407,0.01505,-0.00462,-0.50287,-64.04981,38.32489
"9","2012_Q4",11.0183870967742,"Down",101657000,-37665000,63992000,-63591000,-44085000,-19506000,401000,-369000,113000,438000,-920000,32000,32000,-363000,-331000,-331000,-331000,-331000,111329000,66237000,80849000,80849000,26875000,6276000,219053000,127062000,20451000,1767000,158347000,377400000,48638000,4548000,44090000,74784000,74784000,123422000,40930000,14394000,40930000,164352000,134993000,75078000,2977000,213048000,213048000,377400000,-331000,5010000,2287000,9591000,16557000,2682000,-4244000,-1132000,-1338000,-1384000,-2333000,9980000,9980000,1430000,11410000,5411000,0,0.62949,0.00394,-0.00326,-0.00155,-0.00088,1.77483,0.77143,0,-0.00437,-0.00426,1.3419,2.81229,0.01494,0.00315,-3.41994,-20.57457,-277.62843
"10","2013_Q1",12.4833333333333,"Up",143830000,-38194000,105636000,-77846000,-58531000,-19315000,27790000,360000,101000,443000,-184000,28150000,28150000,-7741000,20409000,20409000,20409000,20409000,122985000,77525000,134066000,134066000,21959000,5496000,279010000,129655000,20451000,1680000,160482000,439492000,59579000,3330000,56249000,95546000,95546000,155125000,47888000,15618000,47888000,203013000,138955000,94349000,3175000,236479000,236479000,439492000,20409000,4580000,-5327000,-5167000,14495000,-757000,-2492000,-2276000,-894000,-1269000,-1041000,10962000,10962000,326000,11288000,32370000,-1.65436122510606e-24,0.73445,0.19321,0.1419,0.0863,0.04644,1.79861,0.85848,0,0.26918,0.26338,1.89699,3.11895,0.03002,0.07977,0.111519999999999,-3.79935,-4.42550999999997
