"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",70.5885714285714,"Up",9858000,-2596000,-1624000,-152000,-820000,3157000,211000,211000,-9000,3368000,3368000,-1280000,2088000,2088000,2088000,2088000,255205897883076,12368650278967.6,34721335292933.4,34721335292933.4,117642108722.524,38124135483290,1054723523428.95,328169010768022,40075398024338.6,72848872472895.6,-32773474448557,12084766659256.3,12084677815911.6,52160164683595,380329175451617,25353900432268.8,11646563749430.5,10774402087560.6,25353841701181.8,99922987799493.2,99922987799493.2,125276829500675,7516926353084.47,155462117712023,255052345950942,255052345950942,380329175451617,2088000,152000,-60000,947000,3127000,-287644006.289581,-1540000,1587000,1587000,1587000,3309000,0,1886001015.27498,0.32025,0.21181,16.6941281442453,11.8177466155053,-157.114666852689,67.071881218432,0.365190169385145,0,1.51223,1.51223,7.13962,184720684.290191,1365.92901126548,12.1923917809451,15.9073879782423,-92971188.1236011,-98840401.2841871
"2","2010_Q3",70.60796875,"Up",9110000,-1393000,-1230000,-163000,-559014004.866908,2582000.00000003,216000.000000007,216000,-9000,2798000,2798000,-1070000,1728000,1728000,1728000,1728000,6.2911e+13,3.049e+12,8.559e+12,8.559e+12,2.9e+10,9.398e+12,2.6e+11,8.0897e+13,9.879e+12,1.7958e+13,-8.079e+12,2.979e+12,2.979e+12,1.2858e+13,9.3755e+13,6.25e+12,2.871e+12,2.656e+12,6.25e+12,2.4632e+13,2.4632e+13,3.0882e+13,1.853e+12,3.8323e+13,6.2873e+13,6.2873e+13,9.3755e+13,1728000,163000,-72000,-738999.999999996,1080000,-45000,-1043000,37000,37000,37000,2745000,0,3031000,0.28342,0.18968,0,0,1.75405,12.94352,0.49118,0,1.2515,1.2515,6.59788,45535529.34428,2.19519,0,0,-22918397.08561,-24365220.7591
"3","2010_Q4",71.75421875,"Up",9469000,-2652000,-1757000,-143000,-752000,2763000,201000,201000,-9000,2964000,2964000,-1120000,1844000,1844000,1844000,1844000,55308000,4475000,9330000,9330000,37999.9999961853,10861000,222000.000030518,75537000,9778000,1.8e+07,-8222000,3112000,3111999.99951172,12890000,88427000.015625,7260999.99902344,3222000.00048828,3254000,24007999.9990234,5300000,5300000,29308000,1769000,38498000,59119000,59119000,88427000.015625,1844000,143000,-138000,1115000,2964000,-42000,-1538000,1426000,1426000,1426000,2906000,0,5099000,0.29179,0.19474,0.0311900000000005,0.0208500000000003,2.76517999999999,3.14633,0.49575,0,1.33551,1.33551,6.85789,42.8167100027204,3.69292999999991,0.0286299999999997,0.0791500000000003,-19.0323499962687,-20.0173700004816
"4","2011_Q1",71.7685483870968,"Up",9142999.99999952,1059000.00000012,-357999.99999994,-154999.999999993,1572000,2938999.99999988,202999.99999994,202999.99999994,-9000,3142000.00000012,3142000.00000012,-1130000,2011999.99999988,2011999.99999988,2011999.99999988,2011999.99999988,3615000,3615000,59291000,59291000,29000,13729000,230000,76664000,9781000,17865000,-8084000,2476000,2476000,12257000,88921000,6255000,2879000,3376000,6255000,2.2e+07,2.2e+07,28255000,1769000,40510000,60666000,60666000,88921000,2011999.99999976,154999.999999985,-164000.00000003,149999.999999993,2152999.99999976,-158000,-3013000,-860000.000000238,-860000.000000238,-860000.000000238,3094000.00000012,0,4216000,0.32145,0.22006,0.03317,0.02263,2.09543,12.25643,0.46575,0,1.45717999999994,1.45717999999994,6.62178000000017,43.93712,3.05342,0.02434,0.051,-1.16839,-1.23001
"5","2011_Q2",73.6919047619048,"Up",9295000,-2659000,-1760000,-136000,-762999.999999046,3187000,202000,202000,-9000,3389000,3389000,-1205000,2184000,2184000,2184000,2184000,63846000.0009766,3483000,11373000.0001221,11373000.0001221,34999.9999995232,13778999.9998779,280000,89033000,9670999.99987793,17890999.9997559,-8220000,2464000.00003052,2464000,12135000,101168000,5505000,3611000,1894000.00003052,5505000,27172000,27172000,32677000,1768999.99996948,42694000.0004883,68491000,68491000,101168000,2184000,136000,-34000,-2396000,-110000,-26000,-22000,-132000,-132000,-132000,3323000,0,2105999.99999905,0.34287,0.23497,0.0318900000000023,0.0215900000000038,0.964290000000012,16.17312,0.4771,0,1.58175,1.58175,6.73187,49.6043400006433,1.52526000000061,0.0228300000000039,0.0220099999999997,-19.2133599999299,-20.0332600001136
"6","2011_Q3",69.6971875,"Down",8574000,-2093999.99999809,-1207000,-147999.999999881,-739000,2582000.00000191,323999.999999523,324000.000000477,-9000.0000000596,2906000.00000191,2907000.00000191,-1065000,1842000,1842000,1842000,1842000,5693000,5693000,80201000,80201000,34000,6054000,254000,91982000,9551000,17825000,-8274000,2444000,2444000,11995000,103977000,6066000,2798000,2540000,6066000,26527000,26527000,32593000,1769000,44536000,71384000,71384000,103977000,1841999.99999619,148000.000000238,11999.9999997616,2896000.00000012,4897999.99999619,-29000,-2688000.00000191,2210000.00000191,2210000.00000191,2210000.00000191,2729999.99999809,0,6662000,0.30114,0.21484,0.0258,0.01772,3.61672,15.16353,0.45659,0,1.33405999999985,1.33405999999985,6.20968999999643,51.69959,4.82493,0.01881,0.06804,-2.08535,-2.20488
"7","2011_Q4",65.9128571428571,"Down",8499000,-1707000,-1583000,-124000,-60151751245.5928,2604000,317000,317000,-9000,2921000,2921000,-1029999,1891001,1891001,1891001,1891001,4096000.00006104,4096000,74210000.0000076,74210000.0000076,40000,9329000,229000,87675000.000061,9446000.00000763,17816999.9999847,-8371000,3242000,3242000,12688000,100363000,6065000,2959000,3105999.99999809,6065000,25192000.0000305,25192000.0000305,31257000,1769000,46427000,69106000.000061,69106000.000061,100363000,1891000,124000,39000,458000,2512000,-18999.9999990463,-4109000,-1597000,-1597000,-1597000,2728000,0,4196999,0.30639,0.2225,0.0273599999999267,0.018839999999986,2.21945999999936,14.45589,0.45231,0,1.36955,1.36955,6.15537,50.0497599999906,3.03965999999969,0.0200500000000525,0.0445100000000062,-1.50147000000896,-1.57295999998564
"8","2012_Q1",72.5514516129032,"Up",8145000.00012207,771999.999969482,-602999.999984741,-127000.000001907,1502000,2429000.00001526,354000,354000,-8999.99999904633,2782999.99996948,2780999.99996948,-860000.999992371,1920999.00001526,1920999.00001526,1920999.00001526,1920999.00001526,3058000,3058000,62711000,62711000,44000,13332000,232000,79145000,9374000,17750000,-8376000,2297000,2297000,11671000,90816000,5619000,2436000,3183000,5619000,20318000,20318000,25937000,1769000,48350000,64879000,64879000,90816000,1923000.00006104,127000,159000.000003815,808000,3017000.00006104,-55000,-4054999.99996948,-1037999.99993896,-1037999.99993896,-1037999.99993896,2555999.99996948,0,4169001,0.29822,0.23585,0.02961,0.02115,2.17023,14.08525,0.39977,0,1.39127999997856,1.39127999997856,5.89899000008114,46.98837,3.01938,0.02255,0.04893,-1.1964,-1.25895
"9","2012_Q2",81.7471428571429,"Up",7920000,-2341000,-1518000,-119000,-704000,2260000,326000,326000,43675409835.2711,2586000,2586000,-880000,1706000,1706000,1706000,1706000,2602999.99999237,2602999.99999905,6510000,6510000,39000.0000000075,827999.999999523,328000.000000119,9980000.00006104,9369000,17847000,-8477999.99999809,78417000.0000038,2204000,87786000,97765999.999939,4462000.00000191,2655999.99999952,1805999.99999905,4462000.00000763,22799999.9999847,22799999.9999847,27262000.0000153,1769000,50055999.9999847,70504000,70504000,97765999.999939,1706000,119000,98000,-1283000,640000,-114000.000015259,-1095000,-455000,-455000,-455000,2379000,0,1861999.99987793,0.28535,0.2154,0.0242000000002439,0.0174499999993372,1.09144000001498,2.23667,0.38667,0,1.23556,1.23556,5.73603,51.062249999989,1.3485499999827,0.0182800000005489,0.01996000000061,-1.09415999999983,-1.15177000000094
"10","2012_Q3",92.9803174603175,"Up",8.066e+12,-2.047e+12,-1.147e+12,-1.26e+11,-7.74e+11,2.184e+12,5.83e+11,5.83e+11,6.6e+10,2.767e+12,2.774e+12,-7.3e+11,2.044e+12,2.044e+12,2.044e+12,2.044e+12,5878000,5878000,102352000,102352000,31000,808000,308000,109069000,9429000,17324000,-7895000,2116000,2116000,11545000,120614000,4410000,2082000,2328000,4410000,30735000,30735000,35145000,1769000,52100000,85469000,85469000,120614000,3749998294000,244999881000,210999902000,-104998717000,4100999360000,-299999886000,-1280998905000,2820000455000,2820000455000,2820000455000,2428999881000,0,2754001278000,0.27077,0.25341,23915.10372,16946.62311,1.34736,24.7322,0.4112,0,1480359.16816,1480359.16816,5841769.59412,61.9006,1994574.87329,17589.75595,23699.71152,0,0
