"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2019_Q1",17.0529508196721,"Down",73773000,-46283000,27490000,-18226000,-18226000,9264000,-38000.0000000001,0,-37999.9999999999,9226000,8329000,-2372000,5957000,5957000,-15000,5942000,5942000,15171000,15171000,45422000,45422000,84001000,14675000,6252000,159269000,55467000,26504000,1906000,18056000,3850000,81971000,241240000,62344000,29368000,32976000,62344000,4824000,30456000,1203000,29253000,35280000,97624000,11570000,-23677000,178896000,-23792000,142997000,619000,143616000,241240000,5957000,1556000,294000,-2297000,5510000,-1963000,999.999999999069,-1962000,-2778000,0,-2749000,799000,799000,-743000,56000,10820000,4824000,8932000,0.37263,0.12557,0.08054,0.04137,0.02463,1.5032,2.55468,0.67976,0.02,0.52519,0.50873,6.52051,12.63894,0.78946,0.03321,0.04993,-0.95628,-1.1169
"33","2019_Q2",15.5777777777778,"Down",74689000,-50704000,23985000,-18986000,-18986000,4999000,-1036000,-717000,-319000,3963000,3790000,-887000,2903000,2903000,-41000,2862000,2862000,16557000,16557000,45887000,45887000,123439000,16515000,9228000,202398000,68302000,70057000,24786000,13838000,4168000,138359000,340757000,78062000,31735000,46327000,78062000,37446000,46789000,7969000,38820000,84235000,162297000,44044000,-24005000,188661000,-30760000,177940000,520000,178460000,340757000,2903000,2349000,5521000,-9951000,822000,-3526000,32081000,-31094000,32638000,-1041000,31609000,1337000,1337000,49000,1386000,7348000,37446000,-5242000,0.32113,0.06693,0.03832,0.01604,0.0084,-1.83159,2.59279,0.90943,0.10989,0.24416,0.24256,6.37169,15.18,-0.44719,0.01089,-0.01995,2.84281,4.17864
"34","2019_Q3",11.8503125,"Down",78107000,-52019000,26088000,-18908000,-18908000,7180000,-1216000,-417000,-799000,5964000,5530000,-1451000,4079000,4079000,-6000,4073000,4073000,18542000,18542000,47890000,47890000,130234000,15634000,8320000,212300000,70309000,68221000,22362000,13907000,4123000,138530000,350830000,77389000,35123000,42266000,77389000,46686000,44911000,7053000,37858000,91597000,168986000,44137000,-23485000,192734000,-32055000,181331000,513000,181844000,350830000,4079000,2161000,713000.000000002,-11554000,-4601000,-3087000,0,-3089000.00000001,9481000,0,9505000.00000001,1815000,1815000,170000,1985000,9341000,46686000,-3849000,0.334,0.09193,0.05215,0.0224,0.01161,-0.945,2.74328,0.92929,0.13307,0.31552,0.31338,6.05058,14.04687,-0.29816,0.0149,-0.01408,3.01295,3.91978
"35","2019_Q4",10.4559375,"Down",77420000,-54303000,23117000,-16018000,-17375000,7099000,-939000,-449000,-490000,6160000,6029000,-1442000,4587000,4587000,-28000,4559000,4559000,15757000,15757000,48207000,48207000,128168000,16182000,8591000,208314000,67422000,69088000,23114000,15313000,3989000,136510000,344824000,67337000,27825000,39512000,69337000,47280000,41565000,6971000,34594000,88845000,158182000,44755000,-23500000,197293000,-32462000,186086000,556000,186642000,344824000,4587000,2464000,-36935000,21505000,-8379000,-2153000,-32310000,-29849000,2908000,0,35118000,-3110000,-3110000,325000,-2785000,9563000,49280000,30357000,0.29859,0.09169,0.05889,0.02443,0.01322,6.6587,3.00437,0.84752,0.14291,0.35954,0.34643,6.10568,14.67555,2.39409,0.01643,0.1094,3.50549,4.72221
"36","2020_Q1",9.36935483870968,"Down",72447000,-55996000,16451000,-16052000,-16272000,399000,-8e+05,-301000,-499000,-401000,-842000,69000,-773000,-773000,-48000,-821000,-821000,12362000,12362000,44013000,44013000,125893000,20101000,8420000,202369000,71258000,73243000,25353000,18178000,3758000,144501000,346870000,71077000,31468000,39609000,73077000,40491000,50484000,7429000,43055000,90975000,164052000,45047000,-21332000,196472000,-37971000,182216000,602000,182818000,346870000,-773000,2361000,42922000,-37813000,6697000,-2974000,97000.0000000075,-2877000,-6993000,-79000,-7072000,-3252000,-3252000,-143000,-3395000,2760000,42491000,-38096000,0.22708,0.00551,-0.01133,-0.00449,-0.00237,46.40195,2.76926,0.89735,0.1225,-0.0632900000000001,-0.06428,5.58444,14.04579,-2.93656,-0.00298,-0.13813,10.9163,75.51128
"37","2020_Q2",5.80888888888889,"Down",59290000,-49654000,9636000,-16346000,-16346000,-6710000,-1080000,-389000,-691000,-7790000,-7911000,1618000,-6293000,-6293000,-18000,-6311000,-6311000,16505000,16505000,36893000,36893000,127305000,17822000,8001000,198525000,71249000,71687000,23267000,19508000,3840000,142936000,341461000,70232000,25278000,44954000,72232000,47554000,48312000,6894000,41418000,95866000,168098000,43182000,-19920000,190161000,-40571000,172852000,511000,173363000,341461000,-6293000,2926000,4848000,-31769311.476794,1481000,-4008000,-129000,-4137000,7698000,-1040000,6658000,4002000,4002000,141000,4143000,-3784000,49554000,-33364919.2858367,0.16252,-0.11317,-0.10644,-0.0364,-0.01848,31.5904845025033,2.74844,0.96963,0.14512,-0.48135,-0.48135,4.52216,13.18374,-2.59220892567444,-0.02327,-0.120454910843236,-8.73388,-4.92534000000001
"38","2020_Q3",5.9878125,"Up",59536000,-43825000,15711000,-16413000,-16413000,-702000.000000001,-476000,-447000,-29000,-1178000,-5426000,-1040000,-6466000,-6466000,-50000,-6516000,-6516000,14836000,14836000,33302000,33302000,134658000,13066000,7544000,195862000,73768000,73651000,22625000,21459000,4006000,147419000,343281000,73989000,26259000,47730000,75989000,50512000,47295000,6744000,40551000,97807000,173796000,42305000,-18796000,183645000,-38230000,168924000,561000,169485000,343281000,-6466000,3e+06,-4131000,6231999.99999997,-1365000,-2797000,-9.31322574615479e-10,-2797000,2562000,2.3283064365387e-10,2562000,-1600000,-1600000,-69000,-1669000,2298000,52512000,6772999.99999997,0.26389,-0.01179,-0.10945,-0.03845,-0.01898,-1.03944,2.5775,1.02544,0.15297,-0.49517,-0.49517,4.52436,12.83715,0.5147,-0.0242,0.0251500000000001,16.39513,-53.66952
"39","2020_Q4",6.2290625,"Up",68636000,-52087000,16549000,-15347000,-15347000,1202000,-1386000,-488000,-898000,-184000,-28320000,3144000,-25176000,-25176000,-54000,-25230000,-25230000,8434000,8434000,31514000,31514000,127615000,14809000,8128000,182372000,72863000,45925000,19925000,22848000,3152000,118788000,301160000,70069000,27909000,42160000,72069000,40874000,44182000,5780000,38402000,85056000,157125000,42286000,-18796000,158415000,-38476000,143429000,606000,144035000,301160000,-25176000,2991000,24076000,3324000,5215000,-2241000,102000,-2139000,-9632000,0,-9632000,-6556000,-6556000,154000,-6402000,4193000,42874000,2132000,0.24111,0.01751,-0.36759,-0.17517,-0.08378,-0.0845,2.53052,1.09088,0.14236,-1.91557,-1.91557,5.21115,10.88976,0.16187,-0.10918,0.00923,8.21368999999996,28.65225
"40","2021_Q1",8.87868852459016,"Up",59376000,-45564000,13812000,-15112000,-15112000,-1300000,-547000,-536000,-11000.0000000001,-1847000,-2083000,447000,-1636000,-1636000,-124000,-1760000,-1760000,10688000,10688000,30682000,30682000,120607000,12008000,6739000,173985000,58284000,61858000,18973000,24445000,18440000,120142000,294127000,62043000,25663000,36380000,66734000,37896000,49539000,5501000,16100000,87435000,154169000,42756000,-18796000,156655000,-41226000,139389000,569000,139958000,294127000,-1636000,3008000,-1577000,3992000,3787000,-1516000,470000,-1046000,-472000,-171000,-643000,2098000,2098000,156000,2254000,1708000,42587000,3737000,0.23262,-0.02189,-0.02964,-0.01258,-0.00598,-2.1233,2.60714,1.10154,0.14479,-0.13363,-0.13363,4.50809,10.58302,0.28373,-0.00758,0.0161,18.67623,-24.53769
"41","2021_Q2",12.442380952381,"Up",46179000,-36476000,9703000,-12445000,-12445000,-2742000,-1721000,-573000,-1148000,-4463000,-4868000,931000,-3937000,-3937000,-42000,-3979000,-3979000,9313000,9313000,31824000,31824000,120216000,11223000,5946000,172576000,77775000,51992000,18817000,29057000,4118000,129767000,302343000,65725000,23293000,42432000,69425000,39016000,53347000,5527000,47820000,92363000,161788000,40814000,-16560000,152676000,-36998000,139932000,623000,140555000,302343000,-3937000,2758000,-4199000,4662000,-716000,-1400000,171000,-1229000,-528000,-224000,-752000,-2697000,-2697000,1322000,-1375000,16000,42716000,2347000,0.21012,-0.05938,-0.08616,-0.02831,-0.01316,-0.58985,2.48579,1.15107,0.14128,-0.30151,-0.30151,3.4992,10.60332,0.17784,-0.01682,0.00992,2087.6875,-12.18198
"42","2021_Q3",13.07265625,"Up",48558000,-39680000,8878000,-13360000,-13360000,-4482000,-2314000,-590000,-1724000,-6796000,-6916000,2636000,-4280000,-4280000,-33000,-4313000,-4313000,11838000,11838000,31893000,31893000,122161000,9302000,5096000,175194000,78187000,53202000,18856000,30924000,3422000,131389000,306583000,69539000,26615000,42924000,75108000,36195000,52885000,5564000,47321000,89080000,164188000,39918000,-15102000,148363000,-31452000,141727000,668000,142395000,306583000,-4280000,2765000,-1584000,6592000,3493000,-1340000,412000,-928000,-1768000,-5.82076609134674e-11,-1768000,796999.999999999,796999.999999999,1728000,2525000,-1717000,41764000,899000,0.18283,-0.0923,-0.08882,-0.03029,-0.01407,-0.20844,2.33256,1.15305,0.13622,-0.32534,-0.32534,3.66282,10.69073,0.06781,-0.01819,0.00379,-17.42924,-6.67693
"43","2021_Q4",12.0246875,"Down",57640000,-43679000,13961000,-13195000,-13195000,766000,-48000,-606000,558000,718000,466000,-3e+05,166000,166000,-72000,94000,94000,11594000,11594000,31309000,31309000,116693000,13259000,7781000,172855000,75607000,50021000,17420000,29261000,3340000,125628000,298483000,66879000,25756000,41123000,68879000,56578000,32173000,5217000,1978999.99999999,88751000,157630000,40446000,-15106000,148457000,-33646000,140151000,702000,140853000,298483000,166000,2843000,1880000,-2651000,2238000,-1035000,99000,-936000,-149000,0,-149000,1153000,1153000,-1397000,-244000,3609000,58578000,223000,0.24221,0.01329,0.00163,0.000669999999999987,0.000310000000000005,2.37234,2.50955,1.11911,0.19625,0.00709,0.00709,4.34494,10.56468,0.01681,0.000410000000000004,0.00096,13.0185599999999,61.33681
"44","2022_Q1",13.125,"Up",66204000,-47889000,18315000,-16750000,-16750000,1565000,-1686000,-589000,-1097000,-121000.000000001,1479000,-22947000,-21468000,-21468000,-53000,-21521000,-21521000,12340000,12340000,39491000,39491000,114967000,25169000,9926000,191967000,45463000,37983000,17480000,2511000,17992000,83446000,275413000,76560000,31011000,45549000,78560000,30085000,36108000,5045000,19887000,66193000,144753000,40972000,-15083000,126936000,-22615000,130210000,450000,130660000,275413000,-21468000,2877000,22929000,-2825000,1513000,-587000,938000,351000,-1428000,-220000,-1648000,216000,216000,530000,746000.000000001,4442000,32085000,23977000,0.27664,0.02364,-0.32507,-0.16471,-0.07814,-1.11412,2.44357,1.10786,0.1165,-1.62545,-1.62545,5.0003,9.83459,1.81095,-0.10823,0.12058,4.44507,12.61661
"45","2022_Q2",12.2274193548387,"Down",47761000,-34314000,13447000,-13091000,-13091000,3295000,-885000,-530000,-355000,2410000,2362000,-382000,1980000,1980000,-60000,1920000,1920000,22092000,22092000,34837000,34837000,121092000,16820000,7334000,194841000,44339000,37067000,16468000,2615000,17984000,81406000,276247000,78501000,29363000,49138000,80501000,29883000,34239000,4543000,18843000,64122000,144623000,41165000,-14942000,128856000,-24041000,131038000,586000,131624000,276247000,1980000,2550000,-2941000,785000,2374000,8293000,419000,8712000,-278000,-292000,-570000,10516000,10516000,-764000,9752000,5845000,31883000,15305000,0.28155,0.06899,0.0402,0.01459,0.00695,7.97135,2.42036,1.09876,0.11541,0.14455,0.14382,3.59565,9.86509,1.15222,0.00970999999999998,0.0774,1.67511000000003,2.97147
"46","2022_Q3",9.860625,"Down",59889000,-46407000,13482000,-15312000,-15267000,-1830000,-108000,-574000,466000,-1938000,-3128000,-622000,-3750000,-3750000,-86000,-3836000,-3836000,11123000,11123000,34022000,34022000,123928000,17397000,8200000,186470000,43155000,34933000,15209000,2629000,17095000,78088000,264558000,78536000,31234000,47302000,80536000,23255000,32836000,4254000,18081000,56091000,136627000,41591000,-14968000,125020000,-24359000,127284000,647000,127931000,264558000,-3750000,2461000,583000,-2717000,-3423000,-891000,221000,-670000,-6405000,-195000,-6600000,-10693000,-10693000,-276000,-10969000,631000,25255000,-2355000,0.22512,-0.03056,-0.06405,-0.02998,-0.0145,0.61392,2.31536,1.06797,0.09546,-0.28879,-0.28734,4.5087,9.58247,-0.17729,-0.02062,-0.01266,22.3962,-7.7224
