"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"22","2016_Q3",11.134375,"Up",44828000,-33223000,11605000,-14648000,-14593000,-3043000,-340000,-109000,-231000,-3383000,-3898000,1609000,-2289000,-2289000,-12000,-2301000,-2301000,20631000,20631000,33632000,33632000,73216000,11751000,11751000,139230000,53970000,32485000,2042000,13430000,4453000,86455000,225685000,40025000,17501000,22524000,57361000,23000,39316000,919000,38397000,39339000,96700000,11191000,-26790000,182142000,-38055000,128488000,497000,128985000,225685000,-2289000,2202000,3924000,-5914000,-2077000,-1472000,-86000,-1558000,3092000,-319000,1763000,-1872000,-1872000,-533000,-2405000,-841000.000000002,17359000,-9836000,0.25888,-0.0678799999999999,-0.05133,-0.01784,-0.0102,4.27466,2.42726,0.7497,0.07692,-0.2055,-0.2055,4.00357,11.47522,-0.87845,-0.00689,-0.05298,3.89061,1.07525
"23","2016_Q4",12.9106349206349,"Up",41434000,-31816000,9618000,-14072000,-14072000,-4454000,-343000,-156000,-187000,-4797000,-5069000,4138000,-931000,-931000,-31000,-962000,-962000,13400000,13400000,32644000,32644000,69495000,12257000,12257000,127796000,53178000,37436000,2119000,18692000,3947000,90614000,218410000,37360000,15144000,22216000,40931000,8227000,38249000,873000,37376000,46476000,87407000,11530000,-26790000,181180000,-35445000,130475000,528000,131003000,218410000,-931000,2213000,-5151000,2983000,-886000,-665000,96000,-569000,-5561000,0,-5561000,-7016000,-7016000,-215000,-7231000,-2241000,11798000,-4061000,0.23213,-0.1075,-0.02322,-0.00734,-0.0044,4.22141,3.12223,0.66721,0.05402,-0.08584,-0.08584,3.69715,11.64228,-0.36236,-0.00531,-0.02243,0.714859999999999,0.35968
"24","2017_Q1",18.1862903225806,"Up",42647000,-31465000,11182000,-13208000,-13208000,-2026000,-83000.0000000001,77000,-160000,-2109000,-9845000,4327000,-5518000,-5518000,0,-5518000,-5518000,18273000,18273000,25363000,25363000,66569000,14830000,7477000,125035000,51665000,37222000,2164000,25870000,4068000,88887000,213922000,36131000,14716000,21415000,36131000,8501000,52237000,827000,51410000,60738000,96869000,11761000,-26790000,175662000,-44143000,116490000,563000,117053000,213922000,-5518000,2211000,4977000,7056000,8726000,-629000,0,-629000,-3297000,-82000,-3379000,4718000,4718000,155000,4873000,185000,8501000,2285000,0.2622,-0.04751,-0.12939,-0.04714,-0.02579,-0.4141,3.4606,0.82757,0.03974,-0.49734,-0.49734,3.8438,10.49932,0.20595,-0.03104,0.01285,-52.82162,4.8233
"25","2017_Q2",18.0206349206349,"Down",35835000,-26662000,9173000,-12475000,-12475000,-3302000,-163000,-53000,-110000,-3465000,-3723000,1052000,-2671000,-2671000,-25000,-2696000,-2696000,16077000,16077000,25758000,25758000,67128000,14716000,6920000,123679000,50416000,38661000,2136000,27192000,4194000,89077000,212756000,35786000,15215000,20571000,35786000,9694000,51580000,809000,50771000,61274000,97060000,10476000,-25437000,172966000,-42844000,115161000,535000,115696000,212756000,-2671000,1916000,-791000,-1115000,-2661000,-517000,-129000,-646000,1192000,-382000,810000,-2497000,-2497000,301000,-2196000,-1386000,9694000,-4070000,0.25598,-0.09214,-0.07523,-0.0233,-0.01267,1.50964,3.45607,0.83892,0.04556,-0.24035,-0.24035,3.1947,10.26665,-0.36284,-0.01523,-0.023,4.60534,1.93307
"26","2017_Q3",17.3349206349206,"Down",33672000,-24723000,8949000,-12560000,-12560000,-3611000,334000,-122000,456000,-3277000,-4093000,1201000,-2892000,-2892000,-20000,-2912000,-2912000,12991000,12991000,22727000,22727000,64529000,14454000,7272000,114701000,48590000,39131000,2006000,28003000,4123000,87721000,202422000,34218000,13865000,20353000,34218000,7782000,50701000,784000,49917000,58483000,92701000,9609000,-24205000,170054000,-46302000,109156000,565000,109721000,202422000,-2892000,1764000,-895000,2245000,222000,-568000,1.45519152283669e-11,-568000,-1910000,-20000,-1930000,-2276000,-2276000,-810000,-3086000,-1847000,7782000,-1371000,0.26577,-0.10724,-0.08648,-0.02654,-0.01439,0.47081,3.35207,0.84488,0.03844,-0.25903,-0.25903,2.9952,9.70966,-0.12195,-0.01731,-0.00815,2.82025,1.44254
"27","2017_Q4",24.4807936507937,"Up",45084000,-31790000,13294000,-13737000,-13737000,-443000,7000,-61000,68000,-436000,-3366000,1639000,-1727000,-1727000,-121000,-1848000,-1848000,14940000,14940000,26915000,26915000,66856000,16110000,8123000,124821000,47679000,37236000,1963000,28446000,4385000,84915000,209736000,40532000,19747000,20785000,40532000,8977000,50061000,765000,49296000,59038000,99570000,10040000,-24205000,168206000,-44478000,109563000,603000,110166000,209736000,-1727000,1688000,1975000,-339000,1597000,-773000,0,-773000,1195000,153000,1348000,2172000,2172000,-223000,1949000,1245000,8977000,-1506000,0.29487,-0.00983,-0.04099,-0.01677,-0.00881,0.81494,3.07957,0.90382,0.0428,-0.16427,-0.16427,4.00747,9.73893,-0.13387,-0.01092,-0.0089,-4.78956,13.4605
"28","2018_Q1",26.0534426229508,"Up",53591000,-36775000,16816000,-14001000,-14001000,2815000,-729000,5000,-734000,2086000,1653000,-478000,1175000,1175000,-13000,1162000,1162000,16367000,16367000,31392000,31392000,66193000,15482000,7187000,129434000,48212000,33252000,2009000,24198000,4460000,81464000,210898000,44523000,21301000,23222000,44523000,6323000,36485000,1011000,35474000,42808000,87331000,10429000,-24205000,169368000,-32671000,122921000,646000,123567000,210898000,1175000,1649000,-174000,1370000,4020000,-1058000,3000,-1055000,-2670000,0,-2670000,295000,295000,1132000,1427000,4464000,6323000,5254000,0.31378,0.05253,0.02168,0.0094,0.00551,4.52151,2.90713,0.70675,0.02998,0.10332,0.10332,4.76492,10.92923,0.46715,0.00698,0.03158,-2.25,-3.56803
"29","2018_Q2",25.34515625,"Down",45064000,-31072000,13992000,-13394000,-13394000,598000,-633000,-64000,-569000,-35000,-1253000,4658000,3405000,3405000,-13000,3392000,3392000,15461000,15461000,27514000,27514000,70037000,15555000,7537000,128567000,48344000,38092000,2070000,28822000,4443000,86436000,215003000,41235000,19486000,21749000,41235000,8244000,35443000,1029000,34414000,43687000,84922000,9878000,-23388000,172760000,-29650000,129600000,481000,130081000,215003000,3405000,1644000,-4152000,-2328000,-1431000,-1450000,-129000,-1579000,1919000,-385000,1534000,-1476000,-1476000,570000,-906000,2242000,8244000,-6194000,0.31049,0.01327,0.07527,0.02608,0.01578,-1.82606,3.11791,0.65284,0.03834,0.30135,0.30127,4.00355,11.51386,-0.55028,0.01952,-0.03565,-3.219,-12.06856
"30","2018_Q3",25.4052380952381,"Up",56547000,-38324000,18223000,-15070000,-15070000,3153000,-448000,-83000,-365000,2705000,1874000,-5925000,-4051000,-4051000,-63000,-4114000,-4114000,15766000,15766000,29214000,29214000,74037000,15662000,7979000,134679000,47820000,30687000,2032000,21462000,4434000,78507000,213186000,46739000,23404000,23335000,46739000,4684000,33114000,976000,32138000,37798000,84537000,10086000,-23199000,168646000,-27427000,128106000,543000,128649000,213186000,-4051000,1619000,6991000,683999.999999998,5243000,-1484000,1.16415321826935e-10,-1484000,-3561000,-187000,-3748000,11000.0000000002,11000.0000000002,294000,305000,4772000,4684000,9897000,0.32226,0.05576,-0.07275,-0.03198,-0.0193,-2.40569,2.88151,0.65711,0.02197,-0.36417,-0.36417,5.00549,11.33982,0.87607,-0.02472,0.05946,-2.3223,-3.51475
"31","2018_Q4",18.4122222222222,"Down",65349000,-44818000,20531000,-15219000,-15219000,5312000,610000,-80000,690000,5922000,5470000,-1134000,4336000,4336000,-28000,4308000,4308000,15115000,15115000,39752000,39752000,80041000,17199000,9461000,152107000,48031000,28461000,2041000,18997000,4580000,76492000,228599000,52868000,26244000,26624000,52868000,7604000,32517000,988000,31529000,40121000,92989000,10902000,-23713000,172954000,-25102000,135041000,569000,135610000,228599000,4336000,1645000,2108000,-10900000,-2811000,-1279000,0,-1279000,2919000,-22000,2897000,-1193000,-1193000,542000,-651000,6957000,7604000,-4088000,0.31417,0.08129,0.06592,0.03177,0.01885,-0.94893,2.87711,0.68571,0.03326,0.3808,0.37976,5.77645,11.9368,-0.36135,0.02451,-0.02326,-1.07963,-1.41397
