"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q1",55.834,"Up",43158000,-20330000,22828000,-45919000,-27632000,-18287000,-23091000,-444000,-444000,-23535000,-23535000,-51000,-23586000,-23586000,-23586000,-23843000,111163000,57529000,53634000,54467000,54467000,17542000,8092000,9450000,183172000,25861000,23605000,8578000,15027000,49466000,232638000,23429000,2730000,20699000,114734000,114734000,145238000,8641000,83414000,73363000,10051000,92055000,237293000,106558000,-282122000,3000,-4655000,-4655000,232638000,-23586000,3069000,3446000,10429000,-6642000,-1257000,-47878000,-48135000,9606000,2067000,2067000,2582000,14255000,-40522000,-40522000,0,-40522000,-20022000,15716000,-10799000,0.52894,-0.53503,-0.55246,5.12202,-0.10249,0.45292,1.26119,-50.97594,0.06756,-0.14287,-0.14287,0.25861,-1.05199,-0.06471,-0.25237,-0.11431,4.76711,4.13352
"2","2013_Q2",62.7740625,"Up",56818000,-25090000,31728000,-51685000,-30899000,-20786000,-19957000,-35000,-35000,-19992000,-19992000,-63000,-20055000,-20055000,-20055000,-20256000,518175520.781839,887961843.591776,-369786322.809937,44295657.2257111,44295657.2257111,16466147.6528753,9095422.63003517,7370725.02284008,578937325.660425,33442763.4784333,26049813.9702851,8594111.18346528,17456924.2711228,59492577.4487184,638429903.109143,52303496.4283289,14360250.9612328,37943245.4670961,110195022.948661,110195022.948617,166999411.86235,-4648125.34909858,93285056.3510373,78051706.2219318,15233350.1291056,88636931.0019388,255636342.864288,626851621.080466,-311958493.587051,-35262.9327689202,382793560.244855,382793560.244855,638429903.109143,-20055000,3534000,4712000,24517000,12708000,-2197000,-37446000,-39643000,-1766000,705000,705000,-162310419.648844,-1061000,-27996000,-27996000,8000.00000000001,-27988000,-16423000,1.86264514923096e-09,5960000,0.55841,-0.35124,-0.35651,1.96947489150017,-0.0850097908004952,-0.29423,3.40000572222775,-20.007297652337,0.0297977546813516,-0.12052,-0.12052,0.33805,1.47663268583169,0.03546,-0.156447658911927,-0.0847696555803954,0.018481416850471,3.41294433806982
"3","2013_Q3",72.8578125,"Up",62702000,-28265000,34437000,-60797000,-37245000,-23552000,-26360000,-637000,-637000,-26997000,-26997000,116000,-26881000,-26881000,-26881000,-27087000,718842720.781839,868929343.591775,-150086622.809937,49605057.2257111,49605057.2257111,18952147.6528753,11519022.6300352,7433125.02284008,787399925.660425,37137563.4784333,27390013.9702851,8567111.18346528,18824124.2711228,64527577.4487184,851927503.109143,52269796.4283289,11592150.9612328,40677645.4670961,130572222.948661,130572222.948617,188988611.86235,-2787025.34909857,99751356.3510373,83687806.2219318,16063550.1291056,96964331.0019387,285952942.864288,890608721.080466,-341282893.587051,-15162.9327689202,565974560.244855,565974560.244855,851927503.109143,-26881000,3943000,4632000,20230000,1924000,-3805000,4446000,641000,-1777000,6425000,6425000,-169726759.531792,4648000,7213000,7213000,-13000,7200000,-22417000,0,-6108000,0.54922,-0.4204,-0.432,0.418291891500171,-0.0636627908004952,0.2255,4.17892372222775,-4.54809665233699,0.0182047546813516,-0.15643,-0.15643,0.3621,2.91405068583169,-0.03527,-0.0926726589119266,-0.0601276555803954,7.93940641685047,9.83807433806982
"4","2013_Q4",78.95296875,"Up",72618000,-30194000,42424000,-83292000,-55217000,-28075000,-40868000,-364000,-364000,-41232000,-41232000,-78000,-41310000,-41310000,-41310000,-41471000,797377000,442980000,354397000,61099000,61099000,23178000,14542000,8636000,881654000,39760000,28734000,8509000,20225000,68494000,950148000,40893000,3481000,37412000,164421000,164421000,214894000,17433000,102320000,87742000,14578000,119753000,334647000,986405000,-370936000,32000,615501000,615501000,950148000,-41310000,4461000,20163000,7328000,-9358000,-800999.999999999,-268814000,-269615000,682251000,2955000,2955000,-91634219.6488437,685206000,406233000,406233000,6000,406239000,-36407000,27013000,-29802000,0.58421,-0.56278,-0.57108,-0.06738,-0.04365,0.71862,4.10274,0.543699999999987,0.02843,-0.23781,-0.23781,0.41642,3.52955,-0.1709,-0.05568,-0.04001,21.15978,18.85005
"5","2014_Q1",95.2213114754098,"Up",81519000,-32986000,48533000,-79211000,-48959000,-30252000,-30678000,-167000,-167000,-30845000,-30845000,-99000,-30944000,-30944000,-30944000,-30944000,790339000,84158000,706181000,67437000,67437000,26526000,16710000,9816000,884302000,44585000,30193000,8488000,21705000,74778000,959080000,43426000,2665000,40761000,199340000,199340000,254774000,12972000,99051000,85920000,13131000,112023000,366797000,994095000,-401880000,68000,592283000,592283000,959080000,-30944000,5784000,8495000,22605000,5940000,-9095000,-352406000,-361501000,-3541000,285000,285000,1.19209289550781e-07,-3256000,-358817000,-358817000,-5000,-358822000,-24894000,24980000,-11285000,0.59536,-0.37633,-0.37959,-0.05225,-0.03226,0.36469,3.47093,0.61929,0.02605,-0.18249,-0.18249,0.48074,3.49287,-0.06655,-0.0432,-0.01575,30.74472,24.94814
"6","2014_Q2",78.7115873015873,"Down",91645000,-36699000,54946000,-87570000,-51288000,-36282000,-32624000,-256000,-256000,-32880000,-32880000,-135000,-33015000,-33015000,-33015000,-33015000,805767000,219264000,586503000,60345000,60345000,27572000,17519000,10053000,893684000,54197000,33374000,8488000,24886000,87571000,981255000,73590000,16408000,57182000,224363000,224363000,309132000,10163000,90175000,76575000,13600000,100338000,409470000,1006615000,-434895000,65000,571785000,571785000,981255000,-33015000,6569000,9872000,33884000,17310000,-1895000,118867000,117062000,-3753000,4565000,4565000,8000,819999.999999881,135192000,135192000,-86000,135106000,-26055000,21342000,6069000,0.59955,-0.35598,-0.36025,-0.05774,-0.03365,-0.18383,2.89095,0.71613,0.02175,-0.18033,-0.18033,0.50056,3.12307,0.03315,-0.04832,0.00888,30.10651,24.04442
"7","2014_Q3",85.42734375,"Up",107555000,-40754000,66801000,-99084000,-57916000,-41168000,-32283000,-3479000,-3479000,-35762000,-35762000,-216000,-35978000,-35978000,-35978000,-35978000,1294601000,437432000,857169000,66972000,66972000,33822000,22437000,11385000,1395395000,64097000,46481000,8488000,37993000,110578000,1505973000,52681000,6337000,46344000,247320000,247320000,310721000,465536000,90975000,78298000,12677000,556511000,867232000,1109503000,-470873000,111000,638741000,638741000,1505973000,-35978000,8051000,15525000,-514000,-12916000,-29732000,-271701000,-301433000,674064000,2110000,2110000,-143657000,532517000,218168000,218168000,0,218168000,-24232000,476256000,-54262000,0.62109,-0.30015,-0.33451,-0.05633,-0.02389,1.5082,4.49083,1.35772,0.31624,-0.19519,-0.19519,0.58353,3.46541,-0.29439,-0.02983,-0.04499,33.77125,25.3491
"8","2014_Q4",86.39390625,"Up",127872000,-48591000,79281000,-119680000,-70331000,-49349000,-40399000,-6893000,-6893000,-47292000,-47292000,-242000,-47534000,-47534000,-47534000,-47534000,1282695000,183460000,1099235000,86961000,86961000,35946000,21594000,14352000,1405602000,73960000,48623000,8488000,40135000,122583000,1528185000,72368000,8228000,64140000,279290000,279290000,361702000,468638000,84443000,72479000,11964000,553081000,914783000,1131625000,-518407000,184000,613402000,613402000,1528185000,-47534000,9361000,28744000,16505000,7076000,-16757000,-243547000,-260304000,-2817000,2637000,2637000,-596000,-776000,-254004000,-254004000,32000,-253972000,-31038000,478682000,-31048000,0.62,-0.31593,-0.37173,-0.07749,-0.0311,0.65317,3.88608,1.49133,0.31324,-0.2579,-0.2579,0.69379,3.3281,-0.16846,-0.0404,-0.02639,25.90415,19.9018
"9","2015_Q1",84.5622950819672,"Down",460788000,-138759000,322029000,-432425000,-242356000,-190069000,-110396000,-19642000,-19642000,-130038000,-130038000,-1417000,-131455000,-131455000,-131455000,-131455000,1886579000,581326000,1305253000,92184000,92184000,44895000,28449000,16446000,2023658000,77664000,74943000,8488000,66455000,152607000,2176265000,79831000,6212000,73619000,332682000,332682000,421890000,472001000,95157000,80883000,14274000,567158000,989048000,1761337000,-574389000,269000,1187217000,1187217000,2176265000,-131455000,35224000,148290000,38474000,90533000,-55262000,121177000,40508000,-677253000,26927000,26927000,137220000,-513106000,-382065000,-382065000,-371000,-382436000,-75172000,481378000,-90543000,0.69887,-0.23958,-0.28528,-0.11073,-0.0604,0.68878,4.79665,0.83308,0.22119,-0.71796,-0.71796,2.51666,6.48416,-0.49451,-0.07453,-0.05134,18.69314,12.72873
"10","2015_Q2",85.0755555555556,"Up",159737000,-57419000,102318000,-154401000,-89230000,-65171000,-52083000,-6999000,-6999000,-59082000,-59082000,-307000,-59389000,-59389000,-59389000,-59389000,1865951000,246001000,1619950000,99136000,99136000,48806000,32096000,16710000,2013893000,89125000,103672000,35679000,67993000,192797000,2206690000,90824000,12033000,78791000,388054000,388054000,487320000,475592000,88342000,73889000,14453000,563934000,1051254000,1788733000,-633778000,481000,1155436000,1155436000,2206690000,-59389000,12523000,39350000,29213000,21697000,-9873000,-317176000,-352366000,-2743999.99999988,2996000,2996000,-4947000,-4695000,-335364000,-335364000,39000,-335325000,-39560000,484034000,-19913000,0.64054,-0.32605,-0.37179,-0.0514,-0.02691,0.3353,4.13259,0.90983,0.21935,-0.31693,-0.31693,0.85243,6.16594,-0.10627,-0.03437,-0.01152,34.93218,26.53298
