"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"13","2013_Q2",90.91375,"Down",855988000,-563720000,292268000,-2.69e+08,-249921000,-19079000,23268000,-2441000,-7923000,5482000,20827000,-3168000,17659000,-4397000,13262000,13262000,-106000,13156000,13156000,133470000,133470000,1051060000,913615000,235031000,56646000,126335000,1419561000,260961000,2554725000,43556000,1836933000,189176000,212899000,2815686000,4235247000,813537000,813537000,37798000,427893000,358384000,1279228000,7.45e+08,280509000,82936000,3106000,191755000,1025509000,2304737000,931941000,1030284000,-39679000,1922546000,7964000,1930510000,4235247000,13262000,21062000,-354859000,-301456000,6456430.98335553,-8655000,-20777000,306565000,-3110000,303544000,-18689000,-18689000,-18689000,782798000,0.34144,0.02718,0.01537,0.00681,0.00311,1.1097,1.19385,0.18483,0.29845,0.292,19.41863,43.61417,0.00439,27.90648
"14","2013_Q3",86.2878125,"Down",989383000,-634600000,354783000,-282360000,-262185000,-20175000,72423000,26999.9999999991,-9049000,9076000,72450000,-6602000,65848000,-16397000,49451000,49451000,-2921000,46530000,46289000,121851000,121851000,1009638000,911425000,224982000,64463000,107262000,1356471000,252247000,2565985000,41342000,1836981000,187811000,234649000,2818232000,4174703000,811084000,811084000,50724000,375392000,285820000,1237200000,7.54e+08,250200000,89370000,3106000,157660000,1004200000,2241400000,938558000,1066794000,-78807000,1926545000,6758000,1933303000,4174703000,49451000,4790000.00000001,-17518000.0000001,56897999.9999999,9201000,-49445000,-41984000,21925999.9999999,-39276000,-26533000,-11619000,-11619000,-11619000,804724000,0.35859,0.0732,0.04679,0.02394,0.01109,1.0964,1.15936,0.19276,1.04961,1.02575,22.43442,43.68472,0.01884,9.42895
"15","2013_Q4",90.98875,"Up",1106802000,-699031000,407771000,-315754000,-296012000,-19742000,92017000,-3057000,-9631000,6574000,88960000,-4919000,84041000,-20925000,63116000,63116000,-259000,62857000,62857000,119704000,119704000,1041054000,980955000,260216000,70448000,138527000,1420974000,259184000,2645787000,40649000,1889848000,171713000,255830000,2904971000,4325945000,933234000,933234000,35478000,318613000,199683000,1287325000,7.2e+08,285190000,93540000,3106000,188544000,1005190000,2292515000,933195000,1129648000,-36411000,2026432000,6998000,2033430000,4325945000,63116000,21045000,40782000,144685000,2040000,-30931000,-49398000,-49245000,-48322000,-97434000,-2147000,-2147000,-2147000,755478000,0.36842,0.08314,0.05679,0.03091,0.01453,1.10382,1.12741,0.17464,1.41535,1.39591,24.92183,45.62911,0.02045,6.90931
"16","2014_Q1",111.731803278689,"Up",1509418000,-919708000,589710000,-390284000,-369427000,-20857000,199426000,2096000,-8115000,10211000,201522000,-3626000,197896000,-50373000,147523000,147523000,-201000,147322000,147154000,152726000,152726000,1237514000,1237514000,333988000,56491000,146675000,1724228000,295547000,2577578000,45579000,1900080000,104654000,240065000,2873125000,4597353000,1338930000,1338930000,24522000,294972000,179288000,1658424000,4.3e+08,318120000,103199000,18029000,196892000,748120000,2406544000,937904000,1266967000,-25202000,2179669000,11140000,2190809000,4597353000,147523000,1048000,225680000,395108000,2363000,-51568000,-52053000,-300955000,2800000,-307965000,35090000,35090000,33022000,454522000,0.39069,0.13212,0.09749,0.06717,0.03201,1.03968,1.09847,0.09887,3.3111,3.26453,33.96325,49.0445,0.05303,1.51332
"17","2014_Q2",117.069365079365,"Up",1037442000,-637340000,400102000,-379410000,-356999000,-22411000,20692000,2266000,-6637000,8903000,22958000,-35958000,-1.3e+07,29145000,16145000,16145000,-243000,15902000,15902000,140148000,140148000,1136722000,1129020000,388207000,73082000,190080000,1665077000,316765000,2573800000,43614000,1903409000,88747000,246251000,2890565000,4555642000,995293000,995293000,16819000,268960000,159362000,1281072000,7.18e+08,332257000,107484000,18029000,206744000,1050257000,2331329000,942103000,1282869000,-11384000,2213588000,10725000,2224313000,4555642000,16145000,24904000,-326679000,-263219000,0,-35152000,-39297000,279228000,10786000,290147000,-12369000,-12369000,-12578000,734819000,0.38566,0.01995,0.01533,0.00715,0.00349,1.29975,1.04811,0.1613,0.35724,0.3518,23.30607,49.72811,0.00482999999999999,28.73917
"18","2014_Q3",126.52359375,"Up",1277204000,-761223000,515981000,-418867000,-396087000,-22780000,97114000,4827000,-7663000,12490000,101941000,-5458000,96483000,-24121000,72362000,72362000,-420000,71942000,71766000,150708000,150708000,1296094000,1195172000,387136000,75859000,182376000,1833938000,331850000,2610468000,44146000,1946414000,69148000,255142000,2942318000,4776256000,1040832000,1040832000,24738000,383945000,261127000,1449515000,6.85e+08,301064000,105743000,18029000,177292000,986064000,2435579000,951959000,1344318000,13750000,2310027000,30650000,2340677000,4776256000,72362000,19631000,1438000,116211000,0,-30128000,-44568000,-29357000,-23760000,-61895000.0000001,9748000,9748000,10560000,709738000,0.40399,0.07604,0.05619,0.03066,0.01503,1.26521,1.04054,0.1486,1.6096,1.58499,28.64579,51.81048,0.02454,5.75643
"19","2014_Q4",134.4190625,"Up",1365976000,-828241000,537735000,-410313000,-388290000,-22023000,127422000,12191000,-7361000,19552000,139613000,37000,139650000,-34913000,104737000,104737000,-453000,104284000,104284000,162568000,162568000,1402119000,1216322000,429560000,84484000,222723000,1994247000,344765000,2595774000,40443000,1910990000,64832000,288835000,2940539000,4934786000,1184260000,1184260000,43292000,532724000,401155000,1760276000,5.25e+08,292653000,114576000,18029000,160048000,817653000,2577929000,951415000,1448602000,-76839000,2323178000,33679000,2356857000,4934786000,104737000,2602000,60002000,189364000,1340000,-13346000,-27638000,-142630000,-3229000,-145483000,16243000,16243000,11860000,568292000,0.39366,0.09328,0.07634,0.04425,0.02113,1.13292,1.0938,0.11516,2.32729,2.30255,30.48432,51.84608,0.03241,3.1841
"20","2015_Q1",153.664590163934,"Up",1748981000,-1031896000,717085000,-454210000,-427024000,-27186000,262875000,716000,-6639000,7355000,263591000,-1121000,262470000,-67711000,194759000,194759000,-884000,193875000,193751000,250413000,250413000,1458347000,1375035000,409416000,64963000,209202000,2118176000,368361000,2588799000,38841000,1907924000,90897000,253995000,2957160000,5075336000,1620715000,1620715000,19623000,406673000,285554000,2047011000,2.75e+08,330756000,125857000,17082000,187817000,605756000,2652767000,955891000,1631145000,-200239000,2386797000,35772000,2422569000,5075336000,194756000,-19637000,254239000,456544000,-24340000,-29874000,-76397000,-271041000,-13197000,-285769000,94378000,94378000,87858000,294623000,0.41,0.1503,0.11078,0.07998,0.03818,1.03477,1.09502,0.05805,4.32201,4.27976,39.0146,53.24239,0.06731,0.16818
"21","2015_Q2",164.549365079365,"Up",1203500000,-737900000,465600000,-412100000,-387200000,-24900000,53500000,5300000,-6e+06,11300000,58800000,-8e+05,5.8e+07,-14700000,43300000,43300000,-1400000,41900000,41900000,198491000,198491000,1408499000,1229545000,454147000,84227000,236279000,2061137000,353818000,2581463000,36014000,1870534000,98539000,271606000,2935281000,4996418000,1176652000,1176652000,21215000,497733000,384264000,1695600000,6.1e+08,333942000,137100000,17232000,179610000,943942000,2639542000,962101000,1673039000,-308460000,2326680000,30196000,2356876000,4996418000,43271000,-1211000,-402753000,-335770000,6813000,-8691000,-21054000,335125000,-21799000,313381000,-43443000,-43443000,-51922000,631215000,0.38687,0.04445,0.03482,0.01778,0.00839,1.21558,1.11993,0.12633,0.93435,0.92344,26.83748,51.88386,0.01261,8.0883
"22","2015_Q3",159.441875,"Down",1373500000,-825200000,548300000,-443600000,-418100000,-25500000,104700000,19600000,-7600000,27200000,124300000,-1800000,122500000,-31100000,91400000,91400000,-1100000,90300000,90100000,191034000,191034000,1337667000,1305467000,456247000,71730000,252636000,1984948000,362988000,2695365000,38367000,1933280000,102718000,287984000,3058353000,5043301000,1238672000,1238672000,22150000,362238000,218352000,1623060000,604998000,320383000,141799000,17712000,160872000,925381000,2548441000,968294000,1751018000,-254772000,2464540000,30320000,2494860000,5043301000,91409000,-10939000,14954000,120919000,0,-58094000,-71253000,-7311000,-38519000,-57761000,-8094999.99999999,-8094999.99999999,-7457000,627148000,0.3992,0.07623,0.0656,0.03611,0.01787,1.22297,1.02148,0.12435,2.00807,1.98305,30.61134,54.92746,0.02976,4.16537
