"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",14.723125,"Up",396936000,-331163000,65773000,-50087000,-53999000,-3972000,9601000,15686000,1987000,-446000,2433000,17673000,17673000,-7592000,10081000,9124000,-433000,8691000,8691000,162911000,152081000,10830000,63994000,63994000,66187000,22210000,41178000,293092000,85435000,9819000,58061000,14778000,19536000,153315000,446407000,185777000,33120000,1.51e+08,118845000,89923000,28922000,326453000,8147000,8147000,14836000,341289000,399654000,-98836000,-198224000,1630000,104224000,894000,105118000,446407000,10081000,3972000,3357000,1043000,18453000,-3466000,-4295000,-8711000,-62000,-5.82076609134674e-11,0,-729000,-791000,8951000,8795000,-656000,8139000,19658000,28520000,24827000,0.1657,0.03952,0.0219,0.08268,0.01947,2.85663,0.89781,3.24672,0.06389,0.41574,0.38869,18.98761,4.9856,1.18761,0.0613,0.1751,-6.83645,-8.56758
"12","2014_Q1",12.7840983606557,"Down",412108000,-344673000,67435000,-61710000,-55524000,-3938000,0,5725000,224000,-26000,250000,5949000,1590000,-3121000,-1531000,-3343000,-308000,-3651000,-3651000,161284000,151600000,9684000,65078000,65078000,68582000,19175000,47718000,294944000,80742000,9605000,50116000,14807000,13919000,140463000,435407000,187353000,39323000,145432000,124719000,91227000,33492000,333669000,5978000,5978000,12602000,346271000,388809000,-98836000,-203711000,2341000,88603000,533000,89136000,435407000,-1531000,3938000,2234000,7460000,12101000,-3702000,-5542000,-9244000,-61999.9999999998,920000,-1000,-15691000,-14832000,-11975000,-13693000,-182000,-13875000,9663000,28221000,16542000,0.16363,0.01389,-0.00886,-0.04096,-0.00839,-4.53081,0.88394,3.88475,0.06482,-0.17416,-0.16065,19.65883,4.22664,0.7891,-0.02961,0.13412,-13.77036,-23.24245
"13","2014_Q2",12.335873015873,"Down",420670000,-350319000,70351000,-63068000,-57755000,-3896000,859000,7283000,-574000,-25000,-549000,6709000,6709000,-2659000,4050000,4050000,-527000,3523000,3523000,161824000,150822000,11002000,63351000,63351000,73521000,18268000,53564000,298696000,80376000,10313000,51896000,14881000,16764000,142585000,441281000,182801000,33692000,148205000,138797000,95976000,42821000,337137000,4080000,4080000,10638000,347775000,389038000,-98939000,-200188000,3005000,92916000,590000,93506000,441281000,4050000,3896000,-649000,3696000,10993000,-3641000,-1483000,-4553000,-6124000,419000,-104000,-501000,-8043000,-1603000,-1603000,825000,-778000,11179000,22097000,13893000,0.16724,0.01731,0.00837,0.03768,0.00798000000000001,3.94351,0.88598,3.71928,0.05007,0.16746,0.15376,19.99572,4.41658,0.66038,0.04478,0.11608,-12.49906,-19.18536
"14","2014_Q3",12.1921875,"Down",406423000,-335258000,71165000,-63591000,-57285000,-4059000,350000,7574000,-2960000,105000,-3065000,4614000,4614000,-1641000,2973000,2973000,-438000,2535000,2535000,149353000,138161000,11192000,63711000,63711000,90950000,19371000,70606000,304014000,80556000,9396000,51032000,14855000,16665000,140984000,444998000,168951000,30442000,137083000,156066000,97816000,58250000,340559000,4087000,4087000,10579000,351138000,390780000,-99791000,-201570000,3523000,92942000,918000,93860000,444998000,2973000,4059000,-12562000,3665000,-1865000,-4206000,-168000,-4374000,-62999.9999999981,-846000,-851000,-125000,-4951000,-11190000,-11190000,-1471000,-12661000,11633000,22034000,12733000,0.1751,0.01864,0.00624,0.02701,0.0057,5.02288,0.89269,3.74108,0.04951,0.11751,0.11147,18.8403,4.30846,0.59026,0.05378,0.10613,-10.94464,-16.81001
"15","2014_Q4",13.35796875,"Up",403762000,-332377000,71385000,-62215000,-55548000,-4153000,0,9170000,24000,-135000,159000,9194000,9194000,-3595000,5599000,5599000,-583000,5016000,5016000,159389000,147027000,12362000,66075000,66075000,85471000,19823000,64675000,310935000,81203000,10162000,48655000,14910000,17744000,140020000,450955000,175280000,37398000,137163000,151719000,99245000,52474000,340545000,6669000,6669000,13091000,353636000,392695000,-99791000,-200487000,4054000,96471000,848000,97319000,450955000,5599000,4153000,9825000,931000,20508000,-4584000,-1602000,-6186000,-2065000,80999.9999999998,-1.16415321826935e-10,-661000,-6578000,7744000,7744000,1122000,8866000,13323000,19968000,13265000,0.1768,0.02271,0.01242,0.05154,0.01112,2.64454,0.91305,3.63378,0.04428,0.22117,0.21785,17.80334,4.25376,0.5849,0.07219,0.10701,-10.46469,-15.20403
"16","2015_Q1",16.9732786885246,"Up",420686000,-349312000,71374000,-65561000,-58346000,-4210000,-374000,5813000,-1338000,-93000,-1245000,4475000,4475000,3913000,8388000,8388000,-678000,7710000,7710000,166696000,153823000,12873000,69330000,69330000,102839000,21799000,78087000,338865000,81760000,10008000,50298000,14830000,17478000,142066000,480931000,185395000,42135000,142528000,169318000,101165000,68153000,367984000,5430000,5430000,11783000,379767000,393137000,-99841000,-196725000,3668000,100239000,925000,101164000,480931000,8388000,4210000,-15390000,18877000,16085000,-4590000,-352000,-4942000,-66000,-50000,-50000,-601000,-4665000,6478000,6478000,318000,6796000,10023000,19624000,20397000,0.16966,0.01382,0.01833,0.07621,0.01603,2.64553,0.92087,3.75397,0.0408,0.33895,0.33421,18.49413,4.40669,0.89669,0.09236,0.1616,-14.67345,-25.30053
"17","2015_Q2",15.0285714285714,"Down",412878000,-343807000,69071000,-63060000,-56999000,-4405000,-1274235.29174187,6011000,1233000,-90000,1323000,7244000,80840000,-486000,80354000,80354000,-199000,80155000,80155000,183265000,168202000,15063000,54128000,54128000,121144000,17762000,101001000,358537000,82835000,12112000,50851000,14679000,18309000,145798000,504335000,185993000,27814000,142002000,149294000,88488000,60806000,341845000,1883000,1883000,1883000,343728000,394402000,-100400000,-136296000,1919000,159625000,982000,160607000,504335000,80354000,4405000,-71748000,-4720000,8291000,-6111000,-2442000,27486000,-13065000,-559000,-559000,-750000,-18324000,17453000,17453000,-3074000,14379000,10416000,6558000,71000,0.16729,0.01456,0.19414,0.49908,0.15893,0.00089,1.04883,2.14018,0.013,3.52252,3.47127,18.1445,7.01494,0.00312,0.49752,0.000419999999999948,-16.96496,-29.39727
"18","2015_Q3",13.748125,"Down",394173000,-328737000,65436000,-61833000,-57393000,-4440000,-1967441.69628329,3603000,926000,-41000,967000,4529000,4663000.00000001,-1906000,2756999.99999997,2757000,-246000,2511000,2511000,152182000,133141000,19041000,55796000,55796000,126143000,16253000,107864000,334121000,86235000,11376000,48671000,14446000,18002000,146282000,480403000,168507000,30186000,137920000,156427000,87753000,68674000,331426000,1829000,1829000,1829000,333255000,399606000,-100545000,-152950000,-192000,145919000,1229000,147148000,480403000,2756999.99999999,4440000,-7702000,13168000,12663000,-7835000,-3918000,-11753000,-67000,2752000,-144000,-1.16415321826935e-10,-32256000,-31346000,-31346000,-3715000,-35061000,8043000,6492000,15282000,0.16601,0.00914,0.00636999999999999,0.01706,0.00523,6.08602,1.00813,2.26476,0.01351,0.110079999999999,0.10814,17.27995,6.39687,0.66994,0.2409,0.0983,-18.11389,-40.43575
"19","2015_Q4",11.0353125,"Down",383930000,-316508000,67422000,-59961000,-53792000,-4617000,-1552000,7461000,-1406000,-53000,-1353000,6055000,1063000,60000,1123000,1123000,-558000,565000,565000,146130000,114754000,31376000,50717000,50717000,135896000,18400000,117312000,332743000,90552000,11547000,46718000,14421000,14077000,148817000,481560000,168232000,25657000,142161000,158234000,86050000,72184000,332888000,1774000,1774000,1774000,334662000,402151000,-100545000,-156665000,870000,145811000,1087000,146898000,481560000,1123000,4617000,-4191000,5280000,6829000,-8864000,-12356000,-20804000,-69000,421000.000000001,0,-7e+05,-4628000,-18603000,-18603000,216000,-18387000,12078000,6422000,8434000,0.17561,0.01943,0.00147,0.00384999999999994,0.00117000000000002,14.92743,0.99956,2.27819,0.01334,0.02453,0.02408,16.66725,6.32998,0.36614,0.03124,0.05438,-11.56715,-18.7251
"20","2016_Q1",11.1567213114754,"Up",405796000,-339311000,66485000,-59011000,-54055000,-4956000,0,7474000,-1600000,25000,-1625000,5874000,5637000,-3756000,1881000,1881000,-622000,1259000,1259000,150648000,110361000,40287000,58543000,58543000,131154000,17304000,113850000,340345000,91316000,12344000,41677000,14388000,12688000,145337000,485682000,168803000,29140000,139272000,173756000,86302000,87454000,348912000,1830000,1830000,1830000,350742000,403432000,-110543000,-159829000,771000,133831000,1109000,134940000,485682000,1881000,4956000,-11995000,7909000,2751000,-5746000,-9524000,7953000,-69999.9999999995,-9892000,-9999000,-6e+05,-14985000,-4281000,-4281000,-112000,-4393000,12430000,6353000,18349000,0.16384,0.01842,0.00309999999999999,0.00933,0.00259,14.57427,0.97545,2.59924,0.01308,0.05471,0.0542400000000001,17.63487,5.81596,0.7974,0.0397,0.1282,-11.60861,-19.30626
"21","2016_Q2",13.050625,"Up",390578000,-324511000,66067000,-58142000,-53090000,-5052000,209349.646145981,7925000,-452000,158000,-610000,7473000,7473000,-2898000,4575000,4575000,-382000,4193000,4193000,152794000,105472000,47322000,59044000,59044000,115718000,15797000,99078000,327556000,91757000,12216000,37807000,14394000,12548000,141780000,469336000,163826000,30942000,132345000,167612000,86262000,81350000,331438000,1795000,1795000,1795000,333233000,404203000,-110566000,-159835000,1410000,135212000,891000,136103000,469336000,4575000,5052000,12436000,-8110000,13953000,-5519000,-6033000,-6783000,-6353000,-23000,-23000,-6e+05,-11175000,-4005000,-4005000,-884000,-4889000,12977000,0,2246000,0.16915,0.02029,0.01074,0.03081,0.00893,0.53565,0.98829,2.44839,0,0.18282,0.18255,17.02978,5.89544,0.09793,0.06086,0.01629,-11.77422,-19.28
"22","2016_Q3",13.48046875,"Up",382454000,-319724000,62730000,-56352000,-51053000,-4973000,-326000,6378000,3e+05,534000,-234000,6678000,6678000,-2013000,4665000,4665000,-599000,4066000,4066000,146311000,99514000,46797000,55384000,55384000,121793000,13769000,108024000,323488000,90394000,11292000,30669000,13452000,7513000,132355000,455843000,151427000,28687000,122190000,174961000,86269000,88692000,326388000,1765000,1765000,1765000,328153000,405076000,-115316000,-160196000,-2744000,126820000,870000,127690000,455843000,4665000,4973000,-11580000,13135000,11193000,-3704000,549000.000000001,-3155000,0,-4750000,-4750000,-620000,-9797000,-1759000,-1759000,-4199000,-5958000,11351000,-4.65661287307739e-10,22795000,0.16402,0.01668,0.01063,0.03184,0.00892,5.60625,0.99111,2.56992,0,0.17834,0.17834,16.77503,5.56252,0.99982,0.06561,0.17608,-12.8897,-22.93995
"23","2016_Q4",17.1546031746032,"Up",355154000,-293220000,61934000,-57113000,-51595000,-5518000,0,4821000,365000,244000,121000,5186000,6040000,-1339000,4701000,4701000,-464000,4237000,4237000,147772000,101135000,46637000,53517000,53517000,135468000,16442000,119026000,336757000,89939000,12327000,30255000,13747000,7566000,132521000,469278000,146996000,26695000,119845000,188338000,88570000,99768000,335334000,2180000,2180000,2180000,337514000,407160000,-115316000,-160316000,-782000,130746000,1018000,131764000,469278000,4701000,5518000,-7933000,8401000,10687000,-4741000,-1358000,-6099000,0,0,0,-325000,-4682000,-94000,-94000,1715000,1621000,10339000,0,15338000,0.17439,0.01357,0.01193,0.03216,0.00903,3.62001,1.00424,2.5615,0,0.18718,0.18682,15.68979,5.77602,0.67759,0.06416,0.11451,-14.29268,-30.65173
"24","2017_Q1",15.8687096774194,"Down",368075000,-309139000,58936000,-52823000,-48917000,-4992000,1086000,6113000,3052000,280000,2772000,9165000,9277000,2140000,11417000,11417000,-399000,11018000,11018000,156950000,104001000,52949000,47230000,47230000,134873000,14601000,13188000,339053000,87334000,14024000,29247000,11218000,8475000,130605000,469658000,147065000,29797000,117268000,196755000,85700000,111055000,343820000,1635000,1635000,1635000,345455000,396530000,-115316000,-153673000,-3744000,123797000,406000,124203000,469658000,11417000,4992000,-16206000,13018000,13221000,-4406000,-6424000,-445000.000000002,8750000,0,0,-6296000,-1921000,10855000,10855000,-2453000,8402000,11105000,-5.82076609134674e-11,17577000,0.16012,0.01661,0.02993,0.08871,0.02346,1.5953,0.98614,2.78137,0,0.48559,0.48299,16.2219,5.45602,0.77466,0.12232,0.13968,-14.13327,-25.67479
"25","2017_Q2",14.224126984127,"Down",369151000,-313029000,56122000,-50936000,-45438000,-5299000,-199000,5186000,2693000,301000,2392000,7879000,7879000,14415000,22294000,22294000,-376000,21918000,21918000,149682000,91928000,57754000,59420000,59420000,109571000,15093000,94478000,318673000,87350000,22294000,43339000,11179000,7387000,152983000,471656000,152717000,33186000,119212000,167450000,83764000,83686000,320167000,1559000,1559000,1559000,321726000,397639000,-115339000,-136134000,-6629000,139537000,10393000,149930000,471656000,22294000,5299000,-3845000,-18258000,5490000,-5515000,-12974000,-18489000,1250000,384000,-23000,-389000,-3134000,-16133000,-16133000,-1476000,-17609000,10485000,0,-27703000,0.15203,0.01405,0.05937,0.14619,0.04647,-1.26394,0.99533,2.14584,-2.71050543121376e-20,0.96504,0.95716,16.25357,6.14376,-1.21975,0.17359,-0.18287,-14.27582,-28.86271
"26","2017_Q3",13.8153968253968,"Down",367556000,-310912000,56644000,-53516000,-47325000,-5302000,-889000,3128000,-110000,308000,-418000,3018000,3018000,-1760000,1258000,1258000,-382000,876000,876000,130797000,77524000,53273000,55464000,55464000,118642000,14994000,103648000,304903000,89205000,23623000,41635000,11137000,7372000,154463000,459366000,134047000,32237000,101316000,176860000,83835000,93025000,310907000,1627000,1627000,1627000,312534000,401343000,-117154000,-139644000,-6210000,138335000,8497000,146832000,459366000,1258000,5302000,-3271000,-9593000,-6304000,-5028000,4309000,-2545999.99999999,0,-1387000,-1815000,-427999.999999999,-6201000,-15051000,-15051000,647000,-14404000,8430000,-7.27595761418343e-12,-4431000,0.15411,0.00851,0.00238,0.00597,0.00191,-5.05822,0.98069,2.12851,0,0.0384800000000001,0.0381499999999999,16.14353,6.07585,-0.19462,0.03544,-0.02985,-15.51566,-41.8149
"27","2017_Q4",12.4557142857143,"Down",370035000,-314705000,55330000,-61832000,-46195000,-5474000,-10163000,-6502000,-113000,296000,-409000,-6615000,-6615000,2162000,-4453000,-4453000,-323000,-4776000,-4776000,132273000,71452000,60821000,67108000,67108000,127647000,15446000,112201000,327028000,89752000,23953000,44103000,11168000,7672000,157808000,484836000,156914000,36016000,120323000,175755000,79124000,96631000,332669000,1676000,1676000,1676000,334345000,397558000,-102889000,-148810000,-5051000,140808000,9683000,150491000,484836000,-4453000,5474000,-1838000,2145000,1328000,-6507000,-7746000,-14253000,1e+06,1e+07,0,-322000,6288000,-6637000,-6637000,565000,-6072000,-1028000,0,-7552000,0.14953,-0.01757,-0.01291,-0.03174,-0.00985,1.58124,0.98304,2.22169,0,-0.20716,-0.20671,16.0501,6.10748,-0.32756,-0.00254,-0.04963,128.67023,20.34343
"28","2018_Q1",10.5277049180328,"Down",394987000,-337062000,57925000,-54125000,-49335000,-5629000,839000,3800000,-399000,349000,-748000,3401000,3338000,-12796000,-9458000,-9458000,-383000,-9841000,-9841000,148616000,90344000,58272000,64979000,64979000,157522000,14506000,18749000,371117000,88994000,26894000,31958000,11326000,8791000,147846000,518963000,166348000,40989000,125359000,196428000,76451000,119977000,362776000,1630000,1630000,1630000,364406000,394751000,-83304000,-163370000,-2343000,145734000,8823000,154557000,518963000,-9458000,5629000,-7330000,29659000,18500000,-5899000,1582000,-4317000,-1.16415321826935e-10,14931000,0,-343000,9869000,24052000,24052000,556000,24608000,9429000,0,45985000,0.14665,0.00962,-0.02491,-0.06367,-0.01896,-4.6728,1.02299,2.35775,0,-0.40677,-0.4055,16.3265,6.02381,1.90076,-0.03279,0.29442,-15.76159,-39.10947
"29","2018_Q2",5.6496875,"Down",393555000,-336510000,57045000,-56523000,-50071000,-5673000,-779000,522000,-464000,362000,-826000,58000,-381000,-1416000,-1797000,-1797000,-295000,-2092000,-2092000,107046000,52755000,54291000,78949000,78949000,156423000,15796000,29961000,342418000,88617000,26390000,30747000,11303000,8920000,145754000,488172000,156375000,47220000,109155000,182064000,74849000,107215000,338439000,1684000,1684000,1684000,340123000,395561000,-83327000,-170182000,-2741000,139311000,8738000,148049000,488172000,-1797000,5673000,2790000,-51925000,-45259000,-5324000,3889000,-1435000,0,-23000,-22999.9999999999,-380000,-5123000,-51817000,-51817000,575000,-51242000,6195000,0,-49638000,0.14495,0.00133,-0.00532,-0.01413,-0.00429,23.72753,1.01176,2.29737,0,-0.08494,-0.08494,15.97998,5.65661,-2.01551,0.01755,-0.33151,-17.27942,-205.06897
"30","2018_Q3",5.35555555555556,"Down",395883000,-337228000,58655000,-58939000,-52358000,-5735000,-846000,-284000,656000,286000,370000,372000,176000.000000001,1515000,1691000,1691000,-175000,1516000,1516000,100257000,54055000,46202000,71652000,71652000,185348000,15915000,30733000,357257000,88621000,24350000,34001000,11447000,13901000,146972000,504229000,150225000,37071000,113154000,205895000,71789000,134106000,356120000,1749000,1749000,1749000,357869000,396548000,-83365000,-173386000,-2531000,137266000,9094000,146360000,504229000,1691000,5735000,-816000.000000002,11675000,18285000,-5607000,7924000,2317000,-2.91038304567337e-11,-38000,-38000,-337000,-5095000,15507000,15507000,17000,15524000,5451000,0,10004000,0.14816,-0.00072,0.00383,0.01036,0.00301,6.59894,1.00319,2.44513,0,0.06152,0.06152,16.06538,5.57041,0.40597,0.0421,0.06754,-18.39241,353.01761
