"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2019_Q2",31.4642857142857,"Up",-5663273,-2040582,-3622691,-5628768,-53288,-206871,153583,-5682056,-5682056,-5682056,-5682056,-5682056,-5682056,32619064,32619064,420639,420639,33143892,149990,338916,338916,488906,33632798,3185484,1165151,2020333,8459905,8459905,40,362400815,-337227962,25172893,25172893,33632798,-5682056,14045,1257166,-1126717,-5537562,0,0,-2065992,156455,-5381107,-5381107,-5381107,-5614723,4305242,-0.22572,-0.16894,3.91776,0.33607,0.12801,-0.6929,-0.6929,3.06972,-0.19275,5.04278,5.0302
"34","2019_Q3",23.479375,"Down",-5050221,-2088565,-2961656,-5050221,7870.99999999999,-92298,100169,-5042350,-5042350,-5042350,-5042350,-5042350,-5042350,24658024,24658024,535147,535147,25193171,136153,338916,338916,475069,25668240,1720945,619900,1101045,4528542,4528542,40,363409970,-342270312,21139698,21139698,25668240,-5042350,13837,994675,-1457563,-5491401,0,0,-2500000,-2469639,-7961040,-7961040,-7961040,-5036384,2321123,-0.23853,-0.19644,5.5632,0.21422,0.09043,-0.61063,-0.61063,2.56003,-0.21493,4.43511,4.42296
"35","2019_Q4",20.27953125,"Down",-5762778,-1818796,-3943982,-5762778,35648,-71812,107460,-5727130,-5727130,-5727130,-5727130,-5727130,-5727130,19813349,19813349,697178,697178,20510527,156648,338916,338916,495564,21006091,3114981,474773,2640208,4939123,4939123,40,364064370,-347997442,16066968,16066968,21006091,-5727130,15644,662250,1240700,-3808536,-36139,-36139,-1e+06,-1e+06,-4844675,-4844675,-4844675,-5747134,1328973,-0.35645,-0.27264,4.15267,0.30741,0.06327,-0.69169,-0.69169,1.94047,-0.32922,3.21628,3.20755
"36","2020_Q1",14.7029032258065,"Down",-8079884,-3751118,-4328766,52186087,38476,-46580,85056,52224563,52224563,52224563,52224563,52224563,52224563,43510422,43510422,637289,637289,104413681,141539,179916,179916,321455,104735136,3353479,504787,2848692,4185892,4185892,40,396322083,-295772879,100549244,100549244,104735136,52224563,15109,619220,-59804234,-6945342,0,0,32086289,30642415,23697073,23697073,23697073,52201196,332896,0.51939,0.49863,24.94419,0.04163,0.00318,6.1517,5.22063,11.84401,0.51768,-0.82714,-0.82738
"37","2020_Q2",12.4431746031746,"Down",-4959931,-1832442,-3127489,-4862552,361603,-9051,370654,-4500949,-4500949,-4500949,-4500949,-4500949,-4500949,96698232,96698232,597853,597853,97393464,186166,392981,392981,579147,97972611,1637283,57823,1579460,1637283,1850348,40,396396051,-300273828,96122263,96122263,97972611,-4500949,18253,900286,58419718,54837308,-62880,-62880,579730,-1586618,53187810,53187810,53187810,-4844299,0,-0.04683,-0.04594,59.48481,0.01925,-2.16840434497101e-18,-0.4827,-0.4827,10.30853,-0.04672,19.96124,19.88631
"38","2020_Q3",13.473125,"Up",-5661717,-2404093,-3257624,-5641107.00000001,397480,-2502,399982,-5243627.00000001,-5243627,-5243626.99999999,-5243626.99999999,-5243626.99999999,-5243626.99999999,91459480,91459480,656599,656599,92234068,167913,353582,353582,521495,92755563,1214762,135171,1079591,1214762,1388428,40,396884550,-305517455,91367135,91367135,92755563,-5243627,18253,877726,-574666.99999997,-4922314.99999999,0,1.45519152283669e-11,897532,-316436.999999996,-5238752,-5238752,-5238752,-5622854.00000001,-7.27595761418343e-12,-0.05739,-0.05653,75.92769,0.0152,0,-0.558009999999999,-0.558009999999999,9.72307,-0.05728,16.26567,16.21304
"39","2020_Q4",11.43421875,"Down",-5713282,-2072032,-3641250,-5713282,331007,-278,331285,-5382275,-5382275,-5382275,-5382275,-5382275,-5382275,88947368,88947368,675443,675443,89622811,153660,278407,278407,432067,90054878,3269401,1612164,1657237,3269401,3367892,40,397586676,-310899730,86686986,86686986,90054878,-5382275,14253,777301,2078609,-2512112,-7.27595761418343e-12,0,104236,0,-2512112,-2512112,-2512112,-5699029,0,-0.06209,-0.05977,27.41261,0.03885,0,-0.57182,-0.57182,9.20976,-0.06202,15.60746,15.56852
"40","2021_Q1",21.0996721311475,"Up",-7389839,-3456805,-3933034,-7389839,90667,-8310,98977,-7299172,-7299172,-7299172,-7299172,-7299172,-7299172,82852270,82852270,738216,738216,83590486,140216,1323048,1323048,1463264,85053750,3614769,715672,2899097,3927553,4880901,40,398371711,-318198902,80172849,80172849,85053750,-7299172,13444,882147,327115,-6076466,0,1.81898940354586e-12,-122868,-18632,-6095098,-6095098,-6095098,-7376395,312784,-0.09104,-0.08582,21.2831,0.06088,0.00368,-0.77522,-0.77522,8.5149,-0.08963,11.18968,11.16932
"41","2021_Q2",14.5677777777778,"Down",-5255457,-2331606,-2923851,-5569217,4646,-7489,12135,-5564571,-3940776,-3940776,-3940776,-3940776,-3940776,86587455,86587455,2360001,2360001,99784423,126772,1247326,1247326,1374098,101158521,4794990,971308,3823682,12652265,24183040,40,399115119,-322139678,76975481,76975481,101158521,-3940776,13444,11273101,-3532818,3812951,-3804.85419615294,-3803.69317069301,-77766,-77766,3735185,3735185,3735185,-5555773,0,-0.0512,-0.03896,7.88668,0.31417,0,-0.41684,-0.41684,8.14225,-0.04453,15.58513,15.54751
"42","2021_Q3",12.48640625,"Down",-9056331,-5044913,-4011418,-9249702,-742073,-1871,4800,-9991775,-9991775,-9991775,-9991775,-9991775,-9991775,72156110,72156110,2556911,2556911,85490732,116362,1170601,1170601,1286963,86777695,5974054,1174493,4799561,7249643,18942569,40,399966539,-332131453,67835126,67835126,86777695,-9991775,10410,1684410,-6123127,-14420082,-10554.9858410934,-10554.2919738067,-11263,-11263,-14431345,-14431345,-14431345,-9239292,2.91038304567337e-11,-0.1473,-0.11514,11.79241,0.27924,0,-1.05664,-1.05664,7.17361,-0.12564,7.8097,7.80091
"43","2021_Q4",11.85109375,"Down",-6519545,-4010055,-2509490,-6486244,756584,0,2834,-5729660,-5729660,-5729660,-5729660,-5729660,-5729660,68641312,68641312,2760242,2760242,79385392,107376,1379242,1379242,1486618,80872010,6061771,864012,5197759,10036841,17995848,40,400737235,-337861113,62876162,62876162,80872010,-5729660,14707,4409688,-2199203,-3504468,-5721,-5721,-4609,-4609,-3514798,-3514798,-3514798,-6471537,0,-0.09113,-0.07085,7.9094,0.28621,-2.16840434497101e-19,-0.60484,-0.60484,6.63739,-0.08089,10.60665,10.5826
"44","2022_Q1",10.4266129032258,"Down",-9432139,-5950339,-3481800,-9294746,-231551,-14080,3803,-9526297,-13934284,-13934284,-13934284,-13934284,-13934284,60104919,60104919,3059679,3059679,65907041,94817,1294729,1294729,1389546,67296587,6438028,640650,5797378,10511788,17645215,40,401354709,-351795397,49651372,49651372,67296587,-13934284,12560,5429014,-43682,-8536392,-1,-1,0,0,-8536393,-8536393,-8536393,-9282186,-1.45519152283669e-11,-0.28064,-0.20706,6.26982,0.35538,0,-1.47281,-1.47281,5.24799,-0.24539,6.4753,6.46655
"45","2022_Q2",9.22403225806452,"Down",-7321306,-3836542,-3484764,-7215757,103138,-5631,1410,-7112619,-7112619,-7112619,-7112619,-7112619,-7112619,53421179,53421179,2946797,2946797,58390058,140022,1203248,1203248,1343270,59733328,5753981,762817,4991164,9787758,16764201,40,401877103,-358908016,42969127,42969127,59733328,-7112619,12559,616849,59588,-6423623,-57764,-57764,-202353,-202353,-6683740,-6683740,-6683740,-7203198,353925,-0.16553,-0.11907,5.96562,0.39015,0.00593,-0.74639,-0.74639,4.50914,-0.14141,7.36718,7.35436
"46","2022_Q3",6.6115625,"Down",-8744157,-3317760,-5426397,-8451188,-235288,-2773,1563,-8686476,-8686476,-8686476,-8686476,-8686476,-8686476,47325547,47325547,2379693,2379693,51368127,511316,1115157,1115157,1626473,52994600,6338380,160180,6178200,14579885,17798293,40,402790759,-367594492,35196307,35196307,52994600,-8686476,27595,945610,1424481,-6288790,-89098,-89098,-5916.99999999994,282256,-6095632,-6095632,-6095632,-8423593,96923.9999999999,-0.2468,-0.16391,3.52322,0.50569,0.00183,-0.91155,-0.91155,3.69347,-0.22555,5.60671,5.5884
