"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q1",15.585737704918,"Up",149101000,-94242000,54859000,-31756000,-30974000,-782000,23103000,159000,-105000,264000,23262000,-8006000,-710000,-8716000,-8716000,-8716000,-8716000,100952000,100952000,18879000,4320000,5896000,119831000,8560000,38918000,27185000,6734000,47478000,167309000,55909000,6911000,42539000,56760000,36535000,32177000,4358000,48039000,104799000,70449000,-7939000,62510000,62510000,167309000,-8716000,782000,24888000,17898000,34852000,-1098000,-35000,-1133000,2574000,38554000,72273000,72273000,72273000,23885000,12355000,41395000,0.36793,0.15495,-0.05846,-0.13943,-0.0521,-4.74931,2.11119,1.67652,0.07385,-0.22471,-0.22455,3.8441,1.61162,1.06724,-0.01989,0.37159,-3.70932,-3.83487
"2","2014_Q2",19.1325396825397,"Up",114590000,-68396000,46194000,-34132000,-33357000,-775000,12062000,-465000,-404000,-60999.9999999998,11597000,11597000,-4815000,6782000,6782000,6782000,6782000,83298000,83298000,15523000,4499000,3530000,98821000,8537000,38804000,27040000,7363000,47341000,146162000,30727000,8180000,19251000,31618000,33029000,29010000,4019000,44493000,76111000,71166000,-1157000,70051000,70051000,146162000,6782000,775000,-1115000,-23518000,-17076000,-575000,8000,-567000,19411635.6618624,-11000,-17654000,-17654000,-17654000,12837000,12355000,-6441000,0.40312,0.10526,0.05918,0.09682,0.0464,-0.94972,3.12547,1.08651,0.08453,0.17458,0.17431,2.94978,1.80325,-0.1658,0.05875,-0.0558,-5.52645,-5.88153
"3","2014_Q3",25.83953125,"Up",134265000,-79601000,54664000,-32938000,-32127000,-811000,21726000,-71000,-401000,330000,21655000,21655000,-8859000,12796000,12796000,12796000,12796000,104613000,104613000,19161000,6273000,6050000,123774000,8261000,40081000,27446000,8399000,48342000,172116000,40014000,6330000,28747000,40908000,35809000,30468000,5341000,46419000,87327000,73147000,11639000,84789000,84789000,172116000,12796000,811000,2716000,6601000,22924000,-741000,-12000,-753000,14637835.6618624,-856000,21315000,21315000,21315000,22537000,11504000,37256000,0.40714,0.16181,0.0953,0.15092,0.07435,2.91153,3.02567,1.02993,0.06684,0.32939,0.32872,3.45625,2.18264,0.95904,0.09686,0.28202,-4.13138,-4.2856
"4","2014_Q4",29.74625,"Up",150889000,-92269000,58620000,-34899000,-34086000,-813000,23721000,-705000,-397000,-308000,23016000,23016000,-9493000,13523000,13523000,13523000,13523000,134010000,134010000,20781000,5475000,5906000,154791000,7829000,37601000,24967000,8567000,45430000,200221000,53884000,9733000,39235000,54778000,35047000,32578000,2469000,45657000,100435000,74564000,25162000,99786000,99786000,200221000,13523000,813000,4069000,10655000,29060000,-513000,4000,-509000,840000.000000022,846000,29397000,29397000,29397000,24534000,11504000,44169000,0.3885,0.15721,0.08962,0.13552,0.06754,3.26621,2.82579,1.0065,0.05746,0.34811,0.34663,3.88419,2.56869,1.137,0.09241,0.30183,-4.99332,-5.16445
"5","2015_Q1",34.5168852459016,"Up",172444000,-109836000,62608000,-35511000,-34704000,-807000,27097000,-382000,-449000,67000,26715000,26715000,-10285000,16430000,16430000,16430000,16430000,149159000,149159000,15714000,7536000,6467000,164873000,7693000,46286000,34865000,7776000,68731000,233604000,66310000,9585000,56725000,67204000,38977000,36581000,2396000,49587000,116791000,75062000,41592000,116813000,116813000,233604000,16430000,807000,9024000,10268000,36529000,-736000,40000,-15396000,-6394000,-5984000,15149000,15149000,15149000,27904000,11504000,47721000,0.36306,0.15714,0.09528,0.14065,0.07033,2.9045,2.45332,0.99981,0.04925,0.42277,0.42058,4.43723,3.00576,1.22793,0.09821,0.28525,-4.93316,-5.08008
"6","2015_Q2",41.2361904761905,"Up",146541000,-86158000,60383000,-36609000,-35829000,-780000,23774000,-458000,-583000,125000,23316000,23316000,-9647000,13669000,13669000,13669000,13669000,124060000,124060000,25029000,4187000,8168000,149089000,8038000,34871000,21089000,10069000,68240000,217329000,36985000,10529000,26456000,37879000,36376000,34048000,2328000,46986000,84865000,76683000,55261000,132464000,132464000,217329000,13669000,780000,814999.999999999,-33257000,-17993000,-954000,-48000,-11129000,4023000,4023000,-25099000,-25099000,-25099000,24554000,11504000,-10000,0.41206,0.16223,0.09328,0.10319,0.0629,-0.000729999999999897,3.93593,0.64066,0.05293,0.35023,0.34913,3.75467,3.39399,-0.000259999999999927,0.07579,-5.9999999999949e-05,-4.58402,-4.73442
"7","2015_Q3",45.29359375,"Up",173482000,-105557000,67925000,-38396000,-37589000,-807000,29529000,-24000,-386000,362000,29505000,29505000,-11949000,17556000,17556000,17556000,17556000,135268000,84198000,26734000,6506000,8387000,162002000,8593000,38243000,21941000,10966000,98630000,260632000,57405000,9696000,38012000,58344000,39880000,36401000,3479000,49551000,107895000,79939000,72817000,152737000,152737000,260632000,17556000,807000,4751000,16746000,39860000,-1247000,-51000,-79410000,80000,-312000,-39862000,-39862000,-39862000,30336000,10610000,57784000,0.39154,0.17021,0.1012,0.11494,0.06736,3.29141,2.77667,0.70641,0.04071,0.4538,0.45178,4.48425,3.94802,1.49363,0.08639,0.28433,-4.10924,-4.22154
"8","2015_Q4",36.00421875,"Down",165876000,-102010000,63866000,-36448000,-35646000,-802000,27418000,-844000,-380000,-464000,26574000,26574000,-11398000,15176000,15176000,15176000,15176000,157396000,67632000,28176000,6392000,7500000,185572000,9725000,43928000,23674000,12071000,98657000,284229000,61279000,7572000,46168000,62218000,41984000,38586000,3398000,51655000,113873000,82092000,87993000,170356000,170356000,284229000,15176000,802000,-4875000,5612000.00000001,16715000,-1552000,-61000,-33266000,-15000,-15000.0000000009,-16566000,-16566000,-16566000,28220000,10610000,43678000,0.38502,0.16529,0.09149,0.08908,0.05339,2.8781,2.98261,0.66844,0.03733,0.39025,0.38773,4.26548,4.38068,1.12317,0.06807,0.19591,-5.20149,-5.35364
"9","2016_Q1",22.6526229508197,"Down",203156000,-129664000,73492000,-39562000,-38646000,-916000,33930000,43000,-377000,420000,33973000,33973000,-14024000,19949000,19949000,19949000,19949000,176045000,96185000,20069000,7542000,8478000,196114000,11579000,59137000,35285000,14777000,125111000,321225000,74072000,9135000,64937000,75011000,47549000,43678000,3871000,57220000,132231000,80595000,107942000,188994000,188994000,321225000,19949000,916000,19506000,-6833000,33538000,-3043000,-65000,-3124000,-2335000,-1861000,28553000,28553000,28553000,34846000,10610000,38994000,0.36175,0.16701,0.0982,0.10555,0.0621,1.95468,2.61447,0.69966,0.03303,0.51431,0.5051,5.2376,4.87249,1.00531,0.08072,0.15777,-4.7476,-4.87577
"10","2016_Q2",24.3765625,"Up",164272000,-96153000,68119000,-43261000,-42255000,-1006000,24858000,-161000,-391000,230000,24697000,24697000,-9882000,14815000,14815000,14815000,14815000,152046000,76934000,15496000,5448000,6707000,167542000,12446000,60586000,33442000,16968000,130040000,297582000,38928000,8820000,30108000,39867000,43100000,38952000,4148000,52771000,92638000,81003000,122757000,204944000,204944000,297582000,14815000,1006000,-14763000,-20081000,-19023000,-2332000,-92000,689000,-917000,-917000,-19251000,-19251000,-19251000,25864000,10610000,13333000,0.41467,0.15132,0.09019,0.07229,0.04978,0.89997,4.20252,0.45202,0.03565,0.38094,0.3803,4.22391,5.2697,0.34283,0.05728,0.05155,-5.46845,-5.68976
"11","2016_Q3",25.59171875,"Up",183387000,-113126000,70261000,-41429000,-40420000,-1009000,28832000,234000,-384000,618000,29066000,29066000,-11542000,17524000,17524000,17524000,17524000,174212000,92437000,14961000,5474000,9487000,189173000,14303000,62149000,33903000,16763000,140630000,329803000,52181000,8343000,38535000,53167000,42912000,38580000,4332000,51598000,104765000,83159000,140281000,225038000,225038000,329803000,17524000,1009000,3068000,9682000,31283000,-1905000,-213000,-15223000,-21000,-557000,15503000,15503000,15503000,29841000,9672000,49160000,0.38313,0.15722,0.09556,0.07787,0.05313,2.8053,3.55809,0.46554,0.02933,0.45027,0.44864,4.71202,5.78221,1.26314,0.06312,0.17708,-5.51389,-5.70685
"12","2016_Q4",25.1311111111111,"Down",180634000,-113852000,66782000,-41877000,-40728000,-1149000,24905000,339000,-380000,719000,25244000,25244000,-10100000,15144000,15144000,15144000,15144000,170330000,121953000,15314000,6987000,8327000,185644000,15585000,64488000,35495000,16365000,174352000,359996000,63842000,9865000,49796000,64828000,44565000,40278000,4287000,53251000,118079000,84953000,155425000,241917000,241917000,359996000,15144000,1149000,7982000,4983000,29258000,-2787000,-73000,297000,-38999.9999999999,-39000.0000000001,29516000,29516000,29516000,26054000,9672000,38350000,0.36971,0.13788,0.08384,0.0626,0.04207,2.53236,2.86364,0.4881,0.02687,0.38893,0.38745,4.63902,6.21288,0.9849,0.05114,0.12949,-6.16635,-6.45083
"13","2017_Q1",25.026935483871,"Down",189157000,-121637000,67520000,-39614000,-38391000,-1223000,27906000,189000,-378000,567000,28095000,28095000,-10921000,17174000,17174000,17174000,17174000,214825000,187371000,19187000,8094000,9911000,234012000,16355000,66174000,35571000,17318000,160004000,394016000,77190000,10133000,67057000,78176000,48296000,44455000,3841000,56982000,135158000,85449000,172599000,258858000,258858000,394016000,17174000,1223000,21867000,-7296000,32968000,-2409000,-65000,34056000,-1877000,-1606000,65418000,65418000,65418000,29129000,9672000,30345000,0.35695,0.14753,0.09079,0.06635,0.04359,1.76692,2.9934,0.52213,0.02455,0.44208,0.43993,4.86916,6.66335,0.78112,0.05421,0.09578,-7.04291,-7.35157
"14","2017_Q2",24.2695238095238,"Down",153212000,-89647000,63565000,-44517000,-43220000,-1297000,19048000,454000,-382000,836000,19502000,19502000,-7502000,1.2e+07,1.2e+07,1.2e+07,1.2e+07,185942000,129032000,19003000,6486000,7840000,204945000,16267000,75802000,34360000,26842000,158542000,363487000,39930000,8610000,31320000,40916000,42444000,37949000,4495000,51130000,92046000,86039000,184547000,271441000,271441000,363487000,1.2e+07,1297000,-25113000,-25270000,-37086000,-1357000,-262000,-19892000,-1361000,-1361000,-58339000,-58339000,-58339000,20345000,9672000,1219999.99999999,0.41488,0.12432,0.07832,0.04421,0.03301,0.10167,5.00892,0.3391,0.02661,0.3081,0.30684,3.93376,6.96932,0.0313199999999999,0.03709,0.00377000000000001,-8.66405,-9.25399
"15","2017_Q3",25.152380952381,"Up",180371000,-110377000,69994000,-44996000,-43693000,-1303000,24998000,623000,-374000,997000,25621000,25621000,-10052000,15569000,15569000,15569000,15569000,236163000,163830000,16157000,6950000,9207000,252320000,17074000,79227000,34289000,29850000,147626000,399946000,57103000,9098000,45091000,58138000,44530000,40123000,4407000,52181000,110319000,88505000,200116000,289627000,289627000,399946000,15569000,1303000,11179000,9497000,37548000,-2017000,-76000,-2115000,-41000,-635000,34798000,34798000,34798000,26301000,8686000,43833000,0.38806,0.13859,0.08632,0.05376,0.03893,2.8154,4.34002,0.3809,0.02172,0.39916,0.3979,4.62442,7.42557,1.12381,0.04541,0.12785,-8.64899,-9.09981
