"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",24.440625,"Up",213810000,-79167000,134643000,-67667000,-67667000,66976000,-711000,732000,-1443000,66265000,66265000,-23323000,42942000,42942000,-11246000,31696000,31696000,313096000,146205000,190217000,190217000,110825000,6949000,6745000,621087000,11597000,126914000,108583000,6687000,10713000,138511000,759598000,230609000,60540000,90549000,75837000,230609000,3678000,3678000,234287000,55089000,-35404000,377724000,2118000,399527000,125784000,525311000,759598000,42942000,3663000,6503000,-33584000,19524000,-1943000,-171862000,-173805000,-2453000,-278000,0,-2731000,-157012000,-157012000,-4118000,-161130000,70639000,0,58435000,0.62973,0.31325,0.14824,0.06034,0.04173,1.84361,2.69325,0.446,0,1.03288,1.02752,6.96745,13.01942,1.90423,0.07994,0.06456,0.11047,0.07739,-4.43234,-4.67475
"12","2013_Q3",25.61140625,"Up",117486000,-53878000,63608000,-55709000,-55709000,7899000.00000001,1109000,648000,461000,9008000,9008000.00000001,-4486999.99999999,4521000,4521000,-706000.000000004,3815000,3815000,261799000,142117000,124098000,124098000,112641000,7426000,6836000,505964000,9336000,129520000,110344000,7167000,11062000,138856000,644820000,113422000,58911000,7161000,43655000,113422000,3424000,3424000,116846000,56153000,-35404000,377887000,8377000,407013000,120961000,527974000,644820000,4521000,2340000,-404000,-27049000,-20592000,612000,52435000,53047000.0000001,-3684000,-27078000,-8341000,-39103000,-6648000.00000006,-6648000.00000006,2560000,-4088000.00000006,10239000,0,-11711000,0.54141,0.06723,0.03247,0.00723000000000001,0.00592000000000001,-3.06972,4.4609,0.22131,0,0.12408,0.12325,3.82106,13.23749,-0.380879999999999,0.11982,0.01411,-0.02204,0.96566,-25.56881,-33.14331
"13","2013_Q4",29.2603125,"Up",126752000,-56746000,70006000,-55359000,-55359000,14647000,688000,864000,-176000,15335000,15335000,-5432000,9903000,9903000,-2049000,7854000,7854000,287639000,137153000,116465000,116465000,110484000,6853000,6610000,521441000,10094000,133320000,112477000,8395000,11475000,143414000,664855000,111857000,48844000,7598000,51720000,111857000,3505000,3505000,115362000,56396000,-35404000,382087000,19347000,422426000,127067000,549493000,664855000,9903000,2448000,-517000,10766000,22600000,-1739000,-26319000,-28058000,-3694000,-170000,0,-3864000,-9322000,-9322000,4358000,-4964000,17095000,0,31554000,0.55231,0.11556,0.06196,0.01429,0.01181,4.01757,4.66168,0.20994,0,0.25503,0.25347,4.11586,13.71691,1.02461,0.11995,0.02088,0.05706,0.47033,-16.82591,-19.63808
"14","2014_Q1",28.9347540983607,"Down",105531000,-45009000,60522000,-71290000,-71290000,-10768000,806000,816000,-9999.99999999988,-9962000,-9962000,3562000,-6400000,-6400000,2246000,-4154000,-4154000,307327000,125650000,79932000,79932000,117347000,13628000,7193000,518234000,10444000,135380000,116243000,7257000,11880000,145824000,664058000,126147000,56736000,1270000,64437000,126147000,2555000,2555000,128702000,57908000,-36016000,359459000,25860000,407211000,128145000,535356000,664058000,-6400000,2659000,-183000,31586000,27662000,-3432000,-29015000,-32447000,-18500000,5691000,3025000,-9882000,-14667000,-14667000,3164000,-11503000,-8109000,7.27595761418343e-12,16483000,0.5735,-0.10204,-0.03936,-0.00776,-0.00626,-3.96798,4.10818,0.2404,0,-0.13476,-0.13387,3.42346,13.21006,0.53471,0.60015,0.02667,0.03064,-4.45354,37.89949,28.54077
"15","2014_Q2",27.5784126984127,"Down",121730000,-52500000,69230000,-51807000,-51807000,17423000,887000,838000,49000,18310000,18310000,-6160000,12150000,12150000,-3256000,8894000,8894000,272909000,45594000,100409000,100409000,117957000,15426000,8079000,506701000,10262000,134315000,114788000,6811000,12716000,144577000,651278000,104456000,57547000,789000,42408000,104456000,2570000,2570000,107026000,58665000,-36266000,364670000,24941000,412010000,132242000,544252000,651278000,12150000,2545000,685000,-42639000,-27259000,-1231000,-45964000,-47195000,-3704000,-2866000,1685000,-4922000,-79376000,-79376000,-680000,-80056000,19968000,0,-17742000,0.56872,0.14313,0.07306,0.01634,0.01366,-1.99483,4.85086,0.19665,0,0.28783,0.28637,3.93948,13.33366,-0.57417,0.11987,0.02304,-0.03245,0.41646,-13.66732,-15.66372
"16","2014_Q3",24.538125,"Down",118193000,-50077000,68116000,-55266000,-55266000,12850000,253000,374000,-121000,13103000,13103000,-5436000,7667000,7667000,-1558000,6109000,6109000,274788000,60151000,96118000,96118000,125530000,8768000,7898000,505204000,9753000,130177000,112562000,5274000,12341000,139930000,645134000,101933000,58329000,2580000,37311000,101933000,2584000,2584000,104517000,58938000,-36266000,367093000,22740000,412505000,128112000,540617000,645134000,7667000,2598000,1785000,3769000.00000001,15819000,-617000,11138000,10521000,-3711000,-2970000,-4561000,-11242000,15098000,15098000,-541000,14557000,15448000,0,24036000,0.57631,0.10872,0.05169,0.0113,0.00947,3.93452,4.95624,0.19333,1.0842021724855e-19,0.19746,0.19663,3.82032,13.33328,0.77691,0.11995,0.01808,0.04425,0.607460000000001,-17.78793,-21.38428
"17","2014_Q4",23.75640625,"Down",134206000,-58878000,75328000,-56647000,-56647000,18681000,1489000,360000,1129000,20170000,20170000,-6407000,13763000,13763000,-2651000,11112000,11112000,246804000,50185000,122217000,122217000,112863000,8294000,7857000,490178000,9624000,120629000,103148000,7375000,10106000,130253000,620431000,105130000,51020000,7889000,42508000,105130000,2319000,2319000,107449000,59154000,-36266000,374516000,-4464000,392940000,120042000,512982000,620431000,13763000,2580000,-2124000,-15978000,-1759000,-1557000,1608000,51000,-3713000,-5000,1e+05,-3618000,-5326000,-5326000,-4640000,-9966000,21261000,0,10133000,0.56129,0.1392,0.0828,0.02166,0.01791,0.9119,4.66259,0.20946,0,0.35911,0.35783,4.3372,12.69883,0.32747,0.11999,0.02877,0.01966,0.33414,-11.6083,-13.2115
"18","2015_Q1",24.4275409836066,"Up",125132000,-50769000,74363000,-69914000,-69914000,4449000,683000,838000,-155000,5132000,5132000.00000001,-1367000,3765000,3765000,-444000,3321000,3321000,280290000,90138000,90124000,90124000,102326000,6975000,6046000,479715000,9187000,115604000,98531000,6848000,10225000,124791000,604506000,103628000,46646000,3773000,49492000,103628000,2154000,2154000,105782000,60231000,-36464000,374121000,-15823000,382065000,116659000,498724000,604506000,3765000,2443000,49999.9999999995,43554000,49812000,-818999.999999998,170000,-649000,-3713000,76000,761999.999999999,-2928000,46235000,46235000,-6282000,39953000,6892000,0,50994000,0.59428,0.03555,0.02654,0.00666,0.00549,15.35501,4.6292,0.21211,1.73472347597681e-18,0.10732,0.10692,4.04379,12.34689,1.64793,0.11999,0.01404,0.10181,1.11804,-40.66889,-63.00067
"19","2015_Q2",29.0814285714286,"Up",109249000,-41639000,67610000,-46544000,-46544000,21066000,-968000,1038000,-2006000,20098000,20098000,-6793000,13305000,13305000,-3298000,10007000,10007000,243180000,87242000,96387000,96387000,104554000,6471000,6138000,450592000,8253000,104918000,88012000,6953000,9953000,113171000,563763000,101970000,53373000,5466000,39103000,101970000,1894000,1894000,103864000,60501000,-36464000,380100000,-51059000,353078000,106821000,459899000,563763000,13305000,2228000,-262000,-16582000,-1311000,-1461000,13156000,11695000,-3717000,168000,180000,-3369000,7015000,7015000,-9911000,-2896000,23294000,0,12044000,0.61886,0.19283,0.0916,0.02176,0.01775,1.20356,4.41887,0.22584,0,0.32303,0.32206,3.52655,11.39733,0.38878,0.11998,0.02972,0.02608,0.37144,-10.4396,-11.54372
"20","2015_Q3",25.03484375,"Down",102021000,-41696000,60325000,-52083000,-52083000,8242000,83000,163000,-80000,8325000,8325000,-2805000,5520000,5520000,-1169000,4351000,4351000,228832000,76931000,89486000,89486000,122352000,8605000,7739000,449275000,8618000,225136000,208637000,7180000,9319000,233754000,683029000,92463000,53302000,2011000,33120000,114373000,4394000,94121000,208494000,61046000,-36464000,380421000,-39459000,365544000,108991000,474535000,683029000,5520000,2213000,2462000,-17913000,-7717999.99999999,-119627000,10129000,-109498000,-4028000,110740000,-3857000,102855000,-14361000,-14361000,4050000,-10311000,10455000,111637000,-124280000,0.5913,0.08079,0.04265,0.00917,0.00637,-28.56355,3.92816,0.43936,0.16344,0.1404,0.13988,3.29217,11.79593,-4.01046,0.12998,0.01419,-0.21044,0.92576,-11.20947,-14.21924
"21","2015_Q4",23.278125,"Down",138944000,-53118000,85826000,-58188000,-58188000,27638000,152000,-183000,335000,27790000,27790000,-9156000,18634000,18634000,-4414000,14220000,14220000,214748000,124529000,130244000,130244000,106991000,8797000,8746000,460780000,8712000,225411000,207656000,9212000,8543000,234123000,694903000,95069000,39322000,9186000,42530000,117044000,4339000,88901000,205945000,61266000,-36464000,390610000,-39915000,375497000,113461000,488958000,694903000,18634000,2277000,-1409000,-22969000,-3467000,-953000,61508000,60555000,-4030000,-5872000,982000,-8920000,48168000,48168000,-570000,47598000,29915000,106537000,15149000,0.6177,0.19891,0.10234,0.02908,0.02046,1.06533,3.93681,0.42119,0.15331,0.45864,0.45726,4.48134,12.11085,0.4886,0.12998,0.03043,0.02526,0.2834,-3.61728,-3.9153
"22","2016_Q1",23.2791803278689,"Up",118326000,-42616000,75710000,-71453000,-71453000,4256999.99999999,26000,-849000,875000,4283000,4283000.00000001,-2773000,1510000,1510000,349000,1859000,1859000,259814000,176967000,95082000,95082000,98346000,8333000,8233000,461575000,9333000,216751000,201335000,7182000,8234000,226084000,687659000,108920000,50636000,7359000,46890000,131083000,3746000,80189000,211272000,62061000,-36817000,388434000,-48091000,365587000,110800000,476387000,687659000,1510000,2360000,1910000,56800000,62580000,-1905000,4563000,2658000.00000006,-4031000,-5826999.99999999,1099000,-8791000,56447000,56447000,-4009000,52438000,6617000,98606000,64285000,0.63984,0.03598,0.01571,0.0039,0.0027,34.58042,3.52124,0.44349,0.14339,0.05995,0.05973,3.81555,11.78874,2.07294,0.12998,0.01018,0.11108,2.16837,-24.3627,-37.86892
"23","2016_Q2",26.8359375,"Up",111522000,-40205000,71317000,-53786000,-53786000,17531000,-333000,381000,-714000,17198000,17198000,-7750000,9448000,9448000,-2114000,7334000,7334000,247217000,151462000,107607000,107607000,112889000,8776000,8660000,476489000,10235000,225353000,208643000,8135000,8575000,235588000,712077000,109860000,58911000,12425000,33868000,133106000,3862000,78413000,211519000,62392000,-36817000,391112000,-34448000,382239000,118319000,500558000,712077000,9448000,2338000,-534000,-23645000,-12393000,-1533000,-8826000,-10359000,-4035000,-5479000,275000,-9239000,-31991000,-31991000,6486000,-25505000,19869000,97797000,2441000,0.63949,0.1572,0.06576,0.01465,0.0103,0.33283,3.57977,0.42257,0.13734,0.23628,0.23571,3.59296,12.3148,0.07864,0.13,0.01888,0.00405,0.55018,-7.52026,-8.52319
"24","2016_Q3",28.808125,"Up",117157000,-42728000,74429000,-62971000,-62971000,11458000,570000,-90999.9999999998,661000,12028000,12028000,-4299000,7729000,7729000,-1898000,5831000,5831000,231734000,115850000,101001000,101001000,124254000,9898000,8840000,466887000,10688000,219186000,202515000,8079000,8592000,229874000,696761000,114377000,60672000,6441000,42605000,137111000,3724000,70900000,208011000,62849000,-36817000,392284000,-42421000,375895000,112855000,488750000,696761000,7729000,2367000,628000,-4230999.99999999,6493000.00000001,-1800000,-22717000,-24517000,-4656000,-5606000,-4308000,-14570000,-32594000,-32594000,-3018000,-35612000,13825000,89910000,12093000,0.63529,0.0978,0.04977,0.01193,0.00837,2.07392,3.40518,0.4256,0.12904,0.18776,0.18714,3.77256,12.10417,0.38941,0.14993,0.01801,0.02076,0.79849,-10.25852,-12.37773
"25","2016_Q4",29.9847619047619,"Up",157622000,-62790000,94832000,-62528000,-62528000,32304000,-84000,251000,-335000,32220000,32220000,-10741000,21479000,21479000,-5240000,16239000,16239000,213903000,95952000,145735000,145735000,105304000,8805000,7942000,473747000,11119000,220733000,202308000,9804000,8621000,231852000,705599000,109574000,45536000,12683000,46690000,132460000,3733000,65591000,198051000,62102000,-36817000,403858000,-40728000,388415000,119133000,507548000,705599000,21479000,2408000,-1399000,-29160000,-6672000,-1569000,-1465000,-3034000,-4658000,-5482000,-616000,-10756000,-20462000,-20462000,564000,-19898000,34712000,84744000,14724000,0.60164,0.20495,0.10302,0.032,0.02301,0.90671,3.57653,0.39021,0.1201,0.52249,0.52148,5.07149,12.49727,0.47375,0.14987,0.03506,0.0247,0.28684,-3.72087,-3.99824
"26","2017_Q1",31.4970967741935,"Up",134771000,-48878000,85893000,-79502000,-79502000,6391000,243000,450000,-207000,6634000,5628000,-1036000,4592000,4592000,-665000,3927000,3927000,256030000,161828000,104819000,104819000,96977000,14299000,13673000,472125000,10076000,200208000,183868000,8090000,8250000,210284000,682409000,120740000,49507000,3331000,62609000,142238000,3449000,56513000,198751000,63134000,-37475000,402714000,-57982000,370391000,113267000,483658000,682409000,4592000,8228000,-2492000,56808000,67136000,-840000,18323000,17483000,-4666000,-5317000,-11000,-10071000,74548000,74548000,-8672000,65876000,14619000,74562000,71623000,0.63733,0.04742,0.02914,0.00812,0.00575,18.2386,3.31926,0.41093,0.10926,0.12621,0.12551,4.33134,11.90382,2.30186,0.14996,0.0153,0.12752,1.18818,-12.41316,-28.3943
"27","2017_Q2",32.8190476190476,"Up",143058000,-52988000,90070000,-63899000,-63899000,26171000,845000,1001000,-156000,27016000,27016000,-8849000,18167000,18167000,-4794000,13373000,13373000,225503000,109829000,139877000,139877000,111319000,15882000,15522000,492581000,9771000,201753000,184991000,8768000,7994000,211524000,704105000,126553000,60182000,8015000,53057000,148386000,3656000,51994000,200380000,63910000,-37475000,410957000,-53413000,383979000,119746000,503725000,704105000,18167000,2619000,41000,-43830000,-23003000,-858000,-20051000,-20909000,-5293000,-5250000,542000,-10001000,-53913000,-53913000,1914000,-51999000,28790000,70171000,-7049000,0.6296,0.18294,0.09348,0.02655,0.01899,-0.52711,3.31959,0.3978,0.09966,0.42938,0.42788,4.59329,12.32875,-0.22633,0.16995,0.03232,-0.0122,0.3958,-5.39535,-5.93527
"28","2017_Q3",35.4533333333333,"Up",129136000,-45193000,83943000,-69468000,-69468000,14475000,-644000,173000,-817000,13831000,13831000,-4620000,9211000,9211000,-2467000,6744000,6744000,240577000,116772000,119364000,119364000,136909000,12821000,12056000,509671000,10370000,212429000,195596000,8649000,8184000,222799000,732470000,128641000,67456000,3489000,52397000,151903000,4286000,50167000,202070000,64227000,-37475000,412580000,-33406000,405926000,124474000,530400000,732470000,9211000,2064000,-1519000,2549000,12305000,4923000,-638999.999999996,4284000,-5299000,-5429000,-5864000,-16592000,-2999.9999999702,-2999.9999999702,6946000,6943000.00000001,16539000,69143000,28631000,0.65004,0.11209,0.05222,0.01271,0.00921,4.2454,3.35524,0.38098,0.0944,0.21637,0.21559,4.14309,13.02339,0.918569999999999,0.17001,0.01994,0.04742,0.78574,-10.36544,-11.84345
"29","2017_Q4",40.0625396825397,"Up",169531000,-66059000,103472000,-70309000,-70309000,33163000,-215000,120000,-335000,32948000,32948000,-10845000,22103000,22103000,-5026000,17077000,17077000,230769000,108367000,159434000,159434000,134280000,10774000,10226000,535257000,10321000,220095000,200841000,11071000,8183000,230416000,765673000,133833000,54449000,10970000,63113000,157849000,3741000,45295000,203144000,64676000,-37475000,424545000,-23061000,428685000,133844000,562529000,765673000,22103000,2694000,-601000,-29627000,-5431000,-1196000,4735000,3539000,-5299000,-5888000,214000,-10973000,-12865000,-12865000,4460000,-8405000,35857000,65570000,15879000,0.61034,0.19562,0.10073,0.03036,0.0223,0.92985,3.39094,0.36113,0.08564,0.54778,0.54547,5.43804,13.75092,0.50935,0.16998,0.03541,0.02513,0.3103,-4.60716,-4.98143
"30","2018_Q1",41.9622950819672,"Up",149526000,-50725000,98801000,-91864000,-91864000,6937000,-544000,-303000,-241000,6392999.99999999,4270000,1502000,5772000,5772000,-1372000,4400000,4400000,278242000,208343000,120749000,120749000,137058000,13229000,9761000,549278000,10330000,218164000,200495000,9658000,8011000,228494000,777772000,142735000,52609000,1722000,81843000,167107000,3821000,40028000,207135000,66035000,-37475000,422570000,-17832000,433298000,137339000,570637000,777772000,5772000,4537000,3266000,38445000,52020000,-1052000,51062000,50010000,-5301000,-5795000,1032000,-10064000,91966000,91966000,8010000,99976000,11474000,60579000,47365000,0.66076,0.04639,0.02943,0.00771,0.00565999999999999,10.76477,3.28698,0.36299,0.07789,0.14103,0.14023,4.79248,13.88769,1.5181,0.1699,0.01528,0.07459,1.20477,-18.97011,-31.37711
"31","2018_Q2",47.37359375,"Up",171767000,-66138000,105629000,-75231000,-75231000,30398000,1077000,1283000,-206000,31475000,31475000,-9613000,21862000,21862000,-5953000,15909000,15909000,250742000,168929000,166077000,166077000,141253000,13133000,11019000,571205000,10160000,223741000,205489000,10113000,8139000,233901000,805106000,144947000,58740000,6762000,72876000,169938000,3881000,34892000,204830000,67319000,-37475000,432065000,-8426000,453483000,146793000,600276000,805106000,21862000,2616000,635000,-45769000,-20656000,-1932000,-9979000,-11911000,-6561000,-6140000,641000,-12060000,-44627000,-44627000,5213000,-39414000,33014000,56002000,-5074000,0.61496,0.17697,0.09262,0.0265,0.01976,-0.31894,3.36126,0.34123,0.06956,0.50881,0.50619,5.49356,14.50357,-0.16228,0.20984,0.03404,-0.00769,0.41241,-5.89871,-6.40634
"32","2018_Q3",57.3287301587302,"Up",149366000,-53713000,95653000,-76886000,-76886000,18767000,1662000,161000,1501000,20429000,20429000,-6170000,14259000,14259000,-3360000,10899000,10899000,222880000,145318000,140026000,140026000,169323000,10898000,10221000,543127000,10117000,229248000,210677000,10851000,7720000,239365000,782492000,147864000,66047000,6055000,69185000,171474000,3706000,38207000,209681000,67965000,-37475000,436605000,-28146000,438949000,133862000,572811000,782492000,14259000,2894000,-976000,-1573999.99999999,14603000,-8188000,-21000,-8209000,-6569000,-5980000,-8217000,-20766000,-14372000,-14372000,-9239000,-23611000,21661000,58111000,18069000,0.64039,0.12564,0.07297,0.01903,0.01393,1.65786,3.1674,0.36606,0.07426,0.34822,0.34612,4.77223,14.02438,0.5773,0.20988,0.02752,0.02847,0.60272,-7.60671,-8.77972
