"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","derivative_hedging_assets_short_term","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","derivative_hedging_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","liabilities_from_derivatives_hedging_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital"
"1","2014_Q2",73.2503174603175,"Down",632720000,-163709000,469011000,-241690000,-35051000,-21335000,-177215000,-8089000,227321000,-24164000,-24190000,26000,203157000,-98687000,104470000,-38863000,65607000,65607000,65607000,65607000,1247984329.69416,1247984329.69416,-3081078641.2216,-21871184.2652637,-3059207456.95633,-1848061565.02013,-1341912803.02333,12960043016.4376,-14301955819.4609,-3445414908.38319,-2305914436.27714,-1139500472.10605,-4787327711.40653,-6635389276.42666,-889301426.618382,-889301426.618382,-1043377586.62535,-1932678439.79526,-7801859515.3503,1299953084.07555,14779192.1642159,-188495060.599401,-6501906431.27474,-8434584871.07,461836401.982268,1361536340.32431,-24177147.6632431,1799195594.64334,1799195594.64334,-6635389276.42666,65607000,177215000,108556000,-51650000,299728000,-349955000,-351934000,-351934000,-345533000,1235582870.3408,-8000,-8000,-45813000,-45813000,-45813000,404536000,0,41794000,0.74126,0.35928,0.10369,2.91097257959662,1.01278954005348,0.63704,1.20568558778649,-3.40689523376843,-0.401601016258391,0.97839,0.96302,9.4357,29.5926930680148,0.62327,1.20043495707495,4.18424054475822
"2","2014_Q3",77.96390625,"Up",674980000,-177598000,497382000,-256138000,-38115000,-24270000,-187781000,-5972000,241244000,-25887000,-24040000,-1847000,215357000,-119528000,95829000,-36049000,59780000,59780000,59780000,59780000,752212664.847082,752212664.847082,-1034105320.6108,3682907.86736814,-1037788228.47817,-289370282.510067,2432680098.48833,10767025508.2188,-8334345409.73047,-1386282454.1916,-887716718.138571,-498565736.053026,1046397644.29674,757027361.786669,49102786.6908089,49102786.6908089,-356078793.312675,-306975719.897629,-2241679757.67515,1193599042.03778,7325596.08210793,30535969.7002997,-1048080715.63737,-1355056435.535,354019700.991134,1774764670.16216,-16700573.8316215,2112083797.32167,2112083797.32167,757027361.786669,59780000,187781000,131174000,36690000,415425000,-381804000,-426646000,-426646000,-487102000,614373956.780267,-101000,-964000,-72641000,-72641000,-72641000,429025000,-1.19209289550781e-07,119960000,0.73688,0.35741,0.08857,1.47642128979831,0.514574770026741,2.00669,1.09505279389325,-0.501072616884215,0.00447949187080454,0.89131,0.8761,10.06381,32.5569415340074,1.78858,0.606812478537473,1.81276527237911
"3","2014_Q4",47.8925,"Down",618786000,-178390000,440396000,-264955000,-41696000,-34556000,-183259000,-5444000,175441000,-23293000,-22621000,-672000,152148000,181538000,333686000,-124748000,208938000,208938000,208938000,208938000,463424221.615694,463424221.615694,39174893.1297338,16159302.622456,23015590.5072777,500184905.829978,4574192032.82944,9424499836.07294,-4850307803.24349,-241811484.730532,-115272239.379524,-126539245.351009,4332380548.09891,4832565453.92889,514566262.23027,514566262.23027,9960402.2291083,524526760.034124,924736747.441617,1123380014.01259,2400865.36070264,145932656.566767,2048116761.45421,2572643521.48833,300025566.997045,1972627223.38739,-12730857.9438738,2259921932.44056,2259921932.44056,4832565453.92889,208938000,183259000,-25101000,-7127000,359969000,-544235000,-539282000,-539282000,-903350000,3.9e+08,-10552000,379856000,-163525000,-163525000,-163525000,358700000,0,-67914000,0.71171,0.28352,0.33766,0.599787096599437,0.209704923342247,-0.32504,1.00179759796442,1.13195579437193,0.243699830623601,3.10084,3.05402,9.18339,33.8613271780025,-1.00791,0.245167492845824,0.50886842412637
"4","2015_Q1",41.5083606557377,"Down",595821000,-196181000,399640000,-306367000,-52241000,-49696000,-219277000,14847000,93273000,-27771000,-27703000,-68000,65502000,465212000,530714000,-198988000,331726000,331726000,331726000,331726000,322630000,322630000,422293000,19625000,402668000,745043000,5503903000,8736915000,-3233012000,234199000,189540000,44659000,5738102000,6483145000,640684000,640684000,143976000,784660000,2332445000,1079385000,70000,187634000,3411830000,4196490000,283970000,2013997000,-11312000,2286655000,2286655000,6483145000,331726000,219277000,-182335000,12785000,381453000,-654946000,-656936000,-656936000,-742764000,365991000,-3438000,361162000,-149000,-149000,-149000,312550000,2332445000,-130623000,0.67074,0.15655,0.55675,0.14507,0.05117,-0.39377,0.94951,1.83521,0.35977,4.9208,4.9216,8.83837,33.92009,-1.93765,0.0588,-0.02292
"5","2015_Q2",50.4953968253968,"Up",365934000,-196151000,169783000,-315566000,-43639000,-37407000,-217401000,-17119000,-145783000,-32076000,-32076000,405535.62878208,-177859000,91348000,-86511000,33453000,-53058000,-53058000,-53058000,-53058000,270841000,270841000,398780000,18147000,380633000,669643000,5643093000,8508720000,-2865627000,287950000,204841000,83109000,5931043000,6600686000,561051000,561051000,135204000,696255000,2616500000,1051703000,398000,185579000,3668203000,4364458000,289969000,1957747000,-11488000,2236228000,2236228000,6600686000,-53058000,217401000,95283000,24296000,283922000,-523392000,-544965000,-544965000,-534458000,250500000,-62000,250438000,-98000,-98000,-98000,71618000,2616500000,-460931000,0.46397,-0.39839,-0.14499,-0.02373,-0.00803999999999999,8.6873,0.96178,1.95171,0.3964,-0.78648,-0.78648,5.42422,33.14747,-6.83235,-0.00899,-0.07807
"6","2015_Q3",34.7178125,"Down",516146000,-173685000,342461000,-298154000,-42605000,-25541000,-219704000,-10304000,44307000,-30754000,-30754000,763968.857401038,13553000,-111764000,-98210999.9999999,40703000,-57508000,-57508000,-57508000,-57508000,239983000,239983000,285643000,16621000,269022000,525708000,5485045000,8558648000,-3073603000,202865000,131464000,71401000,5687910000,6213618000,423536000,423536000,98621000,522157000,2.472e+09,1031154000,1026000,170540000,3503154000,4025311000,300313000,1900058000,-12064000,2188307000,2188307000,6213618000,-57508000,219704000,102247000,1143000,265586000,-115750000,-429165000,-429165000,-112268000,-152943000,-98999.9999999998,-153258000,60000,60000,60000,264011000,2.472e+09,108701000,0.6635,0.08584,-0.11142,-0.02628,-0.00926,-1.89019,1.0068,1.83946,0.39784,-0.85218,-0.85218,7.64853,32.42753,1.61079,-0.00951,0.0191
"7","2015_Q4",29.205,"Down",371151000,-184568000,186583000,-308506000,-37782000,-19679000,-243879000,-7166000,-121923000,-33130000,-33753000,623000,-155053000,154027000,-1026000,4140000,3114000,3114000,3114000,3114000,171067000,171067000,366413000,19114000,347299000,537677000,5451039000,8691148000,-3240109000,225145000,147530000,77615000,5676184000,6213861000,361734000,361734000,123463000,485197000,2.534e+09,1007827000,2019000,172456000,3541827000,4027024000,299118000,1899803000,-12084000,2186837000,2186837000,6213861000,3114000,243879000,-27477000,15825000,235341000,-287626000,-287741000,-287741000,-288120000,61394000,-8500000,52894000,115000,115000,115000,121956000,2.534e+09,-153985000,0.50271,-0.3285,0.00839,0.00141999999999999,0.000499999999999999,-49.44926,1.10816,1.84148,0.4078,0.04582,0.04582,5.46067,32.17451,-2.26555,0.000540000000000001,-0.02688
"8","2016_Q1",13.2203278688525,"Down",303734000,-169229000,134505000,-302029000,-33642000,-37942000,-240025000,9580000,-167524000,-31540000,-31566000,26000,-199064000,-338049000,-537113000,196855000,-340258000,-340258000,-340258000,-340258000,134124000,134124000,384847000,17137000,367710000,518989000,4950280000,8432116000,-3481836000,152374000,120701000,31673000,5102654000,5621643000,302517000,302517000,8000,302525000,2517970000,948747000,34098055.076236,190468000,3466717000,3769242000,306288000,1559515000,-13402000,1852401000,1852401000,5621643000,-340258000,240025000,285727000,20464000,205958000,-208902000,-231737000,-231737000,-209793000,1.8e+07,-12632000,3656000,-179000,-179000,-179000,72501000,2517970000,-312792000,0.44284,-0.55155,-1.12025,-0.18368,-0.06053,0.919280000000008,1.71552,2.03479,0.44791,-5.00541,-5.00541,4.46812,27.25001,-4.60137,-0.06333,-0.05881
"9","2016_Q2",26.91671875,"Up",143076000,-144543000,-1467000,-267390000,-32238000,-15273000,-214207000,-5672000,-268857000,-31082000,-31088000,6000,-299939000,-242146000,-542085000,194875000,-347210000,-347210000,-347210000,-347210000,111141000,111141000,294446000,12850000,281596000,405638000,4603779000,7989013000,-3385234000,197639000,160732000,36907000,4801418000,5207056000,293796000,293796000,9361000,303157000,2564472000,831011000,78514000,189392000,3395483000,3698640000,313154000,1208900000,-13638000,1508416000,1508416000,5207056000,-347210000,214207000,267349000,-16070000,118276000,-175164000,-176370000,-176370000,-189323000,71083000,-3000,71080000,33000,33000,33000,-54650000,2564472000,-440759000,-0.01025,-1.87912,-2.42675,-0.23018,-0.06668,1.26943,1.33805,2.452,0.4925,-5.10025,-5.10025,2.10168,22.1575,-6.47442,-0.0708,-0.08988
"10","2016_Q3",30.77828125,"Up",341814000,-148591000,193223000,-260383000,-28200000,-13187000,-211020000,-7976000,-67160000,-34030000,-34035000,5000,-101190000,-163389000,-264579000,95898000,-168681000,-168681000,-168681000,-168681000,143979000,143979000,160477000,14901000,145576000,304474000,4601332000,8208161000,-3606829000,138669000,113119000,25550000,4740001000,5044475000,257349000,257349000,63492000,320841000,2603080000,771718000,104660000,194703000,3374798000,3695639000,322524000,1040219000,-13907000,1348836000,1348836000,5044475000,-168681000,211020000,130531000,-34273000,138597000,-157439000,-169200000,-169200000,-161931000,27513000,-3162000,23301000,-33000,-33000,-33000,143860000,2603080000,-143750000,0.56529,-0.19648,-0.49349,-0.12506,-0.03344,0.8522,0.94899,2.73987,0.51603,-2.47685,-2.47685,5.01907,19.80582,-2.11077,-0.03499,-0.03043
