"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",20.7292063492064,"Up",1047531000,-745311000,302220000,-255228000,-253149000,-2079000,46992000,-2820000,-3508000,688000,44172000,44172000,-17963000,26209000,26209000,26209000,26209000,1906642161.75701,1906642161.75701,-127546036.317578,-127546036.317578,-603069092.33443,-53658512.7638882,50056080.1222916,-104442938.210529,1122368520.34111,574230554.714586,364161129.389279,59878573.0999557,200594000.000001,60284466.9538714,43404089.3354508,890633885.393167,2013002405.73428,-162702.65992403,-422181978.578553,19112886.4093609,389527532.276482,261019018.171263,261019018.171263,261573136.557477,106332431.623464,184110342.38178,184110013.301394,290442774.005243,552015910.562721,646122144.008317,815071879.284486,-372406.068981215,1460986495.17156,1460986495.17156,2013002405.73428,26209000,25866000,-15588000,-50140000,-13653000,-24300000,0,-24300000,-51317020.8212264,5489000,8016000,8016000,0,5774000,19279000,-18674000,-18674000,21000,-18653000,72858000,0,16381000,0.28851,0.04486,0.02502,0.344077448509208,0.178454074654841,0.62501,2.44972703078183,0.298768993527649,0.0537713226539827,0.2276,0.21771,9.0967,12.231093792209,0.14225,0.424433661178385,0.267220654996617,1.96737896473721,0.435800341269823,-8.28977965215334,-8.09137419880694
"2","2010_Q3",19.51875,"Down",1226064000,-865918000,360146000,-272088000,-271372000,-716000.000000002,88058000,-4147000,-3502000,-645000,83911000,83911000,-32395000,51516000,51516000,51516000,51516000,278169000,278169000,45462000,45462000,985799000,75570000,61060000,6982000,1.385e+09,677779000,361060000,47585000,200594000,72261000,40620000,1049604000,2434604000,791910000,532007000,7089000,252814000,83983000,83983000,876871000,140807000,228199000,228199000,369006000,1245877000,555899000,626116000,6712000,1188727000,1188727000,2434604000,51516000,26287000,14007000,-11486000,80323999.9999999,-37311000,5874000,-31437000,-25658510.4106132,20685000,1209000,1209000,0,446000,22340000,71227000,71227000,-16000,71210999.9999999,114345000,141785000,97943000,0.29374,0.07182,0.04202,0.04334,0.02116,1.90122,1.57948,1.04808,0.05824,0.44481,0.42561,10.5864,10.26402,0.845679999999999,0.212216830589192,0.03305,0.06284,0.217900170634912,-1.19274,-1.5488
"3","2010_Q4",24.1721875,"Up",1078984000,-771913000,307071000,-278863000,-272467000,-6396000,28208000,-2341000,-3518000,1177000,25867000,25867000,-9004000,16863000,16863000,16863000,16863000,159446000,159446000,66321000,66321000,1162152000,100561000,59687000,26263000,1488480000,693003000,358700000,47308000,200594000,52375000,58423000,1063376000,2551856000,861302000,609099000,0,252203000,79174000,79174000,941454000,145949000,242232000,242232000,388181000,1329635000,571939000,642979000,7303000,1222221000,1222221000,2551856000,16863000,28158000,17353000,-146560000,-84186000,-55841000,4857000,-50984000,-8552836.80353773,4971000,10019000,10019000,0,1456000,16446000,-118724000,-118724000,1000,-118723000,56366000,146927000,-137031000,0.28459,0.02614,0.01563,0.0138,0.00661,-8.12613,1.58104,1.08788,0.05758,0.14534,0.1389,9.29966,10.53421,-1.18106,0.0707389435297308,0.01046,-0.08504,0.0726333902116372,-0.2221,-0.44381
"4","2011_Q1",27.8679032258065,"Up",1518913000,-1039320000,479593000,-333602000,-332305000,-1297000,145991000,-2430000,-3488000,1058000,143561000,143561000,-56072000,87489000,87489000,87489000,87489000,546052000,546052000,34978000,34978000,896895000,86405000,58394000,9050000,1564330000,684886000,348320000,51070000,200594000,27157000,69499000,1033206000,2597536000,725795000,446511000,0,279284000,121753000,121753000,848543000,139846000,245566000,245566000,385412000,1233955000,626372000,730468000,6741000,1363581000,1363581000,2597536000,87489000,30083000,18873000,271037000,407482000,-41615000,-12799000,-54414000,0,-14683000,33708000,33708000,-1.45519152283669e-11,14501000,33526000,386594000,386594000,12000,386606000,176074000,140841000,461568000,0.31575,0.09612,0.0576,0.06416,0.03368,5.27573,1.84355,0.90494,0.05422,0.74175,0.7052,12.8776,11.56067,3.91325,0,0.04999,0.26375,0,-2.30137,-2.77559
"5","2011_Q2",29.1571428571429,"Up",1113849000,-783406000,330443000,-266001000,-263735000,-2266000,64442000,-2376000,-3484000,1108000,62066000,62066000,-24568000,37498000,37498000,37498000,37498000,532525000,532525000,43474000,43474000,1054871000,90525000,67099000,5695000,1721395000,712812000,326011000,51446000,200594000,22057000,51914000,1052815000,2774210000,846094000,602280000,11294769.7777679,243814000,99660000,99660000,946749000,139605000,255686000,255686000,395291000,1342040000,655427000,767966000,8777000,1432170000,1432170000,2774210000,37498000,27436000,7025000,-86414000,-14455000,-32584000,-2020000,-34604000,0,13110000,14077000,14077000,0,8323000,35510000,-13549000,-13549000,22000,-13527000,91878000,140600000,-2552000,0.29667,0.05786,0.03367,0.02618,0.01352,-0.06806,1.81822,0.93707,0.05068,0.31416,0.29911,9.33177,11.99864,-0.02138,0,0.02051,-0.00140000000000001,0,-4.26571,-6.08183
"6","2011_Q3",26.18203125,"Down",1306695000,-905620000,401075000,-289385000,-285730000,-3655000,111690000,-3997000,-3480000,-517000,107693000,121593000,-47745000,73848000,73848000,73848000,73848000,626415000,626415000,55587000,55587000,1026861000,78462000,63159000,1652000,1787325000,737484000,337559000,51098000,200594000,28004000,57863000,1076058000,2863383000,861480000,553108000,23915000,284457000,92595000,92595000,955070000,139359000,258804000,258804000,398163000,1353233000,668185000,841814000,151000,1510150000,1510150000,2863383000,73848000,27880000,1678000,37027000,140433000,-53016000,-2952000,-41828000,0,-10656000,4917000,4917000,2.3283064365387e-10,1017000,-4722000,93882999.9999999,93882999.9999999,7000,93890000,139570000,140354000,171326000,0.30694,0.08548,0.05652,0.0489,0.02579,2.31998,1.87141,0.89609,0.04902,0.61434,0.58686,10.87037,12.56291,1.42526,0,0.03868,0.08973,0,-3.48256,-4.35188
"7","2011_Q4",28.085873015873,"Up",1179702000,-829111000,350591000,-279029000,-272233000,-6796000,71562000,-5108000,-3540000,-1568000,66454000,66454000,-24970000,41484000,41484000,41484000,41484000,483372000,483372000,63568000,63568000,1243152000,112750000,63542000,35180000,1902842000,745129000,325661000,50755000,200594000,8225000,66087000,1071790000,2974632000,929253000,663091000,27961656.6900984,266162000,86286000,86286000,1016534000,139108000,256644000,256644000,395752000,1412286000,678923000,883298000,125000.000000001,1562346000,1562346000,2974632000,41484000,28300000,31725000,-191323000,-89814000,-62438000,-4009000,-66447000,0,8389000,2434000,2434000,0,2421000,13244000,-143017000,-143017000,-26000,-143043000,99862000,140103000,-128929000,0.29719,0.06066,0.03516,0.02655,0.01395,-3.10792,1.87189,0.90395,0.0471,0.34446,0.33041,9.79559,12.97285,-1.07055,0,0.02118,-0.06581,-2.77555756156289e-17,-3.43743,-4.79681
"8","2012_Q1",32.8683870967742,"Up",1611556000,-1098784000,512772000,-328446000,-326570000,-1876000,184326000,-2413000,-3364000,951000,181913000,181913000,-70837000,111076000,111076000,111076000,111076000,734402000,734402000,38338000,38338000,1014997000,80656000,64213000,4113000,1868393000,778034000,350025000,50490000,200594000,12566000,86375000,1128059000,2996452000,803955000,510398000,29484000,264073000,128765000,128765000,940146000,151596000,271965000,271965000,423561000,1363707000,700980000,932871000,118000,1632745000,1632745000,2996452000,111076000,32965000,2698999.99999999,227517000,374257000,-53769000,-2968000,-56737000,-60460000,-21901000,10446000,11670000,-1224000,5432000,-66483000,251037000,251037000,-7000,251030000,217291000,159022000,461876000,0.31818,0.11438,0.06892,0.06803,0.03707,4.1582,1.98734,0.83522,0.05307,0.91853,0.87934,13.32657,13.50179,3.81943,0.49997,0.08312,0.22381,0.54431,-2.64797,-3.12153
"9","2012_Q2",36.2403174603175,"Up",1281704000,-887097000,394607000,-298872000,-296131000,-2741000,95735000,-1584000,-3449000,1865000,94151000,94151000,-36994000,57157000,57157000,57157000,57157000,520967000,520967000,42025000,42025000,1201753000,91755000,69302000,4053000,1856500000,783668000,414978000,70300000,200594000,9264000,134820000,1198646000,3055146000,912917000,654596000,28091000,230230000,107254000,107254000,1158761000,14446000,285771000,285771000,300217000,1458978000,722902000,974587000,3739000,1596168000,1596168000,3055146000,57157000,27656000,1124000,-103707000,-17770000,-41251000,-25210000,-98447000,-15418000,7330000,-92897000,10960000,-103857000,3760000,-97225000,-213442000,-213442000,7000,-213435000,123391000,153036000,15427000,0.30788,0.07469,0.04459,0.03581,0.01871,0.26991,1.60214,0.91405,0.05009,0.47037,0.45004,10.54779,13.13567,0.12696,0.12688,0.03566,0.00758,0.26975,-2.98183,-3.84322
"10","2012_Q3",37.8592063492063,"Up",1437041000,-989261000,447780000,-313140000,-310864000,-2276000,134640000,-1054000,-1e+06,-54000,133586000,101216000,-47553000,53663000,53663000,53663000,53663000,350404000,350404000,53704000,53704000,1134594000,102605000,67071000,7845000,1641307000,827634000,393999000,75061000,200594000,8196000,110148000,1221633000,2862940000,836319000,561161000,0,275158000,101437000,101437000,946335000,14407000,290134000,290134000,304541000,1250876000,798829000,1013087000,106000,1612064000,1612064000,2862940000,53663000,30444000,10849000,-10205999.9999999,84749999.9999999,-53907000,-19198000,-73105000,-14999000,-137118000,-60938000,33979000,-94917000,30866000,-182189000,-170544000,-170544000,-19000,-170563000,165084000,22986000,148524000,0.3116,0.09369,0.03734,0.03329,0.01874,2.76772,1.73438,0.77595,0.00803,0.44746,0.43091,11.98253,13.44193,1.23844,0.12507,0.03567,0.07715,0.2795,-1.98334,-2.4318
