"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","impairment_of_goodwill_intangibles","sale_of_business","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","assets_held_for_sale","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","short_term_borrowings","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",7.8384126984127,"Down",3.92e+09,-2.959e+09,9.61e+08,-8e+07,-8e+07,-8e+07,8.81e+08,-3.27e+08,-2.73e+08,-3.81e+08,1.08e+08,-5.1e+07,-3e+06,5.54e+08,0,1913012199.39067,0,5.54e+08,-1.86e+08,1.3e+07,3.81e+08,4.02e+08,-2.15e+08,1.87e+08,1.87e+08,5.123e+09,3.392e+09,1.731e+09,2.244e+09,2.244e+09,5.75e+08,2.518e+09,2.21e+08,2.67e+08,1.795e+09,1.046e+10,2.4827e+10,3.4032e+10,-9.205e+09,6.595e+09,1.297e+09,5.08e+08,6.39e+08,1.175e+09,2.64e+09,3.1422e+10,4.1882e+10,4.408e+09,6013384920.54633,3.51e+08,4.057e+09,2.336e+09,2.336e+09,1.5e+08,1.5e+08,6.894e+09,1.8306e+10,1.8306e+10,6.086e+09,1.13e+09,3.253e+09,2.4392e+10,3.1286e+10,8.455e+09,8e+06,8.447e+09,-1.18e+08,7.91e+08,-2.881e+09,6.247e+09,4.349e+09,1.0596e+10,4.1882e+10,4.02e+08,2.93e+08,7.2e+07,2.9e+07,4.3e+07,-9.9e+07,-6.4e+07,3e+06,5.6e+07,-9.4e+07,6.68e+08,-4.93e+08,-4.93e+08,4.2e+07,9.9e+07,-1.44e+08,-5.95e+08,6e+07,2.6e+07,3.4e+07,-1.82e+08,2.16e+08,-1.15e+08,1.515e+09,1.588e+09,561166656.317154,1.588e+09,-2.1e+07,1.567e+09,1.174e+09,2.0642e+10,7.68e+08,0.24515,0.22474,0.0477,0.01765,0.00446,4.10695,1.51726,2.95262,0.49286,0.26906,0.26676,5.64029,8.98849,1.10504,0.00501,0.02058,13.21891,17.61521
"2","2010_Q3",7.77875,"Down",3.923e+09,-2.921e+09,1.002e+09,-1.01e+08,-1.01e+08,-1.01e+08,9.01e+08,-3.39e+08,-2.88e+08,-3.89e+08,1.01e+08,-71000000.0000001,2e+07,5.62e+08,-5999999.99999988,-1e+06,0,5.56e+08,-2.61e+08,1.34e+08,4.29e+08,4.29e+08,-2.85e+08,1.44e+08,1.44e+08,4642906752.88213,3021287012.90332,1621619739.97881,2462886579.70766,2462886579.70766,673797246.750649,2146179045.08847,175084769.569156,-213964186.730464,1984766946.56101,9925769624.42891,26626821964.0321,36404276215.5184,-9777454251.48633,6153308010.33857,1277683680.62906,733602462.96142,765742684.636335,1342308786.76533,2675184814.77165,32780129974.3706,42705899598.7995,4835056084.15767,3805192460.27317,506898169.912343,5944050225.71872,1333675810.21613,1333675810.21613,-145947499.068851,-145947499.068851,6022784395.30495,19876973620.8883,19876973620.8883,5534564389.09556,1504125229.84797,3483269397.42585,25411538009.9838,31434322405.2888,8485465940.68827,8e+06,8477465940.68827,-79150042.6660878,1400262782.57109,-2653350950.4879,7153227730.10537,4118349463.40538,11271577193.5108,42705899598.7995,4.29e+08,2.91e+08,5e+06,8.8e+07,-8.3e+07,2.2e+07,-5e+06,-4e+06,-1.47e+08,1.78e+08,7.47e+08,-5.07e+08,-5.09e+08,2.9e+07,9.9e+07,1.18e+08,-3.6e+08,-3.32e+08,6.2e+07,-3.94e+08,-1.521e+09,1.127e+09,-4.9e+08,-8.23e+08,-4.36e+08,280083328.158577,-4.36e+08,-2.3e+07,-4.59e+08,1.192e+09,7.62939453125e-06,9.68e+08,0.25542,0.22967,0.03671,0.0728988468352751,0.018949263469566,6.72222,1.58187375341247,2.78803020704365,0.497604104675004,0.18113,0.18,4.93459,9.28338428590624,1.21761,0.0215886860829054,0.0238564491254034,13.9662503264232,18.3472973351507
"3","2010_Q4",8.59765625,"Up",3.934e+09,-2.996e+09,9.38e+08,-9.8e+07,-9.8e+07,-9.8e+07,8.4e+08,-1.89e+08,-2.86e+08,-3.81e+08,9.5e+07,1.03e+08,-6e+06,6.51e+08,-3.16e+08,-3.14e+08,0,3.35e+08,-9.3e+07,2.7e+07,2.69e+08,3.97e+08,-2.83e+08,1.14e+08,1.14e+08,4.493e+09,2.848e+09,1.645e+09,2.349e+09,2.349e+09,6.11e+08,2.315e+09,1.9e+08,98000000.0000002,1.783e+09,9.768e+09,2.4975e+10,3.4126e+10,-9.151e+09,7.037e+09,1.276e+09,6.1e+08,6.89e+08,1.313e+09,2.622e+09,3.2012e+10,4.178e+10,4.898e+09,2547730820.09105,3.75e+08,4.523e+09,2.055e+09,2.055e+09,76000000.0000002,76000000.0000002,7.029e+09,1.792e+10,1.792e+10,5.988e+09,1.249e+09,3.025e+09,2.3908e+10,3.0937e+10,8.47e+09,8e+06,8.462e+09,-1.32e+08,1.056e+09,-2.504e+09,6.89e+09,3.953e+09,1.0843e+10,4.178e+10,3.97e+08,2.92e+08,8.7e+07,-8.6e+07,1.73e+08,2.25e+08,-6.7e+07,1e+07,9.5e+07,1.87e+08,1.001e+09,-5.17e+08,-5.26e+08,-1.6e+07,1.71e+08,1.41e+08,-3.92e+08,-2.17e+08,-1.4e+07,-2.03e+08,-3.57e+08,1.54e+08,-4.35e+08,-6.7e+08,-6.1e+07,114694442.719526,-6.1e+07,2.3e+07,-3.8e+07,1.132e+09,1.9975e+10,9.33e+08,0.23843,0.21352,0.02898,0.01051,0.00273,8.18421,1.38967,2.85318,0.4781,0.14358,0.14268,4.95466,8.67758,1.17506,0.00309999999999999,0.02535,13.67668,18.43095
"4","2011_Q1",9.31741935483871,"Up",3.666e+09,-2.747e+09,9.19e+08,-1.12e+08,-1.12e+08,-1.12e+08,8.07e+08,-3.52e+08,-1.95e+08,-2.98e+08,1.03e+08,-1.4e+07,-1.43e+08,4.55e+08,-10000000.0000001,-1e+07,2.3283064365387e-10,4.45e+08,-5.3e+07,9999999.99999999,4.02e+08,-1.69e+08,-2.67e+08,-4.36e+08,-4.36e+08,4.243e+09,2.525e+09,1.718e+09,2.256e+09,2.256e+09,5.52e+08,2.395e+09,2.15e+08,4.25e+08,1.455e+09,9.446e+09,2.3429e+10,3.2072e+10,-8.643e+09,7.636e+09,1.271e+09,4.48e+08,5.89e+08,1.32e+09,2.589e+09,3.1065e+10,4.0511e+10,4.738e+09,1.988e+09,2.57e+08,2.493e+09,2.996e+09,2.996e+09,3.31e+08,3.31e+08,8.065e+09,1.5792e+10,1.5792e+10,6.181e+09,8.92e+08,2.566e+09,2.1973e+10,3.0038e+10,8.452e+09,8e+06,8.444e+09,-2.16e+08,6.2e+08,-2.383e+09,6.473e+09,4e+09,1.0473e+10,4.0511e+10,-1.69e+08,3.02e+08,4.56e+08,-4.49e+08,9.05e+08,4.6e+08,3.8e+07,1e+06,1.32e+08,2.89e+08,1.049e+09,-7.7e+08,-7.82e+08,1.89e+08,2.26e+08,-1.12e+08,-6.93e+08,-3.52e+08,4e+06,-3.56e+08,-7.99e+08,4.43e+08,-2.93e+08,-7.28e+08,-3.72e+08,3.4e+07,-3.38e+08,2.9e+07,-3.09e+08,1.109e+09,1.8788e+10,8.52e+08,0.25068,0.22013,-0.11893,-0.04163,-0.01076,-1.95413,1.17123,2.86814,0.46378,-0.55051,-0.54774,4.62879,8.17298,1.07576,-0.0123,0.02404,13.11542,18.02354
"5","2011_Q2",9.31015873015873,"Down",4.156e+09,-3.163e+09,9.93e+08,-9.5e+07,-9.5e+07,-9.5e+07,8.98e+08,-2.09e+08,-2.43e+08,-3.38e+08,9.5e+07,3.3e+07,1e+06,6.89e+08,6e+06,0,6e+06,6.95e+08,-2.15e+08,1e+07,4.9e+08,4.83e+08,-2.59e+08,2.24e+08,2.24e+08,3.721e+09,2.008e+09,1.713e+09,2.489e+09,2.489e+09,6.34e+08,1.902e+09,2.03e+08,1.29e+08,1.26e+09,8.746e+09,2.5023e+10,3.4389e+10,-9.366e+09,6.731e+09,1.269e+09,5.15e+08,6.27e+08,1.544e+09,2.677e+09,3.1754e+10,4.05e+10,4.529e+09,1.873e+09,3.83e+08,2.273e+09,2.81e+09,2.81e+09,2.12e+08,2.12e+08,7.551e+09,1.6642e+10,1.6642e+10,5.205e+09,9.07e+08,2.713e+09,2.1847e+10,2.9398e+10,8.468e+09,8e+06,8.46e+09,-2.72e+08,8.44e+08,-2.248e+09,6.792e+09,4.31e+09,1.1102e+10,4.05e+10,4.83e+08,3.05e+08,-4.2e+07,1.7e+07,-5.9e+07,-2.44e+08,-1.12e+08,-6.9e+07,-4.1e+07,-2.2e+07,5.02e+08,-4.75e+08,-4.79e+08,-1.7e+08,8e+06,4.4e+07,-6.01e+08,-3.3e+08,2.4e+07,-3.54e+08,-4.69e+08,1.15e+08,-7e+07,-4.63e+08,-5.62e+08,7e+06,-5.55e+08,1.5e+07,-5.4e+08,1.203e+09,1.9452e+10,6.99e+08,0.23893,0.21607,0.0539,0.02018,0.00553,3.12054,1.15826,2.64799,0.4803,0.28463,0.28283,5.28081,8.63024,0.88818,0.00626,0.01955,13.07648,17.51782
"6","2011_Q3",8.2246875,"Down",4.435e+09,-3.443e+09,9.92e+08,-9.7e+07,-9.7e+07,-9.7e+07,8.95e+08,-2.49e+08,-2.85e+08,-3.81e+08,9.6e+07,3.7e+07,-1000000.00000001,6.46e+08,-3.2e+07,-3.3e+07,1e+06,6.14e+08,-1.74e+08,-4e+06,4.36e+08,4.27e+08,-2.53e+08,1.74e+08,1.74e+08,4.855e+09,3.624e+09,1.231e+09,2.614e+09,2.614e+09,6.54e+08,2.05e+09,1.8e+08,1.62e+08,1.41e+09,1.0173e+10,2.5547e+10,3.5274e+10,-9.727e+09,6.915e+09,1.267e+09,5.27e+08,6.61e+08,1.542e+09,2.854e+09,3.2462e+10,4.2635e+10,4.63e+09,1.892e+09,2.86e+08,2.452e+09,2.331e+09,2.331e+09,2.32e+08,2.32e+08,7.193e+09,1.9104e+10,1.9104e+10,5.441e+09,8.91e+08,2.938e+09,2.4545e+10,3.1738e+10,8.479e+09,8e+06,8.471e+09,-3.08e+08,1.018e+09,-2.278e+09,6.911e+09,3.986e+09,1.0897e+10,4.2635e+10,4.27e+08,3.17e+08,7.9e+07,10999999.9999999,6.8e+07,-1.48e+08,-7e+07,-1.9e+07,-2.13e+08,1.54e+08,6.75e+08,-5.22e+08,-5.4e+08,-3.9e+07,1.49011611938477e-08,4.05e+08,-1.56e+08,1.84e+09,1.01e+08,1.739e+09,-7.7e+08,2.509e+09,-7.22e+08,1.083e+09,1.602e+09,3e+06,1.605e+09,1.4e+07,1.619e+09,1.212e+09,2.1435e+10,7.16e+08,0.22368,0.2018,0.03923,0.01597,0.00408,4.11494,1.41429,2.91254,0.50276,0.22251,0.22109,5.67136,8.8376,0.9156,0.00461,0.01896,13.67987,18.52514
"7","2011_Q4",8.29047619047619,"Up",4.307e+09,-3.297e+09,1.01e+09,-9e+07,-9e+07,-9e+07,9.2e+08,-4.25e+08,-3.16e+08,-4.18e+08,1.02e+08,-9e+07,-1.9e+07,4.95e+08,-2.29e+08,-1.47e+08,0,2.66e+08,-6.8e+07,5e+06,2.03e+08,1.75e+08,-3.06e+08,-1.31e+08,-1.31e+08,4.445e+09,3.392e+09,1.053e+09,2.364e+09,2.364e+09,6.68e+08,2.59e+09,1.9e+08,1.71e+08,1.951e+09,1.0067e+10,2.3813e+10,3.307e+10,-9.257e+09,7.003e+09,1.246e+09,4.93e+08,5.85e+08,1.401e+09,3.042e+09,3.0816e+10,4.0883e+10,4.806e+09,1.792e+09,3.95e+08,2.619e+09,2.174e+09,2.174e+09,2.61e+08,2.61e+08,7.241e+09,1.8704e+10,1.8704e+10,5.021e+09,6.21e+08,2.978e+09,2.3725e+10,3.0966e+10,8.507e+09,8e+06,8.499e+09,-4.34e+08,8.87e+08,-2.727e+09,6.233e+09,3.684e+09,9.917e+09,4.0883e+10,1.75e+08,3.25e+08,3.71e+08,-9.5e+07,4.66e+08,2.65e+08,-3e+06,-3e+07,4.54e+08,-1.56e+08,1.136e+09,-7.46e+08,-8.13e+08,7e+06,3.9e+07,-2.38e+08,-9.77e+08,2.19e+08,1e+06,2.18e+08,-7.24e+08,9.42e+08,-3.65e+08,-2.73e+08,-1.14e+08,-9e+06,-1.23e+08,-1.08e+08,-2.31e+08,1.245e+09,2.0878e+10,8.32e+08,0.2345,0.21361,-0.03042,-0.01321,-0.0032,-6.35115,1.39028,3.12252,0.51068,-0.16838,-0.16838,5.53599,8.01157,1.06941,-0.00366,0.02323,13.1992,17.86196
"8","2012_Q1",9.57177419354839,"Up",3.2e+09,-2.155e+09,1.045e+09,-6.4e+07,-6.4e+07,-6.4e+07,9.81e+08,-2.25e+08,-2.88e+08,-3.93e+08,1.05e+08,-1.2e+07,7.5e+07,7.56e+08,-7.1e+07,-1e+07,1e+06,6.85e+08,-1.99e+08,-1.3e+07,4.73e+08,4.45e+08,-6.54e+08,-2.09e+08,-2.09e+08,3.051e+09,1.695e+09,1.356e+09,2.522e+09,2.522e+09,7.75e+08,2.881e+09,1.57e+08,2.33e+08,2.037e+09,9.229e+09,2.5001e+10,3.3945e+10,-8.944e+09,1.1116e+10,3.82e+09,5.45e+08,7.15e+08,1.422e+09,3.222e+09,3.6117e+10,4.5346e+10,5.724e+09,2.008e+09,3.27e+08,3.389e+09,2.428e+09,2.428e+09,2.86e+08,2.86e+08,8.438e+09,1.9592e+10,1.9592e+10,7.509e+09,1.321e+09,3.111e+09,2.7101e+10,3.5539e+10,8.515e+09,8e+06,8.507e+09,-4.89e+08,6.78e+08,-2.758e+09,5.946e+09,3.861e+09,9.807e+09,4.5346e+10,4.45e+08,3.15e+08,-3.68e+08,-1.32e+08,-2.36e+08,1.79e+08,-5.1e+07,-2.3e+07,1.22e+08,1.31e+08,5.71e+08,-5.7e+08,-5.98e+08,-2.588e+09,8.8e+08,-14000000.0000001,-3.172e+09,1.283e+09,3.11e+08,9.72e+08,-7.3e+08,1.702e+09,-1.64e+08,1.065e+09,-1.536e+09,-5e+06,-1.541e+09,-4.3e+07,-1.584e+09,1.296e+09,2.202e+10,1.104e+09,0.32656,0.30656,-0.06531,-0.02131,-0.00461,-5.2823,1.09374,3.62384,0.4856,-0.2732,-0.26968,4.18301,7.77255,1.44314,-0.00531,0.02807,14.63657,19.33639
"9","2012_Q2",9.06746031746032,"Down",4.586e+09,-3.514e+09,1.072e+09,-8.7e+07,-8.7e+07,-8.7e+07,9.85e+08,-3.36e+08,-3.25e+08,-4.16e+08,9.1e+07,-1e+06,-1e+07,6.49e+08,1.2e+08,-1e+07,1.79e+08,7.69e+08,-2.68e+08,1.3e+07,5.14e+08,5.15e+08,-1.74e+08,3.41e+08,3.41e+08,3.428e+09,1.688e+09,1.74e+09,2.735e+09,2.735e+09,7.99e+08,2.597e+09,2.38e+08,3.7e+07,1.842e+09,9.559e+09,2.5589e+10,3.4879e+10,-9.29e+09,1.0283e+10,3.732e+09,5.5e+08,7.36e+08,1.43e+09,3.153e+09,3.5872e+10,4.5431e+10,5.561e+09,2.014e+09,4.33e+08,3.114e+09,2.215e+09,2.215e+09,2.02e+08,2.02e+08,7.978e+09,2.002e+10,2.002e+10,6.884e+09,1.445e+09,3.132e+09,2.6904e+10,3.4882e+10,8.524e+09,8e+06,8.516e+09,-4.79e+08,1.019e+09,-2.575e+09,6.489e+09,4.06e+09,1.0549e+10,4.5431e+10,5.15e+08,3.6e+08,-1.4e+07,1.01e+08,-1.15e+08,-3.27e+08,-1.89e+08,-1.1e+07,2.66e+08,-3.93e+08,5.34e+08,-5.75e+08,-5.79e+08,6.3e+07,6.3e+07,-2.13e+08,-7.25e+08,6.8e+07,-2.81e+08,3.49e+08,-1.54e+08,5.03e+08,-3.1e+07,3.7e+07,-1.54e+08,9.9e+07,-5.5e+07,2.5e+07,-3e+07,1.345e+09,2.2235e+10,7.11e+08,0.23375,0.21478,0.07436,0.03233,0.00751,2.08504,1.19817,3.30666,0.48942,0.44517,0.43439,5.98695,8.47128,0.9282,0.0086,0.01792,13.9829,19.0934
"10","2012_Q3",8.67031746031746,"Down",4.089e+09,-3.396e+09,6.93e+08,-7.4e+07,-7.4e+07,-7.4e+07,6.19e+08,-4.04e+08,-3.02e+08,-3.84e+08,8.2e+07,-1.01e+08,-999999.999999985,2.15e+08,-13999999.9999999,-1.8e+07,4999999.99999997,2.01e+08,-7.5e+07,1.1e+07,1.37e+08,2.07e+08,-6.7e+07,1.4e+08,1.4e+08,2.61e+09,1.727e+09,8.83e+08,2.628e+09,2.628e+09,8.26e+08,2.253e+09,1.59e+08,0,1.661e+09,8.317e+09,2.5097e+10,3.4371e+10,-9.274e+09,9.335e+09,3.801e+09,5.07e+08,6.58e+08,1.392e+09,2.977e+09,3.4432e+10,4.2749e+10,4.741e+09,2.171e+09,3.2e+08,2.25e+09,2.298e+09,2.298e+09,0,0,7.039e+09,1.9428e+10,1.9428e+10,6.703e+09,1.354e+09,3.756e+09,2.6131e+10,3.317e+10,8.538e+09,8e+06,8.53e+09,-7.09e+08,1.159e+09,-2.865e+09,6.123e+09,3.456e+09,9.579e+09,4.2749e+10,2.07e+08,3.46e+08,-3.1e+07,-2.9e+07,-2000000.00000012,57999999.9999999,1.4e+07,-3.2e+07,-3.8e+07,1.14e+08,5.8e+08,-4.94e+08,-4.92e+08,2.56e+08,2.69e+08,6.11e+08,3.73e+08,-1.32e+08,-2.9e+07,-1.03e+08,-1.79e+08,7.6e+07,-5.36e+08,-8.99e+08,54000000.0000001,-2e+06,5.2e+07,-2.2e+07,3e+07,9.65e+08,2.1726e+10,6.04e+08,0.16948,0.15138,0.03424,0.01462,0.00327,4.31429,1.18156,3.46278,0.50822,0.18325,0.18229,5.35209,8.0144,0.79058,0.00368,0.01589,19.80933,30.88207
