"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.9339682539683,"Up",107421000,-83584000,-80656000,-2172000,23837000,809000,-561000,-621000,60000,24646000,24646000,-8853000,15793000,15793000,15793000,15793000,65593000,65593000,41642000,41642000,25061000,17081000,132296000,45159000,22319000,160866000,23755000,66040000,14238000,56833000,228344000,360640000,74614000,37287000,37327000,1139958352.0222,64020000,60934000,138634000,293900000,43060000,33865000,9195000,336960000,475594000,87601000,-872147000,669253000,339000,-114954000,-114954000,360640000,15793000,2172000,2121000,-13106000,6980000,-5024000,-4558000,-4558000,-1104000,-126000,-6254000,-10945000,-8288000,648000,-8936000,-2984000,-2258000,-2258000,-19000,-2277000,26009000,293900000,16732000,0.2219,0.14702,-0.13739,0.04379,1.05946,0.95428,-4.13725,0.81494,0.26537,0.26467,1.80497,-1.93155,0.28114,0.18391,0.12044,0.07537,0.69303,8.778,9.57784
"2","2010_Q3",21.3753125,"Down",149848000,-106241000,-103213000,-2220000,43607000,-1583000,-540000,-675000,135000,42024000,42024000,-15013000,27011000,27011000,27011000,27011000,70926000,70926000,50342000,50342000,28962000,20982000,150230000,48422000,20868000,170688000,22308000,66033000,14192000,68155000,239978000,390208000,90825000,42735000,48090000,291100000,59687000,57226000,441612000,0,45631000,33348000,12283000,45631000,487243000,89726000,-871211000,685300000,-850000.000000001,-97035000,-97035000,390208000,27011000,2220000,4665000,728000,34624000,-7691000,-7691000,-7691000,-1e+05,-7370000,-15161000,-10979000,361000,667000,-305999.999999998,-13455000,6008000,6008000,-675000,5333000,45827000,291100000,53877000,0.29101,0.18026,-0.27836,0.06922,1.99463,0.34019,-5.02131,0.74601,0.45829,0.45762,2.54243,-1.64636,0.91411,0.18628,0.15849,0.22477,0.40646,4.80446,5.04905
"3","2010_Q4",24.0625,"Up",183801000,-128924000,-126023000,-2078000,54877000,149000,-1703000,-1864000,161000,55026000,55026000,-14532000,40494000,40494000,40494000,40494000,79548000,79548000,53682000,53682000,31960000,23980000,165190000,52976000,22370000,162771000,21641000,66040000,16905000,58185000,238117000,403307000,96015000,40304000,55711000,6894000,73806000,71296000,176715000,251613000,50473000,34579000,15894000,302086000,478801000,90207000,-872999000,714843000,-7545000,-75494000,-75494000,403307000,40494000,2078000,-1359000,25422000,66635000,-5424000,-5424000,-5424000,-192000,4372000,-1244000,-10960000,-1923000,6000,-1929000,-58818000,6573000,6573000,2049000,8622000,56955000,258507000,91485000,0.29857,0.22031,-0.53639,0.1004,2.25922,0.93478,-6.34224,0.64097,0.68673,0.68594,3.11707,-1.2803,1.55149,0.18587,0.22037,0.39182,0.27066,3.14211,3.26109
"4","2011_Q1",24.7182258064516,"Up",155006000,-116565000,-113894000,-1872000,38441000,-1926000,-3328000,-3520000,192000,36515000,36515000,-12372000,24143000,24143000,24143000,24143000,91259000,91259000,47638000,47638000,24685000,24256000,163582000,55662000,23365000,169113000,20825000,66041000,24435000,57812000,248140000,411722000,94764000,41168000,53596000,620000,69874000,67322000,165258000,251554000,52981000,35707000,17274000,304535000,469793000,93370000,-872306000,728057000,-7192000,-58071000,-58071000,411722000,24143000,1872000,3261000,7420000,36696000,-6695000,-6695000,-6695000,-552000,-2249000,-9496000,-10924000,1095000,1136000,-41000,-15936000,11264000,11264000,447000,11711000,40313000,252174000,53410000,0.248,0.15576,-0.41575,0.05864,2.21224,0.98986,-8.08998,0.61249,0.40943,0.40865,2.62865,-0.98479,0.90575,0.18525,0.14192,0.21616,0.45247,3.99164,4.18603
"5","2011_Q2",23.1593650793651,"Down",115281000,-89602000,-86814000,-1955000,25679000,-3756000,-3014000,-3224000,210000,21923000,21923000,-6193000,15730000,15730000,15730000,15730000,76405000,76405000,48279000,48279000,23184000,22755000,147868000,54296000,24728000,185481000,19962000,66042000,24460000,75017000,264505000,412373000,74621000,38730000,35891000,507999.999999996,74612000,72039000,149741000,260007000,51655000,34660000,16995000,311662000,461403000,92617000,-867960000,732795000,-6482000,-49030000,-49030000,412373000,15730000,1955000,4628000,-27530000,-5217000,-1835000,-1835000,-1835000,-897000,-2855000,-5587000,-10950000,31000,2238000,-2207000,-4397000,-15201000,-15201000,347000,-14854000,27634000,260515000,4462000,0.22275,0.13645,-0.32082,0.03815,0.28366,0.98749,-9.41063,0.63175,0.26624,0.26557,1.95124,-0.82988,0.07552,0.18534,0.10139,0.01696,0.69612,6.66244,7.16967
"6","2011_Q3",19.5721875,"Down",165301000,-120179000,-117371000,-1948000,45122000,-3008000,-3046000,-3267000,221000,42114000,42114000,-14536000,27578000,27578000,27578000,27578000,90961000,90961000,58044000,58044000,22459000,22030000,171464000,53872000,24972000,190997000,19153000,66041000,24435000,81368000,269841000,441305000,100894000,46833000,54061000,516000,63591000,60898000,165001000,251981000,52265000,34969000,17296000,304246000,469247000,95681000,-867249000,749394000,-5768000,-27942000,-27942000,441305000,27578000,1948000,4068000,3674000.00000001,37268000,-3275000,-3275000,-3275000,-242000,-1228000,-4745000,-10972000,574000.000000001,894000,-320000.000000001,-18353000,14170000,14170000,386000,14556000,47070000,252497000,62005000,0.27297,0.16684,-0.98697,0.06249,2.24835,1.03917,-16.79361,0.57216,0.46551,0.46515,2.79022,-0.47165,1.04662,0.1852,0.13926,0.22399,0.39785,3.43182,3.57998
"7","2011_Q4",22.8207936507937,"Up",192321000,-129921000,-126948000,-2073000,62400000,-5434000,-2722000,-3228000,506000,56966000,56966000,-14664000,42302000,42302000,42302000,42302000,124734000,124734000,62009000,62009000,23014000,22585000,209757000,53504000,22017000,182643000,17913000,66021000,21580000,77129000,258164000,467921000,101743000,44529000,57214000,691000,79363000,76643000,181797000,252320000,48245000,33818000,14427000,300565000,482362000,99273000,-887815000,780821000,-6720000,-14441000,-14441000,467921000,42302000,2073000,8383000,21084000,73842000,-3019000,-3019000,-3019000,88000,-3568000,-6499000,-11001000,-21675000,594000,-22269000,-32690000,34653000,34653000,-880000,33773000,64473000,253011000,97202000,0.32446,0.21996,-2.9293,0.0904,2.29781,1.1538,-33.40226,0.54071,0.71477,0.71554,3.2496,-0.24401,1.6424,0.18588,0.18584,0.3389,0.26006,1.98962,2.05572
"8","2012_Q1",24.1696774193548,"Up",165890000,-127228000,-124307000,-2048000,38662000,-1608000,-2851000,-3220000,369000,37054000,37054000,-12268000,24786000,24786000,24786000,24786000,119151000,107057000,53012000,53012000,22633000,22633000,194796000,51992000,11678000,189223000,17255000,66005000,22665000,83298000,252893000,447689000,93348000,38389000,54959000,673000,90544000,68825000,184565000,252032000,36653000,20593000,16060000,288685000,473250000,103248000,-916955000,794947000,-6801000,-25561000,-25561000,447689000,24786000,2048000,8184000,-9541999.99999999,25476000,-1141000,-2795000,-2795000,-551000,-1806000,-3498000,-10824000,-28702000,119000,-28821000,-39630000,-17652000,-17652000,-25000,-17677000,40710000,252705000,42295000,0.23306,0.14941,-0.96968,0.05536,1.70641,1.05543,-18.51453,0.56447,0.42778,0.42663,2.86308,-0.44116,0.72997,0.18681,0.13499,0.16033,0.4367,3.28062,3.4544
"9","2012_Q2",24.7192063492063,"Up",129169000,-98104000,-95278000,-2017000,31065000,-832000,-2780000,-3117000,337000,30233000,30233000,-10236000,19997000,19997000,19997000,19997000,96553000,91312000,53290000,53290000,28635000,28635000,178478000,51309000,12625000,200820000,16395000,66013000,23549000,94863000,264754000,443232000,82878000,45128000,37750000,679000,92798000,70830000,176355000,257780000,35273000,19640000,15633000,293053000,469408000,101481000,-925763000,804260000,-6154000,-26176000,-26176000,443232000,19997000,2017000,1654000,-19256000,4412000,-3129000,-3129000,-3129000,-743000,2376000,-1496000,-10713000,-14465000,389000,-14854000,-19022000,-16106000,-16106000,361000,-15745000,33082000,258459000,20933000,0.2405,0.15481,-0.76394,0.04512,1.04681,1.01204,-17.93276,0.58312,0.34704,0.34644,2.24166,-0.45427,0.36328,0.18592,0.11478,0.07824,0.53573,4.89408,5.21185
"10","2012_Q3",27.4319047619048,"Up",173621000,-122031000,-119187000,-1977000,51590000,-3651000,-3146000,-3540000,394000,47939000,47939000,-16077000,31862000,31862000,31862000,31862000,490574000,485390000,62643000,62643000,30656000,30656000,583873000,50561000,12221000,211083000,15435000,65996000,22017000,107635000,273865000,857738000,94539000,45548000,48991000,683000,86518000,64422000,181740000,651717000,35524000,19482000,16042000,687241000,868981000,102299000,-932663000,825471000,-6350000,-11243000,-11243000,857738000,31862000,1977000,4018000,-6004000,31853000,-3107000,-3107000,-3107000,-226000,-4021000,-7354000,-10683000,-7263000,56000,-7319000,369497000,393996000,393996000,82000,394078000,53567000,652400000,60533000,0.29714,0.18351,-2.83394,0.03715,1.89985,3.21268,-77.29085,0.76061,0.55551,0.55453,3.02708,-0.19602,1.05539,0.18626,0.0628700000000001,0.08946,0.33529,3.021,3.13677
