"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",7.13078125,"Up",204443000,-142933000,61510000,-47096000,-47096000,14414000,-36000,-36000,14378000,14378000,-5282000,9096000,9096000,9096000,9096000,43312000,43312000,2596000,2596000,228233000,6508000,2977000,280649000,62608000,1286000,-65051.2829501107,1286000,63894000,344543000,77524000,58668000,18856000,77524000,18657000,4569000,14088000,18657000,96181000,67405000,-10536000,191493000,248362000,248362000,344543000,9096000,3437000,2193000,-8364000,6362000,-3770000,-3770000,81657.7606335872,145000,145000,15000,160000,2752000,2752000,2752000,17851000,0,10999000,0.30087,0.0705,0.04449,0.03662,0.0264,1.20921,3.62016,0.38726,0,0.2383,0.23219,5.35612,6.50673,0.28816,-0.00205229830574837,0.03406,0.04119,-0.0292867591166981,-2.42631,-3.00486
"2","2011_Q1",7.36532258064516,"Up",179895000,-125885000,54010000,-47019000,-47019000,6991000,24000,24000,7015000,7015000,-2655000,4360000,4360000,4360000,4360000,60193000,60193000,1550000,1550000,212929000,6682000,2407000,281354000,62391000,1400000,-39030.7697700664,1400000,63791000,345145000,70676000,55219000,15457000,70676000,20126000,4907000,14550000,20126000,90802000,68970000,-10480000,195853000,254343000,254343000,345145000,4360000,3483000,3430000,9797000,21070000,-4076000,-4076000,0,457000,178000,-570000,-113000,16881000,16881000,16881000,10474000,0,18850000,0.30023,0.03886,0.02424,0.0171400000000003,0.0126300000000004,4.32339,3.9809,0.35701,0,0.11423,0.1113,4.71299,6.66343,0.49384,0,0.0158899999999995,0.06868,0,-5.7469,-8.61007
"3","2011_Q2",7.78269841269841,"Up",198450000,-136690000,61760000,-45625000,-45625000,16135000,-33000,-33000,16102000,16102000,-6183000,9919000,9919000,9919000,9919000,69053000,69053000,1210000,1210000,218260000,7310000,3512000,295833000,64323000,1448000,-19515.3848850332,1448000,65771000,361604000,75064000,54920000,20144000,75064000,22413000,5579000,15707000,22413000,97477000,68203000,-9848000,205772000,264127000,264127000,361604000,9919000,3493000,3843000,-226000,17029000,-6868000,-6868000,-27219.2535445291,-2512000,118000,1211000,-1301000,8860000,8860000,8860000,19628000,0,18717000,0.31121,0.08131,0.04998,0.03755,0.02743,1.88698,3.94108,0.36905,0,0.25986,0.2532,5.19911,6.91975,0.49036,0.000684099435249455,0.03462,0.06532,0.00976225303889938,-3.51809,-4.2797
"4","2011_Q3",7.8315625,"Up",166672000,-120299000,46373000,-42259000,-42259000,4114000,-50000,-50000,4064000,4064000,-1349000,2715000,2715000,2715000,2715000,44096000,44096000,2889000,2889000,258069000,9201000,5894000,314255000,66660000,1177000,-6505.12829501107,1177000,67837000,382092000,90298000,76293000,14005000,90298000,23961000,5685000,16579000,23961000,114259000,68528000,-9182000,208487000,267833000,267833000,382092000,2715000,3565000,2707000,-29145000,-20158000,-5293000,-5193000,0,329000,336000,65000,394000,-24957000,-24957000,-24957000,7679000,-5.29395592033938e-23,-25410000,0.27823,0.02468,0.01629,0.0101400000000021,0.00711000000000011,-9.35912,3.4802,0.42661,-1.97215226305253e-31,0.06959,0.06886,4.27189,6.8647,-0.65127,0,0.00929999999999755,-0.0870800000000001,0,-5.74241,-10.71852
"5","2011_Q4",6.96634920634921,"Down",-364541406,256581694,-107959712,87747840,87747840,-20211872,82866,82866,-20129006,-20129006,7518113,-12610893,-12610893,-12610893,-12610893,52997,52997,3029,3029,245131,6494,3664,307651,67899,1252,0,1252,69151,376802,70810,54088,16722,70810,25584,5791,18227,25584,96394,68643,-7195,218960,280408,280408,376802,-12610893,-7047263,-6541011,29338272,3139105,12143211,12043311,0,2184751,-452249,-1277363,907388,16089804,16089804,16089804,-27259135,0,6704235,0.29615,0.05544,0.03459,-44.97337,-33.46822,-0.53162,4.34474,0.34376,0,-0.32384,-0.32079,-9.36114,0.0072,0.17216,0,-41.21315,21.90984,0,0.00194,0.00262
"6","2012_Q1",7.44967741935484,"Up",761953406,-537273694,224679712,-182579840,-182579840,42099872,-186866,-186866,41913006,41913006,-15554113,26358893,26358893,26358893,26358893,70602000,70602000,2621000,2621000,237655000,5383000,2887000,316261000,69232000,1069000,0,1069000,70301000,386562000,75760000,61238000,14522000,75760000,27118000,6054000,19134000,27118000,102878000,67779000,-6330000,222235000,283684000,283684000,386562000,26358893,14439263,10925011,-20858272,30864895,-21237211,-21137311,2.91038304567337e-11,2652249,2652249,-1963637,688612,10416196,10416196,10416196,56539135,8.470329472543e-22,29997765,0.29487,0.05525,0.03459,0.0929200000000137,0.0681900000000013,1.13805,4.17451,0.36265,0,0.66959,0.66536,19.35562,7.20632,0.76202,-4.33680868994202e-19,0.0848099999999974,0.0965200000000017,0,-1.24873,-1.67701
"7","2012_Q2",8.61793650793651,"Up",222613000,-154074000,68539000,-50562000,-50562000,17977000,-52000,-52000,17925000,17925000,-6905000,11020000,11020000,11020000,11020000,92291000,92291000,4197000,4197000,243260000,6606000,4044000,346354000,72168000,1005000,0,1005000,73173000,419527000,92432000,68654000,23778000,92432000,29884000,6575000,21928000,29884000,122316000,64780000,-824000,233255000,297211000,297211000,419527000,11020000,3831000,3147000,10706000,28704000,-8545000,-8545000,0,1097000,1097000,433000,1530000,21689000,21689000,21689000,21808000,0,30874000,0.30788,0.08075,0.0495,0.03708,0.02627,2.80163,3.74712,0.41155,0,0.27716,0.2759,5.59892,7.47513,0.77651,0,0.03369,0.09439,0,-4.23198,-5.13384
"8","2012_Q3",9.61952380952381,"Up",182207000,-129878000,52329000,-47637000,-47637000,4692000,-57000,-57000,4635000,4635000,-1776000,2859000,2859000,2859000,2859000,52895000,52895000,1679000,1679000,294387000,8548000,5567000,357509000,75670000,859000,1.81898940354586e-12,859000,76529000,434038000,102678000,86254000,16424000,102678000,29432000,6718000,22430000,29432000,132110000,66921000,-84000.0000000009,235091000,301928000,301928000,434038000,2859000,3932000,1573000,-39797000,-31433000,-7826000,-7626000,-1023000,565000,565000,121000,-337000,-39396000,-39396000,-39396000,8624000,1.35525271560688e-20,-37223000,0.2872,0.02575,0.01569,0.00947000000000076,0.00658999999999897,-13.01959,3.48185,0.43755,-2.52435489670724e-29,0.07171,0.0714400000000001,4.57026,7.57319,-0.93366,0.02566,0.0117200000000004,-0.112330000000002,0.35782,-6.13346,-11.27344
"9","2012_Q4",9.46838709677419,"Down",244434000,-167999000,76435000,-55875000,-55875000,20560000,-65000,-65000,20495000,20495000,-8247000,12248000,12248000,12248000,12248000,67134000,67134000,3174000,3174000,277418000,7936000,4675000,355662000,76907000,1033000,153000,880000,77940000,433602000,91154000,66326000,24828000,91154000,29814000,5957000,23857000,29814000,120968000,66781000,-464000,246317000,312634000,312634000,433602000,12248000,4037000,432000,4189000,20906000,-4473000,-4473000,-1022000,-1372000,487000,2e+05,-2194000,14239000,14239000,14239000,24597000,0,32560000,0.3127,0.08411,0.05011,0.03918,0.02825,2.65839,3.90177,0.38693,0,0.30694,0.30609,6.12555,7.83465,0.81596,0.02561,0.03875,0.09508,0.08344,-2.72936,-3.26527
"10","2013_Q1",9.15183333333333,"Down",205744000,-145570000,60174000,-54909000,-54909000,5265000,-67000,-67000,5198000,5198000,-1987000,3211000,3211000,3211000,3211000,45756000,45756000,2152000,2152000,272282000,7832000,4918000,328022000,77364000,1810000,999000,811000,79174000,407196000,82021000,65026000,16995000,82021000,32807000,6412000,26395000,32807000,114828000,66738000,-2483000,228113000,292368000,292368000,407196000,3211000,4155000,2801000,-2493999.99999999,7672999.99999999,-5133000,-5133000,-21415000,-2545000,271000,42000,-23918000,-21378000,-21378000,-21378000,9420000,-2.16840434497101e-19,3780000,0.29247,0.02559,0.01561,0.01098,0.00789000000000007,1.1772,3.99924,0.39275,4.03896783473158e-28,0.08077,0.08068,5.17517,7.35406,0.09508,0.53866,0.0757300000000001,0.0116200000000001,6.66926,-4.85732,-8.6906
"11","2013_Q2",9.87703125,"Up",232287000,-163674000,68613000,-53367000,-53367000,15246000,-48000,-48000,15198000,15198000,-5679000,9519000,9519000,9519000,9519000,34122000,34122000,2525000,2525000,276358000,12971000,10012000,325976000,80154000,2208000,1353000,855000,82362000,408338000,73170000,53037000,20133000,73170000,34260000,7101000,27159000,34260000,107430000,64504000,0,236404000,300908000,300908000,408338000,9519000,4118000,1859000,-18285000,-2789000,-6935000,-6935000,-1216000,66000,66000,-760000,-1910000,-11634000,-11634000,-11634000,19364000,0,-177000,0.29538,0.06563,0.04098,0.03163,0.02331,-0.01859,4.45505,0.35702,0,0.23945,0.23921,5.84311,7.56925,-0.00445,0.03059,0.03203,-0.00053,0.12774,-1.76214,-2.2381
"12","2013_Q3",11.79671875,"Up",216417000,-153906000,62511000,-52953000,-52953000,9558000,-38000,-38000,9520000,9520000,-3682000,5838000,5838000,5838000,5838000,37790000,37790000,2459000,2459000,321059000,9153000,6655000,370461000,84765000,2448000,1866000,582000,87213000,457674000,114721000,94733000,19988000,114721000,36490000,7496000,28994000,36490000,151211000,65450000,0,241013000,306463000,306463000,457674000,5838000,4302000,2999000,-109000.000000007,13030000,-8494000,-8294000,-1217000,118000,118000,31000,-1068000,3668000,3668000,3668000,13860000,0,8939000,0.28885,0.04416,0.02698,0.01905,0.01276,1.53118,3.22923,0.49341,-6.46234853557053e-27,0.14642,0.14626,5.42779,7.68617,0.22419,0.0305200000000001,0.02057,0.02606,0.20846,-2.72655,-3.95376
"13","2013_Q4",12.23234375,"Up",235770000,-164759000,71011000,-53196000,-53196000,17815000,-38000,-38000,17777000,17777000,-6861000,10916000,10916000,10916000,10916000,33562000,33562000,3251000,3251000,299122000,6649000,4855000,342584000,89905000,3058000,2383000,675000,92963000,435547000,79758000,60526000,19232000,79758000,38876000,7959000,30917000,38876000,118634000,66214000,0,250699000,316913000,316913000,435547000,10916000,4428000,3448000,-12049000,6743000,-9791000,-9791000,-1217000,42000,42000,-5000,-1180000,-4228000,-4228000,-4228000,22243000,0,7264000,0.30119,0.07556,0.0463,0.03444,0.02506,0.66545,4.29529,0.37434,0,0.27371,0.27341,5.91169,7.94627,0.18214,0.03052,0.0341,0.02042,0.11149,-1.50888,-1.88392
"14","2014_Q1",11.4404918032787,"Down",200311000,-143129000,57182000,-56134000,-56134000,1048000,-37000,-37000,1011000,1011000,-413000,598000,598000,598000,598000,48253000,48253000,4337000,4337000,284801000,5124000,3916000,342515000,90193000,4143000,3426000,717000,94336000,436851000,77659000,62671000,14988000,77659000,42320000,8232000,34088000,42320000,119979000,66805000,-3000.00000000003,250070000,316872000,316872000,436851000,598000,4580000,3965000,12493000,21636000,-5746000,-5746000,-1217000,52000.0000000001,52000,-34000,-1199000,14691000,14691000,14691000,5628000,-2.77555756156289e-17,12788000,0.28547,0.00523,0.00298999999999999,0.00189,0.00137,21.38462,4.4105,0.37864,-1.03397576569128e-25,0.0149900000000001,0.01497,5.02033,7.94165,0.3205,0.0305,0.00505,0.0356,2.03512,-8.57374,-46.04294
"15","2014_Q2",9.61920634920635,"Down",235770000,-166188000,69582000,-54373000,-54373000,15209000,-36000,-36000,15173000,15173000,-6022000,9151000,9151000,9151000,9151000,41254000,41254000,2848000,2848000,289644000,12432000,11403000,346178000,93524000,5970000,5287000,683000,99494000,445672000,76316000,54231000,22085000,76316000,43672000,8759000,34913000,43672000,119988000,67704000,0,257980000,325684000,325684000,445672000,9151000,4646000,305000,-11220000,2882000,-8794000,-8794000,-1219000,96000,96000,36000,-1087000,-6999000,-6999000,-6999000,19855000,0,5863000,0.29513,0.06451,0.03881,0.0281,0.02053,0.6407,4.53611,0.36842,0,0.22923,0.22903,5.90606,8.15842,0.14687,0.03054,0.02808,0.01587,0.13321,-2.07776,-2.71247
"16","2014_Q3",8.8,"Down",222073000,-159854000,62219000,-57955000,-57955000,4264000,-38000,-38000,4226000,4226000,-1642000,2584000,2584000,2584000,2584000,32686000,32686000,3808000,3808000,337648000,13728000,12876000,387870000,100648000,7596000,7164000,432000,108244000,496114000,125117000,105721000,19396000,125117000,45848000,9105000,36743000,45848000,170965000,68536000,-2721000,259334000,325149000,325149000,496114000,2584000,4872000,1410000,-2577000,6289000,-10936000,-10686000,-1211000,-2941000,59000,-19000,-4171000,-8568000,-8568000,-8568000,9136000,-4.44089209850063e-16,-2735000,0.28017,0.0192,0.01164,0.00795000000000001,0.00521,-1.05844,3.10006,0.52581,-8.27180612553028e-25,0.0650700000000001,0.06503,5.59209,8.18768,-0.06887,0.03049,0.01023,-0.00737,0.46865,-3.57771,-7.66557
"17","2014_Q4",9.36953125,"Up",254687000,-177922000,76765000,-58973000,-58973000,17792000,-39000,-39000,17753000,17753000,-6936000,10817000,10817000,10817000,10817000,29089000,29089000,2954000,2954000,317865000,5536000,4742000,355444000,101362000,8469000,8085000,384000,109831000,465275000,87996000,70831000,17165000,87996000,48567000,9616000,38951000,48567000,136563000,66978000,-7195000,268929000,328712000,328712000,465275000,10817000,5195000,457000,-7413000,9056000,-6967000,-6967000,-1201000,-4485000,48000,0,-5686000,-3597000,-3597000,-3597000,22987000,0,15543000,0.30141,0.06986,0.04247,0.03291,0.02325,1.4369,4.03932,0.41545,0,0.27432,0.27411,6.45889,8.33617,0.39417,0.03046,0.03185,0.0412,0.11103,-1.26545,-1.63495
"18","2015_Q1",11.3301639344262,"Up",227632000,-162519000,65113000,-60525000,-60525000,4588000,-38000,-38000,4550000,4550000,-1575000,2975000,2975000,2975000,2975000,61376000,61376000,2928000,2928000,287877000,6948000,5991000,359129000,101294000,4593000,4227000,366000,105887000,465016000,83122000,67999000,15123000,83122000,50696000,9901000,40795000,50696000,133818000,67596000,-7084000,270686000,331198000,331198000,465016000,2975000,5350000,6683000,24419000,39427000,-6010000,-6010000,-1197000,84000,84000,-17000,-1130000,32287000,32287000,32287000,9938000,0,29922000,0.28605,0.02016,0.01307,0.00898000000000001,0.0064,10.05782,4.3205,0.40404,0,0.07599,0.07594,5.81406,8.45929,0.76425,0.03057,0.01092,0.07835,0.40235,-6.17589,-13.37751
"19","2015_Q2",12.8133333333333,"Up",252767000,-178078000,74689000,-57659000,-57659000,17030000,-39000,-39000,16991000,16991000,-6595000,10396000,10396000,10396000,10396000,69754000,69754000,2441000,2441000,295248000,13931000,12915000,381374000,103107000,6147000,5781000,366000,109254000,490628000,97565000,76375000,21190000,97565000,51800000,10605000,41195000,51800000,149365000,64876000,-3468000,279855000,341263000,341263000,490628000,10396000,5574000,273000,608000,16851000,-7342000,-7342000,-1199000,56000,56000,12000,-1131000,8378000,8378000,8378000,22604000,0,22465000,0.29549,0.06737,0.04113,0.03046,0.02119,2.16093,3.90892,0.43768,0,0.26537,0.26519,6.45209,8.71102,0.57344,0.03061,0.0295,0.05715,0.11533,-3.08591,-4.09595
"20","2015_Q3",12.22640625,"Down",227822000,-161548000,66274000,-58397000,-58397000,7877000,-11000,-11000,7866000,7866000,-3049000,4817000,4817000,4817000,4817000,39503000,39503000,2449000,2449000,349037000,10247000,9093000,401236000,105817000,7384000,7003000,381000,113201000,514437000,116674000,95934000,20740000,116674000,52231000,10313000,41918000,52231000,168905000,65424000,-3241000,283349000,345532000,345532000,514437000,4817000,5804000,-248000,-30285000,-19912000,-9337000,-9087000,-1298000,72000.0000000005,72000,-26000,-1252000,-30251000,-30251000,-30251000,13681000,0,-22892000,0.2909,0.03458,0.02114,0.01394,0.00936,-4.75234,3.43895,0.48883,-2.11758236813575e-22,0.12293,0.12284,5.81416,8.81819,-0.58422,0.03313,0.01537,-0.05755,0.26946,-2.88744,-5.01498
"21","2015_Q4",10.20296875,"Down",269713000,-188396000,81317000,-66144000,-66144000,15173000,-40000,-40000,15133000,15133000,-5747000,9386000,9386000,9386000,9386000,49035000,49035000,2665000,2665000,318878000,6847000,5611000,377425000,106374000,6003000,5655000,348000,112377000,489802000,93135000,75006000,18129000,93135000,52132000,9892000,42240000,52132000,145267000,66013000,-12897000,291419000,344535000,344535000,489802000,9386000,5754000,2340000,8886000,26366000,-5634000,-5634000,-1285000,-9974000,207000,59000,-11200000,9532000,9532000,9532000,20927000,0,29926000,0.30149,0.05626,0.0348,0.02724,0.01916,3.18837,4.05245,0.42163,0,0.24133,0.24127,6.93492,8.85876,0.76946,0.03304,0.0269,0.07544,0.13691,-2.34315,-3.23173
"22","2016_Q1",10.9647540983607,"Up",233666000,-165430000,68236000,-61683000,-61683000,6553000,-39000,-39000,6514000,6514000,-2346000,4168000,4168000,4168000,4168000,68814000,68814000,2131000,2131000,292878000,6254000,5193000,370077000,103386000,7630000,7158000,472000,111016000,481093000,87934000,72086000,15848000,87934000,53357000,9612000,43745000,53357000,141291000,67011000,-21517000,294308000,339802000,339802000,481093000,4168000,5946000,1505000,23631000,35250000,-5588000,-5588000,-1255000,-8587000,56000,-41000,-9883000,19779000,19779000,19779000,12499000,0,32888000,0.29202,0.02804,0.01784,0.01227,0.00866,7.8906,4.20858,0.4158,0,0.10944,0.1094,6.13554,8.92243,0.86356,0.03295,0.01379,0.08365,0.3011,-5.50556,-10.50114
