"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",4.71290322580645,"Up",18463686,-11297106,7166580,-5866184,-6028034,-146815,308665,1300396,-160455,-158041,-158047,-2414,1139941,1805995,-454512,1351483,1351483,1473689,1473689,2522058,2522058,10659623,10659623,14422787,3062542,332475,606435,30667010,13125114,1498642,695580,176930,14623756,45290766,7584766,5339941,2244825,177350,7762116,8191785,1756803,1756803,9948588,17710704,5987777,21869667,27857444,27580062,45290766,1351483,775072,168085,-1014127,1280513,-140633,-140633,-453649,-27296,-675891,463989,463989,463989,2075468,8369135,1375220,0.38814,0.07043,0.07982,0.05343,0.03254,0.93318,3.95086,0.64216,0.18479,0.24501,0.24501,3.06974,4.63153,0.22864,0.03908,0.03647,2.81723,4.49638
"2","2011_Q2",4.12047619047619,"Down",17712784,-11287944,6424840,-5927497,-5980919,-107702,161124,497343,-118874,-149957,-149957,31083,378469,378469,-39309,339160,339160,402311,402311,1400552.0898224,1400552.0898224,8457812.70351871,8457812.70351871,14800561.8999524,3308838.4932459,639503.775808086,613609.759612152,27967765.1865394,12700216.6562427,2388626.33860916,687756.084517435,635933.12439201,15088842.9948518,43056608.1813912,4476248.44429356,3814666.7477746,661581.696518961,181151.540986946,4657399.98526261,8143992.70379493,3221060.05110641,3221011.43438416,11365052.7549013,16022452.7401639,6069553.16109256,21279603.1047209,27349156.2658134,27034155.4412273,43056608.1813912,339160,691593,119649,508,1150910,-274596,-274596,-742283,-187897,-1023956,-147642,-147642,-147642,1188936,0,954157,0.36272,0.02808,0.02271,0.0154641616251982,0.00946911881465488,2.37169,5.28419274086338,0.593559515808264,0.193030277738733,0.06689,0.06689,2.9449,4.42610084187392,0.15864,0.0120024779831345,-0.109756914619078,8.60949696173921,25.8575200542275
"3","2011_Q3",3.55640625,"Down",17184460,-11241320,5943140,-5950494,-6079848,-107702,237056,-7354,-172490,-178615,-181423,6125,-179844,-179844,43333,-136511,-136511,-89843,-89843,1098760.5898224,1098760.5898224,8742211.00351871,8742211.00351871,15185897.8999524,3330201.1932459,619923.475808086,596414.659612152,28357070.6865394,12589307.9562427,2199612.13860916,567706.584517435,634059.224392009,14788920.0948518,43145990.7813912,4821014.24429356,3992942.3477746,828071.896518961,184551.640986946,5005565.88526261,8096309.30379493,3007318.45110641,3007269.83438416,11103627.7549013,16109193.6401639,6276135.16109256,21130360.1047209,27406495.2658134,27036797.1412273,43145990.7813912,-136511,713276,168645,-859031,-113621,-351612,-351612,-45722,19716,-554472,-1019705,-1019705,-1019705,705922,0,-548054,0.34584,-0.00043,-0.00523,0.00231216162519824,0.00145611881465488,6.10013,5.15349374086338,0.596530515808264,0.191673277738733,-0.01425,-0.01425,2.72523,4.36981784187392,-0.08691,0.0029504779831345,-0.0981939146190784,8.95044696173921,26.2405670542275
"4","2011_Q4",3.1584126984127,"Down",18775145,-12266021,6509124,-6088596,-6227606,-107701,246711,420528,-168418,-145856,-145856,-22562,252110,252110,-178281,73829,73829,117809,117809,1190058,1190058,10155767,10155767,15675231,3227919,457860,559358,30248975,12607977,1486196,408399,392185,14094173,44343148,6755573,4916061,1839512,187772,6943345,8048372,1975943,1975943,10024315,16967660,6542163,21264506,27806669,27375488,44343148,73829,630931,360556,-1137080,-71764,-615927,-615927,955014,-19035,523038,-164653,-164653,-164653,1051459,8236144,-523267,0.34669,0.0224,0.00627,0.0043,0.00266,-4.44166,4.35654,0.61981,0.18574,0.01868,0.01868,2.97749,4.40977,-0.08298,0.00484,-0.01392,6.70125,16.75533
"5","2012_Q1",3.23,"Up",19667202,-12253085,7414117,-6849883,-6880520,-107702,138339,564234,-159218,-145742,-147593,-13476,405016,405016,-223995,181021,181021,236039,236039,1091513,1091513,10797820,10797820,16497185,3136673,374028,510714,31523191,12544465,877558,295843,154945,13422023,44945214,8006332,5426467,2579865,190593,8196925,8000311,1025003,1025003,9025314,17222239,6771565,21437609,28209174,27722975,44945214,181021,652350,267193,285295,1385859,-245989,-245989,-1155603,-19755,-1238415,-98545,-98545,-98545,1216584,8190904,1479885,0.37698,0.02869,0.012,0.00851,0.00525,6.26966,3.84573,0.62123,0.18224,0.03745,0.03745,3.12079,4.47622,0.23483,0.0081,0.04006,5.83551,12.58235
"6","2012_Q2",3.14412698412698,"Down",17334015,-11183961,6150054,-5812701,-5964852,-33375,185526,337353,-144892,-143701,-143701,-1191,192461,192461,-39756,152705,152705,192444,192444,454653,454653,9583124,9583124,17682102,3141056,534259,453108,30860935,12228035,891003,296485,131337,13119038,43979973,6914852,4664878,2249974,193457,7108309,7951517,996011,996011,8947528,16055837,6914337,21535737,28450074,27924136,43979973,152705,550862,266032,-1145254,-175655,-241268,-241268,-45930,-111071,-219937,-636860,-636860,-636860,888215,8144974,-458551,0.3548,0.01946,0.0111,0.00689,0.00438,-2.38278,4.34153,0.57498,0.1852,0.03061,0.03061,2.75679,4.52467,-0.0729300000000001,0.00689,-0.01237,8.65818,22.79607
"7","2012_Q3",3.92412698412698,"Up",22051197,-13190303,8860894,-7341805,-7410169,-33376,101740,1519089,-141657,-140228,-148644,-1429,1377432,1377432,-470228,907204,907204,948925,948925,1031350,1031350,12389285,12389285,17942061,2860880,510726,344904,34223576,11941040,854985,272694,125880,12796025,47019601,8010119,5022796,2987323,197628,8207747,7899400,1783445,1783445,9682845,17890592,7312537,22384131,29696668,29129009,47019601,907204,573095,228687,-1431846,277140,-276750,-276750,702054,-31431,576307,576697,576697,576697,2092184,8097028,853816,0.40183,0.06889,0.04303,0.03258,0.02018,0.89977,4.16967,0.61418,0.17221,0.1485,0.1485,3.45087,4.64734,0.13362,0.02674,0.02189,3.37718,4.65126
"8","2012_Q4",3.97112903225806,"Up",22003689,-13216736,8786953,-6909767,-6898381,-33815,22429,1877186,-144534,-143541,-143541,-993,1732652,1732652,-554278,1178374,1178374,1173428,1173428,1206054,1206054,13359323,13359323,19031861,2736536,407448,258528,36333774,11662235,1011869,259369,225307,12674104,49007878,8936814,5629248,3307566,200565,9137379,7847799,2335764,2335764,10183563,19320942,7667230,22582419,30249649,29686936,49007878,1178374,513238,218511,-916144,993979,-320381,-320381,501336,-23836,-498894,174704,174704,174704,2390424,8048364,1708177,0.39934,0.08531,0.05333,0.03953,0.02394,1.45572,3.97639,0.65082,0.16423,0.17593,0.17593,3.29896,4.53526,0.2561,0.03179,0.04263,2.86238,3.64498
"9","2013_Q1",3.871,"Down",22134429,-14379244,7755185,-7071002,-7026846,-33635,-10521,684183,-103193,-122775,-122775,19582,580990,580990,-193073,387917,387917,434520,434520,591038,591038,12601402,12601402,18464019,3108206,484406,216212,34764665,11648166,1349514,245956,589741,12997680,47762345,7679022,4191633,3487389,247739,7926761,7755680,2044862,2044862,9800542,17727303,8024544,22619814,30644358,30035042,47762345,387917,543905,161619,-204296,889145,-712924,-712924,-344945,-46217,-791237,-615016,-615016,-615016,1228088,8003419,503941,0.35037,0.03091,0.01963,0.01447,0.0091,1.15976,4.38573,0.59022,0.16757,0.0671,0.0671,3.41813,4.73229,0.07782,0.01332,0.01257,6.03571,10.83392
"10","2013_Q2",4.05828125,"Up",17295453,-10771514,6523939,-6260176,-6188635,-23224,-48317,263763,-112269,-107598,-107598,-4671,151494,151494,-40262,111232,111232,129820,129820,506332,506332,9208351,9208351,19459813,2819598,510519,101301,31994094,12496095,1788359,258962,790960,14284454,46278548,5701412,4312693,1388719,250439,5951851,7692748,3067345,3019089,10760093,16711944,8114396,22080112,30194508,29566604,46278548,111232,495112,332369,573796,1512509,-1524188,-1524188,939768,-246946,-73027,-84706,-84706,-84706,758875,7943187,-151255,0.37721,0.01525,0.00751,0.00439,0.00281,-1.16511,5.37549,0.56523,0.17164,0.02058,0.02058,2.74121,4.78562,-0.02397,0.00868,-0.00373,9.79984,28.19522
