"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",5.028125,"Up",25073000,-15475000,9598000,-10806000,-7652000,-2550000,-604000,-1208000,4332000,4332000,3124000,3023000,-1070000,1953000,1953000,1865000,1865000,52001000,15594000,36407000,16848000,2704000,1220000,89396000,14702000,21289000,6399000,161000,1729000,35991000,125387000,13161000,7142000,6019000,13161000,2782000,2782000,2782000,15943000,140495000,-31194000,143000,109444000,109444000,125387000,1865000,1283000,1656000,-2155000,2649000,-598000,-24762000,21951000,-3409000,-646000,380000,380000,-919000,-1185000,-1945000,-1945000,-1945000,75000,0,-1608000,0.3828,-0.04818,0.07438,0.01704,0.01487,-0.8622,6.79249,0.14567,0,0.10546,0.10413,1.41784,6.18887,-0.09093,0.03653,0.02237,-0.01433,0.34638,-693.34667,43.04719
"12","2013_Q3",6.3228125,"Up",26745000,-16197000,10548000,-10167000,-6879000,-2683000,-605000,381000,57000.0000000009,57000.0000000009,438000,314000,-128000,185999.999999998,185999.999999998,164999.999999998,164999.999999998,51481000,18330000,33151000,16108000,2648000,1164000,88574000,14671000,20672000,5795000,161000,1727000,35343000,123917000,11503000,5752000,5751000,11503000,2781000,2781000,2781000,14284000,141140000,-31675000,168000,109633000,109633000,123917000,274000,1271000,1235000,-1515000,1265000,-682000,-14068000,17324000,2574000,-643000,-432000,2999.99999999988,-24000.0000000001,-1099000,2740000,2724000,2724000,1652000,0,-417000,0.39439,0.01425,0.00617000000000006,0.00150999999999998,0.00133,-2.52727,7.70008,0.13029,0,0.00926999999999994,0.00913000000000003,1.50337,6.16262,-0.02344,0.03614,0.00718999999999999,-0.00371,3.89697,-31.1628300000001,-135.12073
"13","2013_Q4",6.67515625,"Up",26472000,-15701000,10771000,-9814000,-6489000,-2730000,-595000,957000,389000,389000,1346000,1317000,-566000,751000,751000,751000,751000,54936000,17420000,37516000,15238000,2788000,1304000,90237000,14619000,19597000,5199000,161000,1796000,34216000,124453000,10419000,3842000,6577000,10419000,2905000,2905000,2905000,13324000,142515000,-31570000,184000,111129000,111129000,124453000,751000,1256000,1475000,772000,4254000,-649000,-21906000,17541000,-5014000,-644000,528000,528000,-52000,-168000,-928000,-928000,-928000,2213000,0,2902000,0.40688,0.03615,0.02837,0.00676,0.00603,3.86418,8.66081,0.1199,0,0.04209,0.04092,1.48377,6.22885,0.16266,0.0361,0.01223,0.02545,0.85752,-24.82422,-57.40439
"14","2014_Q1",6.13098360655738,"Down",25963000,-15120000,10843000,-10421000,-6724000,-3101000,-596000,422000,6e+05,6e+05,1022000,1020000,-568000,452000,452000,470000,470000,57895000,21790000,36105000,14535000,4795000,3166000,95828000,14971000,16633000,4604000,161000,41000.0000000002,31604000,127432000,12243000,4440000,7803000,12243000,3137000,3137000,3137000,15380000,143591000,-31748000,209000,112052000,112052000,127432000,452000,1260000,1298000,1323000,4333000,-1027000,-11274000,12685000,383999.999999999,-646000,355000,355000,-103000,-394000,4323000,4323000,4323000,1682000,0,2546000,0.41763,0.01625,0.0181,0.00419,0.00369,5.41702,7.82717,0.13726,0,0.0263,0.02555,1.45264,6.26934,0.14245,0.03614,0.00969,0.0221,1.37447,-34.42033,-137.19194
"15","2014_Q2",5.6284126984127,"Down",23656000,-14074000,9582000,-10004000,-6188000,-3242000,-574000,-422000,197000,197000,-225000,-225000,79000,-146000,-146000,-146000,-146000,56169000,16475000,39694000,15961000,3293000,1664000,92964000,14892000,16146000,4031000,161000,39000,31038000,124002000,11492000,4244000,7248000,11492000,1226000,1226000,1226000,12718000,143761000,-32635000,158000,111284000,111284000,124002000,-146000,1240000,667000,-1568000,193000,-620000,-18582000,14993000,-4209000,-739000,404000,404000,-987000,-1322000,-5338000,-5338000,-5338000,818000,0,-1449000,0.40506,-0.01784,-0.00617,-0.00131,-0.00118,9.92466,8.08945,0.11428,0,-0.00803,-0.00803,1.3015,6.12258,-0.07972,0.04066,0.00527,-0.01288,-5.06164,-68.66626,133.1019
"16","2014_Q3",5.578125,"Down",26181000,-15331000,10850000,-10305000,-6772000,-3069000,-464000,545000,334000,334000,879000,879000,-334000,545000,545000,545000,545000,53894000,14123000,39771000,16862000,2971000,1342000,93980000,14961000,15456000,3566000,161000,37000,30417000,124397000,12461000,4473000,7988000,12461000,1345000,1345000,1345000,13806000,143262000,-32835000,164000,110591000,110591000,124397000,545000,1161000,1321000,-2352000,675000,-610000,-15502000,15425000,-687000,-743000,-1562000,90000.0000000001,-35000,-2340000,-2352000,-2352000,-2352000,1706000,0,-922000,0.41442,0.02082,0.02082,0.00493,0.00438,-1.69174,7.54193,0.12484,0,0.03,0.0298,1.44129,6.08814,-0.05076,0.0409,0.01151,-0.00824,1.3633,-31.59086,-98.8880699999999
"17","2014_Q4",5.74140625,"Up",27932000,-16538000,11394000,-9298000,-6174000,-2659000,-465000,2096000,207000,207000,2303000,2303000,-85000,2218000,2218000,2218000,2218000,58891000,19345000,39546000,16367000,3747000,1444000,99241000,14898000,13987000,3102000,161000,39000,28885000,128126000,13931000,5436000,8495000,13931000,551000,551000,551000,14482000,144823000,-31355000,176000,113644000,113644000,128126000,2218000,1188000,1067000,1112000,5585000,-654000,-20589000,20814000,-429000,-736000,345000,345000,483000,92000,5248000,5248000,5248000,3284000,0,3827000,0.40792,0.07504,0.07941,0.01952,0.01731,1.72543,7.12375,0.12743,0,0.12246,0.12139,1.54218,6.27451,0.2113,0.04064,0.02587,0.03351,0.33183,-17.9327,-28.09685
"18","2015_Q1",6.07655737704918,"Up",29395000,-17634000,11761000,-9876000,-6646000,-2766000,-464000,1885000,928000,928000,2813000,2813000,-818000,1995000,1995000,1995000,1995000,60009000,20432000,39577000,16358000,4038000,1757000,104279000,14842000,12548000,2637000,161000,40000,27390000,131669000,15706000,5495000,10211000,15706000,448000,448000,448000,16154000,145481000,-30101000,135000,115515000,115515000,131669000,1995000,1217000,1896000,-2548000,2560000,-658000,-3956000,3925000,-689000,-739000,253000,253000,-295000,-781000,1090000,1090000,1090000,3102000,0,714000,0.4001,0.06413,0.06787,0.01727,0.01515,0.357890000000002,6.63944,0.13984,0,0.10972,0.10602,1.61662,6.35291,0.03927,0.04064,0.02358,0.00615999999999999,0.37043,-19.34526,-31.83501
"19","2015_Q2",5.46587301587302,"Down",26326000,-16137000,10189000,-10285000,-6893000,-2738000,-654000,-96000,44000,44000,-52000,-52000,19000,-33000,-33000,-33000,-33000,38858000,7917000,30941000,17704000,4422000,2121000,85302000,14655000,28390000,16025000,2617000,38000,43045000,128347000,12713000,5895000,6818000,12713000,437000,437000,437000,13150000,146129000,-31063000,131000,115197000,115197000,128347000,-33000,1398000,481000,-1334000,512000,-364000,-2430000,11066000,-12228000,-929000,543000,543000,-396000,-782000,-12498000,-12498000,-12498000,1302000,0,-415000,0.38703,-0.00365,-0.00125,-0.00029,-0.00026,12.57576,6.70982,0.11415,0,-0.0018,-0.0018,1.43764,6.29079,-0.02266,0.05073,0.00775,-0.00359,-28.15152,-29.84485,404.77083
"20","2015_Q3",4.6321875,"Down",27625000,-18295000,9330000,-10555000,-6727000,-2904000,-924000,-1225000,2205000,2205000,980000,540000,-193000,347000,347000,347000,347000,41259000,16184000,25075000,17696000,4280000,2131000,84902000,14628000,26798000,12929000,4123000,36000,41426000,126328000,12772000,5811000,6961000,12772000,1426000,1426000,1426000,14198000,143635000,-31646000,141000,112130000,112130000,126328000,347000,1956000,824000,3840000,6967000,-917000,-6836000,12702000,4949000,-930000,-2731000,81000,-4000,-3665000,8251000,8251000,8251000,731000,0,3847000,0.33774,-0.04434,0.01256,0.00309,0.00275,11.08646,6.64751,0.12662,0,0.01901,0.01885,1.51312,6.14175,0.21071,0.05094,0.01125,0.03388,2.68011999999999,-56.44186,33.6808200000001
