"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"21","2015_Q4",3.91765625,"Down",26526000,-18063000,8463000,-10272000,-6451000,-2864000,-957000,-1809000,534000,534000,-1275000,-1687000,625000,-1062000,-1062000,-1062000,-1062000,34315000,12887000,21428000,17187000,4719000,2440000,76864000,14042000,26311000,12434000,3493000,36000,40353000,117217000,12061000,5631000,6430000,12061000,930000,930000,930000,12991000,137786000,-33619000,59000,104226000,104226000,117217000,-1062000,1907000,-86000,-25000,734000,-262000,-11011000,14658000,3385000,-911000,-6487000,394000,-12000,-7410000,-3291000,-3291000,-3291000,98000,0,-814000,0.31905,-0.0682,-0.04004,-0.01019,-0.00906,0.76648,6.37294,0.12464,0,-0.06025,-0.06025,1.50494,5.9132,-0.04618,0.05169,-0.00144,-0.00774,-0.85782,-350.15306,18.96904
"22","2016_Q1",3.73409836065574,"Down",10056000,-2910000,7146000,-6890000,-4821000,-2699000,630000,256000,504000,504000,760000,3000.00000000047,11000,14000.0000000002,14000.0000000002,-820000,-820000,31783000,7055000,24728000,17596000,1586000,1586000,71966000,13839000,27905000,11378000,3332000,40000,41744000,113710000,12925000,6735000,6190000,12925000,388000,388000,388000,13313000,135732000,-35320000,-15000,100397000,100397000,113710000,14000,-2651000,2823000,137000,323000,7000,-9869000,6569000,-3293000,-881000,-2386000,-5.82076609134674e-11,-87000,-3354000,-6324000,-5789000,-5789000,-2395000,0,-2262000,0.71062,0.02546,-0.08154,-0.00817,-0.00721,2.75854,5.56797,0.1326,0,-0.04895,-0.04939,0.60025,5.99278,-0.13502,0.05259,0.00061,-0.02244,-1.07439,13.2705599999999,-124.15234
"23","2016_Q2",3.4759375,"Down",21074000,-14023000,7051000,-9287000,-6077000,-2607000,-603000,-2236000,6000,6000,-2230000,-2747000,1291000,-1456000,-1456000,-1456000,-1456000,27882000,4451000,23431000,17479000,1726000,1726000,63245000,13659000,28546000,10609000,3332000,39000,42205000,105450000,10012000,4729000,5283000,10012000,415000,415000,415000,10427000,132660000,-37646000,9000,95023000,95023000,105450000,-1456000,792000,441000,1849000,1626000,-698000,-15602000,16899000,599000,-870000,-3745000,350000,-195000,-4810000,-2585000,-2585000,-2585000,-1444000,0,-1584000,0.33458,-0.1061,-0.06909,-0.01532,-0.01381,1.08791,6.31692,0.10973,0,-0.08919,-0.08919,1.29098,5.82106,-0.09704,0.0533,-0.00614,-0.0166,-0.59753,19.30886,12.46959
"24","2016_Q3",3.8815625,"Up",19417000,-10074000,9343000,-8266000,-6062000,-2523000,319000,1077000,8000,8000,1085000,1386000,-8248000,-6862000,-6862000,-11073000,-11073000,29278000,7305000,21973000,15190000,1448000,1448000,64107000,13615000,17460000,5141000,3332000,38000,31075000,95182000,10511000,4719000,5792000,10511000,473000,473000,473000,10984000,133897000,-49572000,-127000,84198000,84198000,95182000,-6862000,527000,9081000,907000,3653000,-569000,-12917000,14375000,889000,-853000,0,0,-1000,-854000,3688000,2874000,2874000,1604000,0,10190000,0.48118,0.05547,-0.57027,-0.13151,-0.11634,-0.92026,6.09904,0.13045,0,-0.69297,-0.69297,1.21516,5.26929,0.63771,0.05338,-0.1207,0.12035,-0.07703,-18.25312,-27.18477
"25","2016_Q4",4.04206349206349,"Up",20892000,-12638000,8254000,-8537000,-5962000,-2451000,-124000,-283000,35000,35000,-248000,-265000,354000,89000,89000,175000,175000,31204000,13105000,18099000,14705000,1300000,1300000,65206000,13123000,17358000,4724000,3332000,38000,30481000,95687000,10849000,5307000,5542000,10849000,447000,447000,447000,11296000,134795000,-50263000,-141000,84391000,84391000,95687000,89000,675000,903000,931000,2598000,-282000,-19033000,22907000,3592000,-866000,299000,299000,-203000,-770000,5420000,5764000,5764000,392000,0,687000,0.39508,-0.01355,0.00838,0.00207,0.00183,3.92571,6.01032,0.13385,0,0.01087,0.01077,1.29716,5.23972,0.04265,0.05377,0.01227,0.0081,4.94857,-79.60204,110.26148
"26","2017_Q1",4.50306451612903,"Up",23623000,-13860000,9763000,-9220000,-6520000,-2577000,-123000,543000,63000,63000,606000,605000,-5173000,-4568000,-4568000,-5327000,-5327000,33311000,14855000,18456000,14442000,1548000,1498000,68402000,11833000,11931000,3275000,3332000,812000,23764000,92166000,13250000,6073000,7177000,13250000,391000,391000,391000,13641000,134497000,-55590000,-382000,78525000,78525000,92166000,-4568000,635000,5700000,1481000,3248000,-175000,-26712000,26355000,-532000,-867000,5.82076609134674e-11,-5.82076609134674e-11,-78000,-945000,1771000,1826000,1826000,1178000,0,7657000,0.41328,0.02299,-0.2255,-0.06784,-0.0578,-1.43739,5.16242,0.17372,0,-0.32893,-0.33178,1.45866,4.84872,0.4728,0.05354,-0.05652,0.09703,-0.16276,-28.27759,-61.34622
"27","2017_Q2",5.61396825396825,"Up",22970000,-13516000,9454000,-9432000,-6592000,-2716000,-124000,22000,28000,28000,50000,50000,134000,184000,184000,-30000,-30000,32962000,14960000,18002000,12692000,1219000,1219000,65220000,13059000,11751000,2985000,3332000,35000,24810000,90030000,10905000,5284000,5621000,10905000,489000,489000,489000,11394000,134077000,-55110000,-331000,78636000,78636000,90030000,184000,628000,682000,542000,2036000,-1052000,-9743000,10197000,-598000,-865000,330000,330000,-633000,-1168000,270000,95000,95000,650000,0,6000,0.41158,0.00096,-0.00131,-0.00038,-0.00033,-0.2,5.98074,0.1449,0,-0.00184,-0.00184,1.40575,4.81248,0.00037,0.05294,0.01055,8e-05,-28.83333,-50.71077,-1498.27273
"28","2017_Q3",5.33920634920635,"Down",21501000,-12539000,8962000,-9301000,-6510000,-2667000,-124000,-339000,14000,14000,-325000,-325000,140000,-185000,-185000,-353000.000000001,-353000,34215000,11875000,22340000,13783000,2059000,1365000,67792000,12310000,11756000,2694000,3332000,83000,24066000,91858000,12309000,6009000,6300000,12309000,472000,472000,472000,12781000,134766000,-55463000,-226000,79077000,79077000,91858000,-185000.000000001,634000,1211000,699000,2359000,-492000,-13328000,8990000,-4830000,-887000,537000,537000,-1e+05,-450000,-2921000,-3111000,-3111000,295000,0,362000,0.41682,-0.01577,-0.01642,-0.00446,-0.00383999999999999,-1.0255,5.50751,0.16163,0,-0.02135,-0.02135,1.30041,4.78269,0.0218899999999999,0.05365,0.00671000000000001,0.00455,-2.51275,-115.98305,100.9292
"29","2017_Q4",5.73365079365079,"Up",23665000,-13515000,10150000,-9255000,-6373000,-2758000,-124000,895000,32000,32000,927000,927000,-206000,721000,721000,955000,955000,36506000,6527000,29979000,12828000,966000,966000,68830000,12227000,11148000,2403000,3332000,69000,23375000,92205000,11919000,5185000,6734000,11919000,430000,430000,430000,12349000,134459000,-54508000,-95000,79856000,79856000,92205000,721000,651000,1123000,186000,2681000,-552000,-14508000,6869000,-8191000,-978000,508000,508000,-521000,-991000,-6501000,-5399000,-5399000,1546000,0,1386000,0.4289,0.03782,0.04035,0.01196,0.01036,1.45131,5.77481,0.15464,0,0.05699,0.05596,1.41225,4.76553,0.08271,0.05836,0.02408,0.01726,1.02408,-23.6132,-40.78883
"30","2018_Q1",5.88704918032787,"Up",23301000,-13056000,10245000,-9390000,-6265000,-3001000,-124000,855000,31000,31000,886000,886000,2403000,3289000,3289000,3250000,3250000,38058000,5559000,32499000,12756000,1605000,1605000,71043000,12369000,13251000,2113000,3332000,72000,25620000,96663000,12952000,5471000,7481000,12952000,392000,392000,392000,13344000,134523000,-51258000,54000,83319000,83319000,96663000,3289000,654000,-1501000,251000,2693000,-569000,-11430000,8910000,-3089000,-975000,6e+05,6e+05,-142000,-517000,-913000,-1011000,-1011000,1509000,0,-1212000,0.43968,0.03669,0.13948,0.03901,0.03362,-0.37292,5.4851,0.16016,0,0.19262,0.18348,1.38096,4.93801,-0.07183,0.05778,0.05047,-0.01448,0.3,-25.22068,-44.5122800000001
"31","2018_Q2",5.675625,"Down",21731000,-13867000,7864000,-9085000,-6021000,-2940000,-124000,-1221000,51000,51000,-1170000,-1170000,312000,-858000,-858000,-858000,-858000,34737000,12452000,22285000,12582000,1874000,1874000,68219000,12537000,13287000,1823000,3332000,64000,25824000,94043000,11013000,5226000,5787000,11013000,485000,485000,485000,11498000,134271000,-52024000,298000,82545000,82545000,94043000,-858000,674000,736000,-2140000,-1588000,-870000,-7266000,17480000,9344000,-995000,364000,364000,-313000,-944000,6812000,6812000,6812000,-547000,0,-3869000,0.36188,-0.05619,-0.03948,-0.01039,-0.00912,4.50932,6.19441,0.13929,0,-0.0503,-0.0503,1.2741,4.83965,-0.22684,0.05834,0.00165,-0.0466,-1.15967,63.50457,28.44963
"32","2018_Q3",4.27730158730159,"Down",21582000,-13783000,7799000,-9401000,-6224000,-3053000,-124000,-1602000,209000,209000,-1393000,-1393000,167000,-1226000,-1226000,-1226000,-1226000,36507000,7603000,28904000,13470000,1285000,1285000,69191000,12844000,13135000,1532000,3332000,58000,25979000,95170000,13632000,8219000,5413000,13632000,453000,453000,453000,14085000,134385000,-53250000,-49999.9999999999,81085000,81085000,95170000,-1226000,707000,1340000,2744000,3565000,-635000,-15446000,8827000,-7254000,-1004000,-5.82076609134674e-11,0,-33000.0000000001,-1037000,-4726000,-4726000,-4726000,-895000,0,1047000,0.36137,-0.07423,-0.05681,-0.01512,-0.01288,-0.854,5.07563,0.17371,0,-0.07152,-0.07152,1.25901,4.73019,0.06108,0.05857,-0.00272,0.01284,-0.81892,40.78994,22.78839
"33","2018_Q4",3.68555555555556,"Down",18426000,-11705000,6721000,-9099000,-5986000,-3028000,-85000,-2378000,226000,226000,-2152000,-2152000,482000,-1670000,-1670000,-1670000,-1670000,37147000,5377000,31770000,12691000,1185000,1185000,64284000,12491000,13349000,1280000,3332000,52000,25840000,90124000,10461000,5392000,5069000,10461000,383000,383000,383000,10844000,134473000,-54920000,-273000,79280000,79280000,90124000,-1670000,707000,692000,2394000,2123000,-686000,-11266000,8400000,-3552000,-1008000,322000,322000,-46000,-732000,-2161000,-2161000,-2161000,-1671000,0,-445000,0.36476,-0.12906,-0.09063,-0.02106,-0.01853,0.26647,6.14511,0.13678,0,-0.0969,-0.0969,1.06917,4.60021,-0.02582,0.05849,-0.00831,-0.00559,-0.60359,22.2304,15.62111
"34","2019_Q1",4.31295081967213,"Up",21240000,-12543000,8697000,-9122000,-6207000,-2830000,-85000,-425000,78000,78000,-347000,-347000,-8788000,-9135000,-9135000,-9135000,-9135000,35199000,4329000,30870000,12848000,1416000,1416000,65327000,12138000,4406000,1029000,3332000,44999.9999999999,16544000,81871000,11884000,6083000,5801000,11884000,381000,381000,381000,12265000,133877000,-64055000,-216000,69606000,69606000,81871000,-9135000,718000,9639000,-1379000,-157000,-548000,-10613000,11513000,352000,-1008000,0,0,-311000,-1319000,-1124000,-1124000,-1124000,293000,0,7154000,0.40946,-0.02001,-0.43008,-0.13124,-0.11158,-0.78314,5.49705,0.17621,0,-0.52767,-0.52767,1.22689,4.02068,0.41324,0.05823,-0.11612,0.10222,-0.11034,-120.13311,82.82118
"35","2019_Q2",4.25142857142857,"Down",20590000,-11932000,8658000,-9127000,-6051000,-3003000,-73000,-469000,162000,162000,-307000,-307000,-10000,-317000,-317000,-317000,-317000,35041000,4455000,30586000,12919000,1541000,1541000,65928000,11740000,5652000,789000,3332000,1531000,17392000,83320000,13549000,6881000,6668000,13549000,868000,868000,868000,14417000,133338000,-64372000,-63000,68903000,68903000,83320000,-317000,711000,1126000,19000,1539000,-311000,-13893000,14177000,-27000,-1016000,338000,338000,-769000,-1447000,65000,65000,65000,242000,0,-40000,0.4205,-0.02278,-0.0154,-0.0046,-0.0038,0.12618,4.86589,0.20924,0,-0.01799,-0.01799,1.16876,3.91117,-0.00227,0.05767,0.01002,-0.00057,-3.20505,-144.79752,74.71429
"36","2019_Q3",5.1646875,"Up",23500000,-12805000,10695000,-10066000,-7011000,-3006000,-49000,629000,319000,319000,948000,948000,-7000,941000,941000,941000,941000,36760000,4066000,32694000,13140000,1412000,1412000,67420000,11536000,5197000,574000,3332000,1291000,16733000,84153000,13265000,5881000,7384000,13265000,759000,759000,759000,14024000,133771000,-63431000,-211000,70129000,70129000,84153000,940999.999999998,714000,1684000,191000,3530000,-675000,-12930000,10822000,-2783000,-1013000,0,-5.82076609134674e-11,-26000,-1039000,-292000,-292000,-292000,1343000,0,866000.000000001,0.45511,0.02677,0.04004,0.01342,0.01118,0.9203,5.08255,0.19997,0,0.0527699999999999,0.05166,1.31778,3.93254,0.04856,0.0568,0.02756,0.01222,1.07651,-27.37156,-58.44197
"37","2019_Q4",7.30078125,"Up",23630000,-12983000,10647000,-9411000,-6149000,-3214000,-48000,1236000,393000,393000,1629000,1334000,-6000,1328000,1328000,1328000,1328000,38066000,5647000,32419000,13577000,1087000,1087000,69847000,11109000,6911000,359000,3332000,3220000,18020000,87867000,13419000,4992000,8427000,13419000,2970000,2970000,2970000,16389000,134053000,-62103000,-472000,71478000,71478000,87867000,1328000,727000,1462000,-991000,2526000,-380000,26823000,-26548000,-105000,-1017000,392000,392000,-38000,-663000,1758000,1758000,1545000,1963000,0,598000,0.45057,0.05231,0.0562,0.01858,0.01511,0.4503,5.20508,0.22929,0,0.07408,0.07185,1.3182,3.98739,0.03336,0.05673,0.0315,0.00803,0.76581,-19.39175,-30.79773
"38","2020_Q1",6.73338709677419,"Down",22897000,-11385000,11512000,-9593000,-6495000,-3049000,-49000,1919000,108000,108000,2027000,1815000,-16999.9999999999,1798000,1798000,1798000,1798000,39650000,7094000,32556000,11935000,19222000,1842000,70807000,11985000,6445000,144000,3332000,2969000,18430000,89237000,12572000,3190000,9382000,12572000,3315000,3315000,3315000,15887000,133973000,-60305000,-318000,73350000,73350000,89237000,1798000,718000,808000,-1000,3323000,-897000,-48245000,48108000,-1034000,-1022000,453000,453000,-418000,-987000,1302000,1302000,1447000,2637000,0,1756000,0.50277,0.08381,0.07853,0.02451,0.02015,0.97664,5.63212,0.21659,0,0.09969,0.09815,1.26953,4.0669,0.09736,0.05666,0.03678,0.0229,0.56841,-15.03603,-20.6618
"39","2020_Q2",5.70174603174603,"Down",17506000,-9291000,8215000,-9006000,-5944000,-3029000,-33000,-791000,198000,198000,-593000,-680000,-8000,-688000,-688000,-688000,-688000,38270000,9662000,28608000,11133000,1568000,1568000,64889000,12130000,6080000,0,3332000,2748000,18210000,83099000,9754000,3984000,5770000,9754000,4289000,4289000,4289000,14043000,130456000,-60993000,-407000,69056000,69056000,83099000,-688000,892000,650000,3435000,4289000,-1516000,-9918000,13866000,2432000,-1032000,-1941000,59000,-1126000,-4099000,2622000,2622000,2568000,101000,0,2028000,0.46927,-0.04518,-0.0393,-0.00996,-0.00828,-2.94767,6.65255,0.20336,0,-0.03779,-0.03779,0.96149,3.79279,0.11138,0.05668,0.00469,0.02765,-1.5,-378.91089,48.3818
"40","2020_Q3",5.625625,"Down",19842000,-10321000,9521000,-8412000,-5342000,-3070000,0,1109000,102000,102000,1211000,1200000,-8000,1192000,1192000,1192000,1192000,35814000,6458000,29356000,11017000,1320000,1320000,63565000,12488000,5911000,0,3332000,2579000,22141000,85706000,10578000,4242000,6336000,10578000,4449000,4449000,4449000,15027000,130872000,-59801000,-392000,70679000,70679000,85706000,1192000,754000,782000,61000,2789000,-902000,-16405000,11915000,-5392000,-1022000,437000,437000,3479000,-606000,-3209000,-3209000,-3204000,1863000,0,1030000,0.47984,0.05589,0.06007,0.01686,0.01391,0.864090000000001,6.00917,0.21261,0,0.06566,0.06444,1.09305,3.89355,0.05674,0.0563,0.02947,0.01371,0.85738,-19.22383,-32.29396
"41","2020_Q4",5.49609375,"Down",18923000,-9348000,9575000,-8414000,-5199000,-3216000,1000,1161000,-84000,-84000,1077000,1051000,-9000,1042000,1042000,1042000,1042000,37532000,4429000,33103000,10290000,15162000,1207000,62984000,12728000,5824000,0,3332000,2492000,22287000,85271000,9373000,2279000,7094000,9373000,4557000,4557000,4557000,13930000,130286000,-58759000,-186000,71341000,71341000,85271000,1042000,758000,367000,1374000,3541000,-955000,-13715000,9975000,-4695000,-1025000,8000,8000,-20000,-1037000,-2191000,-2191000,-2029000,1919000,0,2347000,0.506,0.06135,0.05507,0.01461,0.01222,2.2524,6.71973,0.19526,0,0.05728,0.0565,1.04018,3.92156,0.12901,0.05634,0.02723,0.03092,0.98369,-19.5581,-32.3273
"42","2021_Q1",7.01180327868852,"Up",21185000,-10569000,10616000,-8631000,-5427000,-3204000,0,1985000,-110000,-110000,1875000,1875000,-4000,1871000,1871000,1871000,1871000,36343000,5761000,30582000,9984000,1685000,1685000,64613000,12505000,5773000,2.91038304567337e-11,3332000,2441000,22918000,87531000,11746000,4430000,7316000,11746000,4387000,4387000,4387000,16133000,128268000,-56888000,18000,71398000,71398000,87531000,1871000,759000,521000,-350000,2801000,-720000,-9663000,11279000,896000,-1029000,-1443000,365000,-48000,-2520000,1177000,1177000,1332000,2744000,0,1678000,0.50111,0.0937,0.08832,0.02621,0.02138,0.89685,5.50085,0.22596,0,0.10237,0.10141,1.15917,3.90665,0.09181,0.0563,0.03827,0.02214,0.54997,-13.2445300000001,-18.30882
"43","2021_Q2",6.18793650793651,"Down",17707000,-9369000,8338000,-9033000,-5839000,-3194000,0,-695000,39000,39000,-656000,-656000,-6000,-662000,-662000,-662000,-662000,37601000,12796000,24805000,9719000,16153000,1543000,63473000,12056000,5757000,965085.151950904,3332000,2425000,20776000,84249000,10342000,2297000,8045000,10342000,4262000,4262000,4262000,14604000,127193000,-57550000,2000,69645000,69645000,84249000,-662000,742000,595000,979000,1654000,-354000,-15050956.2988635,7454000,7100000,-1011000,-23000,8000,-659000,-1709000,7045000,7045000,7035000,47000,0,678000,0.47089,-0.03925,-0.03739,-0.00951,-0.00786,-1.02417,6.1374,0.20969,0,-0.03664,-0.03664,0.97991,3.85418,0.03752,0.05595,0.00472,0.00917,-1.52719,-800.02128,54.10216
"44","2021_Q3",6.07140625,"Down",21681000,-11739000,9942000,-1e+07,-6723000,-3222000,-55000,-58000,-45000,-45000,-103000,-163000,-6000,-169000,-169000,-169000,-169000,33427000,8425000,25002000,12391000,1583000,1583000,64187000,12390000,10968000,1873000,6522000,2573000,23358000,87545000,14177000,4723000,9454000,14177000,4345000,4345000,4345000,18522000,126810000,-57719000,-68000,69023000,69023000,87545000,-169000,821000,1076000,-269000,1459000,-912000,-16058000,18824000,-4423000,-1007000,-292000,410000,-123000,-1441000,-4405000,-4405000,-4371000,763000,0,-412000,0.45856,-0.00268000000000001,-0.00779000000000001,-0.00245,-0.00193,2.43787,4.52754,0.26835,0,-0.00934999999999999,-0.00935,1.19983,3.81976,-0.0228,0.05573,0.01142,-0.00562,-5.95858,-43.80996,576.32759
"45","2021_Q4",5.39515625,"Down",22411000,-12157000,10254000,-9582000,-6164000,-3338000,-80000,672000,-4000,-4000,668000,669000,-5000,664000,664000,664000,664000,32452000,9772000,22680000,12983000,1282000,1282000,62563000,12369000,10635000,1727000,6429000,2479000,23004000,85567000,14884000,4615000,10269000,14884000,4238000,4238000,4238000,19122000,123720000,-57055000,-220000,66445000,66445000,85567000,664000,865000,307000,1422000,3258000,-740000,-5066000,7388000,1582000,-1002000,-2460000,0,0,-3481000,1359000,1359000,1335000,1537000,0,2224000,0.45754,0.02999,0.02963,0.00999,0.00776,3.3494,4.20337,0.28779,0,0.03673,0.03673,1.23968,3.67546,0.12302,0.05543,0.02357,0.03146,1.50904,-21.11386,-48.29167
"46","2022_Q1",4.74645161290323,"Down",26008000,-14064000,11944000,-10724000,-7045000,-3604000,-75000,1220000,-37000,-37000,1183000,342000,-22000,320000,320000,320000,320000,30754000,8192000,22562000,13691000,1747000,1747000,65097000,11949000,10351000,1579000,6334000,2438000,22300000,87397000,16477000,5360000,11117000,16477000,3999000,3999000,3999000,20476000,124016000,-56735000,-360000,66921000,66921000,87397000,320000,866000,1365000,-3249000,-698000,-324000,-4804000,4922000,-206000.000000001,-1014000,422000,422000,-77000,-615000,-1519000,-1519000,-1568000,2086000,0,-1465000,0.45924,0.04691,0.0123,0.00478,0.00366,-4.57812,3.95078,0.30597,0,0.01824,0.01817,1.48228,3.81403,-0.08349,0.05779,0.01881,-0.02066,3.16875,-14.74305,-25.2082
"47","2022_Q2",4.06516129032258,"Down",22542000,-13209000,9333000,-9965000,-6644000,-3250000,-71000,-632000,11000,11000,-621000,-1556000,-8000,-1564000,-1564000,-1564000,-1564000,27676000,5107000,22569000,12852000,1956000,1956000,59813000,11490000,9995000,1429000,6220000,2346000,21485000,81298000,12966000,4013000,8953000,12966000,3820000,3820000,3820000,16786000,123397000,-58299000,-586000,64512000,64512000,81298000,-1564000,872000,403000,-1041000,-1330000,-320000,-10663949.7827978,-7000,-327000,-1001000,0,0,-392000,-1412000,-3069000,-3069000,-3085000,240000,0,-1113000,0.41403,-0.02804,-0.06938,-0.02424,-0.01924,0.71164,4.61306,0.2602,0,-0.08716,-0.08707,1.25617,3.59498,-0.06202,0.05578,-0.00824,-0.01629,-0.64003,-115.31667,43.79114
"48","2022_Q3",4.62734375,"Up",24976000,-13549000,11427000,-10782000,-7360000,-3355000,-67000,645000,114000,114000,759000,442000,-31000,411000,411000,411000,411000,28073000,5797000,22276000,14189000,1774000,1774000,63347000,10784000,9531000,1231000,5986000,2314000,20565000,83912000,15497000,5630000,9867000,15497000,3732000,3732000,3732000,19229000,123863000,-57888000,-1292000,64683000,64683000,83912000,411000,867000,1153000,-780000,1651000,-1e+05,-15587000,15630000,-57000.0000000001,-1020000,404000,404000,-4000,-638000,956000,956000,690000,1512000,0,663000,0.45752,0.02582,0.01646,0.00635,0.0049,1.61314,4.08769,0.29728,0,0.0229,0.02288,1.39181,3.60451,0.03695,0.05684,0.02092,0.00969,2.48175,-18.5668,-43.52403
