"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",28.3095238095238,"Down",3.594e+09,-2.186e+09,1.408e+09,-6.49e+08,-4.56e+08,-1.93e+08,7.59e+08,-9e+07,-2.1e+08,2.9e+07,9.1e+07,6.69e+08,2e+06,6.71e+08,-2.26e+08,4.45e+08,4.45e+08,0,4.45e+08,4.45e+08,-1601738744.33667,-1586766512.06332,732103184.100709,732103184.100709,1775485843.85267,4138153040.52068,4138153072.25778,5044003324.13739,38344319499.6788,54660240098.6954,-16315920599.0166,3560678187.3046,3560678187.3046,51028203983.685,56072207307.8224,1378478661.00101,860063044.834731,168976087.85614,349439528.310142,-438717752.331714,3802311728.89181,3802311728.89181,4742072637.56111,17036420279.622,14408531470.1393,7428247529.78137,2815600837.45687,31444951749.7613,36187024387.3224,20762018779.3252,1e+06,20761018779.3252,-1264363968.911,244029680.055971,19741670727.984,143512192.515953,19885182920.5,56072207307.8224,4.45e+08,5.06e+08,1.48e+08,1.62e+08,-1.4e+07,2.2e+07,9.4e+07,1.8e+08,-1.14e+08,-1.38e+08,1.121e+09,-1.179e+09,-1.179e+09,-4.1e+07,5.5e+08,-5.91e+08,-1.9e+07,-1.236e+09,-6.5e+07,9.3e+07,-1.58e+08,-6.09e+08,4.51e+08,3e+06,-3.47e+08,-4.62e+08,-4.62e+08,-4.62e+08,1.265e+09,0,3.34e+08,0.39176,0.21119,0.12382,-0.175880443646216,-0.0671770350211778,0.75056,0.892773169607344,1.80407548355246,0.296915897373336,1.01919,1.01841,8.23136,45.8668398503508,0.76496,-66.9234785096941,-0.0646325397753692,-0.0610404613946193,49.1450643536088,117.292408925143
"2","2010_Q3",30.40640625,"Up",3.287e+09,-2.061e+09,1.226e+09,-5.89e+08,-4.26e+08,-1.63e+08,6.37e+08,-8.8e+07,-2.12e+08,3.6e+07,8.8e+07,5.49e+08,-6.51e+08,-1.02e+08,-1.16e+08,-2.18e+08,-2.17e+08,-5e+06,-2.22e+08,-2.22e+08,1.01e+09,1.01e+09,7.56e+08,7.56e+08,1.302e+09,2.375e+09,2.375e+09,5.443e+09,3.906e+10,5.6687e+10,-1.7627e+10,2.855e+09,2.855e+09,5.0957e+10,5.64e+10,1.872e+09,1.234e+09,2.43e+08,3.95e+08,5.72e+08,1.393e+09,1.393e+09,3.837e+09,1.7219e+10,1.4081e+10,6.205e+09,7.876e+09,3.13e+10,3.5137e+10,2.079e+10,1e+06,2.0789e+10,7.26e+08,-3.89e+08,2.1127e+10,1.36e+08,2.1263e+10,5.64e+10,-2.17e+08,4.73e+08,6.76e+08,8.3e+07,5.93e+08,7.1e+07,-3.1e+07,3.7e+07,-9999999.99999994,74999999.9999999,1.003e+09,-1.146e+09,-1.146e+09,3.8e+07,6.79e+08,-6.41e+08,-1.66e+08,-1.272e+09,4.64e+08,-1.09e+08,5.73e+08,-3.39e+08,9.12e+08,-2.7e+07,1.99e+08,-7e+07,-70000000.0000002,-70000000.0000002,1.11e+09,1.7791e+10,1.51e+08,0.37298,0.19379,-0.06754,-0.01044,-0.00394,-0.68018,1.41856,1.65249,0.31544,-0.5069,-0.50651,7.50532,48.23998,0.34478,-27.5591885385035,0.00183,0.00284,15.11802,26.3438
"3","2010_Q4",31.751875,"Up",3.946e+09,-2.242e+09,1.704e+09,-6.29e+08,-4.47e+08,-1.82e+08,1.075e+09,-6.3e+07,-2.02e+08,2.1e+07,1.18e+08,1.012e+09,-4.5e+07,9.67e+08,-3.01e+08,6.66e+08,6.66e+08,4e+06,6.7e+08,6.7e+08,1.808e+09,1.808e+09,7.69e+08,7.69e+08,1.23e+09,2.23e+09,2.23e+09,6.037e+09,3.9724e+10,5.7793e+10,-1.8069e+10,2.969e+09,2.969e+09,5.182e+10,5.7857e+10,2.049e+09,1.387e+09,2.46e+08,4.16e+08,5.29e+08,1.087e+09,1.087e+09,3.665e+09,1.7762e+10,1.4281e+10,6.397e+09,7.884e+09,3.2043e+10,3.5708e+10,2.0913e+10,1e+06,2.0912e+10,1.396e+09,-2.94e+08,2.2015e+10,1.34e+08,2.2149e+10,5.7857e+10,6.66e+08,5.02e+08,2.58e+08,2.82e+08,-2.4e+07,1.11e+08,2.4e+07,7.2e+07,2.4e+07,-9e+06,1.537e+09,-1.156e+09,-1.156e+09,3.4e+07,5.44e+08,-5.1e+08,1.02e+08,-1.017e+09,4.68e+08,3.2e+07,4.36e+08,-6.51e+08,1.087e+09,2.9e+07,2.78e+08,7.98e+08,7.98e+08,7.98e+08,1.577e+09,1.8291e+10,8.33e+08,0.43183,0.27243,0.16979,0.03025,0.01158,1.24328,1.6472,1.61217,0.31614,1.52173,1.52058,8.96229,50.00122,1.89194,-4.58469570193882,0.01813,0.01522,10.45212,15.33302
"4","2011_Q1",32.518064516129,"Up",3.445e+09,-2.261e+09,1.184e+09,-6.21e+08,-4.57e+08,-1.64e+08,5.63e+08,-1.13e+08,-2.16e+08,3e+07,7.3e+07,4.5e+08,2.24e+08,6.74e+08,-2.47e+08,4.27e+08,4.29e+08,-2e+06,4.27e+08,4.27e+08,1.67e+09,1.67e+09,7.64e+08,7.64e+08,1.318e+09,2.471e+09,2.471e+09,6.223e+09,4.0344e+10,5.8539e+10,-1.8195e+10,3.268e+09,3.268e+09,5.2867e+10,5.909e+10,2.036e+09,1.387e+09,2.37e+08,4.12e+08,4.91e+08,1.37e+09,1.37e+09,3.897e+09,1.7935e+10,1.4605e+10,6.978e+09,6.683e+09,3.254e+10,3.6437e+10,2.1024e+10,1e+06,2.1023e+10,1.496e+09,2e+06,2.2522e+10,1.31e+08,2.2653e+10,5.909e+10,4.29e+08,5.13e+08,-4.89e+08,2.14e+08,-7.03e+08,3.97e+08,-6.8e+07,-9.1e+07,2.67e+08,2.89e+08,8.5e+08,-1.322e+09,-1.322e+09,6.4e+07,4.88e+08,-4.24e+08,-3.8e+07,-8.98e+08,1.69e+08,-7.1e+07,2.4e+08,-4.8e+07,2.88e+08,-1.9e+07,-9e+07,-1.38e+08,-1.38e+08,-1.38e+08,1.076e+09,1.8426e+10,3.98e+08,0.34369,0.16343,0.12395,0.01885,0.00723,0.93208,1.59687,1.60848,0.31183,0.96797,0.96143,7.80946,51.05507,0.90223,6,0.01354,0.00715,15.57249,29.76199
"5","2011_Q2",34.1503174603175,"Up",3.663e+09,-2.219e+09,1.444e+09,-6.4e+08,-4.54e+08,-1.86e+08,8.04e+08,-7e+07,-2.19e+08,3.2e+07,1.17e+08,7.34e+08,1.2e+07,7.46e+08,-2.33e+08,5.13e+08,5.13e+08,-2e+06,5.11e+08,5.11e+08,1.428e+09,1.419e+09,7.44e+08,7.44e+08,1.347e+09,2.026e+09,2.026e+09,5.545e+09,4.0944e+10,5.9435e+10,-1.8491e+10,3.176e+09,3.176e+09,5.3441e+10,5.8986e+10,1.954e+09,1.305e+09,2.67e+08,3.82e+08,1.304e+09,9.39e+08,9.39e+08,4.197e+09,1.7226e+10,1.4707e+10,7.039e+09,7.668e+09,3.1933e+10,3.613e+10,2.1028e+10,1e+06,2.1027e+10,1.676e+09,3e+07,2.2734e+10,1.22e+08,2.2856e+10,5.8986e+10,5.13e+08,5.04e+08,1.14e+08,1.75e+08,-6.1e+07,-1.7e+08,2.18e+08,-3.1e+07,-1.92e+08,-1.65e+08,9.61e+08,-1.006e+09,-1.006e+09,-3.5e+07,6.75e+08,-7.1e+08,2.2e+07,-9.18e+08,4e+07,5.8e+07,-1.8e+07,-1.8e+07,275566343.938141,-9e+06,-2.94e+08,-2.51e+08,-2.51e+08,-2.51e+08,1.308e+09,1.853e+10,3.65e+08,0.39421,0.21949,0.1395,0.02236,0.00866,0.71429,1.32118,1.58077,0.31414,1.15275,1.15188,8.26323,51.28483,0.82339,8.19489856731294,0.01501,0.00651,13.07492,21.27114
"6","2011_Q3",35.05765625,"Up",3.534e+09,-2.244e+09,1.29e+09,-6.06e+08,-4.37e+08,-1.69e+08,6.84e+08,-5.8e+07,-2.03e+08,4.8e+07,9.7e+07,6.26e+08,7e+06,6.33e+08,-1.92e+08,4.41e+08,4.41e+08,-6e+06,4.35e+08,4.35e+08,1.371e+09,1.362e+09,7.96e+08,7.96e+08,1.415e+09,2.052e+09,2.052e+09,5.634e+09,4.161e+10,6.0217e+10,-1.8607e+10,3.172e+09,3.172e+09,5.4158e+10,5.9792e+10,1.819e+09,1.189e+09,2.72e+08,3.58e+08,1.288e+09,1.279e+09,1.279e+09,4.386e+09,1.7687e+10,1.5017e+10,7.359e+09,7.658e+09,3.2704e+10,3.709e+10,2.1046e+10,1e+06,2.1045e+10,1.448e+09,8.9e+07,2.2583e+10,1.19e+08,2.2702e+10,5.9792e+10,4.41e+08,4.87e+08,1.91e+08,2.86e+08,-95000000.0000001,-3.63e+08,-51999999.9999999,-5.4e+07,-1.46e+08,-1.11e+08,7.56e+08,-9.32e+08,-9.32e+08,5e+07,6.06e+08,-5.56e+08,-4.2e+07,-9.2e+08,4.4e+08,5e+06,4.35e+08,-6.4e+07,4.99e+08,-1.1e+07,1.07e+08,-5.7e+07,-5.7e+07,-5.7e+07,1.171e+09,1.8975e+10,6.8e+07,0.36503,0.19355,0.12309,0.01916,0.00728,0.15632,1.28454,1.63378,0.31735,0.97973,0.97973,7.95946,50.86261,0.15315,6,0.01342,0.0012,15.0333,25.73684
"7","2011_Q4",38.7053968253968,"Up",3.964e+09,-2.254e+09,1.71e+09,-6.38e+08,-4.55e+08,-1.83e+08,1.072e+09,-8.7e+07,-2.13e+08,4.3e+07,8.3e+07,9.85e+08,-3.08e+08,6.77e+08,-2.08e+08,4.69e+08,4.7e+08,2e+06,4.72e+08,4.72e+08,2.178e+09,2.032e+09,7.64e+08,7.64e+08,1.421e+09,1.91e+09,1.91e+09,6.273e+09,4.1877e+10,6.0782e+10,-1.8905e+10,3.554e+09,3.554e+09,5.4503e+10,6.0776e+10,1.787e+09,1.08e+09,2.69e+08,4.38e+08,2.282e+09,1.046e+09,1.046e+09,5.115e+09,1.7584e+10,1.5178e+10,7.466e+09,7.712e+09,3.2762e+10,3.7877e+10,2.1062e+10,1e+06,2.1061e+10,1.92e+09,-1.88e+08,2.2794e+10,1.05e+08,2.2899e+10,6.0776e+10,4.7e+08,5.17e+08,3.1e+08,6.5e+07,2.45e+08,1.3e+07,-5.1e+07,-2e+06,-1.17e+08,1.83e+08,1.31e+09,-1.052e+09,-1.052e+09,-1.11e+08,1.032e+09,-1.143e+09,-2.9e+07,-1.232e+09,8.93e+08,4.74e+08,4.19e+08,-9.7e+07,5.16e+08,3.3e+07,5.92e+08,6.7e+08,6.7e+08,6.7e+08,1.589e+09,1.9866e+10,7.58e+08,0.43138,0.27043,0.11907,0.02061,0.00777,1.60593,1.22639,1.65409,0.32687,1.06306,1.06216,8.92793,51.33784,1.70721,4,0.01396,0.01308,11.13153,16.5
"8","2012_Q1",40.4045161290323,"Up",3.368e+09,-2.198e+09,1.17e+09,-6.26e+08,-4.6e+08,-1.66e+08,5.44e+08,-1.08e+08,-2.24e+08,3.7e+07,7.9e+07,4.36e+08,-26999999.9999999,4.09e+08,-1.19e+08,2.9e+08,2.9e+08,-2e+06,2.88e+08,2.88e+08,2.3e+09,2.11e+09,7.84e+08,7.84e+08,1.588e+09,2.208e+09,2.208e+09,6.88e+09,4.2661e+10,6.137e+10,-1.8709e+10,3.825e+09,3.825e+09,5.5646e+10,6.2526e+10,2.116e+09,1.433e+09,2.52e+08,4.31e+08,2.321e+09,1.091e+09,1.091e+09,5.528e+09,1.8679e+10,1.5454e+10,7.581e+09,7.017e+09,3.4133e+10,3.9661e+10,2.1133e+10,1e+06,2.1132e+10,1.873e+09,-2.34e+08,2.2772e+10,9.3e+07,2.2865e+10,6.2526e+10,2.9e+08,5.18e+08,-2.61e+08,7.6e+07,-3.37e+08,98000000.0000001,-1.13e+08,-1.6e+08,4.96e+08,-1.25e+08,6.45e+08,-1.373e+09,-1.373e+09,-3.5e+07,7.5e+08,-7.85e+08,4.2e+07,-1.364e+09,1.127e+09,-3.29e+08,1.456e+09,-9.9e+07,1.555e+09,-4.9e+07,7.97e+08,7.8e+07,7.8e+07,7.8e+07,1.062e+09,2.1e+10,-93999999.9999998,0.34739,0.16152,0.08551,0.0126,0.00461,-0.326389999999999,1.24457,1.73457,0.33586,0.64761,0.64865,7.57346,51.20629,-0.21137,6,0.0105,-0.00158,17.60829,34.375
"9","2012_Q2",42.1255555555556,"Up",3.63e+09,-2.073e+09,1.557e+09,-6.63e+08,-4.79e+08,-1.84e+08,8.94e+08,-9e+07,-2.24e+08,4.5e+07,8.9e+07,8.04e+08,-4.04e+08,4e+08,-1.03e+08,2.97e+08,2.99e+08,-4e+06,2.95e+08,2.95e+08,1.309e+09,1.071e+09,6.13e+08,6.13e+08,1.754e+09,2.248e+09,2.248e+09,5.924e+09,4.2971e+10,6.2057e+10,-1.9086e+10,3.668e+09,3.668e+09,5.5875e+10,6.1799e+10,1.706e+09,1.05e+09,2.87e+08,3.69e+08,1.523e+09,1.054e+09,1.054e+09,4.283e+09,1.9026e+10,1.5612e+10,7.726e+09,7.04e+09,3.4638e+10,3.8921e+10,2.1122e+10,1e+06,2.1121e+10,1.833e+09,-1.74e+08,2.2781e+10,9.7e+07,2.2878e+10,6.1799e+10,2.99e+08,5.44e+08,2.9e+08,6.5e+07,2.25e+08,-2.61e+08,1.72e+08,-1.62e+08,-2.7e+08,-1e+06,8.72e+08,-9.88e+08,-9.88e+08,-1.27e+08,8.21e+08,-9.48e+08,-4e+07,-1.18e+09,-4.01e+08,2.8e+07,-4.29e+08,-8.21e+08,3.92e+08,-3e+06,-7.31e+08,-1.039e+09,-1.039e+09,-1.039e+09,1.438e+09,2.0549e+10,2.92e+08,0.42893,0.24628,0.08127,0.01289,0.00477,0.98983,1.38314,1.70124,0.33251,0.66143,0.66143,8.13901,51.07848,0.65471,6.22294154792471,0.01067,0.00495,13.37969,21.52125
"10","2012_Q3",42.9566666666667,"Up",3.577e+09,-2.149e+09,1.428e+09,-6.46e+08,-4.75e+08,-1.71e+08,7.82e+08,-1.22e+08,-2.32e+08,4e+07,7e+07,6.6e+08,2999999.99999994,6.63e+08,-2.14e+08,4.49e+08,4.48e+08,-4e+06,4.44e+08,4.44e+08,1.76e+09,1.526e+09,6.1e+08,6.1e+08,1.762e+09,2.355e+09,2.355e+09,6.487e+09,4.3787e+10,6.2888e+10,-1.9101e+10,3.805e+09,3.805e+09,5.6544e+10,6.3031e+10,1.773e+09,1.16e+09,2.54e+08,3.59e+08,2.932e+09,1.434e+09,1.434e+09,6.139e+09,1.8454e+10,1.5922e+10,7.914e+09,7.179e+09,3.4376e+10,4.0515e+10,2.1141e+10,1e+06,2.114e+10,1.598e+09,-3.2e+08,2.2419e+10,9.7e+07,2.2516e+10,6.3031e+10,4.48e+08,5.33e+08,85999999.9999999,1.65e+08,-79000000.0000002,6.3e+07,-1.11e+08,-3e+06,1.68e+08,9e+06,1.13e+09,-1.264e+09,-1.264e+09,4.2e+07,3.34e+08,-2.92e+08,-1000000.00000001,-1.211e+09,8.75e+08,6.03e+08,2.72e+08,-57000000.0000001,3.29e+08,-1e+07,5.36e+08,4.55e+08,4.55e+08,4.55e+08,1.315e+09,2.1386e+10,3.28e+08,0.39922,0.21862,0.12413,0.01972,0.00704,0.73874,1.05669,1.79939,0.33929,0.99552,0.99552,8.02018,50.26682,0.73543,5,0.01302,0.00548,14.92471,25.09719
