"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",7.53140625,"Up",7346000,-5643000,1703000,-1384000,-1225000,325000,-16000,-16000,309000,309000,-104000,205000,205000,205000,205000,4443397.09533338,4443397.09533338,5936934.39546974,5936934.39546974,11974213.4467953,256409.441203129,-302763.746211283,22610954.3788016,6688521.5836289,300615.748469274,300615.748469084,6989137.33209817,29600091.7108998,3764622.44218826,1893087.46856231,2140464.32250459,421843.066866294,4186465.50905456,3803857.89540488,-1006434.9525766,-1537742.08806072,2797422.94282828,6983888.45188283,14361554.4192989,-3598505.99475169,11949691.8937208,-96537.0592511382,22616203.2590169,22616203.2590169,29600091.7108998,205000,159000,-1260739.26616055,548000,912000,-206000,-210000,-52000,0,-52000,650000,650000,650000,484000,0,930000,0.23183,0.04424,0.02791,0.0580061854635417,0.0453688942181198,4.53659,4.96403220573626,0.306726621307991,0.143155989369996,0.10343,0.09702,3.70636,11.5296100208528,0.46922,-0.036709776183485,0.0598059685981068,0.955895957746056,1.02135417795355
"2","2011_Q1",7.25548387096774,"Down",8226000,-6061000,2165000,-1500000,-1319000,664000,-24000,-24000,640000,640000,-118000,522000,522000,522000,522000,4447000,4447000,5427000,5427000,11032000,1145000,352000,22051000,6159000,296000,296000,6455000,28506000,2809000,1247000,1562000,404000,3213000,3472000,-858000,-1367000,2614000,5827000,14014000,-2724000,11467000,-78000,22679000,22679000,28506000,522000,181000,-23000,-633000,47000,-180000,73000,-232000,0,-232000,-112000,-112000,-112000,845000,3876000,150000,0.26319,0.08072,0.06346,0.02302,0.01831,0.28736,6.86306,0.25693,0.13597,0.26337,0.24704,4.15035,11.44248,0.07568,0.02031,0.00584,-0.67574,-0.85994
"3","2011_Q2",7.48126984126984,"Up",8275000,-6209000,2066000,-1464000,-1297000,612000,-15000,-15000,597000,597000,-179000,418000,418000,418000,418000,4589784.30155554,4589784.30155554,5380855.20151009,5380855.20151009,10984178.8510682,1310280.18626562,575837.915403761,22265098.5403995,5981159.4721237,299961.417176909,299961.417176972,6281120.88930061,28546219.4297001,2610042.51927058,1032137.51047923,1493095.2258318,378802.311044569,2988844.83031515,3384714.03486504,-830521.682474465,-1335335.97064643,2554192.35239057,5543037.18270572,13931398.5269004,-2560998.00174944,11707352.7020931,-74570.9802496206,23003182.2469944,23003182.2469944,28546219.4297001,418000,167000,397669.633080273,-703000,-118000,-101000,-101000,-58000,-371675.435813469,-58000,-277000,-277000,-277000,779000,0,154000,0.24967,0.07396,0.05051,0.0196154381788194,0.0158753685939601,0.36842,7.40872426475458,0.24129112623067,0.131836336876668,0.2109,0.19782,4.17508,11.5896591597157,0.0777,0.0414457587278283,0.022948843800631,-1.01985448591535,-1.20582055931785
"4","2011_Q3",7.3071875,"Down",7916000,-5410000,2506000,-1361000,-1197000,1149000,-15000,-15000,1134000,1134000,-341000,793000,716000,716000,716000,4794000,4794000,5586000,5586000,11392000,1124000,557000,22896000,6011000,310000,310000,6321000,29217000,2839000,1090000,1692000,349000,3188000,3410000,-858000,-1367000,2552000,5740000,14014000,-2724000,12265000,-78000,23477000,23477000,29217000,716000,168000,305069.633080273,219000,1103000,-84000,-84000,-59000,-693275.684849737,-395000,624000,624000,624000,1317000,3759000,1793000,0.31657,0.14515,0.09045,0.0305,0.02451,2.50419,7.18193,0.24449,0.12866,0.36125,0.33885,3.99395,11.84511,0.90464,0.03988,0.06797,-0.78588,-0.90078
"5","2011_Q4",7.46746031746032,"Up",8401000,-5427000,2974000,-1145000,-1049000,1979000,-7000,-7000,1972000,1972000,-595000,1377000,904000,904000,904000,4934000,4934000,5879000,5879000,11737000,1036000,469000,23586000,6099000,325000,325000,6424000,30010000,3147000,1285000,1855000,316000,3463000,3385000,-858000,-1367000,2527000,5990000,14170000,-2724000,12652000,-78000,24020000,24020000,30010000,904000,163000,2999.99999999988,-105000,965000,-250000,-250000,-58000,-517000,-575000,140000,140000,140000,2142000,3701000,2382000,0.35401,0.23557,0.10761,0.03764,0.03012,2.63496,6.81086,0.24938,0.12333,0.4561,0.4365,4.23865,12.11907,1.20182,0.03365,0.08867,-0.57563,-0.62304
"6","2012_Q1",8.24145161290323,"Up",8307000,-5828000,2479000,-1361000,-1196000,1114000,-19000,-19000,1095000,1095000,-24000,1071000,588000,588000,588000,4948000,4948000,6031000,6031000,11607000,1392000,505000,23978000,6103000,342000,342000,6445000,30423000,3212000,1451000,1761000,283000,3495000,3188000,-770000,-1266000,2418000,5913000,14297000,-2210000,12490000,-67000,24510000,24510000,30423000,588000,188000,-193000,69000.0000000001,652000,-173000,-173000,-229000,110000,-465000,14000,14000,14000,1302000,3471000,1222000,0.29842,0.1341,0.07078,0.02399,0.01933,2.07823,6.86066,0.24125,0.11409,0.29444,0.27881,4.15974,12.27341,0.61192,0.03432,0.04491,-1.13441,-1.32585
"7","2012_Q2",7.49777777777778,"Down",8067000,-6259000,1808000,-1405000,-1258000,411000,-11000,-11000,4e+05,4e+05,-125000,275000,63000,63000,63000,5009000,5009000,5671000,5671000,11747000,1693000,833000,24120000,6022000,344000,344000,6366000,30486000,3225000,1331000,1894000,276000,3501000,3163000,-770000,-1266000,2393000,5894000,14297000,-2145000,12507000,-67000,24592000,24592000,30486000,63000,171000,15000,-88000,161000,-87000,-87000,-32000,19000.0000000001,-13000,61000,61000,61000,582000,3439000,532000,0.22412,0.05095,0.00781,0.00256,0.00207,8.44444,6.88946,0.23967,0.11281,0.03033,0.0297,3.88397,11.84015,0.25614,0.00231,0.01952,-2.69759,-3.81995
"8","2012_Q3",7.30126984126984,"Down",7719000,-5286000,2433000,-1369000,-1220000,1066000,-12000,-12000,1054000,1054000,-303000,751000,286000,286000,286000,4266000,4266000,6162000,6162000,11684000,2659000,808000,24771000,5881000,353000,353000,6234000,31005000,3503000,1439000,1706000,272000,3775000,3137000,-770000,-1266000,2367000,6142000,14449000,-1677000,12158000,-67000,24863000,24863000,31005000,286000,169000,398000,-1709000,-856000,-49000,-49000,-31000,193000,162000,-743000,-743000,-743000,1235000,3409000,-220000,0.3152,0.1381,0.03705,0.0115,0.00922,-0.76923,6.56185,0.24703,0.10995,0.13296,0.13253,3.58856,11.55881,-0.10228,0.0104,-0.00799999999999999,-0.69393,-0.80394
"9","2012_Q4",6.75322580645161,"Down",7516000,-5536000,1980000,-1416000,-1275000,566000,-11000,-11000,555000,555000,-235000,320000,-124000,-124000,-124000,5547000,5547000,5372000,5372000,11406000,1923000,711000,24248000,5614000,364000,364000,5978000,30226000,3268000,1005000,2263000,191000,3459000,2838000,-770000,-1266000,2068000,5527000,14449000,-1717000,12034000,-67000,24699000,24699000,30226000,-124000,144000,141000,1143000,1304000,382000,382000,-7000,-40000,-405000,1281000,1281000,1281000,710000,3029000,2470000,0.26344,0.07531,-0.0165,-0.00502,-0.0041,-19.91935,7.01012,0.22377,0.10021,-0.05778,-0.05762,3.50233,11.50932,1.15098,0.00868,0.09162,-3.54648,-4.44876
"10","2013_Q1",7.26383333333333,"Up",7208000,-5335000,1873000,-1471000,-1294000,404000,-18000,-18000,386000,386000,-85000,301000,95000,95000,95000,5573000,5573000,4858000,4858000,11213000,1348000,306000,22992000,5946000,365000,365000,6311000,29303000,2862000,1051000,1811000,192000,3054000,2663000,-845000,-1165000,1818000,4872000,14510000,-1765000,11771000,-85000,24431000,24431000,29303000,95000,176000,73000,742000,1086000,-481000,-481000,-173000,-48000,-579000,26000.0000000002,26000.0000000002,26000.0000000002,580000,2855000,926000,0.25985,0.05605,0.01318,0.00389,0.00324,9.74737,7.52849,0.19942,0.09743,0.0441,0.04404,3.34633,11.34215,0.4299,0.01713,0.03502,-4.68621,-6.72772
