"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q3",104.16875,"Down",1430000,-4977000,-2785000,-2192000,-3547000,-40000,-775000,735000,-3587000,-3587000,-90000,-3677000,-3677000,-3677000,-4556000,80003000,80003000,145000,145000,572000,916000,704000,81636000,633000,2219000,2219000,3352000,84988000,4677000,4677000,3650000,3650000,11783000,5930000,5930000,25279000,37062000,171376000,-123450000,47926000,47926000,84988000,-3677000,69000,11000,-387000,-3984000,-16000,-16000,11710000,72725000,68725000,68725000,68725000,-3478000,22805000,-2.48042,-3.18601,-0.09506,-0.05361,6.92829,0.77332,0.26833,-3.83254,-3.83254,1.20293,40.31567,-0.05943,16.44566,16.12574
"2","2015_Q4",65.178125,"Down",1823000,-6058000,-2818000,-3240000,-4235000,-481000,-766000,285000,-4716000,-4716000,97000,-4619000,-4619000,-4619000,-4619000,74256000,62966000,685000,685000,598000,1103000,672000,76642000,597000,2234000,2234000,3331000,79973000,3976000,3976000,3280000,3280000,10895000,5783000,5783000,25245000,36140000,171902000,-128069000,43833000,43833000,79973000,-4619000,69000,264000,-295000,-4581000,-57000,-11347000,0,-1109000.00000001,-17037000,-17037000,-17037000,-4166000,23101000,-2.32309,-2.53374,-0.10538,-0.05776,7.0346,0.82449,0.28886,-2.11652,-2.11652,0.83533,20.08515,-0.06352,12.27916,12.0791
"3","2016_Q1",53.1737704918033,"Down",1346000,-5416000,-2878000,-2538000,-4070000,247000,-650000,897000,-3823000,-4053000,196000,-3857000,-3857000,-3857000,-3857000,50243000,23973000,706000,706000,294000,774000,692000,52017000,585000,1892000,1892000,22225000,74242000,2423000,2423000,1027000,1027000,3450000,5637000,5637000,30567000,34017000,172266000,-131926000,40225000,40225000,74242000,-3857000,84000,404000,-577000,-3946000,-61000,-34990000,24894000,-57000,-38993000,-38993000,-38993000,-3986000,24930000,-3.02377,-2.86553,-0.09589,-0.05195,15.07739,0.84567,0.33579,-1.72424,-1.72424,0.60172,17.98227,-0.05448,6.35048,6.21941
"4","2016_Q2",41.878125,"Down",852000,-5785000,-3436000,-2349000,-4933000,-251000,-327000,76000,-5184000,-5184000,-6000,-5190000,-5190000,-5190000,-5190000,50194000,29540000,587000,587000,316000,1438000,1332000,52535000,656000,2007000,2007000,17570000,70105000,2792000,2792000,1366000,1366000,4158000,5492000,5492000,30470000,34628000,172624000,-137116000,35477000,35477000,70105000,-5190000,67000,345000,-77000,-4855000,-137000,10328000,-45000,94000.0000000009,5567000,5567000,5567000,-4866000,24978000,-5.78991,-6.09155,-0.14629,-0.07403,12.63468,0.97607,0.35629,-2.34761,-2.34761,0.38539,16.04744,-0.0787,5.18208,5.1117
"5","2016_Q3",44.1984375,"Up",721000,-5010000,-2759000,-2251000,-4289000,-251000,-327000,76000,-4540000,-4540000,-11000,-4551000,-4551000,-4551000,-4551000,54232000,27360000,177000,177000,306000,1482000,1390000,56197000,636000,1966000,1966000,9512000,65709000,2570000,2570000,1509000,1509000,4079000,5315000,5315000,30342000,34421000,172961000,-141667000,31288000,31288000,65709000,-4551000,80000,285000,194000,-3992000,-61000,1679000,-1000,133000,-2180000,-2180000,-2180000,-4209000,25027000,-5.94868,-6.31207,-0.14546,-0.06926,13.77715,1.10013,0.38088,-2.05425,-2.05425,0.32545,14.12288,-0.07384,6.9387,6.80928
"6","2016_Q4",28.4103174603175,"Down",1075000,-5002000,-2687000,-2315000,-3927000,-241000,-331000,90000,-4168000,-4168000,-7000,-4175000,-4175000,-4175000,-4175000,53886000,10473000,97000,97000,360000,1332000,1188000,55675000,580000,1852000,1852000,5911000,61586000,2610000,2610000,1215000,1215000,3825000,5173000,5173000,30250000,34075000,173360000,-145842000,27511000,27511000,61586000,-4175000,80000,294000,-130000,-3931000,-24000,-13111000,0,155000,-16887000,-16887000,-16887000,-3847000,25077000,-3.65302,-3.88372,-0.15176,-0.06779,14.55556,1.2386,0.40719,-1.8819,-1.8819,0.48456,12.4007,-0.07228,7.48869,7.33613
"7","2017_Q1",17.9790322580645,"Down",540000,-6011000,-3368000,-2643000,-5471000,-236000,-334000,98000,-5707000,-5707000,-1000,-5708000,-5708000,-5708000,-5708000,50560000,2013000,349000,349000,252000,1061000,877000,52222000,508000,1346000,1346000,4352000,56574000,2359000,2359000,770000,770000,3129000,6120000,6120000,31247000,34376000,173767000,-151550000,22198000,22198000,56574000,-5708000,77000,477000,877000,-4277000,-9000,-4197000,0,14000,-8460000,-8460000,-8460000,-5394000,25127000,-10.13148,-10.57037,-0.25714,-0.10089,16.68968,1.54861,0.44414,-2.56114,-2.56114,0.24229,9.96011,-0.1068,4.71505,4.64869
"8","2017_Q2",13.9622222222222,"Down",1018000,-4981000,-3052000,-1929000,-3963000,-243000,-339000,96000,-4206000,-4206000,-10000,-4216000,-4216000,-4216000,-4216000,48525000,7559000,284000,284000,242000,1393000,1281000,50444000,486000,1718000,1718000,2204000,52648000,2183000,2183000,905000,905000,5171000,6014000,6014000,29106000,34277000,174157000,-155766000,18371000,18371000,52648000,-4216000,81000,381000,-776000,-4530000,-53000,10060000,-13052927.289481,16000.0000000005,5546000,5546000,5546000,-3882000,25175000,-3.89293,-4.14145,-0.22949,-0.08008,9.75517,1.86582,0.47818,-1.9008,-1.9008,0.45897,8.28265,-0.08507,6.01494,5.892
"9","2017_Q3",9.16634920634921,"Down",991000,-4728000,-2943000,-1785000,-3737000,-261000,-365000,104000,-3998000,-3998000,-8000,-4006000,-4006000,-4006000,-4006000,44178000,13438000,432000,432000,286000,1621000,1480000,46517000,417000,1499000,1499000,1916000,48433000,1834000,1834000,693000,693000,6694000,5920000,5920000,26978000,33672000,174546000,-159772000,14761000,14761000,48433000,-4006000,65000,410000,-856000,-4387000,-1000,10266000,-27990509.7976096,0,5879000,5879000,5879000,-3672000,25225000,-3.77094,-4.04238,-0.27139,-0.08271,6.94906,2.28115,0.52082,-1.87789,-1.87789,0.46455,6.91952,-0.08727,5.16149,5.07172
"10","2017_Q4",5.42333333333333,"Down",589000,-4204000,-2415000,-1789000,-3615000,3000,-43000,46000,-3612000,-4512000,-13000,-4525000,-4525000,-4525000,-4525000,15697000,2930000,73000,73000,236000,1160000,1099000,17166000,369000,1443000,1443000,1812000,18978000,1863000,1863000,657000,657000,2520000,5791000,5791000,5791000,8311000,174968000,-164297000,10667000,10667000,18978000,-4525000,69000,1301000,790000,-2365000,-19000,17974000,-2.5e+07,-26117000,-10508000,-10508000,-10508000,-3546000,0,-6.13752,-7.68251,-0.42421,-0.23843,6.8119,0.779129999999999,-1.11022302462516e-16,-2.12058,-2.12058,0.27603,4.99895,-0.27494,4.42668,4.34219
