"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q3",37.1004761904762,"Down",344047000,-201819000,142228000,-108126000,-105168000,-2958000,34102000,-3353000,-3353000,30749000,25307000,-4878000,20429000,20429000,20429000,20429000,386000,386000,38500000,38500000,367473000,9729000,7648000,416088000,183649000,344483000,109378000,227447000,7658000,528132000,944220000,297412000,243584000,53828000,3500000,21519000,21519000,322431000,178325000,82320000,35385000,46935000,260645000,583076000,313416000,48318000,-590000,361144000,361144000,944220000,20429000,9125000,8033000,-27222000,10365000,-25697000,-25697000,-177575000,193841000,193841000,-993000,15273000,-59000,-59000,-59000,43227000,181825000,-4814000,0.4134,0.09912,0.05938,0.05657,0.02164,-0.23565,1.29047,1.61452,0.19257,0.22484,0.20196,3.7865,3.97466,-0.05298,0.03267,-0.0077,4.19735,5.32048
"2","2017_Q4",40.4053968253968,"Up",343923000,-201432000,142491000,-113895000,-107195000,-6700000,28596000,-2610000,-2610000,25986000,25986000,-2730999.99999999,23255000,23255000,23255000,23255000,567000,567000,48615000,48615000,395620000,11505000,7525000,456307000,200400000,344224000,109370000,227447000,7407000,544624000,1000931000,315124000,249246000,65878000,3500000,25600000,25600000,344224000,183919000,84617000,37300000,47317000,268536000,612760000,317308000,71574000,-711000,388171000,388171000,1000931000,23255000,9579000,2588000,-18998000,16424000,-24141000,-24141000,5424999.99999994,2472999.99999997,2472999.99999997,0,7898000,181000,181000,181000,38175000,187419000,-2233000.00000001,0.41431,0.08315,0.06762,0.05991,0.02323,-0.0960200000000001,1.32561,1.57858,0.18724,0.24621,0.22276,3.64132,4.1098,-0.02364,0.03522,-0.00338,4.89462,6.5342
"3","2018_Q1",47.2309836065574,"Up",389501000,-227127000,162374000,-129973000,-127313000,-2660000,32401000,-2400000,-2400000,30001000,30001000,17975000,47976000,47976000,47976000,47976000,556000,556000,54041000,54041000,427950000,20665000,8193000,503212000,220952000,343828000,109362000,227447000,7019000,564780000,1067992000,333277000,258730000,74547000,3500000,22523000,22523000,359300000,185562000,80270000,27218000,53052000,265832000,625132000,323515000,119550000,-205000,442860000,442860000,1067992000,47976000,10425000,-9543000,-22514000,26344000,-32614000,-32614000,2025000,4800000,4800000,-566000,6259000,-11000,-11000,-11000,42826000,189062000,-30277000,0.41688,0.08319,0.12317,0.10833,0.04492,-0.63109,1.40053,1.41158,0.17703,0.50521,0.45935,4.10159,4.66348,-0.31883,0.06736,-0.04251,4.40167,5.81791
"4","2018_Q2",51.35390625,"Up",402948000,-237562000,165386000,-128880000,-125906000,-2974000,36506000,-1784000,-1784000,34722000,34722000,-2851000,31871000,31871000,31871000,31871000,572000,572000,38265000,38265000,426719000,20862000,11096000,486418000,245407000,344057000,109354000,227447000,7256000,589464000,1075882000,323841000,255007000,68834000,3500000,3742000,3742000,331083000,169805000,87397000,29920000,57477000,257202000,588285000,328125000,159247000,225000,487597000,487597000,1075882000,31871000,11534000,1946000,-4739000,40612000,-27841000,-27841000,-15950000,3195000,3195000,-488634.546829021,-12755000,16000,16000,16000,48040000,173305000,18311000,0.41044,0.0906,0.07909,0.06536,0.02962,0.57453,1.46917,1.2065,0.16108,0.33298,0.3045,4.20992,5.09431,0.19131,0.04259,0.02447,3.59561,4.73163
"5","2018_Q3",40.7852380952381,"Down",434279000,-256641000,177638000,-140393000,-133805000,-6588000,37245000,-2145000,-2145000,35100000,35100000,4746000,39846000,39846000,39846000,39846000,547000,547000,41343000,41343000,432446000,27973000,12107000,502309000,271500000,344601000,109346000,227447000,7808000,616101000,1118410000,327149000,264987000,62162000,3500000,4683000,4683000,335332000,156798000,91606000,30702000,60904000,248404000,583736000,335121000,199093000,460000,534674000,534674000,1118410000,39846000,12098000,869000,-9502000,43311000,-35597000,-35597000,-13200000,5461000,5461000,0,-7739000,-25000,-25000,-25000,49343000,160298000,-502000,0.40904,0.08576,0.09175,0.07452,0.03563,-0.0126,1.49795,1.09176,0.14333,0.41213,0.37966,4.49174,5.53012,-0.00519,0.05066,-0.00064,3.23756,4.28919
"6","2018_Q4",29.1825396825397,"Down",435882000,-257656000,178226000,-143989000,-135659000,-8330000,34237000,-2171000,-2171000,32066000,32066000,-5498000,26568000,26568000,26568000,26568000,534000,534000,55668000,55668000,403772000,26786000,16553000,486760000,300279000,344828000,109338000,227447000,8042999.99999999,645107000,1131867000,315611000,237785000,77826000,3500000,5047000,5047000,324158000,142516000,101517000,30528000,70989000,244033000,568191000,337424000,225661000,591000,563676000,563676000,1131867000,26568000,13411000,246000,19551000,59776000,-45957000,-45957000,-14475000,642999.999999999,642999.999999999,0,-13832000,-13000.0000000001,-13000.0000000001,-13000.0000000001,47648000,146016000,26740000,0.40889,0.07855,0.06095,0.04713,0.02347,1.00647,1.50161,1.00801,0.129,0.27318,0.25402,4.48185,5.79586,0.27495,0.03275,0.03296,3.05327,4.24926
"7","2019_Q1",35.0916393442623,"Up",436739000,-255721000,181018000,-157705000,-149452000,-8253000,23313000,-2817000,-2817000,20496000,20496000,-2594000,17902000,17902000,17902000,17902000,644000,644000,67527000,67527000,471014000,20273000,15949000,559458000,328366000,346267000,109330000,227447000,9490000,674633000,1234091000,395541000,313503000,82038000,3500000,5244000,5244000,404285000,141834000,103663000,26838000,76825000,245497000,649782000,340560000,243563000,186000,584309000,584309000,1234091000,17902000,14949000,-2198000,11272000,41925000,-42002000,-42002000,-875000,1232000,1232000,-170000,187000,110000,110000,110000,38262000,145334000,10126000,0.41448,0.05338,0.04099,0.03064,0.01451,0.56564,1.38382,1.11205,0.11777,0.18375,0.17208,4.48273,5.9974,0.10393,0.02148,0.01215,3.78156,6.20641
"8","2019_Q2",41.7880952380952,"Up",477050000,-275676000,201374000,-161612000,-157585000,-4027000,39762000,-2921000,-2921000,36841000,36841000,-6121000,30720000,30720000,30720000,30720000,450999.999999998,450999.999999998,66101000,66101000,437504000,23342000,23342000,527398000,338888000,1007065000,109322000,227447000,670296000,1345953000,1873351000,314653000,229498000,76390000,3500000,80196000,80196000,398349000,143252000,711789000,25666000,686123000,855041000,1253390000,346005000,274104000,-148000,619961000,619961000,1873351000,30720000,17184000,1803000,-22686000,27021000,-31634000,-31634000,1225000,1776000,1776000,1419000,4420000,-193000,-193000,-193000,56946000,146752000,8747000,0.42212,0.08335,0.0644,0.04955,0.0164,0.28473,1.32396,2.02172,0.07834,0.31416,0.29448,4.87856,6.34004,0.08945,0.02078,0.00592,2.56912,3.67942
"9","2019_Q3",44.91640625,"Up",520311000,-302488000,217823000,-171928000,-165559000,-6369000,45895000,-2223000,-2223000,43672000,43672000,-76000,43596000,43596000,43596000,43596000,51450000,51450000,35641000,35641000,446397000,30526000,27689000,564014000,382646000,1064464000,109315000,227447000,727702000,1447110000,2011124000,369710000,272695000,97015000,3500000,51428000,51428000,424638000,140470000,775128000,25173000,749955000,915598000,1340236000,353549000,317700000,-361000,670888000,670888000,2011124000,43596000,17726000,2409000,31405000,95136000,-46538000,-46538000,-2975000,5376000,5376000,0,2401000,50999000,50999000,50999000,63621000,143970000,48564000,0.41864,0.08821,0.08379,0.06498,0.02168,1.11396,1.32822,1.9977,0.07159,0.44196,0.41563,5.27469,6.80117,0.49232,0.02742,0.03054,1.45424,2.01591
"10","2019_Q4",46.86109375,"Up",521093000,-307305000,213788000,-182388000,-174204000,-8184000,31400000,-1978000,-1978000,29422000,29422000,11552000,40974000,40974000,40974000,40974000,84106000,84106000,45284000,45284000,483957000,30362000,21113000,643709000,425498000,1087666000,109307000,227447000,750912000,1513164000,2156873000,430491000,318350000,112141000,0,61941000,61941000,492432000,143288000,798113000,20005000,778108000,941401000,1433833000,364727000,358674000,-361000,723040000,723040000,2156873000,40974000,18387000,238000,27838000,87437000,-62843000,-62843000,-875000.000000004,7911000,7911000,1026000,8062000,32656000,32656000,32656000,49787000,143288000,3230000,0.41027,0.06026,0.07863,0.05667,0.019,0.0788300000000002,1.3072,1.98306,0.06643,0.40918,0.3894,5.2038,7.22051,0.0322599999999999,0.02462,0.00193999999999999,1.1887,1.88478
