"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",31.016393442623,"Up",16105000,-64079000,-12821000,-51258000,-47974000,-2586000,-2934000,348000,-50560000,-50560000,0,-50560000,-50560000,-50560000,-50560000,179819000,165455000,14364000,13453000,13453000,4966000,4966000,198238000,132171000,144269000,8850000,8850000,285290000,483528000,53536000,4551000,48985000,9218000,9218000,62754000,180098000,180098000,180098000,242852000,546837000,-322283000,-3149000,221405000,19271000,240676000,483528000,-50560000,1140000,9203000,16452000,-23765000,-2566000,-137727000,-140293000,19899000,772000,772000,154992000,175663000,11605000,11605000,-39000,11566000,-46834000,0,-32948000,-2.97883,-3.1394,-0.21007,-0.10456,0.65166,3.15897,1.00904,0,-1.44296,-2.75998,0.45963,6.31882,-0.94032,-0.12016,-0.0783,3.8395,3.74826
"2","2015_Q2",23.2636507936508,"Down",16298000,-61021000,-10482000,-50539000,-44723000,-1915000,-2758000,843000,-46638000,-46638000,271000,-46367000,-46367000,-46367000,-46367000,142691000,128369000,14322000,6963000,6963000,5746000,5746000,155400000,131660000,139518000,8962000,8962000,280140000,435540000,44899000,2433000,42466000,9058000,9058000,53957000,177696000,177696000,177696000,231653000,554004000,-368650000,-738000,184616000,19271000,203887000,435540000,-46367000,1388000,6943000,-4154000,-42190000,-448000,4999999.99999997,4552000,-101000.000000004,721000,721000,0,620000.00000003,-37017999.9999999,-37017999.9999999,-68000,-37085999.9999999,-43335000,0,-48208000,-2.74408,-2.84495,-0.22742,-0.10646,1.0397,2.88007,1.13618,0,-0.78327,-0.78327,0.27532,3.11867,-0.81437,-0.12151,-0.12634,3.29274,3.19055
"3","2015_Q3",24.23265625,"Up",120550000,-61235000,-9680000,-51555000,59315000,-2055000,-2762000,707000,57260000,57260000,-205000,57055000,57055000,57055000,57055000,248665000,236536000,12129000,12183000,12183000,2731000,2731000,263579000,130451000,138310000,9055000,9055000,277816000,541395000,50155000,3915000,46240000,13347000,13347000,63502000,205007000,205007000,205007000,268509000,565833000,-311595000,-623000,253615000,19271000,272886000,541395000,57055000,1408000,8017000,34567000,101047000,-541000,2035000,1494000,-1e+05,4887000,4887000,0,4787000,107328000,107328000,839000,108167000,60723000,0,94954000,0.49204,0.47329,0.20908,0.10539,1.66425,4.15072,0.98396,0,0.95413,0.82987,2.01595,4.2412,1.58791,0.11939,0.19869,-4.09507,-4.19228
"4","2015_Q4",26.54484375,"Up",19538000,-63308000,-11237000,-52071000,-43770000,-1300000,-2758000,1458000,-45070000,-45070000,-28000,-45098000,-45098000,-45098000,-45098000,221523000,208650000,12873000,7373000,7373000,3677000,3677000,232573000,129607000,127974000,9093000,9093000,266674000,499247000,46008000,4234000,41774000,12980000,12980000,58988000,203704000,203704000,203704000,262692000,575591000,-356693000,-1614000,217284000,19271000,236555000,499247000,-45098000,1422000,7509000,-1958000,-38125000,-679000,471000,-207999.999999998,-101000,2915000,2915000,1.86264514923096e-09,2814000,-35519000,-35519000,-833000,-36352000,-42348000,0,-44957000,-2.24025,-2.30822,-0.19064,-0.09033,0.99687,3.94272,1.11049,0,-0.74215,-0.74215,0.32152,3.57569,-0.73983,-0.10244,-0.10211,5.23101,5.06107
"5","2016_Q1",19.9324590163934,"Down",24442000,-72889000,-12965000,-59924000,-48447000,-2642000,-2755000,113000,-51089000,-51089000,-280000,-51369000,-51369000,-51369000,-51369000,181171000,153324000,27847000,15405000,15405000,3988000,3988000,200564000,129020000,131720000,9270000,9270000,270010000,470574000,54453000,6521000,47932000,12728000,12728000,67181000,206568000,206568000,206568000,273749000,587267000,-408062000,-1651000,177554000,19271000,196825000,470574000,-51369000,1461000,8104000,2501000,-39303000,-307000,-11399000,-11706000,-101000,6469000,6469000,-2243000,4125000,-46884000,-46884000,24000,-46860000,-46986000,0,-44512000,-1.98212,-2.10167,-0.26099,-0.10916,0.86651,2.98543,1.39082,0,-0.8341,-0.976,0.39688,2.88303,-0.72276,-0.12734,-0.11034,3.85585,3.73957
"6","2016_Q2",18.31546875,"Down",28282000,-55067000,-11417000,-43650000,-26785000,-1361000,-2777000,1416000,-28146000,-28146000,305000,-27841000,-27841000,-27841000,-27841000,173413000,140959000,32454000,5937000,5937000,4651000,4651000,184001000,127613000,122009000,8912000,8912000,258534000,442535000,45581000,1543000,44038000,12722000,12722000,58303000,208009000,208009000,208009000,266312000,594559000,-435903000,-1704000,156952000,19271000,176223000,442535000,-27841000,1502000,7076000,2005000,-17258000,-898000,5956999.99999999,5059000,-101000,1213000,1213000,-1261000,-149000,-12348000,-12348000,-17000,-12365000,-25283000,0,-24481000,-0.94707,-0.98441,-0.15799,-0.06291,0.87931,3.15594,1.51122,0,-0.44772,-0.44772,0.45481,2.52399,-0.39369,-0.07246,-0.06371,6.85888,6.47426
"7","2016_Q3",18.8425,"Up",89281000,-62768000,-10377000,-52391000,26513000,-2309000,-2438000,129000,24204000,24204000,113000,24317000,24317000,24317000,24317000,230516000,190411000,40105000,18088000,18088000,3705000,3705000,252309000,126264000,111540000,9016000,9016000,246820000,499129000,51416000,3474000,47942000,15027000,15027000,66443000,220309000,220309000,220309000,286752000,605716000,-411586000,-1024000,193106000,19271000,212377000,499129000,24317000,1505000,9307000,9549000,44678000,-121000,2214000,2093000,-1e+05,3283000,3283000,-530000,2653000,49424000,49424000,28000,49452000,28018000,0,37333000,0.29696,0.27236,0.1145,0.04872,1.53526,3.79738,1.3502,0,0.38856,0.35231,1.42662,3.08565,0.59655,0.0562,0.08628,-8.22743,-8.69445
"8","2016_Q4",19.9725396825397,"Up",30102000,-52204000,-11646000,-40558000,-22102000,-1894000,-2760000,866000,-23996000,-23996000,-158000,-24154000,-24154000,-24154000,-24154000,241805000,198283000,43522000,7692000,7692000,3965000,3965000,253462000,124774000,98730000,9247000,9247000,232751000,486213000,53787000,2039000,51748000,7957000,7957000,61744000,226853000,226853000,226853000,288597000,615418000,-435740000,-1333000,178345000,19271000,197616000,486213000,-24154000,1513000,9109000,11765000,-1767000.00000001,-87000,8672000,8585000,-101000,1641000,1641000,-451000,1089000,7907000,7907000,-35000,7872000,-20589000,0,-8752999.99999999,-0.73424,-0.80241,-0.12223,-0.04968,0.36238,4.10505,1.46039,0,-0.38426,-0.38426,0.47889,2.83727,-0.13925,-0.0569,-0.02062,11.74438,10.94041
"9","2017_Q1",24.3601612903226,"Up",31912000,-63192000,-12585000,-50607000,-31280000,-2533000,-2750000,217000,-33813000,-33813000,-189000,-34002000,-34002000,-34002000,-34002000,253179000,173782000,79397000,10448000,10448000,2889000,2889000,266516000,123657000,71010000,8369000,8369000,203036000,469552000,57137000,6223000,50914000,7988000,7988000,65125000,229318000,229318000,229318000,294443000,626540000,-469742000,-960000,155838000,19271000,175109000,469552000,-34002000,1520000,9121000,4816000,-18545000,-146000,-8969000,-9115000,-101000,3744000,3744000,-498000,3145000,-24515000,-24515000,14000,-24501000,-29760000,0,-24901000,-0.9802,-1.06549,-0.19418,-0.07241,0.73234,4.09238,1.68148,0,-0.53672,-0.59745,0.50373,2.45987,-0.39306,-0.08407,-0.06157,8.50736,8.09396
"10","2017_Q2",27.8634920634921,"Up",29442000,-58262000,-11530000,-46732000,-28820000,-1730000,-2375000,645000,-30550000,-30550000,-60000,-30610000,-30610000,-30610000,-30610000,243422000,170598000,72824000,7248000,7248000,5911000,5911000,256581000,122818000,53155000,9202000,9202000,185175000,441756000,52129000,2950000,49179000,7984000,7984000,60113000,230671000,230671000,230671000,290784000,635624000,-502903000,-1020000,131701000,19271000,150972000,441756000,-30610000,1525000,8989000,-7039000,-27135000,-631000,24039000,23408000,-101000,3099000,3099000,-2424000,573999.999999998,-3153000,-3153000,-31000,-3184000,-27295000,0,-34905000,-0.97887,-1.03967,-0.20275,-0.06929,1.14031,4.26831,1.92608,0,-0.478,-0.478,0.45977,2.05664,-0.54508,-0.08021,-0.09146,8.91819,8.44629
