"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","total_current_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2011_Q1",15.6133870967742,"Up",-2556870,132868,-1088587,-2556870,-152234,-133165,-16619,-2709104,-2790646,-2790646,-2790646,-2790646,-2790646,264669,264669,61089,325758,329849,797763,797763,3290071,3290071,18935852,-21896074,-2960222,-2960222,329849,-2790646,371273,755447,-1663586,473126,-1193770,-1193770,-1193770,2492308,0.94272,-8.46037,0.09901,-1.11143,7.55591,-0.36912,-0.52063,-0.39155,5.96401,-0.87124
"2","2011_Q2",12.0514285714286,"Down",-1367102,-48288,-497290,-1367102,-15489,-7956,-5490,-1382591,-1886751,-1886751,-1886751,-1886751,-1886751,2326875.17530239,2326875.17530239,47352.0165896352,2374227.19189202,2377805.42583406,3186567.65735193,3186567.65735193,4797165.57626275,4799682.23272796,22460818.8136209,-24882695.6205148,-2421876.8068939,-2421876.8068939,2377805.42583406,-1886751,225570,576729,-1083961,1243075,159114,159114,159114,0,1.70018498564428,-12.8202971739602,0.919254310497229,-3.38724512937943,4.30046627441716,-0.311,-0.311,-0.348354141574667,25.7709306553372,1.0828606333427
"3","2011_Q3",8.305625,"Down",-1945977,-24150,-730242,-1945977,-26409,-3945,-20716,-1972386,-2420214,-2420214,-2420214,-2420214,-2420214,2313009.67530239,2313009.67530239,47268.0165896352,2360277.69189203,2363451.62583406,2872791.75735192,2872791.75735192,3938437.97626275,3966767.03272796,25036593.1136209,-26639908.5205148,-1603315.4068939,-1603315.4068939,2363451.62583406,-2420214,659821,1171044,-588942,168800,-420142,-420142,-420142,0,1.86604998564428,-8.6407901739602,0.961564310497229,-3.43593712937943,1.43770527441716,-0.38467,-0.38467,-0.243887141574667,27.0837366553372,1.1574156333427
"4","2011_Q4",5.91873015873016,"Down",-1663811,-7349,-777971,-1663811,-25073,-3994,-18352,-1688884,-1578884,-1578884,-1578884,-1578884,-1578884,1222654,1222654,53764,1276418,1279234,1367287,1367287,2195187,2252687,26808470,-27781923,-973453,-973453,1279234,-1578884,65886,306634,-1205987,2425000,1219013,1219013,1219013,827900,1.62194,-1.23424,0.58146,-2.31412,0.64718,-0.24968,-0.24968,-0.15394,17.93106,0.23726
"5","2012_Q1",6.43290322580645,"Up",-1264410,-13391,-591776,-1264410,-61925,-74351,14609,-1326335,-1421298,-1421298,-1421298,-1421298,-1421298,134702,134702,65903,200605,203039,410024,410024,1277943,1345443,28060817,-29203221,-1142404,-1142404,203039,-1421298,372851,125476,-922589,-165363,-1087952,-1087952,-1087952,867919,1.24413,-7.00012,0.15697,-1.17773,4.27464,-0.21909,-0.21909,-0.1761,6.86667,-0.57989
"6","2012_Q2",3.94079365079365,"Down",-2224469,-3172,-1717333,-2224469,-5186.99999999999,-42420,39556,-2229656,-2174656,-2174656,-2174656,-2174656,-2174656,9079,9079,73544,82623,84592.9999999999,1397295,1397295,2553389,2593077,28869393,-31377877,-2508484,-2508484,84592.9999999999,-2174656,123854,962215,-1088123,962500,-125623,-125623,-125623,1156094,0.86692,-25.70728,0.03236,-1.03372,13.66654,-0.32532,-0.32532,-0.37526,1.65663,-0.51564
"7","2012_Q3",4.28634920634921,"Up",-836119,-2283,-429607,-836119,-83429,-50064,-32418,-919548,-907048,-907048,-907048,-907048,-907048,178647,178647,10948,189595,191100,1918747,1918747,3119454,3146920,29329105,-32284925,-2955820,-2955820,191100,-907048,236263,556138,-114182,283750,169568,169568,169568,1200707,0.30687,-4.74646,0.06078,-1.06465,6.28313,-0.13269,-0.13269,-0.43241,0.52502,-1.22239
"8","2012_Q4",3.73064516129032,"Down",-711638,-2965,-393963,-711638,-1652,-37988,37904,-713290,-4542618,-4542618,-4542618,-4542618,-4542618,18195,18195,2900,21095,22135,2170923,2170923,2219923,2294923,34554755,-36827543,-2272788,-2272788,22135,-4542618,125091,4178360,-238702,78250.0000000001,-160452,-160452,-160452,49000,1.9987,-205.22331,0.00950000000000001,-1.00974,2.21369,-0.64081,-0.64081,-0.32061,2.11404,-0.04329
"9","2013_Q1",2.787,"Down",-641383,-727,-112957,-641383,-35995,-7869,-27001,-677378,-677383,-677383,-677383,-677383,-677383,11362,11362,1215,12577,13153,2589324,2589324,2888324,2888324,34629755,-37504926,-2875171,-2875171,13153,-677383,1684,423302,-251933,245100,-6833,-6833,-6833,299000,0.2356,-51.50027,0.00435,-1.00457,22.73246,-0.08961,-0.08961,-0.38034,0.26294,-0.44847
"10","2013_Q2",2.538125,"Down",-415377,2.91038304567337e-11,-127003,-415377,-38140,-10225,-27425,-453517,-453517,-453517,-453517,-453517,-453517,79789,79789,0,79789,79900,2809588,2809588,3408588,3408588,34629755,-37958443,-3328688,-3328688,79900,-453517,1215,320264,-131573,2e+05,68427,68427,68427,599000,0.13624,-5.67606000000001,0.02341,-1.024,7.49687,-0.0599900000000001,-0.05999,-0.44029,0.16614,-1.24998
