"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q4",48.72234375,"Down",26317000,-16171000,10146000,-16504000,-9977000,-6527000,-6358000,-537000,-546000,9000,-6895000,-6895000,59000,-6836000,-6836000,-6836000,-6836000,84672000,84672000,21177000,21177000,2495000,2495000,108344000,16474000,2967000,1333000,1634000,2353804.89794848,19441000,127785000,24552000,5596000,18956000,14502000,14192000,40224000,6361000,60759000,58166000,2593000,67120000,107344000,0,213780000,-193339000,20441000,20441000,127785000,-6836000,2041000,951000,7288000,3444000,-3267000,-3267000,71122000,542000,542000,-842000,70822000,70999000,70999000,70999000,-4317000,7531000,-355000,0.38553,-0.24159,-0.25976,-0.33443,-0.0535,0.05193,2.69352,5.25141,0.05893,-1.07868,-1.07868,4.15265,3.22546,-0.05602,-0.07704,-0.004,17.86912,12.1329
"2","2014_Q1",62.8122950819672,"Up",30256000,-19473000,10783000,-18474000,-11766000,-6708000,-7691000,-603000,-537000,-66000,-8294000,-8294000,12000,-8282000,-8282000,-8282000,-8282000,78813000,65645000,23668000,23668000,4322000,4322000,106803000,27444000,5364000,1256000,1634000,2474000,32808000,139611000,22448000,4354000,18094000,15158000,15158000,41894000,20020000,66265000,65063000,1202000,86285000,128179000,0,214511000,-203079000,11432000,11432000,139611000,-8282000,2246000,1006000,2465000,-2565000,-2223000,-15391000,0,127000,127000,-1198000,-1071000,-19027000,-19027000,-19027000,-5445000,24308000,-5215000,0.35639,-0.2542,-0.27373,-0.724459999999996,-0.05932,0.62968,2.54936,11.2123,0.17411,-0.33623,-0.33623,1.22832,0.46411,-0.21172,-0.08119,-0.05112,10.0101,7.08685
"3","2014_Q2",37.4898412698413,"Down",30696000,-19226000,11470000,-23294000,-14516000,-8778000,-11824000,-564000,-562000,-2000,-12388000,-12388000,-14000,-12402000,-12402000,-12402000,-12402000,74954000,48824000,18291000,18291000,4784000,4784000,98029000,28812000,5201000,1180000,1634000,2387000,34013000,132042000,23775000,4348000,19427000,14090000,14090000,41189000,20883000,69711000,68183000,1528000,90594000,131783000,0,215740000,-215481000,259000,259000,132042000,-12402000,2444000,1226000,8749000,17000,-2107000,-15066000,-46000,466000,466000,-2192000,-1772000,-16821000,-16821000,-16821000,-9380000,24207000,-2724000,0.37366,-0.3852,-0.40403,-47.88417,-0.09392,0.21964,2.37998,508.81467,0.18333,-0.50535,-0.50535,1.25079,0.01055,-0.111,-0.13169,-0.02892,5.41013,4.29186
"4","2014_Q3",36.5040625,"Down",32337000,-21037000,11300000,-28711000,-18339000,-10372000,-17411000,-774000,-773000,-1000,-18185000,-18185000,-15000,-18200000,-18200000,-18200000,-18200000,71693000,55225000,21367000,21367000,5293000,5293000,98353000,37739000,4918000,1103000,1634000,2181000,42657000,141010000,26190000,2955000,23235000,15838000,15838000,46022000,34354000,75223000,73359000,1864000,109577000,155599000,-8.470329472543e-22,219092000,-233681000,-14589000,-14589000,141010000,-18200000,2556000,2223000,6179000,-7242000,-1623000,7943000,7046000,1778000,1778000,-3124000,5700000,6401000,6401000,6401000,-14855000,38348000,-10284000,0.34944,-0.53842,-0.56282,1.24752,-0.12907,0.56505,2.13709,-10.6654999999998,0.27195,-0.72212,-0.72212,1.28302,-0.57884,-0.40803,-0.18387,-0.1039,2.2447,1.91517
"5","2014_Q4",26.34984375,"Down",34200000,-23355000,10845000,-28607000,-17138000,-11469000,-17762000,-1135000,-1127000,-8000,-18897000,-18897000,9000,-18888000,-18888000,-18888000,-18888000,60907000,53776000,17962000,17962000,4691000,4691000,83560000,43546000,4589000,1027000,1634000,1928000,48135000,131695000,27285000,3236000,24049000,18076000,18076000,49371000,37967000,75515000,73326000,2189000,113482000,162853000,0,221411000,-252569000,-31158000,-31158000,131695000,-18888000,2600000,2834000,7999000,-5455000,-4255000,5009000,0,462000,462000,-1465000,-1003000,-1449000,-1449000,-1449000,-15162000,41977000,-11427000,0.31711,-0.51936,-0.55228,0.6062,-0.14342,0.60499,1.69249,-5.22668,0.31874,-0.74041,-0.74041,1.34064,-1.2214,-0.44794,-0.21878,-0.13236,1.24852,1.06576
"6","2015_Q1",29.8901639344262,"Up",40187000,-23852000,16335000,-28241000,-17131000,-11110000,-11906000,-1778000,-1767000,-11000,-13684000,-13684000,-5000,-13689000,-13689000,-13689000,-13689000,56209000,51074000,21311000,21311000,4242000,4242000,81762000,54021000,4235000,951000,1634000,1650000,58256000,140018000,32134000,5589000,26545000,20384000,20384000,56715000,49897000,76229000,74126000,2103000,126126000,182841000,0,223435000,-266258000,-42823000,-42823000,140018000,-13689000,1893000,3698000,1900000,-6198000,-1839000,161000,4900000,110999.999999996,111000.000000004,-1676000,3335000,-2702000,-2702000,-2702000,-10013000,54094000,-9947000,0.40647,-0.29626,-0.34063,0.319659999999998,-0.09777,0.72664,1.44163,-4.26969,0.38634,-0.53529,-0.53529,1.57145,-1.67453,-0.38896,-0.15645,-0.11368,0.21123,0.17764
"7","2015_Q2",37.7165079365079,"Up",42669000,-22463000,20206000,-32663000,-20886000,-11777000,-12457000,-2177000,-2177000,-3127.07481082597,-14634000,-14634000,-15000,-14649000,-14649000,-14649000,-14649000,107431000,68611000,16670000,16670000,7341000,5157000,131442000,53993000,4304000,874000,1634000,1796000,58297000,189739000,30558000,4567000,25991000,28735000,28735000,67508000,37157000,6.6e+07,63812000,2188000,103157000,170665000,0,299981000,-280907000,19074000,19074000,189739000,-14649000,2823000,3751000,1900000,-6175000,-6003000,-39768000,-8977000,74917000,74917000,-2460000,63480000,17537000,17537000,17537000,-9634000,45372000,-13722000,0.47355,-0.29194,-0.34332,-0.76801,-0.07721,0.93672,1.94706,8.94752,0.23913,-0.54772,-0.54772,1.59537,0.71317,-0.51306,-0.1123,-0.10519,6.44166,4.98186
"8","2015_Q3",38.2384375,"Up",42708000,-23640000,19068000,-35468000,-22197000,-13271000,-16400000,-1879000,-1883000,4000,-18279000,-18279000,-5000,-18284000,-18284000,-18284000,-18284000,88515000,40424000,20322000,20322000,7368000,5765000,116205000,54060000,3939000,798000,1634000,1507000,57999000,174204000,33409000,6835000,26574000,31446000,31446000,68997000,36503000,65068000,62776000,2292000,101571000,170568000,0,302827000,-299191000,3636000,3636000,174204000,-18284000,2903000,4518000,399000,-10464000,-2051000,-11330000,-4e+06,939000,939000.000000015,-3332000,-6393000,-28187000,-28187000,-28187000,-13497000,40645000,-15144000,0.44647,-0.384,-0.42812,-5.0286,-0.10496,0.82827,1.6842,46.91089,0.23332,-0.63831,-0.63831,1.49097,0.12694,-0.52869,-0.16721,-0.13849,3.54671,2.9189
"9","2015_Q4",35.46,"Down",45426000,-26265000,19161000,-33953000,-20995000,-12958000,-14792000,-1867000,-1866000,-1000,-16659000,-16659000,-5000,-16664000,-16664000,-16664000,-16664000,85237000,42992000,20738000,20738000,8292000,6296000,114267000,54555000,3533000,730000,1634000,1169000,58088000,172355000,35047000,4925000,30122000,36523000,36523000,85953000,36470000,58670000,56345000,2325000,95140000,181093000,0,307117000,-315855000,-8738000,-8738000,172355000,-16664000,2960000,4743000,-86000,-9047000,-2964000,2806000,10001000,1626000,1626000,-2818000,8809000,2568000,2568000,2568000,-11832000,50853000,-14877000,0.42181,-0.32563,-0.36684,1.90707,-0.09668,0.89276,1.32941,-20.72477,0.29505,-0.5774,-0.5774,1.574,-0.30277,-0.51549,-0.16534,-0.14761,2.90602,2.3245
"10","2016_Q1",29.7819672131148,"Down",54340000,-30483000,23857000,-34482000,-20238000,-14244000,-10625000,-1862000,-1855000,-7000,-12487000,-12487000,-9.09494701772928e-13,-12487000,-12487000,-12487000,-12487000,88522000,48074000,27616000,27616000,7807000,5725000,123945000,55037000,3137000,665000,1634000,838000,58174000,182119000,39086000,7953000,31133000,37858000,37858000,105592000,36429000,58107000,55671000,2436000,94536000,200128000,-1.73472347597681e-18,310333000,-328342000,-18009000,-18009000,182119000,-12487000,2978000,4574000,-924000,-5859000,-3709000,-1953000,14999000,1285000,1285000,-3390000,12894000,5082000,5082000,5082000,-7647000,65077000,-12280000,0.43903,-0.19553,-0.22979,0.693379999999999,-0.06857,0.98342,1.17381,-11.11267,0.35733,-0.42868,-0.42868,1.86551,-0.61826,-0.42158,-0.11873,-0.11676,3.06591,2.20659
"11","2016_Q2",36.42359375,"Up",54792000,-29297000,25495000,-36984000,-21969000,-15015000,-11489000,-1858000,-1858000,0,-13347000,-13347000,-5000,-13352000,-13352000,-13352000,-13352000,38050000,22253000,31066000,31066000,8991000,6775000,78107000,54284000,3580000,601000,1634000,1345000,57864000,135971000,31468000,3900000,27568000,33411000,33411000,68520000,37058000,57060000,54699000,2361000,94118000,162638000,0,315027000,-341694000,-26667000,-26667000,135971000,-13352000,3043000,6427000,-15936000,-19818000,-2610000,21911000,-2.5e+07,163000,163000,-3077000,-27914000,-25821000,-25821000,-25821000,-8446000,40699000,-26987000,0.46531,-0.20968,-0.24369,0.50069,-0.0982,2.0212,1.13992,-6.09885,0.29932,-0.45705,-0.45705,1.87559,-0.91284,-0.92379,-0.18781,-0.37961,-0.31364,-0.23057
