"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q3",6.74125,"Up",73314000,-40647000,32667000,-27311000,-24673000,-9229000,-15444000,-2638000,5356000,-13076000,-13876000,8e+05,-7720000,-23248000,-1175000,-24423000,-24423000,-24423000,-24423000,22200000,22200000,36817000,36817000,15396000,4577000,4577000,78990000,92867000,61693000,26198000,15714000,19781000,154560000,233550000,33895000,14203000,19692000,3650000,37545000,350927000,40660000,40660000,391587000,429132000,174884000,-368462000,-2004000,-195582000,-195582000,233550000,-24423000,4453000,17075000,-8543000,-11438000,-2614000,-2614000,10951000,304051302.812846,304051302.812846,-5437000,5514000,-8538000,-8538000,-5000,-8543000,9809000,354577000,-173000,0.44558,0.07306,-0.33313,0.12487,-0.10457,0.00708,2.10388,-2.19413,1.51821,-1.29236,-1.31487,3.87947,-10.34937,-0.00915,-0.12233,-0.00087,33.8849,62.05695
"2","2015_Q4",3.5990625,"Down",74123000,-40418000,33705000,-20297000,-17839000,-8633000,-9206000,-2458000,13408000,-7283000,-7100000,-183000,6125000,6124999.99999999,-739000,5386000,5386000,5386000,5386000,21922000,21922000,39724000,39724000,16579000,5210000,5210000,83435000,92393000,60304000,24470000,15714000,20120000,152697000,236132000,30668000,10700000,19968000,3650000,34318000,350367000,41592000,41592000,391959000,426277000,175378000,-363076000,-2447000,-190145000,-190145000,236132000,5386000,4075000,2253000,-6297000,5417000,-2307000,-2307000,-76037000,73539000,73539000,-515999.999999998,-3014000,96000,96000,-374000,-278000,17483000,354017000,9618000,0.45472,0.18089,0.07266,-0.02833,0.02281,1.78574,2.43123,-2.24185,1.49923,0.17746,0.17746,2.4422,-6.26489,0.31689,0.02621,0.04681,18.99531,24.76842
"3","2016_Q1",2.21573770491803,"Down",71201000,-37820000,33381000,-20993000,-17927000,-7806000,-10121000,-3066000,12388000,-7415000,-7116000,-299000,4973000,4973000,-1057000,3916000,3916000,3916000,3916000,28596000,28596000,37293000,37293000,15622000,8495000,3851000,90006000,95654000,56719000,20496000,15714000,20509000,152373000,242379000,30159000,11657000,18502000,3650000,35524000,349858000,42286000,42286000,392144000,427668000,175856000,-359160000,-1985000,-185289000,-185289000,242379000,3916000,3003000,3585000,2122000,12626000,-4732000,-4732000,5890000,0,0,-6932000,-1042000,6852000,6852000,-178000,6674000,15391000,353508000,13838000,0.46883,0.17399,0.055,-0.02113,0.01616,3.53371,2.53367,-2.30811,1.45849,0.12869,0.12869,2.33986,-6.0891,0.45475,0.0186,0.06574,21.11052,26.22796
"4","2016_Q2",2.2984375,"Up",76474000,-42773000,33701000,-21856000,-18820000,-9307000,-9513000,-3036000,11845000,-6960000,-7024000,64000,4885000,10713000,-390000,10323000,10323000,10323000,10323000,38880000,38880000,39896000,39896000,15541000,5721000,5721000,100038000,85324000,63901000,27850000,15714000,20337000,149225000,249263000,27829000,12984000,14845000,3650000,31479000,349349000,42654000,42654000,392003000,423482000,176263000,-348837000,-1645000,-174219000,-174219000,249263000,10323000,4113000,-3938000,-6718000,3780000,7348000,7422000,-933000,0,0,-10999.9999999991,-944000,10258000,10258000,26000,10284000,15958000,352999000,16978000,0.44069,0.15489,0.13499,-0.05925,0.04141,1.64468,3.17793,-2.43075,1.41617,0.33993,0.33988,2.51822,-5.73688,0.55907,0.04662,0.07667,19.68411,26.51912
"5","2016_Q3",6.62203125,"Up",77966000,-42215000,35751000,-21689000,-19081000,-9843000,-9238000,-2608000,14062000,-6582000,-6984000,402000,7480000,7597000,-247000,7350000,7350000,7350000,7350000,54851000,54851000,39457000,39457000,14433000,4282000,4282000,113023000,84422000,61822000,26070000,15714000,20038000,146244000,259267000,30442000,12778000,17664000,3650000,34092000,348838000,42705000,42705000,391543000,425635000,176848000,-341487000,-1729000,-166368000,-166368000,259267000,7350000,4310000,856000,5119000,17635000,-736000,-736000,-928000,-1.86264514923096e-09,-1.86264514923096e-09,0,-928000,15971000,15971000,0,15971000,18372000,352488000,23002000,0.45855,0.18036,0.09427,-0.04418,0.02835,3.12952,3.31524,-2.55839,1.35956,0.24195,0.24071,2.56657,-5.47667,0.7572,0.03212,0.10052,16.20058,21.16605
"6","2016_Q4",8.93222222222222,"Up",73063000,-39382000,33681000,-21646000,-18797000,-8706000,-10091000,-2849000,12035000,-6940000,-6791000,-149000,5095000,4240000,-20000.0000000001,4220000,4220000,4220000,4220000,53195000,53195000,34844000,34844000,16057000,6369000,6369000,110465000,84980000,59524000,24082000,15714000,19728000,144504000,254969000,35467000,13617000,21850000,3650000,39117000,294582000,42426000,42426000,337008000,376125000,217171000,-337267000,-1060000,-121156000,-121156000,254969000,4220000,4241000,1824000,5161000,15446000,-1047000,-1047000,-55929000,41661000,41661000,-1818000,-16086000,-1687000,-1687000,31000,-1656000,16276000,298232000,20410000,0.46099,0.16472,0.05776,-0.03483,0.01655,4.83649,2.82396,-3.10447,1.16968,0.13514,0.13089,2.33973,-3.87984,0.6536,0.01923,0.09298,15.05511,20.36037
"7","2017_Q1",10.5841935483871,"Up",74350000,-39703000,34647000,-22386000,-18676000,-8686000,-9990000,-3710000,12261000,-5916000,-5819000,-97000,6345000,5744000,-875000,4869000,4869000,4869000,4869000,51178000,51178000,36818000,36818000,17640000,5183000,5183000,110819000,94187000,50892000,15118000,15714000,20060000,145079000,255898000,40189000,18940000,21249000,3650000,43839000,274460000,44115000,44115000,318575000,362414000,226829000,-332398000,-947000,-106516000,-106516000,255898000,4869000,5599000,3420000,-1107000,12781000,-2358000,-2358000,-20939000,9469999.99999999,9469999.99999999,-790000,-12259000,-1836000,-1836000,-181000,-2017000,17860000,278110000,15270000,0.466,0.16491,0.06549,-0.04571,0.01903,3.13617,2.52786,-3.40244,1.0868,0.13449,0.12992,2.05371,-2.94221,0.42179,0.02257,0.07079,12.70616,18.50844
"8","2017_Q2",14.7134920634921,"Up",81359000,-41597000,39762000,-27835000,-22484000,-10214000,-12270000,-5351000,11927000,-4843000,-5420000,577000,7084000,4923000,-785000,4138000,4138000,4138000,4138000,40882000,40882000,39927000,39927000,19790000,6084000,6084000,106683000,92086000,50794000,14288000,15714000,20792000,142880000,249563000,36380000,17566000,18814000,2750000,39130000,266335000,45258000,45258000,311593000,350723000,228051000,-328260000,-951000,-101160000,-101160000,249563000,4138000,6160000,3755000,-8529000,5524000,-4564000,-4564000,-10238000,632000,632000,-1648000,-11254000,-10294000,-10294000,-2000,-10296000,18087000,269085000,5779000,0.48872,0.1466,0.05086,-0.04091,0.01658,1.39657,2.72637,-3.46701,1.07822,0.11218,0.1072,2.20553,-2.7423,0.15666,0.01941,0.02711,12.61696,19.13331
"9","2017_Q3",17.5757142857143,"Up",88837000,-42890000,45947000,-28050000,-22806000,-11603000,-11203000,-5244000,17897000,-3733000,-4285000,552000,14164000,14164000,-569000,13595000,13595000,13595000,13595000,57154000,57154000,43246000,43246000,21151000,4072000,4072000,125623000,91863000,50392000,13456000,15714000,21222000,142255000,267878000,40314000,17674000,22640000,2750000,43064000,265929000,46065000,46065000,311994000,355058000,228456000,-314665000,-971000,-87180000,-87180000,267878000,13595000,5111000,2343000,-482000,20567000,-2503000,-2503000,-714000,446000,446000,-1559000,-1827000,16237000,16237000,35000,16272000,23008000,268679000,20592000,0.51721,0.20146,0.15303,-0.15594,0.05075,1.51467,2.91712,-4.0727,1.00299,0.36509,0.34993,2.3857,-2.3412,0.55299,0.05974,0.09049,9.19354,11.81902
"10","2017_Q4",20.3619047619048,"Up",79941000,-41414000,38527000,-25705000,-22151000,-10075000,-12076000,-3554000,12822000,-3534000,-4442000,908000,9288000,9288000,-762000,8526000,8526000,8526000,8526000,68077000,68077000,41713000,41713000,23032000,3789000,3789000,136611000,94516000,49894000,12645000,15714000,21535000,144410000,281021000,43337000,18756000,24581000,2750000,46087000,265523000,47327000,47327000,312850000,358937000,229309000,-306139000,-1086000,-77916000,-77916000,281021000,8526000,3748000,2489000,836999.999999999,15600000,-3288000,-3288000,-714000,319000,319000,-1124000,-1519000,10793000,10793000,130000,10923000,16570000,268273000,14881000,0.48194,0.16039,0.10665,-0.10943,0.03034,1.74537,2.9642,-4.60672,0.95464,0.22801,0.21794,2.13786,-2.08371,0.39796,0.03587,0.06261,12.08183,15.61348
