"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","impairment_of_goodwill_intangibles","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",3.89952380952381,"Up",2358700000,2029400000,-1286300000,1072400000,-676300000,-439600000,-149800000,-86900000,403500000,-96200000,-98800000,2600000,307300000,-1e+05,-1e+05,307200000,-109800000,197400000,197300000,197300000,197300000,-72977387.413823,-72977387.413823,2490957085.31633,2490957085.31633,-370175623.223844,85380224.7618448,222638599.538561,-60883050.9160571,2133184299.44051,10946138886.7476,19920593421.3084,-8974454534.56081,67550196.734234,6189082009.41022,3677300124.25689,-47211777.0645895,2187891374.49574,17202771092.8921,19335955392.3326,3495527954.53535,1644736784.90179,542442133.292501,213256605.543714,1095092430.79734,-679541368.645445,197404154.907303,340696347.481512,3013390740.7972,5986227796.42814,5470477060.68673,1829691327.98183,1480924858.57825,2168812415.1791,11456704857.1149,14470095597.9121,4070640787.75917,2799745.97399131,4067841041.78518,-23987427.4250268,891622213.039394,-72415778.6862855,4865859794.68725,4865859794.42051,19335955392.3326,197500000,149800000,-1e+05,27200000,-29500000,-232800000,-324100000,83300000,-138600000,-138800000,-56200000,-194400000,-63700000,266800000,-9e+05,-9e+05,2200000,3600000,205300000,94200000,124900000,124900000,553300000,0,291700000,0.45466,0.17107,0.08365,-0.0529849632905892,-0.013567330611851,1.47846,0.723650754176805,2.97033910215885,0.274745917360976,0.71253,0.71099,8.51824,17.5220274444209,1.05345,0.23005,-0.0106453164959999,0.170622165737216,0.32286,2.85775760129083,-46.5204773364666
"2","2010_Q3",4.23203125,"Up",1171100000,1059200000,-439100000,7.32e+08,-593200000,-377100000,-151600000,-64500000,139200000,-95800000,-98400000,2600000,43399999.9999999,0,0,43400000,-15400000,2.8e+07,2.8e+07,2.8e+07,2.8e+07,7400000,7400000,568900000,568900000,382900000,832700000,118600000,678900000,1791900000,1.08e+10,19347300000,-8547300000,1.28e+08,6328200000,3677300000,141800000,1954800000,17256200000,19048100000,1160300000,278900000,227800000,194700000,458900000,931600000,619100000,402100000,2.711e+09,5977300000,5464900000,1190500000,2110900000,1985400000,11442200000,14153200000,4083200000,2800000,4080400000,-27400000,899500000,-60400000,4894900000,4894900000,19048100000,2.8e+07,151600000,33700000,11400000,18500000,119600000,53599999.9999999,319200000,-1.98e+08,-198100000,-1500000,-199500000,-63900000,-162200000,-4300000,-4300000,3200000,3200000,-222900000,-103200000,-89500000.0000001,-89500000.0000001,290800000,6908900000,227800000,0.62505,0.11886,0.02391,0.00572,0.00147,8.13571,0.66097,2.89142,0.36271,0.10083,0.10054,4.21714,17.62658,0.82031,0.2301,0.00532,0.01319,2.28214,23.73281,49.57974
"3","2010_Q4",4.47078125,"Up",1138100000,995400000,-4.2e+08,718100000,-597200000,-382100000,-153100000,-6.2e+07,124400000,-95500000,-97600000,2100000,28900000,-1100000,-1100000,27800000,5600000,33400000,33400000,33400000,33400000,10900000,10900000,517800000,517800000,570500000,968400000,1.03e+08,759600000,2067600000,10921500000,19366500000,-8.445e+09,144500000,6391800000,3677300000,201800000,1921100000,17457800000,19525400000,1.05e+09,242900000,168400000,149800000,488900000,1451500000,749700000,488700000,3251200000,5964300000,5.432e+09,1029500000,2242800000,1940800000,11396300000,14647500000,4094200000,2800000,4091400000,-27400000,868500000,-57400000,4877900000,4877900000,19525400000,33400000,153100000,94200000,9.2e+07,-1.5e+07,-340600000,-182900000,-7e+07,-216800000,-216800000,-150400000,-367200000,-63800000,500700000,-11100000,-11100000,3800000,3800000,440700000,3500000,13600000,13600000,277500000,7415800000,-285500000,0.63096,0.1093,0.02935,0.00685,0.00171,-8.5479,0.63595,3.00283,0.3798,0.12014,0.11893,4.09368,17.54552,-1.02693,0.22948,0.00548,-0.01611,1.91018,26.68432,59.52492
"4","2011_Q1",4.87129032258064,"Up",1703300000,1650700000,-818400000,884900000,-661900000,-447800000,-140300000,-73800000,226700000,-1.01e+08,-97500000,-3500000,125700000,-97500000,-8e+05,28200000,-10200000,1.8e+07,23900000,23900000,23900000,9200000,9200000,1079300000,1079300000,4.28e+08,796600000,120800000,568900000,2313100000,1.1097e+10,19589600000,-8492600000,139700000,6363600000,3677300000,200900000,1936500000,17600300000,19913400000,1550500000,581800000,221100000,114500000,633100000,1416700000,699100000,518400000,3666300000,5936100000,5413500000,1039600000,2226800000,1965200000,11349600000,15015900000,4106700000,2800000,4103900000,-27400000,876100000,-57900000,4897500000,4897500000,19913400000,1.8e+07,140300000,171900000,63200000,1.01e+08,54600000,156800000,392900000,-247400000,-247600000,67700000,-182200000,-64200000,-58900000,-716800000,-961400000,3700000,3800000,-212400000,-1699999.99999998,-7300000,-7300000,3.67e+08,7352800000,184400000,0.51952,0.13309,0.01403,0.00488,0.0012,7.71548,0.63091,3.06603,0.36924,0.08579,0.0843,6.11435,17.58061,0.66194,0.23046,0.00499,0.01044,2.68619,20.00981,32.39347
"5","2011_Q2",5.16650793650794,"Up",2231600000,2121500000,-1170900000,1060700000,-656600000,-429300000,-134300000,-9.3e+07,407100000,-86500000,-89800000,3300000,320600000,-7e+05,-7e+05,319900000,-110800000,209100000,209500000,209500000,209500000,62500000,62500000,1063200000,1063200000,216900000,619500000,119700000,477100000,1962100000,11140600000,19668600000,-8.528e+09,136300000,6239800000,3677300000,202600000,1865700000,17516700000,19478800000,1211600000,429600000,244400000,125700000,411900000,1299400000,582900000,4.29e+08,3093900000,5927600000,5.443e+09,944700000,2372700000,1990100000,11370600000,14464500000,4122900000,2800000,4120100000,-30200000,978300000,-56700000,5014300000,5014300000,19478800000,209100000,134300000,125200000,102300000,15100000,-31800000,-136400000,422100000,-203900000,-209400000,28800000,-175100000,-64200000,-122300000,-2800000,-2800000,1e+06,3700000,-193700000,53300000,6.8e+07,6.8e+07,541400000,7.227e+09,416500000,0.47531,0.18243,0.09388,0.04178,0.01076,1.98807,0.63418,2.88465,0.37102,0.75009,0.73509,7.98997,17.9531,1.49123,0.22986,0.01548,0.02355,0.30644,13.23328,17.59887
"6","2011_Q3",5.52359375,"Up",1228300000,1156900000,-462500000,765800000,-602600000,-400300000,-134500000,-67800000,165500000,-93800000,-94400000,600000.000000002,71700000,0,0,71700000,-30900000,40800000,40400000,40400000,40400000,59900000,59900000,638300000,638300000,409900000,614600000,100400000,510700000,1722700000,1.1295e+10,19897900000,-8602900000,150800000,6177800000,3677300000,197200000,1809600000,17623600000,19346300000,1083400000,316200000,179500000,1.79e+08,408700000,900400000,5.74e+08,4.34e+08,2557800000,6.34e+09,5445100000,919600000,2400400000,1997300000,11785100000,14342900000,4135700000,2800000,4132900000,-30400000,952600000,-54500000,5003400000,5003400000,19346300000,40800000,134500000,49100000,33600000,6100000,118900000,25599999.9999999,313900000,-231700000,-235600000,-16600000,-248300000,-64500000,-7600000,385100000,-10200000.0000001,3900000,4200000,-68200000,-2600000,26800000,26800000,3e+08,7240400000,218100000,0.62346,0.13474,0.03289,0.00807,0.00209,5.39851,0.67351,2.86663,0.37425,0.14415,0.14061,4.38272,17.85271,0.77821,0.23014,0.00593,0.01233,1.59653,23.935,43.38671
"7","2011_Q4",5.9884126984127,"Up",1068700000,1014700000,-323100000,745600000,-601300000,-407200000,-134900000,-59200000,147800000,-94100000,-95700000,1600000,53700000,-4e+05,-4e+05,53300000,-1.7e+07,36300000,34500000,34500000,34500000,22200000,22200000,512500000,512500000,595300000,675100000,119700000,551900000,1805100000,11548700000,2.0221e+10,-8672300000,164300000,6.224e+09,3677300000,200200000,1854700000,1.7937e+10,19742100000,990700000,244400000,157800000,132400000,456100000,1242200000,654300000,479200000,2887200000,6337300000,5527600000,874400000,2460300000,2056300000,11864900000,14752100000,4152200000,2800000,4149400000,-30400000,922600000,-54400000,4.99e+09,4.99e+09,19742100000,36300000,134900000,39300000,3.3e+07,-3900000,-147900000,-14900000,58100000,-329200000,-329200000,-49300000,-378500000,-64600000,340200000,-23500000,-23500000,7100000,7200000,282700000,-37700000,-33200000,-33200000,282700000,7579500000,-177400000,0.69767,0.1383,0.03228,0.00691,0.00175,-5.14203,0.62521,2.95633,0.38393,0.12288,0.11907,3.80639,17.77287,-0.63185,0.23009,0.00548,-0.0098,1.87246,26.73258,51.13194
"8","2012_Q1",6.3708064516129,"Up",1222400000,1407100000,-3.47e+08,875400000,-670400000,-465300000,-1.32e+08,-73100000,210800000,-109800000,-96900000,-12900000,1.01e+08,-69600000,-15700000,31400000,-8000000.00000001,23400000,14700000,14700000,14700000,11500000,11500000,850600000,850600000,565100000,821400000,261800000,532400000,2248600000,11779200000,20431100000,-8651900000,150900000,6529600000,3677300000,204700000,2161300000,18459700000,20708300000,1263400000,434800000,220900000,111900000,495800000,1686700000,696300000,518400000,3646400000,6267100000,5797500000,953800000,2570900000,2133900000,12064600000,1.5711e+10,4170500000,2800000,4167700000,-30500000,9.17e+08,-59700000,4997300000,4997300000,20708300000,23400000,1.32e+08,109200000,27600000,69800000,-225900000,-8.4e+07,76100000,-348500000,-348500000,3600000,-347400000,-64500000,369700000,244300000,-250400000,9300000,9300000,260600000,-10700000,-45600000,-45600000,342800000,7953800000,-223600000,0.71613,0.17245,0.01203,0.00294,0.00071,-15.21088,0.61666,3.1439,0.38409,0.0522299999999999,0.0503599999999999,4.34333,17.75599,-0.79448,0.22918,0.00422,-0.01193,4.38776,23.1689,37.67694
"9","2012_Q2",6.78761904761905,"Up",1648900000,1635500000,-627400000,1021500000,-633100000,-400900000,-145400000,-86800000,396100000,-1.03e+08,-103300000,3e+05,293100000,1600000,1600000,294700000,-102200000,192500000,193400000,193400000,193400000,38500000,38500000,730300000,730300000,354200000,832500000,277400000,554200000,1955500000,1.1902e+10,20707900000,-8805900000,156500000,6431900000,3677300000,204800000,2140200000,18490400000,20445900000,1086100000,380700000,237300000,135500000,332600000,2.015e+09,617300000,426300000,3718400000,5834400000,5812600000,9.46e+08,2678600000,2093100000,1.1647e+10,15365400000,4201800000,2900000,4198900000,-40400000,9.8e+08,-60900000,5080500000,5080500000,20445900000,192500000,145400000,131300000,92200000,30200000,7800000,-289500000,4.8e+08,-289700000,-291800000,-4200000,-294700000,-65100000,-100700000,-5900000,-5900000,7500000,17400000,-158300000,2.7e+07,24800000,24800000,541500000,7849400000,361800000,0.6195,0.24022,0.11729,0.03807,0.00946,1.87073,0.5259,3.02439,0.38391,0.68357,0.65985,5.82805,17.95706,1.27878,0.2301,0.01379,0.0193,0.33661,14.42456,19.71952
"10","2012_Q3",6.94761904761905,"Up",1038100000,1015900000,-238800000,799300000,-6.05e+08,-391100000,-147300000,-66600000,202800000,-100400000,-103200000,2800000,102400000,1500000,1500000,103900000,-3.6e+07,67900000,69400000,69400000,69400000,52800000,52800000,553300000,553300000,428100000,715700000,274200000,440600000,1749900000,1.2149e+10,21031800000,-8882800000,156800000,6353700000,3677300000,211500000,2082500000,18659500000,20409400000,1010300000,292100000,185500000,184900000,347800000,1094500000,557500000,414800000,2662300000,6806900000,5834900000,939400000,2757400000,2092500000,12641800000,15304100000,4223900000,2900000,4.221e+09,-40500000,980900000,-5.9e+07,5105300000,5105300000,20409400000,67900000,147300000,-4e+06,36800000,-51600000,76700000,83500000.0000001,291800000,-3.26e+08,-326100000,52600000,-274200000,-65300000,52899999.9999999,989500000,-1900000.00000003,12500000,12600000,-3300000,14300000,11200000,11200000,350100000,7901400000,136800000,0.76996,0.19536,0.06685,0.01359,0.0034,1.97118,0.65729,2.99769,0.38715,0.24405,0.23438,3.65051,17.95296,0.48106,0.22963,0.00715,0.00726,0.94092,22.41817,38.70118
