"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","short_term_borrowings","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","cash_from_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",25.1104761904762,"Down",4.887e+09,-4.013e+09,8.74e+08,-6.36e+08,-2.39e+08,-3.9e+07,-3.58e+08,2.38e+08,-1.39e+08,-1.18e+08,-2.1e+07,9.9e+07,-1.87e+08,-8.8e+07,-8.4e+07,-1.72e+08,-1.79e+08,-2.01e+08,-2.01e+08,1.292e+09,1.292e+09,1.647e+09,1.647e+09,2.394e+09,1.286e+09,9.78e+08,3.08e+08,6.619e+09,1.9667e+10,1.0491e+10,5.065e+09,2.918e+09,2.508e+09,3.1216e+10,3.7835e+10,2.667e+09,1.868e+09,7.99e+08,8.32e+08,1.66e+08,1.645e+09,1.274e+09,5.144e+09,8.925e+09,7.916e+09,5.236e+09,2.547e+09,2.689e+09,2.68e+09,1.6841e+10,2.1985e+10,5.5e+07,8.241e+09,1.141e+09,7.1e+09,1.0787e+10,-2.223e+09,1.2669e+10,1.585e+10,3.7835e+10,-1.72e+08,3.58e+08,3.28e+08,2.5e+07,6.8e+07,2.35e+08,-3.22e+08,-1.76e+08,-1.05e+08,-5.5e+07,1.4e+07,1.99e+08,-2.21e+08,-2.21e+08,-5.8e+07,-2.74e+08,-3.2e+07,-4.2e+07,-9e+06,-3.3e+07,5.3e+07,5e+06,5e+06,-4.5e+07,-1.14e+08,-1.89e+08,-1.89e+08,-161314018.271519,-1.89e+08,5.96e+08,9.757e+09,1.37e+08,0.17884,0.0487,-0.04113,-0.01268,-0.00531,-0.68159,1.28674,1.38707,0.25788,-0.59887,-0.59887,14.56054,37.58271,0.40818,0.09534,18.2853237951373,-0.00504,0.00409,-0.1592,14.20302,35.56723
"2","2010_Q3",22.33546875,"Down",5.187e+09,-4.21e+09,9.77e+08,-6.16e+08,-2.08e+08,-4.5e+07,-3.63e+08,3.61e+08,-1.03e+08,-1.19e+08,1.6e+07,2.58e+08,-3e+07,2.28e+08,-5.7e+07,1.71e+08,1.7e+08,1.36e+08,1.36e+08,1.344e+09,1.344e+09,1.938e+09,1.938e+09,2.391e+09,1.149e+09,8.76e+08,2.73e+08,6.822e+09,1.9138e+10,1.0273e+10,5.032e+09,2.848e+09,2.393e+09,3.049e+10,3.7312e+10,2.686e+09,1.854e+09,8.32e+08,1.519e+09,2.08e+08,1.497e+09,1.125e+09,5.702e+09,8.281e+09,7.604e+09,5.366e+09,2.679e+09,2.687e+09,2.238e+09,1.5885e+10,2.1587e+10,5.5e+07,8.232e+09,1.141e+09,7.091e+09,1.0892e+10,-2.393e+09,1.2609e+10,1.5725e+10,3.7312e+10,1.71e+08,3.64e+08,1.56e+08,2.5e+07,8.8e+07,4.3e+07,-3.89e+08,-3.94e+08,-8.4e+07,5.6e+07,32999999.9999999,3e+08,-2.13e+08,-2.13e+08,-3.3e+07,-2.46e+08,-3.1e+07,35000000.0000002,42000000.0000001,-7e+06,3e+07,2e+06,2e+06,-3e+06,3e+06,57000000.0000002,57000000.0000002,-5e+06,5.2e+07,7.25e+08,9.8e+09,1.8e+08,0.18836,0.0696,0.02622,0.00865,0.00364,1.32353,1.19642,1.37278,0.26265,0.39965,0.39965,15.24246,36.89105,0.52895,0.0911,12.1521726907399,0.00504,0.00543,0.22794,11.66345,23.42382
"3","2010_Q4",27.66265625,"Up",5.287e+09,-4.413e+09,8.74e+08,-6.3e+08,-2.32e+08,-4e+07,-3.58e+08,2.44e+08,-1.82e+08,-1.39e+08,-4.3e+07,6.2e+07,-2e+06,6e+07,4.9e+07,1.09e+08,1.09e+08,6.1e+07,6.1e+07,8.43e+08,8.43e+08,1.971e+09,1.971e+09,2.435e+09,1.27e+09,9.47e+08,3.23e+08,6.519e+09,1.9914e+10,1.0748e+10,5.128e+09,3.07e+09,2.55e+09,3.1851e+10,3.837e+10,2.875e+09,1.971e+09,9.04e+08,3.19e+08,1.19e+08,1.488e+09,1.091e+09,4.682e+09,8.99e+09,7.92e+09,5.363e+09,2.677e+09,2.686e+09,2.557e+09,1.691e+10,2.1592e+10,5.5e+07,8.235e+09,1.141e+09,7.094e+09,1.0922e+10,-1.688e+09,1.3353e+10,1.6778e+10,3.837e+10,1.09e+08,3.58e+08,-4.6e+07,2e+07,-9.4e+07,2.8e+07,-3.1e+07,1.03e+08,9.5e+07,1.5e+07,-2.44e+08,3.92e+08,-2.16e+08,-2.16e+08,-5.1e+07,-3.44e+08,-3.1e+07,-5.55e+08,-9e+07,-4.65e+08,9.99e+08,1e+06,1e+06,1.1e+07,-5.74e+08,-5.26e+08,-5.26e+08,2.5e+07,-5.01e+08,6.02e+08,9.309e+09,3.06e+08,0.16531,0.04615,0.01154,0.00364,0.00159,5.01639,1.39235,1.28692,0.24261,0.1789,0.17581,15.50595,39.00097,0.89745,0.09092,9.05706475902745,0.00271,0.009,0.5082,14.06312,34.69672
"4","2011_Q1",33.9098387096774,"Up",5.652e+09,-4.538e+09,1.114e+09,-7.03e+08,-2.82e+08,-5e+07,-3.71e+08,4.11e+08,-7.5e+07,-1.18e+08,4.3e+07,3.36e+08,1.2e+07,3.48e+08,-5.6e+07,2.92e+08,2.92e+08,2.58e+08,2.58e+08,1.543e+09,1.543e+09,1.591e+09,1.591e+09,2.584e+09,1.201e+09,8.75e+08,3.26e+08,6.919e+09,2.0183e+10,1.0851e+10,5.122e+09,3.184e+09,2.545e+09,3.2374e+10,3.9293e+10,3.263e+09,2.331e+09,9.32e+08,3.23e+08,9.2e+07,1.665e+09,1.204e+09,5.251e+09,8.842e+09,8.114e+09,5.538e+09,2.923e+09,2.615e+09,2.576e+09,1.6956e+10,2.2207e+10,5.5e+07,8.228e+09,1.141e+09,7.087e+09,1.1149e+10,-1.675e+09,1.3611e+10,1.7086e+10,3.9293e+10,2.92e+08,3.71e+08,-3.15e+08,1.4e+07,-3.49e+08,2e+07,1.022e+09,3.65e+08,-1.23e+08,3.12e+08,4.68e+08,1.37e+09,-3.65e+08,-3.65e+08,-1.09e+08,-4.74e+08,-3.1e+07,-1.13e+08,1.3e+07,-1.26e+08,4.4e+07,5e+06,5e+06,-6.2e+07,-2.01e+08,6.95e+08,6.95e+08,5e+06,7e+08,7.82e+08,9.165e+09,1.495e+09,0.1971,0.07272,0.04565,0.0151,0.00657,5.79457,1.31765,1.29972,0.23325,0.75816,0.7508,16.60891,39.83552,4.39319,0.0911,8,0.00841,0.0435,0.12016,9.7468,18.54501
"5","2011_Q2",33.572380952381,"Down",5.958e+09,-4.715e+09,1.243e+09,-6.49e+08,-2.45e+08,-4.3e+07,-3.61e+08,5.94e+08,-8.3e+07,-1.11e+08,2.8e+07,5.11e+08,-6e+06,5.05e+08,-1.38e+08,3.67e+08,3.66e+08,3.08e+08,3.08e+08,8.87e+08,8.87e+08,2.001e+09,2.001e+09,2.995e+09,1.326e+09,9.53e+08,3.73e+08,7.209e+09,2.0367e+10,1.1291e+10,5.363e+09,3.264e+09,2.664e+09,3.3127e+10,4.0336e+10,3.342e+09,2.488e+09,8.54e+08,7.93e+08,2.21e+08,1.582e+09,1.107e+09,5.717e+09,8.501e+09,7.714e+09,4.915e+09,2.309e+09,2.606e+09,2.799e+09,1.6215e+10,2.1932e+10,5.5e+07,8.686e+09,1.178e+09,7.508e+09,1.1424e+10,-1.418e+09,1.4774e+10,1.8404e+10,4.0336e+10,3.67e+08,3.61e+08,-9.2e+07,2.3e+07,-1.19e+08,4e+06,-8.71e+08,-4.06e+08,-3.56e+08,1.11e+08,-2.2e+08,-2.36e+08,-2.04e+08,-2.04e+08,-1.09e+08,-5.52e+08,-3.3e+07,1.01e+08,1.29e+08,-2.8e+07,5e+06,2.8e+07,2.8e+07,2.9e+07,1.25e+08,-6.63e+08,-6.63e+08,7e+06,-6.56e+08,9.55e+08,9.294e+09,1.8e+07,0.20863,0.0997,0.0517,0.01674,0.00764,0.05844,1.26098,1.1917,0.23041,0.87841,0.80147,16.99219,41.97853,0.05134,0.09412,7.98097841365752,0.00963,0.00051,0.10714,8.80314,14.1532
"6","2011_Q3",26.63484375,"Down",6.585e+09,-5.247e+09,1.338e+09,-6.74e+08,-2.53e+08,-4.6e+07,-3.75e+08,6.64e+08,-1.13e+08,-1.63e+08,5e+07,5.51e+08,-3.4e+07,5.17e+08,-1.36e+08,3.81e+08,3.77e+08,3.22e+08,3.22e+08,1.26e+09,1.26e+09,2.083e+09,2.083e+09,3.201e+09,1.324e+09,9.59e+08,3.65e+08,7.868e+09,2.0723e+10,1.1279e+10,5.329e+09,3.219e+09,2.731e+09,3.3598e+10,4.1466e+10,3.52e+09,2.605e+09,9.15e+08,5.75e+08,6.5e+07,1.705e+09,1.199e+09,5.8e+09,8.773e+09,7.524e+09,4.826e+09,2.217e+09,2.609e+09,2.698e+09,1.6297e+10,2.2097e+10,5.5e+07,8.7e+09,1.178e+09,7.522e+09,1.1714e+10,-8.58e+08,1.5652e+10,1.9369e+10,4.1466e+10,3.81e+08,3.75e+08,1.08e+08,2.2e+07,7.7e+07,9e+06,-6.1e+07,-31999999.9999999,-1.66e+08,8.5e+07,52000000.0000001,7.98e+08,-2.72e+08,-2.72e+08,-7.7e+07,-3.5e+08,-3.2e+07,3e+07,-1.57e+08,1.87e+08,1.249e+09,6e+06,6e+06,-8.9e+07,-8.5e+07,3.63e+08,3.63e+08,1e+07,3.73e+08,1.039e+09,9.348e+09,8.42e+08,0.20319,0.10084,0.0489,0.01662,0.00777,2.61491,1.35655,1.14084,0.22544,0.90799,0.82927,18.56859,43.9809,2.3743,0.09023,8,0.00977,0.02323,0.09938,7.78441,12.18072
"7","2011_Q4",20.0293650793651,"Down",6.419e+09,-5.29e+09,1.129e+09,-6.84e+08,-2.61e+08,-4.7e+07,-3.76e+08,4.45e+08,-1.56e+08,-1.25e+08,-3.1e+07,2.89e+08,-9e+06,2.8e+08,-5.5e+07,2.25e+08,2.25e+08,1.72e+08,1.72e+08,1.332e+09,1.332e+09,1.915e+09,1.915e+09,3.172e+09,1.251e+09,8.65e+08,3.86e+08,7.67e+09,1.9471e+10,1.0936e+10,5.271e+09,3.06e+09,2.605e+09,3.1928e+10,3.9598e+10,3.436e+09,2.48e+09,9.56e+08,6.53e+08,1.64e+08,1.534e+09,1.024e+09,5.623e+09,8.658e+09,7.034e+09,4.636e+09,2.081e+09,2.555e+09,2.398e+09,1.5692e+10,2.1315e+10,5.5e+07,8.723e+09,1.178e+09,7.545e+09,1.182e+10,-1.725e+09,1.4919e+10,1.8283e+10,3.9598e+10,2.25e+08,3.77e+08,2.7e+07,2.5e+07,-3.6e+07,3.8e+07,-1.4e+08,1.9e+07,-8.6e+07,-2.6e+07,-4.7e+07,4.89e+08,-3.25e+08,-3.25e+08,-4.2e+07,-3.67e+08,-3.3e+07,7.2e+07,9.9e+07,-2.7e+07,0,2e+06,2e+06,-6.8e+07,-2.7e+07,9.5e+07,9.5e+07,-2.3e+07,7.2e+07,8.22e+08,9.311e+09,4.12e+08,0.17588,0.06933,0.0268,0.00941,0.00434,2.39535,1.36404,1.16584,0.23514,0.48501,0.44411,18.10049,41.91397,1.16177,0.09305,7,0.00592,0.0119,0.19186,9.70681,17.93034
"8","2012_Q1",20.8332258064516,"Up",5.989e+09,-5.228e+09,7.61e+08,-6.83e+08,-2.68e+08,-4.8e+07,-3.67e+08,7.8e+07,-8.5e+07,-1.25e+08,4e+07,-7e+06,-2.32e+08,-2.39e+08,7.4e+07,-1.65e+08,-1.63e+08,-1.91e+08,-1.91e+08,1.939e+09,1.939e+09,1.571e+09,1.571e+09,2.899e+09,1.304e+09,9.33e+08,3.71e+08,7.713e+09,1.9282e+10,1.1499e+10,5.157e+09,3.546e+09,2.796e+09,3.2407e+10,4.012e+10,3.677e+09,2.692e+09,9.85e+08,7.31e+08,2.86e+08,1.605e+09,1.167e+09,6.013e+09,8.64e+09,8.272e+09,5.844e+09,3.261e+09,2.583e+09,2.428e+09,1.6912e+10,2.2925e+10,5.5e+07,8.739e+09,1.178e+09,7.561e+09,1.1629e+10,-2.627e+09,1.3844e+10,1.7195e+10,4.012e+10,-1.65e+08,3.68e+08,1.2e+08,1.3e+07,-1.03e+08,2.1e+08,8.23e+08,3.04e+08,2.69e+08,2.24e+08,2.6e+07,1.142e+09,-4.86e+08,-4.86e+08,-9.7e+07,-5.83e+08,-3.3e+07,5.2e+07,1.22e+08,-7e+07,2e+06,1e+06,1e+06,2.9e+07,4.9e+07,6.08e+08,6.08e+08,-1e+06,6.07e+08,4.46e+08,9.371e+09,7.09e+08,0.12707,0.01302,-0.03189,-0.01111,-0.00476,-3.71204,1.28272,1.33324,0.23357,-0.53859,-0.49232,16.88797,38.88265,1.99926,0.09305,4,-0.00454,0.02035,-0.17277,16.66368,95.28205
"9","2012_Q2",18.7534920634921,"Down",6.006e+09,-5.098e+09,9.08e+08,-6.53e+08,-2.41e+08,-4.3e+07,-3.69e+08,2.55e+08,-1.07e+08,-1.23e+08,1.6e+07,1.48e+08,-1e+07,1.38e+08,-3.9e+07,9.9e+07,9.9e+07,9.4e+07,9.4e+07,1.749e+09,1.749e+09,1.526e+09,1.526e+09,3.097e+09,1.511e+09,9.24e+08,5.87e+08,7.883e+09,1.9616e+10,1.1454e+10,5.271e+09,3.615e+09,2.568e+09,3.282e+10,4.0703e+10,3.643e+09,2.734e+09,9.09e+08,1.125e+09,9.97e+08,1.524e+09,1.045e+09,6.292e+09,8.618e+09,8.167e+09,5.619e+09,3.059e+09,2.56e+09,2.548e+09,1.6785e+10,2.3077e+10,5.5e+07,8.701e+09,1.178e+09,7.523e+09,1.169e+10,-2.406e+09,1.4142e+10,1.7626e+10,4.0703e+10,9.9e+07,3.69e+08,-5.9e+07,1.9e+07,-1e+08,2.2e+07,-6.45e+08,-1.39e+08,-1.53e+08,3e+06,-3.56e+08,-2.36e+08,-2.7e+08,-2.7e+08,-8e+07,-3.5e+08,-3.3e+07,3.57e+08,4.1e+07,3.16e+08,7.3e+08,8e+06,8e+06,6.2e+07,3.94e+08,-1.92e+08,-1.92e+08,2e+06,-1.9e+08,6.24e+08,9.743e+09,-2.52e+08,0.15118,0.04246,0.01565,0.00533,0.00231,-2.68085,1.25286,1.30926,0.23937,0.26457,0.24229,16.90413,39.64843,-0.70926,0.09288,1,0.00357,-0.00709,0.35106,12.8109,31.34902
"10","2012_Q3",18.0511111111111,"Down",5.963e+09,-5.154e+09,8.09e+08,-6.55e+08,-2.45e+08,-4.7e+07,-3.63e+08,1.54e+08,-1.45e+08,-1.23e+08,-2.2e+07,9e+06,-1.5e+07,-6e+06,-1.3e+07,-18999999.9999999,-1.9e+07,-2e+06,-2e+06,1.712e+09,1.712e+09,1.575e+09,1.575e+09,3.051e+09,1.429e+09,9.48e+08,4.81e+08,7.767e+09,1.8736e+10,1.122e+10,5.141e+09,3.443e+09,2.636e+09,3.1731e+10,3.9498e+10,3.575e+09,2.633e+09,9.42e+08,9.95e+08,8.77e+08,1.581e+09,1.175e+09,6.151e+09,8.547e+09,7.886e+09,5.435e+09,2.899e+09,2.536e+09,2.451e+09,1.6433e+10,2.2584e+10,5.5e+07,8.716e+09,1.178e+09,7.538e+09,1.1655e+10,-2.878e+09,1.3658e+10,1.6914e+10,3.9498e+10,-1.9e+07,3.64e+08,93999999.9999999,2e+07,-3e+06,7.7e+07,1e+08,-75999999.9999999,-34999999.9999999,-3.6e+07,2.47e+08,5.37e+08,-2.91e+08,-2.91e+08,-6.3e+07,-3.54e+08,-3.3e+07,-1.43e+08,9.7e+07,-2.4e+08,5e+06,2e+06,2e+06,-2.4e+07,-1.98e+08,-1.5e+07,-1.5e+07,-2.2e+07,-3.7e+07,5.18e+08,9.542e+09,3.4e+08,0.13567,0.02583,-0.000340000000000003,-0.000119999999999997,-5.00000000000001e-05,-170,1.26272,1.33523,0.24158,-0.00563000000000019,-0.00609000000000004,16.7831,38.28619,0.95694,0.09288,3,9e-04,0.0099,-16.5,15.11583,50.84416
