"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",38.8465625,"Up",1657400000,-1353600000,303800000,-226700000,-170300000,-51400000,-5e+06,77100000,-10700000,-5800000,-4900000,66400000,65200000,-14100000,11100000,62200000,62200000,1e+05,62300000,62300000,459200000,459200000,863400000,1432300000,253600000,167900000,3008500000,8.74e+08,1339200000,1.5e+08,611900000,67500000,378400000,131400000,2213200000,5221700000,1465900000,666100000,799800000,0,313600000,313600000,1779500000,446100000,466600000,266700000,117700000,82200000,912700000,2692200000,1045600000,1653100000,-170100000,2528600000,9e+05,2529500000,5221700000,62200000,37900000,-6900000,-102600000,-9400000,-37300000,0,-37300000,-61500000,-58200000,-119600000,-166300000,-166300000,50500000,-115800000,1.15e+08,446100000,-10800000,0.1833,0.04652,0.03759,0.02463,0.01193,-0.17335,1.69064,1.06432,0.08543,0.67061,0.65031,17.84069,27.21851,-0.11625,0.0181,-0.00314,-0.11391,-0.16991
"2","2011_Q1",45.7170967741935,"Up",2.168e+09,-1758800000,409200000,-265700000,-2e+08,-61100000,-4600000,143500000,-15900000,-9600000,-6300000,127600000,126500000,-54600000,13300000,85200000,85200000,0,85200000,85200000,719900000,719900000,908500000,1233500000,259100000,206500000,3.121e+09,924800000,1391100000,171600000,632700000,5.8e+07,3.98e+08,130800000,2315900000,5436900000,1565700000,682600000,883100000,1e+05,347100000,347100000,1912900000,4.43e+08,421800000,226500000,103900000,91400000,864800000,2777700000,1052200000,1738300000,-132100000,2658400000,8e+05,2659200000,5436900000,85200000,42800000,36900000,269700000,434600000,-83900000,-81500000,-190800000,-22600000,57900000,35600000.0000001,279400000,279400000,-18700000,260700000,186300000,443100000,426700000,0.18875,0.06619,0.0393,0.03204,0.01567,5.00822,1.63155,1.04456,0.0815,0.91712,0.87295,23.33692,28.61572,4.59311,0.02418,0.12108,-1.48578,-1.92892
"3","2011_Q2",44.1290476190476,"Down",1797700000,-1441800000,355900000,-2.47e+08,-184700000,-57900000,-4400000,108900000,-7800000,-5500000,-2300000,101100000,100900000,-30700000,11400000,81600000,81600000,-1600000,8e+07,8e+07,735070235.204614,735070235.204614,1045039039.63307,1437459484.26687,305846934.653999,248040791.480191,3523415693.75855,1055269905.30207,1562024648.07818,241055004.06543,746112821.84505,44098661.7755775,392142220.77053,138615939.621591,2617294553.38025,6140710247.1388,1776578650.29715,792736169.797337,983842480.499808,4553981.344647,379186910.700586,379186910.700586,2160319542.34238,534979610.629344,461127179.137765,234321432.740587,120051718.309525,106754028.087653,996106789.767109,3156426332.10949,1056811364.26653,1861116392.03737,48233593.1146061,2966161349.41851,18122565.610807,2984283915.02932,6140710247.1388,81600000,40800000,-2400000,-287400000,-167400000,-36300000,-88300000,-1.52e+08,-91300000,-2e+06,-93300000,-412700000,-412700000,7100000,-405600000,149700000,0,-143300000,0.19798,0.06058,0.0445,0.0487280945889939,0.0234308710440313,-1.79125,1.6265026554648,1.05923334081786,0.0863328995157992,0.85016,0.81384,19.10414,31.7008139429655,-1.52285,0.0358653698978855,0.129527286198104,-1.01423053372546,-1.30037655368676
"4","2011_Q3",37.0953125,"Down",2358600000,-1870300000,488300000,-287600000,-216500000,-66200000,-4900000,200700000,-20400000,-12500000,-7900000,180300000,181200000,-61100000,13800000,133900000,133900000,-2e+05,133700000,133700000,573100000,573100000,1062900000,1658200000,303700000,243500000,3597900000,1108300000,1502800000,228400000,734800000,37600000,369800000,132200000,2611100000,6.209e+09,1839200000,834500000,1004700000,1e+06,328900000,328900000,2169100000,475600000,474700000,2.35e+08,122700000,1.17e+08,950300000,3119400000,1061100000,1.952e+09,44300000,3057400000,32200000,3089600000,6.209e+09,133900000,42100000,1900000,9.1e+07,268900000,-75300000,-6e+06,-78900000,48900000,-1e+06,4.8e+07,2.38e+08,2.38e+08,20800000,258800000,242800000,476600000,319600000,0.20703,0.08509,0.05669,0.04327,0.02153,2.39043,1.65871,1.00965,0.07676,1.41183,1.35598,24.90602,32.28511,3.37487,0.03309,0.07909,-0.39745,-0.48082
"5","2011_Q4",36.3536507936508,"Down",2099100000,-1691300000,407800000,-293500000,-221200000,-67500000,-4800000,114300000,-10200000,-3100000,-7100000,104100000,104100000,-31600000,1.2e+07,84500000,84500000,-1e+05,84400000,84400000,455200000,455200000,902900000,1603200000,260900000,200900000,3222200000,1057800000,1376600000,214300000,665400000,4.2e+07,344900000,1.1e+08,2434400000,5656600000,1730500000,773500000,9.57e+08,1e+06,167700000,167700000,1899200000,456200000,449100000,221900000,113300000,113900000,905300000,2804500000,1067800000,2036400000,-283800000,2820400000,31700000,2852100000,5656600000,84500000,41400000,4e+05,42700000,1.69e+08,-74700000,-2300000,-7.7e+07,-165900000,-5e+05,-166300000,-74300000,-74300000,-43600000,-117900000,155700000,457200000,155300000,0.19427,0.05445,0.04021,0.02959,0.01492,1.84005,1.69661,0.98331,0.08083,0.87552,0.871,21.7749,29.25726,1.611,0.02246,0.04132,0.01285,0.0175
"6","2012_Q1",43.5624193548387,"Up",2517800000,-1993700000,524100000,-338400000,-246900000,-8.4e+07,-7500000,185700000,-10900000,-9100000,-1800000,174800000,174800000,98800000,11700000,285300000,285300000,-99999.9999999999,285200000,285200000,724400000,724400000,970500000,1559600000,408300000,265600000,3662800000,1222600000,2371800000,666500000,1194500000,37600000,346300000,126900000,3594400000,7257200000,2017600000,9.37e+08,1080600000,60100000,127800000,127800000,2205500000,1409700000,610800000,298600000,192300000,119900000,2020500000,4.226e+09,1074200000,2321600000,-400600000,2995200000,3.6e+07,3031200000,7257200000,285300000,49200000,-112300000,233200000,455400000,-112600000,-929700000,-1055800000,897800000,-15300000,882600000,282200000,282200000,-1.3e+07,269200000,234900000,1469800000,256700000,0.20816,0.07375,0.11327,0.09409,0.0393,0.90007,1.66076,1.39417,0.20253,2.93416,2.89249,25.90329,30.81481,2.64095,0.05579,0.05022,3.17327,4.014
"7","2012_Q2",37.2485714285714,"Down",2273700000,-1780700000,4.93e+08,-323200000,-238900000,-72100000,-12200000,169800000,-17400000,-1.3e+07,-4400000,152400000,152400000,-43200000,1.2e+07,121200000,121200000,-1e+06,120200000,120200000,426700000,426700000,1.108e+09,2024700000,422300000,276500000,3981700000,1277800000,2442300000,662600000,1238800000,41100000,366300000,133500000,3720100000,7701800000,2081200000,1062200000,1.019e+09,68400000,322700000,322700000,2472300000,1331100000,673100000,300700000,201200000,171200000,2004200000,4476500000,1066700000,2441800000,-321100000,3187400000,37900000,3225300000,7701800000,121200000,55600000,1300000,-458600000,-280500000,-8.7e+07,-5e+06,-122100000,93700000,-3e+05,93400000,-309200000,-309200000,11500000,-297700000,225400000,1399500000,-2.77e+08,0.21683,0.07468,0.05287,0.03727,0.01561,-2.30449,1.61052,1.38793,0.18171,1.2379,1.21292,23.41607,32.82595,-2.85273,0.02269,-0.05228,4.31588,5.72909
"8","2012_Q3",38.1111111111111,"Up",2690100000,-2078700000,611400000,-346500000,-2.55e+08,-7.9e+07,-12500000,264900000,-20800000,-14700000,-6100000,244100000,244100000,-57300000,15300000,202100000,202100000,2800000,204900000,204900000,393400000,393400000,1196300000,2023200000,409300000,271100000,4022200000,1243100000,2.366e+09,640200000,1190200000,4.6e+07,363800000,125800000,3609100000,7631300000,2.072e+09,9.89e+08,1.083e+09,56200000,134400000,134400000,2262600000,1471400000,641300000,289400000,193500000,158400000,2112700000,4375300000,1093200000,2646700000,-520900000,3.219e+09,3.7e+07,3.256e+09,7631300000,202100000,54800000,7600000,-172200000,92300000.0000001,-63900000,-5300000,-61200000.0000001,-50900000.0000001,-1e+05,-5.1e+07,-19900000.0000001,-19900000.0000001,-13400000,-33300000,319700000,1527600000,140900000,0.22728,0.09847,0.07617,0.06293,0.02685,0.68765,1.77769,1.34377,0.20018,2.10802,2.08232,27.67593,33.11728,1.44959,0.03777,0.02597,3.5477,4.28162
"9","2012_Q4",40.4648387096774,"Up",2.295e+09,-1.804e+09,4.91e+08,-351400000,-262800000,-76400000,-12200000,139600000,-29600000,-15800000,-13800000,1.1e+08,1.1e+08,-30500000,12600000,92100000,92100000,2400000,94500000,94500000,321900000,321900000,1088600000,2013900000,417100000,266800000,3841500000,1306500000,2373100000,6.3e+08,1191900000,35700000,380700000,134800000,3679600000,7521100000,1964600000,8.21e+08,1143600000,52800000,121700000,121700000,2139100000,1353900000,6.47e+08,289100000,196400000,161500000,2000900000,4.14e+09,1093400000,2741200000,-487500000,3347100000,3.4e+07,3381100000,7521100000,92100000,51900000,2e+05,10800000,1.55e+08,-83700000,-3400000,-86100000,-132300000,-5e+05,-142300000,-73400000,-73400000,1900000,-71500000,191500000,1406700000,149100000,0.21394,0.06083,0.04118,0.02795,0.01256,1.57778,1.79585,1.22445,0.18703,0.97423,0.96037,23.65979,34.50619,1.53711,0.01739,0.02743,5.66475,7.77077
"10","2013_Q1",45.195,"Up",2703400000,-2175600000,527800000,-386500000,-284500000,-89600000,-12400000,141300000,-24600000,-14100000,-10500000,116700000,94300000,-6900000,13600000,1.01e+08,1.01e+08,1500000,102500000,102500000,781300000,781300000,924600000,1703100000,545700000,302200000,3954700000,1406100000,2.361e+09,607100000,1192400000,4e+07,390300000,131200000,3767100000,7721800000,2114800000,888300000,1226500000,59100000,290900000,290900000,2464800000,1035600000,739900000,331600000,242700000,165600000,1775500000,4240300000,1083900000,2843700000,-479400000,3448200000,33300000,3481500000,7721800000,1.01e+08,67600000,8e+05,530200000,699600000,-1.05e+08,-5000000.00000001,-105300000,-1.33e+08,-6e+05,-141700000,452600000,452600000,6800000,459400000,208900000,1094700000,6.41e+08,0.19524,0.05227,0.03792,0.02944,0.01327,6.25366,1.60447,1.21795,0.14177,1.05561,1.04061,27.8414,35.51184,6.60144,0.01928,0.12058,1.50024,2.21798
