"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",10.3730158730159,"Up",42923000,-20156000,22767000,-13171000,-11374000,-1797000,9596000,-72000,29000,29000,-101000,9524000,9224000,-3400000,5824000,5824000,5824000,5824000,201622994.760099,648186022.439166,-446563027.679067,-98637721.2961384,-98637721.2961384,49095208.6424935,43553249.4199092,42312078.1047938,195633731.526363,-80886594.3182711,70668644.237273,18162808.9944313,52226908.9972909,-10217950.0809981,185415781.445365,-50283109.0257942,2311434.05120909,26055472.8844925,12151605.4086392,9517108.9525937,2634496.45604545,12151605.4086392,38207078.2931317,90248248.5507511,74173033.2648346,-17150319.835521,147270961.980065,147208703.152233,185415781.445365,5824000,1259000,520000,4083000,11686000,-1574000,-10945000,-12519000,628000,783000,-50000,-50000,0,-50000,10855000,0,16764000,0.53041,0.22356,0.13568,-0.0675790909102096,-0.0602745069687899,2.87843,7.19596141668798,0.232767193030887,0,0.06421,0.06211,0.47321,1.62627739943935,0.18482,-0.0642092017622636,1.34298673974014,-37.2409786547127,-48.7051963070506
"2","2011_Q3",9.5396875,"Down",43930000,-21442000,22488000,-12859000,-11218000,-1641000,9629000,-18000,28000,28000,-46000,9611000,9511000,-3400000,6111000,6111000,6111000,6111000,123720997.380049,310955011.219583,-187234013.839533,-28911360.6480692,-28911360.6480692,37140604.3212468,21354124.7099546,20211539.0523969,153304365.763182,-27010297.1591356,72861822.1186365,17891904.4972156,51937954.4986455,45851524.9595009,199155890.722683,-19476554.5128971,4535717.02560454,20869236.4422463,12661302.7043196,8932054.47629685,3729248.22802273,12661302.7043196,33530539.1465658,86007624.2753756,86878016.6324173,-7408159.91776047,165477480.990032,165625351.576117,199155890.722683,6111000,1325000,398000,296000,8130000,-1849000,-6366000,-8215000,4243000,4410000,4325000,4325000,-1.45519152283669e-11,4325000,10954000,0,12801000,0.51191,0.21919,0.13911,-0.00980954545510479,-0.00941725348439495,2.09475,7.16915070834399,0.195278596515443,0,0.06664,0.06432,0.47903,1.80044369971968,0.13959,-0.00965460088113181,0.614658369870069,-20.0678743273564,-25.7268631535253
"3","2011_Q4",8.8868253968254,"Down",42235000,-21647000,20588000,-12523000,-10721000,-1802000,8065000,-4000,13000,13000,-17000,8061000,7843000,-2900000,4943000,4943000,4943000,4943000,77705999.1266831,119496337.073194,-41790337.9465111,10809213.1173103,10809213.1173103,32203534.7737489,9843374.90331819,8766513.01746562,130562121.921061,5661234.28028815,74148940.7062122,17549968.1657385,51708651.4995485,79810174.9865003,210372296.907561,-856518.170965707,6682239.00853485,18392745.4807488,12873100.9014399,8542018.15876562,4331082.74267424,12873100.9014399,31265846.3821886,84501541.4251252,96589338.8774724,-2258386.63925349,178832493.663344,179106450.525372,210372296.907561,4943000,1357000,445000,-2299000,4446000,-1930000,-131000,-2061000,580000,719000,3104000,3104000,0,3104000,9422000,0,8093000,0.48746,0.19096,0.11704,0.0206601515149651,0.017464248838535,1.63726,7.034733569448,0.173306198838481,0,0.05335,0.05157,0.45582,1.93053789990656,0.08734,0.0191717997062894,0.205316123290023,-10.1380481091188,-12.4937543845084
"4","2012_Q1",8.54467741935484,"Down",43595000,-21646000,21949000,-13404000,-11819000,-1585000,8545000,241000,25000,25000,216000,8786000,8617000,-2700000,5917000,5917000,5961000,5961000,56083000,35844000,20239000,28634000,28634000,31994000,5791000,4747000,122502000,22340000,74820000,17172000,51584000,97160000,219662000,8516000,8516000,17797000,12887000,8347000,4540000,12887000,30684000,84975000,104064000,-394000,188645000,188978000,219662000,5917000,1388000,135000,-4076000,3364000,-2443000,-2797000,-5240000,4808000,7339000,5463000,5463000,196000,5659000,9933000,0,6114000,0.50348,0.19601,0.13674,0.03154,0.02714,1.02567,6.88329,0.16237,0,0.06407,0.06208,0.46859,2.02771,0.06572,0.02953,0.03029,-5.64613,-6.56325
"5","2012_Q2",9.98968253968254,"Up",45697000,-22720000,22977000,-13627000,-12115000,-1512000,9350000,-11000,22000,22000,-33000,9339000,9313000,-3300000,6013000,6013000,6004000,6004000,51357000,22032000,29325000,32673000,32673000,34222000,5967000,4923000,124219000,28238000,75165000,16793000,51609000,103403000,227622000,11580000,9802000,18253000,12803000,8347000,4456000,12803000,31056000,86673000,110059000,-508000,196224000,196566000,227622000,6013000,1379000,44000,-6175000,1261000,-6827000,-9087000,-16724000,1098000,1654000,-13809000,-13809000,-3000,-13812000,10729000,0,1027000,0.50281,0.20461,0.13139,0.03054,0.02638,0.17105,6.8054,0.15799,0,0.06435,0.06238,0.48978,2.10311,0.01101,0.02868,0.00491,-4.78675,-5.49273
"6","2012_Q3",10.2374603174603,"Up",44891000,-22234000,22657000,-14513000,-12804000,-1709000,8144000,-15000,26000,26000,-41000,8129000,8115000,-2900000,5215000,5215000,5237000,5237000,55606000,36972000,18634000,31869000,31869000,36425000,6518000,5474000,130418000,28888000,75012000,16362000,51634000,103900000,234318000,11199000,9611000,18409000,12783000,8347000,4436000,12783000,31192000,88558000,115312000,-1070000,202800000,203126000,234318000,5215000,1532000,-336000,-2352000,4059000,-2070000,10692000,8619000.00000001,1413000,2221000,14899000,14899000,41000,14940000,9676000,0,8154000,0.50471,0.18142,0.11666,0.02578,0.02235,1.557,7.08447,0.15356,0,0.05592,0.05469,0.47937,2.16561,0.08707,0.02426,0.03777,-5.7468,-6.82785
"7","2012_Q4",10.9609677419355,"Up",44913000,-22021000,22892000,-15344000,-13589000,-1755000,7548000,352000,30000,30000,322000,7900000,8120000,-2900000,5220000,5220000,5244000,5244000,61335000,42698000,18637000,34332000,34332000,36313000,4214000,3170000,136194000,29502000,74651000,15914000,51704000,104153000,240347000,10312000,7708000,17436000,12927000,8347000,4580000,12927000,30363000,89875000,120580000,-773000,209682000,209984000,240347000,5220000,1578000,617000,-250000,7165000,-1923000,-3000,-1926000,513000,581000,5820000,5820000,-94000,5726000,9126000,0,9853000,0.5097,0.16806,0.11676,0.02497,0.02182,1.87891,7.81108,0.1446,0,0.05568,0.05464,0.47688,2.22636,0.10462,0.02353,0.0442,-6.72091,-8.12599
"8","2013_Q1",11.7775,"Up",48545000,-24646000,23899000,-15202000,-13542000,-1660000,8697000,-380000,29000,29000,-409000,8317000,8291000,-2350000,5941000,5941000,6028000,6028000,68645000,49045000,19600000,35652000,35652000,34992000,4652000,3324000,143941000,29933000,77726000,16096000,53052000,107659000,251600000,11569000,10760000,19979000,12567000,9974000,2593000,12567000,32546000,93371000,126695000,-1227000,218839000,219054000,251600000,5941000,1684000,1641000,-224000,9042000,-1593000,-963000,-5754000,2773000,3170000,6458000,6458000,-111000,6347000,10381000,0,10914000,0.49231,0.17915,0.12417,0.02752,0.02396,1.81055,7.20461,0.14858,0,0.06391,0.06259,0.5147,2.32023,0.11572,0.02603,0.04712,-6.61256,-7.89295
"9","2013_Q2",13.19640625,"Up",49729000,-23235000,26494000,-16166000,-14240000,-1926000,10328000,85000,38000,38000,47000,10413000,10400000,-3700000,6700000,6700000,6714000,6714000,74504000,44485000,30019000,37694000,37694000,35009000,5528000,4200000,152735000,30666000,77396000,15703000,53078000,108062000,260797000,11725000,9329000,18970000,12612000,9974000,2638000,12612000,31582000,96484000,133409000,-879000,229014000,229215000,260797000,6700000,1626000,-347000,-3822000,4157000,-1923000,-10419000,-12342000,2494000,3523000,-4662000,-4662000,102000,-4560000,11954000,0,9909000,0.53277,0.20769,0.13501,0.02929,0.02574,1.47587,8.0514,0.13778,0,0.07089,0.06937,0.52507,2.41806,0.10463,0.02776,0.04098,-6.23256,-7.21379
"10","2013_Q3",14.301875,"Up",50738000,-23432000,27306000,-16829000,-14835000,-1994000,10477000,118000,43000,43000,75000.0000000001,10595000,10555000,-3800000,6755000,6755000,6793000,6793000,70838000,41309000,29529000,37590000,37590000,38375000,5771000,4443000,152574000,31264000,85833000,17257000,60037000,117097000,269671000,11017000,8420000,18315000,13645000,10721000,2924000,13645000,31960000,98095000,140202000,-749000,237548000,237711000,269671000,6755000,1665000,253000,-1586000,7087000,-1447000,490000,-10875000,92000,563000,-3225000,-3225000,49000,-3176000,12142000,0,12909000,0.53818,0.20649,0.13388,0.02858,0.02519,1.90034,8.33055,0.13445,0,0.07128,0.06999,0.53239,2.49259,0.13545,0.02703,0.05136,-5.83413,-6.76129
