"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",52.2603174603175,"Down",412967000,-291026000,121941000,-60059000,-45015000,-8186000,-2513000,61882000,-1505000,-2326000,788000,33000,60377000,60377000,-23547000,36830000,36830000,-184000,36646000,36646000,81980000,81980000,150572000,150572000,28556000,12651000,15905000,261108000,95440000,865897000,59093000,789054000,17750000,961337000,1222445000,181978000,21554000,160424000,40581000,238623000,162799000,36608000,5787000,199407000,438030000,375010000,-791000,408735000,783062000,1353000,784415000,1222445000,36830000,8186000,14053000,11968000,71037000,-12343000,-1969000,-54000,-14366000,-12274000,2384000,2384000,714000,-9176000,47495000,47495000,47495000,70068000,203380000,93240000,0.29528,0.14985,0.08874,0.04672,0.02998,2.54434,1.09423,0.55842,0.16637,1.31721,1.29222,14.84372,28.14644,3.35143,0.03577,0.09102,1.7326,1.9618
"2","2010_Q3",26.53765625,"Down",422349000,-297879000,124470000,-68341000,-52431000,-8279000,-3168000,56129000,-3100000,-2258000,734000,-1576000,53029000,53029000,-20663000,32366000,32366000,-164000,32202000,32202000,116027000,116027000,151855000,151855000,22489000,11713000,10776000,290371000,112143000,866706000,57732000,790210000,18764000,978849000,1269220000,179167000,22968000,156199000,41773000,238237000,162349000,41113000,7074000,203462000,441699000,387406000,-2156000,440937000,826189000,1332000,827521000,1269220000,32366000,8279000,20102000,-6350000,54397000,-13944000,-752000,1376000,-13320000,-10309000,1986000,1986000,1293000,-7030000,34047000,34047000,34047000,64408000,204122000,64777000,0.29471,0.1329,0.07625,0.03891,0.02537,2.01158,1.21883,0.53376,0.16082,1.14577,1.12606,15.02754,29.39651,2.30482,0.03002,0.06038,1.36776,1.56951
"3","2010_Q4",27.7959375,"Up",404680000,-296015000,108665000,-71580000,-54851000,-8832000,-2636000,37085000,-1334000,-2080000,788000,-42000,35751000,35751000,-13943000,21808000,21808000,-174000,21634000,21634000,128037000,128037000,136450000,136450000,17770000,9932000,7838000,282257000,117820000,863845000,55900000,790409000,17536000,981665000,1263922000,170497000,19551000,150946000,39265000,218627000,153414000,43660000,6963000,197074000,415701000,398162000,-14008000,462571000,846715000,1506000,848221000,1263922000,21808000,8832000,8643000,7891000,47174000,-13624000,-4e+05,50000,-13974000,-11443000,-9982000,1814000,235000,-21190000,12010000,12010000,12010000,45917000,192679000,54127000,0.26852,0.09164,0.05346,0.02551,0.01712,2.50194,1.29104,0.49009,0.15245,0.77003,0.75872,14.40399,30.13757,1.92657,0.01995,0.04991,1.4078,1.74308
"4","2011_Q1",34.8090322580645,"Up",361074000,-249926000,111148000,-54963000,-39510000,-8465000,-2317000,56185000,-2105000,-2102000,706000,-709000,54080000,54080000,-21042000,33038000,22269000,-171000,22098000,22098000,120295000,120295000,141549000,141549000,32206000,9947000,22259000,294050000,138554000,867259000,53393000,791412000,22454000,1005813000,1299863000,164878000,20663000,144215000,37178000,216341000,144688000,59119000,6833000,203807000,420148000,407185000,-14022000,484669000,877857000,1858000,879715000,1299863000,22269000,9292000,39300000,-37196000,33665000,-26387000,-700000.000000002,131000,-31956000,-10812000,1521000,1521000,-160000,-9451000,-7742000,-7742000,-7742000,65477000,181866000,22936000,0.30783,0.15561,0.0612,0.02512,0.017,1.03792,1.3592,0.4776,0.13991,0.78621,0.77629,12.84641,31.23268,0.81602,0.01972,0.02047,0.94035,1.09586
"5","2011_Q2",30.8684126984127,"Down",359314000,-270692000,88622000,-58500000,-44296000,-9180000,-1910000,30122000,-2106000,-2134000,323000,-295000,28016000,28016000,-11058000,16958000,15324000,-36000,15288000,15288000,148868000,148868000,141923000,141923000,27306000,11605000,15701000,318097000,144023000,865440000,52248000,791412000,21780000,1009463000,1327560000,178933000,21290000,157643000,36101000,227728000,136138000,59567000,5291000,195705000,423433000,416455000,-14194000,499957000,902233000,1894000,904127000,1327560000,15324000,9355000,7841000,20034000,52554000,-16580000,-95009481.6842319,634000,-15946000,-9627000,1674000,1674000,-82000,-8035000,28573000,28573000,28573000,39477000,172239000,53989000,0.24664,0.08383,0.04255,0.01691,0.01152,3.53146,1.39683,0.46833,0.12974,0.53896,0.5296,12.66707,31.80685,1.9033,0.01346,0.04753,0.59202,0.77588
"6","2011_Q3",19.62375,"Down",368424000,-268121000,100303000,-60242000,-45221000,-9550000,-3205000,40061000,-2075000,-2165000,466000,-376000,37986000,37986000,-14997000,22989000,21711000,-55000,21656000,21656000,28132000,28132000,153273000,153273000,23376000,10976000,12400000,204781000,144446000,991420000,62331000,901611000,27478000,1135866000,1340647000,169934000,21843000,148091000,35448000,215790000,127901000,66976000,5460000,194877000,410667000,422303000,-15702000,521612000,928228000,1752000,929980000,1340647000,21711000,9726000,11456000,-18934000,23959000,-9452000,-125977000,-160000,-135589000,-9949000,1293000,1293000,-450000,-9106000,-120736000,-120736000,-120736000,49787000,163349000,36398000,0.27225,0.10874,0.05878,0.02329,0.01615,1.68074,0.94898,0.44159,0.12184,0.756570000000001,0.746530000000001,12.87116,32.42831,1.27159,0.01866,0.03137,2.71591,3.37528
"7","2011_Q4",11.6642857142857,"Down",370288000,-287185000,83103000,-63874000,-46711000,-9659000,-3150000,19229000,-2016000,-2169000,325000,-172000,17213000,-556901000,134686000,-422215000,-423697000,-25000,-423722000,-423722000,29462000,29462000,151208000,151208000,24745000,10950000,13795000,205415000,146928000,494433000,52259000,335811000,29190000,641361000,846776000,167324000,22347000,144977000,33525000,209508000,119726000,5561000,5561000,125287000,334795000,428430000,-15762000,97891000,510574000,1407000,511981000,846776000,-423697000,9826000,448174000,-6523000,27780000,-12541000,0,-87000,-17128000,-10098000,1239000,1239000,-463000,-9322000,1330000,1330000,1330000,29055000,153251000,-124695000,0.22443,0.05193,-1.1443,-0.82761,-0.50039,0.29428,0.98046,0.65392,0.18098,-14.7274,-15.19534,12.87018,17.74613,-4.33405,-0.63167,-0.18589,4.26051,6.43762
"8","2012_Q1",11.9090322580645,"Up",320438000,-244075000,76363000,-55010000,-42652000,-9419000,-26999.9999999995,21353000,-1660000,-2089000,380000,49000,19693000,13851999.9999999,-5892000,7960000,4320000,-5999.99999999999,4313999.99999988,4313999.99999988,48004000,48004000,148061000,148061000,35951000,11321000,24630000,232016000,148536000,477733000,50067000,334695000,24322000,626269000,858285000,176098000,25475000,150623000,33888000,221734000,111551000,4852000,4852000,116403000,338137000,432420000,-15770000,102205000,518868000,1280000,520148000,858285000,4320000,10652000,23792000.0000001,-1847000,36917000,-5842000,-6258000.00000001,53000,-12047000,-7811000,1188000,1188000,295000,-6328000,18542000,18542000,18542000,32005000,145439000,30208000,0.23831,0.06664,0.0134600000000002,0.00829000000000002,0.00502999999999987,7.00232,1.04637,0.65008,0.16945,0.148699999999998,0.148700000000003,11.0454,17.88522,1.04126,0.00642999999999982,0.04506,3.04437,4.56306
"9","2012_Q2",12.4287301587302,"Up",370833000,-295583000,75250000,-62793000,-44394000,-10054000,-2482000,12457000,-1325000,-2059000,305000,429000,11132000,11132000,-4620000,6512000,5463000,-43000,5420000,5420000,41290000,41290000,161834000,161834000,34837000,12765000,22072000,237961000,143965000,473454000,49364000,334695000,23721000,617419000,855380000,173711000,20532000,153179000,68513000,252417000,68376000,4613000,4613000,72989000,325406000,437055000,-16044000,107625000,528651000,1323000,529974000,855380000,5463000,10166000,11963000,-16665000,10927000,-10236000,0,183000,-10053000,-8550000,962000,962000,41289.4406923869,-7588000,-6714000,-6714000,-6714000,22623000,136889000,342000,0.20292,0.03359,0.01462,0.01023,0.00634,0.0631,0.94273,0.614,0.16003,0.18442,0.182,12.61809,17.98806,0.01164,0.00807,0.00051,4.22574,7.67432
"10","2012_Q3",13.7661904761905,"Up",348223000,-272324000,75899000,-59959000,-43846000,-9461000,-2298000,15940000,-1699000,-1975000,396000,-120000,14241000,14241000,-5910000,8331000.00000001,7966000,-83999.9999999999,7882000,7882000,37158000,37158000,163161000,163161000,35981000,11180000,24801000,236300000,146207000,475792000,49335000,343353000,23606000,621999000,858299000,173233000,24425000,148808000,60700000,245004000,67701000,4274000,4274000,71975000,316979000,441510000,-17014000,115507000,540018000,1302000,541320000,858299000,7966000,9905000,15595000,-12288000,21178000,-9415000,-8392000,-71000,-17878000,-8488000,1161000,1161000,-105000,-7432000,-4132000,-4132000,-4132000,25845000,128401000,10052000,0.21796,0.04578,0.0226300000000001,0.01456,0.00918,1.27531,0.96447,0.58557,0.1496,0.26467,0.26251,11.69318,18.13358,0.33754,0.01169,0.01491,3.53039,5.72415
