"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",35.9821875,"Up",27693000,-1742000,25951000,-20246000,-20246000,5705000,45000,45000,5750000,5769000,-2120000,3649000,3649000,3649000,3649000,5303592.26381791,5303592.26381791,3851656.45298593,3851656.45298593,-2431596.28254004,3947452.24450506,-6871700.22957182,6723652.4342638,3977936.49601655,3453158.01746558,354511.526063358,1956105.22832474,7431094.51348213,14154746.9477459,-3997394.78560682,-865948.673622945,-5077396.49234296,550690.067217679,557517.438229962,-3446704.71838915,4484506.80722764,4456431.42492417,4484506.80722764,1037802.0888385,6087304.65617683,63083986.8911611,-2784368.32156929,13116944.8589074,13116944.8589074,14154746.9477459,3649000,619000,339000,-1557000,3050000,-391000,-391000,-391000,-391000,0,2659000,2659000,183000,2842000,6324000,0,6496000,0.9371,0.20601,0.13177,0.328774406423306,0.134911209124824,1.78021,3.62397125437265,1.2203599748578,9.80791163260485e-21,0.2219,0.22178,1.68408,0.727025154012792,0.39504,0.27582282629723,3.69595112308531,0.756064889974117,0.820052740863107
"2","2011_Q1",46.9222580645161,"Up",28467000,-2241000,26226000,-19515000,-19515000,6711000,34000,34000,6745000,6738000,-2951000,3787000,3787000,3787000,3787000,41184000,41184000,13290000,13290000,3293000,1489000,264000,57767000,3425000,4810000,349000,3403000,8235000,66002000,16661000,9931000,6080000,1543000,1543000,18204000,1909000,1909000,1909000,20113000,6762000,40165000,-1038000,45889000,45889000,66002000,3787000,623000,-1052000,5468000,8826000,-137000,-137000,-137000,-2385000,3000,6444000,6444000,22999.9999999999,6467000,7334000,0,15616000,0.92128,0.23575,0.13303,0.08253,0.05738,4.12358,3.17331,0.4383,0,0.2303,0.23017,1.73115,2.79062,0.94965,0.07923,0.32671,-5.61549,-6.13679
"3","2011_Q2",70.6598412698413,"Up",36960000,-2442000,34518000,-24525000,-24525000,9993000,63000,63000,10056000,-9944000,-4011000,-13955000,-13955000,-13955000,-13955000,48103135.9120607,48103135.9120607,16499947.8490047,16499947.8490047,5680948.76084668,1014349.25183165,2891983.40985727,70284032.5219121,3278854.50132782,5287863.99417814,348412.824645547,3968964.92389175,8566718.49550596,78850751.017418,26416464.9285356,14454982.8912076,11804048.830781,1772019.97759411,1769744.18725668,28188484.9061297,1462414.39759079,1391772.85835861,1462414.39759079,29650899.3037205,7185731.78127439,31128421.0362796,-572377.22614357,49199851.7136975,49199851.7136975,78850751.017418,-13955000,643000,-8000,23982000,10662000,-699000,-699000,-699000,-699000,308000,10271000,10271000,243000,10514000,10636000,0,37930000,0.93393,0.27037,-0.37757,0.0517168645255646,0.0464320969583919,-2.71802,2.57409791520912,0.463038341714068,-3.26930387753495e-21,-0.84828,-0.84828,2.24667,3.0029624486624,2.30563,0.0572132245675898,-0.607558707695104,-6.60347662999137,-7.20444924695437
"4","2011_Q3",46.488125,"Down",37565000,-2940000,34625000,-26997000,-26997000,7628000,41000,41000,7669000,7669000,-2751000,4918000,4918000,4918000,4918000,40086000,40086000,15936000,15936000,6164000,1625000,2922000,62186000,3374000,5225000,349000,3995000,8599000,70785000,29195000,15665000,13384000,1653000,1653000,30848000,2198000,2038000,2198000,33046000,7446000,31128000,-835000,37739000,37739000,70785000,4918000,666000,289000,-17117000,-11244000,-357000,-357000,-357000,-357000,-4.65661287307739e-10,-11601000,-11601000,-11000,-11612000,8294000,0,-6429000,0.92174,0.20306,0.13092,0.13032,0.06948,-1.30724,2.01588,0.87565,0,0.29877,0.29877,2.28206,2.29263,-0.39056,0.12314,-0.16098,-4.83313,-5.25511
"5","2011_Q4",27.9003174603175,"Down",38661000,-4221000,34440000,-25214000,-25214000,9226000,1000,1000,9227000,9227000,-3299000,5928000,5928000,5928000,5928000,32433000,32433000,14066000,14066000,6413000,2278000,2563000,52912000,3519000,4996000,349000,3855000,8515000,61427000,28471000,17177000,1.1e+07,1695000,1695000,30166000,3003000,2843000,3003000,33169000,7628000,37055000,-1306000,28258000,28258000,61427000,5928000,745000,221000,2242000,9136000,-846000,-846000,-846000,-846000,-15124000,-6834000,-6834000,-819000,-7653000,9971000,0,14666000,0.89082,0.23864,0.15333,0.20978,0.0965,2.47402,1.75403,1.17379,0,0.36155,0.35919,2.35795,1.72347,0.89449,0.18963,0.46915,-3.25273,-3.51539
"6","2012_Q1",25.8532258064516,"Down",35156000,-3680000,31476000,-23301000,-23301000,8175000,197000,197000,8372000,8372000,-1944000,6428000,6428000,6428000,6428000,38744000,38744000,13340000,13340000,7780000,2123000,3625000,59864000,3557000,4927000,344000,3879000,8484000,68348000,28321000,21731000,6311000,2282000,2282000,30603000,2986000,2986000,2986000,33589000,7820000,43484000,-1422000,34759000,34759000,68348000,6428000,671000,-224000,202000,7077000,-558000,-558000,-558000,-558000,1000,6520000,6520000,-209000,6311000,8846000,2.01948391736579e-28,10434000,0.89532,0.23253,0.18284,0.18493,0.09405,1.62321,1.95615,0.96634,-3.00926553810506e-36,0.40296,0.39581,2.20386,2.17897,0.65409,0.1703,0.27643,-4.37983,-4.73933
"7","2012_Q2",23.8339682539683,"Down",39333000,-4054000,35279000,-25709000,-25709000,9570000,99000,99000,9669000,6669000,-2922000,3747000,3747000,3747000,3747000,48559000,48559000,14655000,14655000,7381000,2444000,2780000,70595000,3674000,4864000,344000,3904000,8538000,79133000,34430000,22420000,12010000,2415000,2415000,36845000,2988000,2988000,2988000,39833000,8107000,32108000,-915000,39300000,39300000,79133000,3747000,627000,360000,5053000,9787000,-678000,-678000,-678000,-678000,0,9109000,9109000,706000,9815000,10197000,0,17494000,0.89693,0.24331,0.09526,0.09534,0.04735,4.6688,1.916,1.01356,0,0.23475,0.23391,2.46416,2.4621,1.09598,0.08861,0.41369,-4.76209,-5.07409
"8","2012_Q3",22.5277777777778,"Down",39360000,-3629000,35731000,-25364000,-25364000,10367000,-16000,-16000,10351000,10351000,-3090000,7261000,7261000,7261000,7261000,54161000,54161000,15236000,15236000,7225000,2601000,2493000,76622000,3711000,4955000,344000,4083000,8666000,85288000,33735000,22129000,11606000,2325000,2325000,36060000,2930000,2930000,2930000,38990000,8413000,39369000,-1484000,46298000,46298000,85288000,7261000,598000,472000,-1279000,7052000,-594000,-594000,-594000,-594000,-4.65661287307739e-10,6458000,6458000,-856000,5602000,10965000,-3.23117426778526e-27,12182000,0.9078,0.26339,0.18448,0.15683,0.08514,1.67773,2.12485,0.84215,-4.81482486096809e-35,0.45489,0.45367,2.46586,2.90051,0.76319,0.1475,0.24746,-4.93944,-5.22437
"9","2012_Q4",18.9972580645161,"Down",35447000,-3989000,31458000,-27263000,-27263000,4195000,135000,135000,4330000,4330000,-896000,3434000,3434000,3434000,3434000,57634000,57634000,15440000,15440000,14546000,2757000,10052000,87620000,4007000,4987000,357000,4190000,8994000,96614000,35933000,23314000,12619000,2793000,2793000,38726000,10705000,10705000,10705000,49431000,8719000,39192000,-728000,47183000,47183000,96614000,3434000,631000,175000,2610000,6850000,-774000,-774000,-774000,-774000,-3611000,2465000,2465000,1008000,3473000,4826000,0,7558000,0.88747,0.11835,0.09688,0.07278,0.03554,2.20093,2.26256,1.04764,0,0.21619,0.21331,2.23162,2.97047,0.47582,0.05932,0.13056,-11.9424,-13.73874
"10","2013_Q1",20.9638333333333,"Up",37028000,-4073000,32955000,-28598000,-28598000,4357000,91000,91000,4448000,4448000,-692000,3756000,3756000,3756000,3756000,61169000,61169000,13626000,13626000,11525000,2260000,6682000,86320000,4314000,7199000,1710000,4503000,11513000,97833000,37688000,28695000,8993000,5978000,2978000,43666000,10828000,10828000,10828000,54494000,9026000,42948000,-737000,43339000,43339000,97833000,3756000,683000,-1820000,10392000,13011000,-1375000,-1375000,-698000,-1647000,-7899000,3465000,3465000,70000,3535000,5040000,5.16987882845642e-26,14749000,0.89,0.11767,0.10144,0.08667,0.03839,3.92678,1.97682,1.25739,0,0.23991,0.24262,2.3651,2.7682,0.94207,0.06934,0.27229,-12.13671,-14.03925
"11","2013_Q2",26.0625,"Up",42177000,-3985000,38192000,-30156000,-30156000,8036000,31000,31000,8067000,8067000,-2472000,5595000,5595000,5595000,5595000,65107000,65107000,15303000,15303000,10128000,2187000,5117000,90538000,5316000,6496000,1240000,4460000,11812000,102350000,40264000,26909000,12796000,2420000,2420000,42684000,11643000,11643000,11643000,54327000,9332000,48543000,-1954000,48023000,48023000,102350000,5595000,716000,689000,-5e+05,6500000,-9e+05,-9e+05,-9e+05,-9e+05,0,5600000,5600000,-1662000,3938000,8752000,0,9824000,0.90552,0.19053,0.13266,0.11651,0.05467,1.75585,2.12112,1.13127,0,0.36421,0.364,2.74554,3.12609,0.6395,0.09377,0.16465,-7.4391,-8.10192
