"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"21","2015_Q4",28.9315625,"Down",48036000,-29537000,18499000,-7462000,-7462000,11037000,1505000,360000,140000,1005000,12542000,12542000,-4132000,8410000,8410000,8410000,8410000,122211000,76615000,16874000,16874000,11757000,3764000,3312000,154606000,75187000,10420000,5486000,85607000,240213000,12835000,5029000,2403000,5403000,12835000,8445000,8193000,252000,8445000,21280000,80807000,147246000,-9120000,218933000,218933000,240213000,8410000,2482000,-147000,1825000,12570000,-823000,-1571000,-2394000,-2402000,-2384000,7792000,7792000,-2844000,4948000,13519000,0,18653000,0.38511,0.22977,0.17508,0.03841,0.03501,2.21795,12.04566,0.0972,0,0.31504,0.31504,1.79944,8.20127,0.69875,0.08998,0.04755,0.08204,0.28561,-9.03994,-11.07285
"22","2016_Q1",27.8483606557377,"Down",44289000,-28494000,15795000,-8125000,-7740000,7670000,-314000,401000,265000,-980000,7356000,7356000,-2253000,5103000,5103000,5103000,5103000,126106000,81932000,13531000,13531000,13047000,4334000,3751000,157018000,74121000,10401000,6e+05,84522000,241540000,11682000,4422000,2411000,4849000,11682000,7671000,7411000,260000,7671000,19353000,82292000,149938000,-10043000,222187000,222187000,241540000,5103000,2503000,1280000,-24000,8862000,-1409000,-992000,-2401000,-2403000,-1242000,5219000,5219000,98000.0000000009,5317000,10173000,1.16415321826935e-10,10993000,0.35663,0.17318,0.11522,0.02297,0.02113,2.15422,13.44102,0.0871,2.16840434497101e-19,0.19067,0.19067,1.6548,8.30171,0.41074,0.08978,0.03265,0.04783,0.4709,-12.39615,-16.44146
"23","2016_Q2",30.00734375,"Up",51028000,-31487000,19541000,-7655000,-7468000,11886000,310000,372000,114000,-176000,12196000,12196000,-3988000,8208000,8208000,8208000,8208000,131929000,89901000,19480000,19480000,12727000,5323000,4862000,169459000,72736000,11188000,6344000,83924000,253383000,15212000,5861000,2417000,6934000,15212000,7512000,7512000,0,7512000,22724000,85530000,154658000,-9529000,230659000,230659000,253383000,8208000,2527000,1430000,-1674000,10491000,-1847000,2151000,304000,-3482000,-3268000,7527000,7527000,442000,7969000,14413000,0,14880000,0.38295,0.23293,0.16085,0.03558,0.03239,1.81287,11.13982,0.09852,0,0.30622,0.30622,1.90375,8.60539,0.55514,0.12991,0.04908,0.06248,0.42422,-9.15347,-11.09953
"24","2016_Q3",28.7725,"Down",50809000,-31856000,18953000,-8509000,-8394000,10444000,149000,386000,151000,-388000,10593000,10593000,-3603000,6990000,6990000,6990000,6990000,137863000,99629000,19751000,19751000,12310000,3960000,3498000,173884000,71573000,11207000,6355000,82780000,256664000,14082000,5457000,2422000,6203000,14082000,7665000,7665000,2.3283064365387e-10,7665000,21747000,87273000,159226000,-11582000,234917000,234917000,256664000,6990000,2507000,1673000,282000,11452000,-1558000,4015000,2457000,-2418000,-2210000,11699000,11699000,-1971000,9728000,12951000,0,15278000,0.37302,0.20555,0.13757,0.02976,0.02723,2.18569,12.34796,0.09257,0,0.25977,0.25977,1.88825,8.73038,0.56779,0.08986,0.03878,0.06298,0.34592,-10.64497,-13.20021
"25","2016_Q4",34.212380952381,"Up",45232000,-29692000,15540000,-8297000,-8174000,7243000,314000,298000,46000,-30000,7557000,7557000,-2569000,4988000,4988000,4988000,4988000,143880000,110022000,17701000,17701000,12530000,4414000,3436000,178525000,71235000,11742000,6830000,82977000,261502000,13163000,5536000,2424000,5203000,13163000,8919000,8919000,0,8919000,22082000,88691000,161791000,-11062000,239420000,239420000,261502000,4988000,2516000,2080000,-202000,9382000,-1950000,4524000,2574000,-2421000,-2008000,9948000,9948000,445000,10393000,9759000,0,10176000,0.34356,0.16013,0.11028,0.02083,0.01907,2.0401,13.56264,0.09223,0,0.18527,0.18527,1.68005,8.89277,0.37797,0.08992,0.02983,0.04098,0.48536,-14.74331,-19.8647
"26","2017_Q1",35.8837096774194,"Up",49865000,-32550000,17315000,-12429000,-11309000,4886000,-331000,-266000,84000,-149000,4555000,4555000,-1437000,3118000,3118000,3118000,3118000,81046000,74221000,25730000,25730000,3e+07,4492000,3980000,141268000,80515000,222994000,3141000,303509000,444777000,20311000,10166000,2424000,7721000,31076000,37304000,9501000,27803000,177304000,208380000,89745000,162485000,-15833000,236397000,236397000,444777000,3118000,3768000,1318000,-1023000,7181000,-2052000,26985000,-175123000,-2423000,135709000,-32233000,-32233000,-3568000,-35801000,8654000,1.4e+08,7016000,0.34724,0.09798,0.06253,0.01319,0.00701,2.25016,4.54589,0.88148,0.31476,0.11577,0.11577,1.85145,8.77722,0.2605,0.08996,0.01339,0.01696,0.7771,6.81234,12.0659
"27","2017_Q2",38.6757142857143,"Up",81353000,-48559000,32794000,-17010000,-14700000,15784000,-645000,-625000,46000,-66000,15139000,15139000,-4928000,10211000,10211000,10211000,10211000,75110000,70406000,37714000,37714000,31915000,5106000,5106000,149845000,78750000,221199000,2829000,299949000,449794000,30183000,14795000,2427000,12961000,40948000,37533000,9581000,27952000,161533000,202481000,91336000,169730000,-13753000,247313000,247313000,449794000,10211000,5091000,3475000,-6344000,12433000,-758000,2096000,1338000,-2963000,-18758000,-4987000,-4987000,1172000,-3815000,20875000,1.24e+08,18701000,0.40311,0.19402,0.12551,0.04129,0.0227,1.83146,3.6594,0.81872,0.27568,0.37894,0.37894,3.01911,9.1781,0.69402,0.10996,0.03222,0.04574,0.29018,2.34204,3.09744
"28","2017_Q3",44.605873015873,"Up",89335000,-50752000,38583000,-17882000,-15844000,20701000,-1606000,-964000,-6000.00000000001,-636000,19095000,10904000,-3620000,7284000,7284000,7284000,7284000,82519000,78673000,40214000,40214000,38482000,4417000,4417000,165632000,78250000,225411000,2678000,303661000,469293000,28525000,16032000,2435000,10058000,45415000,43132000,6654000,36478000,167132000,212547000,92686000,174580000,-10520000,256746000,256746000,469293000,7284000,4764000,6420000,-9217000,9251000,-2529000,842000,-1686999.99999997,-2427000,-2167000,5397000,5397000,2870000,8267000,25465000,1.24e+08,17339000,0.43189,0.23172,0.08154,0.02837,0.01552,2.38042,3.64708,0.82785,0.26423,0.26932,0.26932,3.30308,9.49294,0.64109,0.08974,0.02291,0.04091,0.3332,1.62894,2.00382
"29","2017_Q4",56.2828571428571,"Up",88001000,-51707000,36294000,-18892000,-16854000,17402000,-760000,-1121000,24000,337000,16642000,15978000,-4683000,11295000,11295000,11295000,11295000,84947000,81191000,40587000,40587000,43515000,4048000,4048000,173097000,80636000,222855000,3001000,303491000,476588000,32300000,16907000,2436000,12957000,66169000,25649000,6404000,19245000,141649000,207818000,94138000,183439000,-8807000,268770000,268770000,476588000,11295000,4704000,2588000,-1850000,16737000,-4944000,-51000,-5495000,-2434000,-10035000,1207000,1207000,1311000,2518000,22106000,1.16e+08,19995000,0.41243,0.19775,0.12835,0.04202,0.0237,1.77025,2.61598,0.77322,0.2434,0.41742,0.41742,3.25219,9.93274,0.73894,0.08995,0.03345,0.04872,0.21549,1.40473,1.78445
"30","2018_Q1",56.8786885245902,"Up",84150000,-55296000,28854000,-20219000,-18182000,8635000,-1460000,-1071000,-12000,-377000,7175000,5523000,-2755000,2768000,2768000,2768000,2768000,63882000,63882000,37503000,37503000,41545000,3846000,3846000,146776000,91931000,221059000,3405000,312990000,459766000,28761000,15469000,2437000,10855000,45863000,25230000,2068000,23162000,141230000,187093000,95381000,183770000,-6478000,272673000,272673000,459766000,2768000,4631000,-1401000,4963000,10961000,-13927000,3797000,-10130000,-2436000,-19041000,-18210000,-18210000,901000,-17309000,13266000,1.16e+08,7057000,0.34289,0.10261,0.03289,0.01015,0.00602,2.54949,3.20031,0.68614,0.2523,0.10224,0.10224,3.10826,10.07177,0.26067,0.08998,0.01257,0.01705,0.88006,3.92869,6.03567
"31","2018_Q2",48.85203125,"Down",97318000,-59701000,37617000,-20364000,-18315000,17253000,-958000,-483000,-511000,36000,16295000,15893000,-3982000,11911000,11911000,11911000,11911000,198528000,198528000,47371000,47371000,40862000,4003000,4003000,290764000,93922000,219123000,3560000,313045000,603809000,35029000,16556000,2843000,15630000,52260000,25531000,2080000,23451000,26473000,78733000,336221000,192838000,-3983000,525076000,525076000,603809000,11911000,4729000,1961000,-3942000,14659000,-4234000,1126731.43728401,-4234000,-2437000,122418000,132843000,132843000,1803000,134646000,21982000,942000,17788000,0.38654,0.17728,0.12239,0.02268,0.01973,1.49341,5.5638,0.14995,0.00156,0.39955,0.39955,3.2645,17.6135,0.59669,0.08175,0.02601,0.03225,0.2046,-8.98854,-11.45227
"32","2018_Q3",49.0601587301587,"Up",136168000,-85764000,50404000,-33400000,-25325000,17004000,-7532000,-4151000,-3301000,-79999.9999999999,9472000,9221000,-2425000,6796000,6796000,6796000,6796000,29942000,29942000,74344000,74344000,77289000,9514000,8922000,191089000,114428000,686835000,3977000,801263000,992352000,66901000,39136000,2845000,24920000,107261000,29974000,20817000,9157000,381696000,488957000,337804000,196787000,-31196000,503395000,503395000,992352000,6796000,12347000,7946000,-10631000,16458000,-6344000,-2535000,-536023000,-2844000,352046000,-167519000,-167519000,-1067000,-168586000,29351000,355227000,14801000,0.37016,0.12488,0.04991,0.0135,0.00685,2.1779,1.78153,0.97132,0.35796,0.21508,0.21508,4.30952,15.93173,0.46843,0.09001,0.01085,0.01666,0.41848,11.08259,19.12991
"33","2018_Q4",41.018253968254,"Down",135836000,-84102000,51734000,-32488000,-25438000,19246000,-4721000,-4622000,42000,-141000,14525000,14250000,-2651000,11599000,11599000,11599000,11599000,15875000,15875000,77867000,77867000,88438000,14102000,11860000,196282000,122660000,689670000,3849000,812330000,1008612000,67245000,36076000,2877000,28292000,91911000,30355000,20230000,10125000,390191000,482102000,356804000,205510000,-35804000,526510000,526510000,1008612000,11599000,11725000,3771000,-13990000,13105000,-8104000,0,-15622000,-2845000,-11255000,-13772000,-13772000,-295000,-14067000,30971000,364786000,11528000,0.38086,0.14169,0.08539,0.02203,0.0115,0.99388,2.13557,0.91566,0.36167,0.36426,0.36426,4.2658,16.53456,0.36203,0.08934,0.01567,0.01251,0.24528,11.26573,18.12901
"34","2019_Q1",38.8640983606557,"Down",138723000,-85795000,52928000,-30877000,-24789000,22051000,-5948000,-4620000,212000,-1540000,16103000,17031000,-607000,16424000,16424000,16424000,16424000,23477000,23477000,72806000,72806000,85989000,14584000,10035000,196856000,126868000,718441000,5299000,845309000,1042165000,69655000,40879000,2878000,25898000,92990000,70937000,57783000,13154000,418407000,511397000,357965000,219056000,-46253000,530768000,530768000,1042165000,16424000,10913000,-743999.999999999,6635000,33228000,-9636000,0,-9635999.99999994,-2877000,-15869000,7723000,7723000,-123000,7600000,32964000,352685000,30570000,0.38154,0.15896,0.11839,0.03094,0.01576,1.8613,2.11696,0.9635,0.33842,0.51349,0.51349,4.33713,16.59428,0.95576,0.08995,0.02022,0.03203,0.17517,9.98689,14.92939
"35","2019_Q2",45.5144444444444,"Up",146851000,-90342000,56509000,-30677000,-26156000,25832000,-4054000,-4385000,439000,-108000,21778000,21059000,-4655000,16404000,16404000,16404000,16404000,16717000,16717000,81252000,81252000,88896000,13265000,12504000,200130000,145147000,702521000,4619000,847668000,1047798000,73988000,41328000,2881000,29779000,98557000,76475000,50781000,25694000,408735000,507292000,360227000,232445000,-52166000,540506000,540506000,1047798000,16404000,8571000,2588000,-7735000,19828000,-8728000,973259.571902142,-8728000,-2878000,-17692000,-6592000,-6592000,-167000,-6759000,34403000,338017000,22595000,0.38481,0.17591,0.11171,0.03035,0.01566,1.37741,2.0306,0.93855,0.3226,0.51298,0.51298,4.59225,16.90243,0.70658,0.09,0.02019,0.02366,0.17545,9.3393,12.43806
"36","2019_Q3",42.49734375,"Down",143842000,-87616000,56226000,-29854000,-25309000,26372000,-4391000,-4048000,-501000,158000,21981000,21925000,-4660000,17265000,17265000,17265000,17265000,13283000,13283000,81817000,81817000,97176000,16045000,14783000,208321000,146607000,704929000,4746000,851536000,1059857000,75639000,41867000,2882000,30890000,83043000,79844000,52478000,27366000,418560000,501603000,362136000,246828000,-50710000,558254000,558254000,1059857000,17265000,8624000,-9890000,-10382000,5617000,-6088000,2571764.35254866,-6088000,-2881000,-3700000,-4171000,-4171000,736000,-3435000,34996000,345073000,23186000,0.39089,0.18334,0.12003,0.03093,0.01629,1.34295,2.50859,0.89852,0.32558,0.53933,0.53933,4.49338,17.4389,0.72429,0.09,0.02049,0.02358,0.16687,9.4808,12.58115
"37","2019_Q4",41.9878125,"Down",138045000,-85926000,52119000,-28544000,-24066000,23575000,-3748000,-3790000,-30000,72000,19827000,15462000,-2671000,12791000,12791000,12791000,12791000,13706000,13706000,77315000,77315000,89338000,16024000,15434000,196383000,144230000,680337000,5155000,824567000,1020950000,68521000,34845000,2884000,30792000,76390000,74711000,48057000,26654000,386113000,462503000,363794000,256735000,-62082000,558447000,558447000,1020950000,12791000,8811000,547000,3303000,25452000,-4644000,2256000,-2388000,-2882000,-26555000,-3491000,-3491000,3913000,422000,32386000,318348000,33716000,0.37755,0.17078,0.09266,0.0229,0.01253,2.63592,2.57079,0.82819,0.31182,0.39937,0.39937,4.31013,17.43621,1.0527,0.08998,0.01647,0.03543,0.22531,9.4066,12.92225
"38","2020_Q1",41.7556451612903,"Down",125927000,-78499000,47428000,-28655000,-24134000,18773000,-2615000,-3164000,938000,-389000,16158000,16861000,-3053000,13808000,13808000,13808000,13808000,22123000,22123000,66677000,66677000,85195000,18594000,15398000,192589000,145854000,683308000,5285000,829162000,1021751000,68830000,29730000,2884000,36216000,76453000,74892000,49290000,25602000,367662000,444115000,365342000,267658000,-55364000,577636000,577636000,1021751000,13808000,9209000,13879000,2687000,39583000,-5369000,222000,-5147000,-2884000,-23796000,10640000,10640000,-2221000,8419000,27982000,300393000,28353000,0.37663,0.14908,0.10965,0.0239,0.01351,2.05337,2.51905,0.76885,0.294,0.43093,0.43093,3.93006,18.02746,0.88487,0.09001,0.01752,0.02975,0.20886,9.94461,14.82288
"39","2020_Q2",33.5234920634921,"Down",129483000,-77633000,51850000,-30012000,-25664000,21838000,-2982000,-2951000,-125000,94000,18856000,-13015000,-4208000,-17223000,-17223000,-17223000,-17223000,27257000,27257000,71638000,71638000,86727000,19364000,17607000,204986000,141912000,646951000,4479000,788863000,993849000,70196000,33145000,2887000,34164000,78393000,76759000,48680000,28079000,363821000,442214000,366553000,247548000,-62466000,551635000,551635000,993849000,-17223000,8376000,32117000,-8203000,15067000,-2934000,1634000,-1300000,-2885000,-8945000,4822000,4822000,310000,5132000,30214000,294431000,23285000,0.40044,0.16866,-0.13301,-0.03122,-0.01733,-1.35197,2.61485,0.80164,0.29625,-0.53718,-0.53718,4.03852,17.20526,0.72625,0.08998,-0.01554,0.02523,-0.16751,8.84272,12.23436
"40","2020_Q3",38.21484375,"Up",119294000,-74575000,44719000,-28017000,-23600000,16702000,-3158000,-2891000,-283000,15999.9999999999,13544000,13544000,-636000,12908000,12908000,12908000,12908000,36965000,36965000,73018000,73018000,84950000,20185000,17333000,215118000,140605000,646057000,4627000,786662000,1001780000,70900000,29424000,2888000,38588000,81913000,75888000,48084000,27804000,353103000,435016000,367873000,257568000,-58677000,566764000,566764000,1001780000,12908000,8645000,773000,2938000,25264000,-2214000,-1991000,-4205000,-2887000,-10710000,10349000,10349000,-641000,9708000,25347000,287431000,26707000,0.37486,0.14001,0.1082,0.02277,0.01289,2.06903,2.62618,0.76754,0.28692,0.40237,0.40237,3.71864,17.66721,0.83251,0.08999,0.01698,0.02871,0.22366,9.88148,14.99617
"41","2020_Q4",46.491875,"Up",122645000,-75702000,46943000,-28600000,-24042000,18343000,-1981000,-2730000,727000,22000,16362000,16362000,-3380000,12982000,12982000,12982000,12982000,32444000,32444000,71585000,71585000,77641000,22320000,16767000,203990000,139318000,655857000,4603000,795175000,999165000,74608000,31347000,2890000,40371000,86416000,76386000,49434000,26952000,324933000,411349000,369542000,267660000,-49386000,587816000,587816000,999165000,12982000,8784000,4211000,10719000,36696000,-1904000,-1612000,-3516000,-2888000,-34617000,-1437000,-1437000,-3083000,-4520000,27127000,260355000,39322000,0.38276,0.14956,0.10585,0.02209,0.01299,3.02896,2.36056,0.69979,0.26057,0.40449,0.40449,3.82131,18.31488,1.22518,0.08998,0.01716,0.04253,0.22246,8.40163,12.42496
"42","2021_Q1",63.3039344262295,"Up",151618000,-98902000,52716000,-42316000,-33525000,10400000,-3244000,-4714000,1236000,234000,7156000,7156000,-1605000,5551000,5551000,5551000,5551000,25216000,25216000,97623000,97623000,110372000,20808000,19705000,254019000,163177000,879783000,10230000,1042960000,1296979000,111783000,59477000,2891000,49415000,128012000,115336000,78864000,36472000,561177000,689189000,371810000,270320000,-34340000,607790000,607790000,1296979000,5551000,13890000,6365000,5723000,31529000,-7428000,-2420000,-226877000,-2890000,192013000,-3335000,-3335000,-3890000,-7225000,24290000,462070000,24190000,0.34769,0.06859,0.03661,0.00913,0.00428,4.35777,1.98434,1.13393,0.35627,0.17285,0.17285,4.7211,18.92542,0.75323,0.08999,0.00712,0.02041,0.52063,17.98493,42.00519
"43","2021_Q2",72.5269841269841,"Up",204844000,-129477000,75367000,-40759000,-30561000,34608000,-5214000,-4751000,-464000,1000,29394000,29394000,-6807000,22587000,22587000,22587000,22587000,25924000,25924000,124391000,124391000,119763000,22521000,21942000,292599000,160695000,858254000,10734000,1018949000,1311548000,126303000,72608000,2900000,50795000,142144000,108201000,73578000,34623000,544124000,686268000,377026000,290007000,-41753000,625280000,625280000,1311548000,22587000,15237000,-1044000,-21698000,15082000,-5001000,-1479000,-7480000,-2891000,-9459000,-1857000,-1857000,2565000,708000,49845000,451764000,29953000,0.36792,0.16895,0.11026,0.03612,0.01722,1.32612,2.05847,1.09754,0.34445,0.70161,0.70161,6.363,19.42286,0.93042,0.0898,0.0215,0.02527,0.12799,8.54328,12.30467
"44","2021_Q3",80.9265625,"Up",223413000,-141261000,82152000,-40090000,-32410000,42062000,-4793000,-4400000,-503000,110000,37269000,37269000,-6575000,30694000,30694000,30694000,30694000,34371000,34371000,134018000,134018000,132318000,23718000,21802000,324425000,163201000,852766000,11499000,1015967000,1340392000,135328000,74553000,2902000,57873000,150990000,110008000,76417000,33591000,531057000,682047000,379331000,317799000,-38785000,658345000,658345000,1340392000,30695000,12905000,6643000,-15792000,34451000,-5242000,-1464000,-6705999.99999997,-2900000,-19265000,8480000,8480000,-32999.9999999991,8447000,54967000,436711000,40508000,0.36771,0.18827,0.13739,0.04662,0.0229,1.31974,2.14865,1.036,0.32581,0.95344,0.95344,6.9398,20.44994,1.25829,0.09008,0.02788,0.03361,0.09448,7.31966,9.5654
"45","2021_Q4",96.50859375,"Up",223241000,-142299000,80942000,-40193000,-32786000,40749000,-3501000,-3813000,-304000,616000,37248000,37248000,-9488000,27760000,27760000,27760000,27760000,47687000,47687000,136812000,136812000,148186000,24063000,20171000,356748000,165778000,895466000,11982000,1061244000,1417992000,142532000,73927000,2916000,65689000,157900000,116786000,78026000,38760000,571646000,729546000,391493000,342643000,-45690000,688446000,688446000,1417992000,27760000,12989000,-298000,-7999000,32452000,-6729000,191000,-54019000,-2903000,33052000,11485000,11485000,1831000,13316000,53738000,470228000,48498000,0.36258,0.18253,0.12435,0.04032,0.01958,1.74705,2.25933,1.0597,0.33162,0.86019,0.86019,6.91748,21.33261,1.50279,0.08995,0.02404,0.03802,0.10457,7.86298,10.36936
"46","2022_Q1",79.2382258064516,"Down",217687000,-143343000,74344000,-42454000,-34928000,31890000,-4622000,-3907000,301000,-1016000,27268000,27268000,-3713000,23555000,23555000,23555000,23555000,28540000,28540000,134561000,134561000,165629000,22904000,20142000,351634000,174210000,889502000,13873000,1063712000,1415346000,151395000,85301000,2917000,56849000,169520000,110654000,71836000,38818000,536863000,706383000,394673000,363279000,-48989000,708963000,708963000,1415346000,23554000,13270000,-1398000,-4209000,31217000,-9647000,209000,-22063000,-2916000,-26924000,-17770000,-17770000,-1377000,-19147000,45160000,444334000,35017000,0.34152,0.14649,0.10821,0.03322,0.01664,1.48661,2.07429,0.99636,0.31394,0.71981,0.71981,6.65221,21.66492,1.07007,0.08911,0.02094,0.0277,0.1238,9.20713,13.03838
"47","2022_Q2",69.0245161290323,"Down",240547000,-156904000,83643000,-40756000,-33776000,42887000,-3635000,-3809000,924000,-750000,39252000,39252000,-8774000,30478000,30478000,30478000,30478000,33019000,33019000,151350000,151350000,180290000,23706000,21910000,388365000,170411000,876105000,19322000,1046516000,1434881000,154902000,89117000,2924000,62861000,173043000,107406000,70144000,37262000,526202000,699245000,395905000,390831000,-51100000,735636000,735636000,1434881000,30478000,12554000,656000,-2.9e+07,14688000,-3793000,-167000,-2689000,-2917000,-8834000,3165000,3165000,1312000,4477000,55441000,436937000,31422000,0.34772,0.17829,0.1267,0.04143,0.02124,1.03097,2.24433,0.95053,0.30451,0.94059,0.93551,7.4236,22.70271,0.96973,0.09002,0.02609,0.02455,0.09571,7.28555,9.41819
"48","2022_Q3",60.251875,"Down",241668000,-159358000,82310000,-39333000,-32534000,42977000,-4221000,-3813000,173000,-581000,38756000,38756000,-8720000,30036000,30036000,30036000,30036000,41315000,41315000,149883000,149883000,178878000,20202000,17517000,390278000,168860000,846526000,19481000,1015386000,1405664000,143658000,76530000,2925000,64203000,162815000,98191000,66912000,31279000,495825000,658640000,397676000,417944000,-68596000,747024000,747024000,1405664000,30036000,12423000,-629000,-12314000,29516000,-7780000,1236000,-6544000,-2924000,-15984000,6988000,6988000,1305000,8293000,55400000,416791000,44026000,0.34059,0.17783,0.12429,0.04021,0.02137,1.46577,2.39706,0.88169,0.29651,0.92427,0.92302,7.43662,22.98748,1.35477,0.08998,0.02612,0.03489,0.09735,6.77755,8.73667
