"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",28.4378125,"Up",51060000,-30556000,20504000,-6572000,-6572000,13932000,222000,196000,120000,-94000,14154000,14154000,-4579000,9575000,9575000,9575000,9575000,75942000,40575000,18926000,18926000,12510000,3811000,3399000,111189000,65948000,7743000,3341000,73691000,184880000,14897000,5163000,2360000,7374000,14897000,7770000,7397000,373000,7770000,22667000,61927000,102106000,-1820000,162213000,162213000,184880000,9575000,1796000,695000,-864000,11202000,-3365000,2079000,-1286000,-2351000,-2337000,7579000,7579000,-1482000,6097000,15728000,0,16078000,0.40157,0.27286,0.18752,0.05903,0.05179,1.67916,7.46385,0.13974,0,0.36642,0.36641,1.954,6.20768,0.61528,0.08997,0.07016,0.09459,0.24554,-4.82846,-5.4509
"12","2013_Q3",29.2821875,"Up",55788000,-32387000,23401000,-6640000,-6640000,16761000,755000,242000,29000,484000,17516000,17516000,-5726000,11790000,11790000,11790000,11790000,78501000,41686000,20536000,20536000,12441000,4063000,3634000,115541000,70555000,8885000,3803000,79440000,194981000,14740000,5470000,2362000,6908000,14740000,7767000,7397000,370000,7767000,22507000,63090000,111535000,-2151000,172474000,172474000,194981000,11790000,1769000,165000,-1471000,12253000,-6153000,-1757000,-8833000,-2359000,-2352000,1068000,1068000,43000,1111000,18530000,0,16632000,0.41946,0.30044,0.21134,0.06836,0.06047,1.41069,7.8386,0.1305,0,0.44938,0.44938,2.12639,6.57394,0.63394,0.0899100000000003,0.0785,0.09228,0.20008,-4.23643,-4.68355
"13","2013_Q4",35.3890625,"Up",49370000,-29756000,19614000,-6540000,-6540000,13074000,-280000,271000,-81000,-470000,12794000,12794000,-4519000,8275000,8275000,8275000,8275000,87134000,46490000,18273000,18273000,12778000,3942000,3502000,122127000,74105000,8790000,3602000,82895000,205022000,14830000,5721000,2363000,6746000,14830000,7791000,7399000,392000,7791000,22621000,63982000,117447000,972000,182401000,182401000,205022000,8275000,1828000,1045000,2178000,13326000,-4981000,-3289000,-8270000,-2362000,-2382000,2674000,2674000,2130000,4804000,14902000,0,16618000,0.39729,0.26482,0.16761,0.04537,0.04036,2.00822,8.23513,0.12402,0,0.31527,0.31527,1.88098,6.9494,0.63314,0.08999,0.05593,0.08737,0.28544,-5.84713,-6.66468
"14","2014_Q1",36.5809836065574,"Up",49049000,-29607000,19442000,-7038000,-7038000,12404000,304000,258000,-41000,87000,12708000,12708000,-4364000,8344000,8344000,8344000,8344000,93641000,54912000,16984000,16984000,13853000,4578000,3150000,129056000,75731000,8691000,3470000,84422000,213478000,14018000,4630000,2372000,7016000,14018000,8032000,7747000,285000,8032000,22050000,65417000,123420000,2591000,191428000,191428000,213478000,8344000,1834000,1127000,-963000,10342000,-3206000,1375000,-1831000,-2363000,-1207000,7304000,7304000,1118000,8422000,14238000,1.77635683940025e-15,14433000,0.39638,0.25289,0.17012,0.04359,0.03909,1.72975,9.20645,0.11519,-6.61744490042422e-24,0.31835,0.31836,1.87138,7.30362,0.55067,0.09016,0.05368,0.07236,0.2832,-6.57684,-7.54926
"15","2014_Q2",35.8614285714286,"Down",56809000,-32742000,24067000,-7341000,-7341000,16726000,221000,312000,-8000,-83000,16947000,16947000,-5562000,11385000,11385000,11385000,11385000,96964000,55074000,23627000,23627000,14465000,4824000,4353000,139880000,75854000,8534000,3336000,84388000,224268000,14082000,6645000,2379000,5058000,14082000,8031000,7748000,283000,8031000,22113000,69520000,130048000,2587000,202155000,202155000,224268000,11385000,2074000,967000,-4342000,10084000,-1959000,-3048000,-5007000,-4750000,-4747000,330000,330000,-168000,162000,18800000,0,18061000,0.42365,0.29443,0.20041,0.05632,0.05077,1.58639,9.93325,0.10939,0,0.43168,0.43168,2.15398,7.66494,0.6848,0.1801,0.07677,0.08593,0.41722,-5.15766,-5.7972
"16","2014_Q3",35.38,"Down",61050000,-35294000,25756000,-7379000,-7379000,18377000,47000,284000,38000,-275000,18424000,18424000,-6238000,12186000,12186000,12186000,12186000,110640000,72139000,22666000,22666000,14709000,5257000,4771000,153272000,77424000,8547000,3218000,85971000,239243000,14919000,5976000,2380000,6563000,14919000,8111000,7809000,302000,8111000,23030000,70905000,139854000,5454000,216213000,216213000,239243000,12186000,2138000,1070000,1194000,16588000,-3098000,3616000,518000.000000002,-2379000,-2402000,14704000,14704000,2361000,17065000,20515000,0,24849000,0.42188,0.30102,0.19961,0.05636,0.05094,2.03914,10.27361,0.10652,0,0.46082,0.46082,2.30865,8.17626,0.93968,0.08996,0.06493,0.11077,0.19522,-5.39313,-6.02057
"17","2014_Q4",36.28875,"Up",55011000,-32720000,22291000,-7655000,-7655000,14636000,366000,330000,226000,-190000,15002000,15002000,-5124000,9878000,9878000,9878000,9878000,121327000,66095000,19805000,19805000,13649000,4814000,4338000,159595000,76577000,8329000,3087000,84906000,244501000,43835000,5919000,28848000,9068000,43835000,7860000,7572000,288000,7860000,51695000,72010000,120883000,-87000,192806000,192806000,244501000,9878000,2216000,944000,6987000,20025000,-1890000,-17337000,-19227000,-2380000,-2363000,-1565000,-1565000,-4479000,-6044000,16852000,0,27073000,0.40521,0.26606,0.17956,0.05123,0.0404,2.74074,3.64081,0.26812,0,0.37339,0.37339,2.07942,7.28807,1.02336,0.08996,0.06109,0.13492,0.24094,-7.19956,-8.28963
"18","2015_Q1",36.0965573770492,"Down",54803000,-33025000,21778000,-7446000,-7446000,14332000,1037000,666000,508000,-137000,15369000,15369000,-5043000,10326000,10326000,10326000,10326000,100196000,56843000,17501000,17501000,14098000,3752000,3285000,135547000,77716000,9501000,4360000,87217000,222764000,15732000,4873000,2392000,8467000,15732000,8773000,8501000,272000,8773000,24505000,73526000,128818000,-4085000,198259000,198259000,222764000,10326000,2290000,2270000,1263000,16149000,-4758000,10298000,5540000,-28848000,-27847000,-6158000,-6158000,-3094000,-9252000,16622000,9.09494701772928e-13,18170000,0.39739,0.26152,0.18842,0.05208,0.04635,1.75964,8.61601,0.1236,1.6940658945086e-21,0.38891,0.38891,2.06407,7.4671,0.68434,1.08651,0.18922,0.08776,2.79372,-6.02791,-6.99107
"19","2015_Q2",36.4009523809524,"Up",54386000,-32992000,21394000,-7286000,-7286000,14108000,1250000,316000,960000,-26000,15358000,15358000,-4981000,10377000,10377000,10377000,10377000,106075000,62446000,20505000,20505000,13481000,3691000,3224000,143752000,76472000,9930000,4869000,86402000,230154000,17431000,6466000,4802000,6163000,17431000,8817000,8545000,272000,8817000,26248000,78034000,134393000,-8521000,203906000,203906000,230154000,10377000,2287000,948000,348000,13960000,-1910000,-252000,-2162000,-2392000,-2389000,9409000,9409000,-3806000,5603000,16395000,0,19814000,0.39337,0.2594,0.1908,0.05089,0.04509,1.90942,8.24692,0.12873,0,0.39004,0.39004,2.0442,7.6642,0.74475,0.08991,0.06003,0.09314,0.23051,-6.46996,-7.51878
"20","2015_Q3",30.8075,"Down",54016000,-32611000,21405000,-7329000,-7329000,14076000,-102000,345000,-261000,-186000,13974000,13974000,-4726000,9248000,9248000,9248000,9248000,115416000,71667000,19522000,19522000,12430000,3783000,3319000,151151000,76478000,9715000,4675000,86193000,237344000,14349000,5638000,2402000,6309000,14349000,8778000,8509000,269000,8778000,23127000,79570000,141239000,-6592000,214217000,214217000,237344000,9248000,2285000,1174000,1803000,14510000,-1744000,-612000,-2356000,-4802000,-4802000,7352000,7352000,1869000,9221000,16361000,0,21146000,0.39627,0.26059,0.17121,0.04317,0.03896,2.28655,10.5339,0.10796,0,0.34657,0.34657,2.02428,8.02792,0.79246,0.17996,0.06301,0.09483,0.51925,-7.05434,-8.19949
