"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q3",43.47828125,"Up",89239000,-57980000,31259000,-30025000,-13654000,-5035000,-11336000,1234000,-1014000,-1014000,220000,-297000,-77000,145000,68000,68000,68000,68000,618000,618000,4507000,4507000,6569000,5583000,4576000,17277000,149894000,4516000,1763000,154410000,171687000,23095000,8879000,14216000,24446000,207000,27798000,27798000,28005000,52451000,114601000,-2109814.12865563,4635000,119236000,119236000,171687000,68000,5035000,3941000,2721000,11765000,-12310000,-12310000,-100052000,0,185000,-360000,-360000,-360000,6269000,207000,-3465000,0.35028,0.01383,0.00076,0.00057,4e-04,-50.95588,0.70674,0.43989,0.00121,0.00289,0.00281,3.79582,5.07176,-0.14739,0.00046,-0.02353,-0.06556,-0.33306
"2","2013_Q4",41.526875,"Down",88936000,-58342000,30594000,-24675000,-6939000,-5238000,-12498000,5919000,-132000,-132000,5787000,-339000,5448000,-2183000,3265000,3265000,3265000,3265000,589000,589000,5842000,5842000,7082000,4999000,4999000,18512000,158413000,4885000,2132000,163298000,181810000,26211000,8817000,17394000,27562000,1714000,30022000,30022000,31736000,59298000,114612000,-2554604.70955188,7900000,122512000,122512000,181810000,3265000,5238000,282000,3951000,12736000,-14136000,-14136000,1507000,0,1371000,-29000,-29000,-29000.0000000001,11157000,1714000,3155000,0.344,0.06655,0.03671,0.02665,0.01796,0.96631,0.67165,0.48402,0.00943,0.11106,0.10511,3.02507,4.16712,0.10731,0.02117,0.02045,0.10083,0.19007
"3","2014_Q1",37.5004918032787,"Down",91469000,-60293000,31176000,-25686000,-8085000,-5549000,-12052000,5490000,3000,3000,5493000,-951000,4542000,-2134000,2408000,2408000,2408000,2408000,968000,968000,4229000,4229000,7223000,5913000,5310000,18333000,167614000,1855000,1504000,169469000,187802000,23035000,8167000,14868000,24165000,6312000,32852000,31706000,39164000,63329000,116942000,-2777000,10308000,124473000,124473000,187802000,2408000,5549000,4716000,-1501000,11172000,-14641000,-14641000,4598000,-718000,3848000,379000,379000,379000,11039000,6312000,-2969000,0.34084,0.06002,0.02633,0.01935,0.01282,-1.23297,0.75866,0.50878,0.03361,0.08168,0.07565,3.10283,4.2224,-0.10072,0.01472,-0.01814,0.4841,0.97341
"4","2014_Q2",34.3155555555556,"Down",89519000,-60911000,28608000,-25938000,-7009000,-5610000,-13319000,2670000,-20000,-20000,2650000,-214000,2436000,-1012000,1424000,1424000,1424000,1424000,668000,668000,3985000,3985000,7623000,5548000,5548000,17824000,172316000,2171000,2171000,174487000,192311000,24514000,8588000,15926000,24514000,6600000,34477000,34477000,41077000,65591000,117836000,-2848000,11732000,126720000,126720000,192311000,1424000,5610000,379000.000000001,2844000,10257000,-11510000,-11510000,287999.999999999,665000,953000,-3e+05,-3e+05,-3e+05,8280000,6600000,626000,0.31957,0.02983,0.01591,0.01124,0.0074,0.43961,0.72709,0.51761,0.03432,0.0481,0.04585,3.02364,4.28017,0.02114,0.00849,0.00373000000000001,0.71643,2.22172
"5","2014_Q3",24.0878125,"Down",99460000,-65899000,33561000,-27427000,-8252000,-5905000,-13270000,6134000,-36000,-36000,6098000,-194000,5904000,-2377000,3527000,3527000,3527000,3527000,710000,710000,4160000,4160000,8262000,6100000,6100000,19232000,180417000,2979000,2979000,183396000,202628000,24882000,9022000,15860000,24882000,9629000,36225000,36225000,45854000,70736000,119481000,-2848000,15259000,131892000,131892000,202628000,3527000,5905000,4134000,-4712000,8854000,-12949000,-12949000,3029000,1108000,4137000,42000,42000,42000,12039000,9629000,-3245000,0.33743,0.06167,0.03546,0.02674,0.01741,-0.92005,0.77293,0.53632,0.04752,0.11874,0.11354,3.34838,4.44023,-0.10924,0.01984,-0.01826,0.74084,1.45403
"6","2014_Q4",23.26390625,"Down",106216000,-71247000,34969000,-29673000,-7545000,-6454000,-15674000,5296000,-112000,-112000,5184000,-250000,4934000,-1991000,2943000,2943000,2943000,2943000,2248000,2248000,3910000,3910000,9154000,6690000,6690000,22002000,195105000,10411000,2079000,205516000,227518000,31999000,11713000,20286000,31999000,21500000,38364000,38364000,59864000,91863000,120301000,-2848000,18202000,135655000,135655000,227518000,2943000,6454000,2629000,6316000,18342000,-15484000,-29107000,11871000,432000,12303000,1538000,1538000,1538000,11750000,21500000,4573000,0.32923,0.04986,0.02771,0.02169,0.01294,1.55386,0.68758,0.67718,0.0945,0.0989,0.09526,3.56935,4.55863,0.15367,0.01505,0.02339,1.63847,3.6352
"7","2015_Q1",22.4988524590164,"Down",108546000,-72192000,36354000,-30148000,-8588000,-6818000,-14742000,6206000,-197000,-197000,6009000,-733000,5276000,-1742000,3534000,3534000,3534000,3534000,1906000,1906000,4557000,4557000,9415000,6898000,6271000,22776000,205573000,10190000,1863000,215763000,238539000,24129000,10865000,13264000,25831000,27136000,45457000,38945000,72593000,98424000,121227000,-2848000,21736000,140115000,140115000,238539000,3534000,6818000,1757000,-535000,11574000,-16409000,-18494000,5999000,579000,6578000,-342000,-342000,-342000,13024000,27136000,-2178000,0.33492,0.05717,0.03256,0.02522,0.01482,-0.6163,0.88173,0.70245,0.11376,0.11859,0.11405,3.64234,4.70166,-0.07308,0.01661,-0.01024,1.93719,4.06542
"8","2015_Q2",16.9292063492063,"Down",105761000,-73059000,32702000,-30934000,-8418000,-6919000,-15597000,1768000,-229000,-229000,1539000,-6086000,-4547000,1795000,-2752000,-2752000,-2752000,-2752000,1638000,1638000,3849000,3849000,9692000,7738000,6648000,22917000,201885000,10527000,2167000,212412000,235329000,26687000,10828000,15859000,28389000,22460000,45695000,40727000,68155000,96544000,122660000,-2848000,18984000,138785000,138785000,235329000,-2752000,6919000,4711000,4448000,13326000,-9783000,-9783000,-5041000,1230000,-3811000,-268000,-268000,-268000,8687000,22460000,1557000,0.30921,0.01672,-0.02602,-0.01983,-0.01169,-0.56577,0.80725,0.69564,0.09544,-0.09222,-0.09222,3.54389,4.65047,0.05217,-0.0133,0.00752,2.39691,11.77715
"9","2015_Q3",13.62015625,"Down",115233000,-77491000,37742000,-32476000,-9232000,-6924000,-16320000,5266000,-198000,-198000,5068000,-250000,4818000,-1756000,3062000,3062000,3062000,3062000,2001000,2001000,4311000,4311000,9909000,6954000,6954000,23175000,208780000,10731000,2360000,219511000,242686000,27132000,11364000,15768000,28834000,29922000,47309000,42341000,77231000,106065000,123718000,-9131000,22046000,136621000,136621000,242686000,3062000,6924000,715000,-1371000,9330000,-12078000,-12706000,7463000,-3712000,3751000,375000,375000,363000,12190000,29922000,497000,0.32753,0.0457,0.02657,0.02241,0.01262,0.16231,0.80374,0.77634,0.1233,0.10224,0.09967,3.8475,4.56162,0.01659,0.01432,0.00232,2.29048,5.30213
"10","2015_Q4",11.9128125,"Down",117328000,-81540000,35788000,-34611000,-9384000,-7116000,-18111000,1177000,-391000,-391000,786000,-16479000,-15693000,5872000,-9821000,-9821000,-9821000,-9821000,2016000,2016000,3867000,3867000,10381000,7834000,7834000,24098000,198098000,11984000,2314000,210082000,234180000,30548000,11263000,19285000,32250000,60404000,44026000,44026000,104430000,136680000,120366000,-3.5e+07,12226000,97500000,97500000,234180000,-9821000,7116000,10597000,7338000,15230000,-13755000,-13755000,30482000,-31862000,-1380000,95000,95000,15000.0000000001,8293000,60404000,-3996000,0.30503,0.01003,-0.08371,-0.10073,-0.04194,0.40688,0.74722,1.40185,0.25794,-0.3476,-0.3476,4.15264,3.45086,-0.14143,-0.04864,-0.01979,7.04064,49.60748
"11","2016_Q1",12.0819672131148,"Up",117129000,-81810000,35319000,-34981000,-10210000,-6843000,-17928000,338000,-614000,-614000,-276000,-6801000,-7077000,2823000,-4254000,-4254000,-4254000,-4254000,1912000,1912000,4990000,4990000,10494000,8005000,7185000,25401000,203713000,10847000,1974000,214560000,239961000,32914000,15073000,17841000,32914000,67732000,45543000,45543000,113275000,146189000,120935000,-3.5e+07,7971000,93772000,93772000,239961000,-4254000,6843000,5593000,-1562000,6620000,-14477000,-14477000,7842000,-47000,7795000,-62000,-62000,-104000,7181000,67732000,-11681000,0.30154,0.00289,-0.03632,-0.04537,-0.01773,2.74589,0.77174,1.55898,0.28226,-0.15353,-0.15792,4.2272,3.38424,-0.42157,-0.02055,-0.05642,9.16585,194.73373
"12","2016_Q2",10.37421875,"Down",113986000,-80937000,33049000,-34872000,-10037000,-6906000,-17929000,-1823000,-628000,-628000,-2451000,-1016000,-3467000,1094000,-2373000,-2373000,-2373000,-2373000,1905000,1905000,5214000,5214000,10725000,8872000,7014000,26716000,206457000,10808000,1961000,217265000,243981000,31271000,10081000,21190000,31271000,74091000,46508000,46508000,120599000,151870000,121542000,-3.5e+07,5598000,92111000,92111000,243981000,-2373000,6906000,1122000,23999.9999999991,5679000,-12319000,-12319000,6332000,195999.999999996,6528000,-112000,-112000,-6999.99999999999,5083000,74091000,-8306000,0.28994,-0.01599,-0.02082,-0.02576,-0.00973,3.50021,0.85434,1.64877,0.30368,-0.0856,-0.0856,4.11178,3.32269,-0.29962,-0.01116,-0.03905,14.20146,-39.59737
"13","2016_Q3",7.32828125,"Down",121407000,-85168000,36239000,-36303000,-9840000,-7071000,-19392000,-64000,-598000,-598000,-662000,-11248000,-11910000,-2177000,-14087000,-14087000,-14087000,-14087000,1893000,1893000,5446000,5446000,10795000,3808000,3030000,21942000,201831000,10119000,1958000,211950000,233892000,28089000,9584000,18505000,28089000,78503000,48012000,47593000,126515000,154604000,122784000,-3.5e+07,-8489000,79288000,79288000,233892000,-14087000,7071000,12757000,861000,6602000,-11697000,-11697000,4383000,678000,5061000,-34000,-34000,-12000,7007000,78503000,-1652000,0.29849,-0.00053,-0.11603,-0.17767,-0.06023,0.11727,0.78116,1.9499,0.33564,-0.50716,-0.50716,4.37092,2.85454,-0.05948,-0.06845,-0.00803,10.93335,-1197.03125
"14","2016_Q4",4.47904761904762,"Down",122681000,-87877000,34804000,-41583000,-15251000,-7006000,-19326000,-6779000,-738000,-738000,-7517000,-2283000,-9800000,-40999.9999999991,-9841000,-9841000,-9841000,-9841000,1966000,1966000,4801000,4801000,11212000,9157000,8458000,27136000,202304000,10155000,2017000,212459000,239595000,35458000,9298000,26160000,35458000,83990000,49315000,48854000,133305000,168763000,124192000,-3.5e+07,-18329000,70832000,70832000,239595000,-9841000,7006000,1844000,4774000,3783000,-9768000,-9268000,5550000,93000,5643000,158000,158000,73000,227000,83990000,-4726000,0.2837,-0.05526,-0.08022,-0.13893,-0.04107,0.48024,0.7653,2.38258,0.35055,-0.35397,-0.35397,4.41266,2.54773,-0.16999,-0.04821,-0.02315,361.33921,-12.0997199999997
"15","2017_Q1",4.215,"Down",129400000,-93779000,35621000,-47172000,-20526000,-7151000,-19495000,-11551000,-952000,-952000,-12503000,-32764000,-45267000,-109000,-45376000,-45376000,-45376000,-45376000,1837000,1837000,5438000,5438000,11285000,7228000,6972000,25788000,173533000,10140000,2025000,183673000,209461000,49033000,10601000,38432000,49033000,84676000,49934000,49499000,134610000,183643000,124575000,-3.5e+07,-63706000,25818000,25818000,209461000,-45376000,7151000,32877000,14021000,8673000,-9551000,-9473000,886000,-214000,672000,-128000,-128000,-129000,-4400000,84676000,179000,0.27528,-0.08927,-0.35066,-1.75753,-0.21663,-0.00394,0.52593,7.11298,0.40426,-1.62435,-1.62435,4.63219,0.92422,0.00641,-0.28284,0.00112,-18.82705,-7.17159
"16","2017_Q2",4.88031746031746,"Up",116715000,-85682000,31033000,-34625000,-10666000,-6267000,-17692000,-3592000,-1008000,-1008000,-4600000,-22054000,-26654000,-191000,-26845000,-26845000,-26845000,-27810000,3248000,3248000,3442000,3442000,9730000,7402000,7214000,23822000,169695000,10072000,2045000,179767000,203589000,49005000,11017000,37988000,49005000,52800000,56586000,55960000,109386000,158391000,159302000,-3.5e+07,-90551000,45198000,45198000,203589000,-26845000,6267000,19032000,-6530000,-8076000,-6601000,-6601000,-31297000,-624000,16088000,1411000,1411000,1411000,2675000,52800000,-10265000,0.26589,-0.03078,-0.23827,-0.61529,-0.1366,0.36911,0.48611,3.50438,0.25935,-0.99062,-0.99062,4.1575,1.20043,-0.36565,-0.1799,-0.0664,18.52411,-13.7951
